#ID	Name
G0	SOX2
G124	CBX4
G125	GLI1
G126	ATF7
G127	POLR2I
G128	RYBP
G129	PAPOLA
G130	POLR1C
G131	GRIN1
G132	USF1
G133	SALL4
G134	SMARCD1
G135	XRCC5
G136	KPNA2
G137	MIS18BP1
G138	RFXAP
G139	ELF1
G140	TBX18
G141	CNOT2
G142	BMI1
G143	ZFPM1
G144	HDAC11
G145	DMRT1
G146	CTCF
G147	TET2
G148	TIMELESS
G149	ZFHX3
G150	SRRT
G151	POLR1A
G152	ESPL1
G153	SMARCC2
G154	KDM5B
G155	PER1
G156	MAPK13
G157	SMARCA2
G158	GTF2H3
G159	HTT
G160	ZBTB7A
G161	BARD1
G162	NDN
G163	JDP2
G164	DAZAP2
G165	TULP3
G166	MCM7
G167	CREB3
G168	NFE2L2
G169	POLR2E
G170	GATAD2B
G171	PLAG1
G172	ATM
G173	ARID3B
G174	RBPJ
G175	ZFP219
G176	PITX1
G177	TCF20
G178	TAF9
G179	HDAC2
G180	BTF3
G181	ASH2L
G182	HDAC7
G183	ZFP462
G184	PREB
G185	ATF3
G186	PHF20
G187	TCF4
G188	HDAC4
G189	KLF2
G190	RARG
G191	ARL6IP5
G192	XRCC6
G193	CTNNB1
G194	ZFP446
G195	ELL3
G196	NFATC4
G197	NR1H2
G198	ZFP36L1
G199	EOMES
G200	HDAC10
G201	NR2C1
G202	NR4A1
G203	EP400
G204	TAF6
G205	ZBTB32
G206	FUBP3
G207	KLF3
G208	NFIL3
G209	ZHX3
G210	TRP53
G211	RAI14
G212	ERCC3
G213	PIAS1
G214	UBTF
G215	JUN
G216	HSPB1
G217	RNF6
G218	ANKRD49
G219	AIP
G220	TOX3
G221	L3MBTL2
G222	SIX5
G223	YBX1
G224	MLXIP
G225	RFX2
G226	TRIB3
G227	HES1
G228	NFKBIA
G229	YAF2
G230	POLR1B
G231	ZFP277
G232	ABTB1
G233	TRP53BP1
G234	OTX2
G235	LMO4
G236	SOX15
G237	VEZF1
G238	BMP4
G239	SNAPC3
G240	TCF12
G241	H1F0
G242	E2F2
G243	ARNT2
G244	ID4
G245	GABBR1
G246	NR5A2
G247	MLLT1
G248	NOTCH1
G249	MEF2D
G250	NFIA
G251	RUVBL2
G252	NR1D1
G253	BACH2
G254	GNRH1
G255	ZFP91
G256	CREB3L2
G257	GTF2I
G258	TRIM13
G259	POU4F1
G260	CREB5
G261	PIAS3
G262	MAZ
G263	RUNX3
G264	MEF2C
G265	ZBTB3
G266	SFPQ
G267	TRPS1
G268	ING3
G269	TLE1
G270	RBBP7
G271	HIST1H2BB
G272	ZEB2
G273	PHF14
G274	HCFC1
G275	MYD88
G276	ZFP768
G277	NFX1
G278	POLR3F
G279	TTF2
G280	PCBP2
G281	CBX8
G282	CNOT6
G283	BTBD11
G284	KLF13
G285	CRABP2
G286	JUND
G287	SIN3B
G288	TGFB1I1
G289	NR2F2
G290	PHF1
G291	TGFB1
G292	CIC
G293	ZIC3
G294	EBF4
G295	NCOA3
G296	PAWR
G297	POLR2A
G298	HIST1H1D
G299	ING1
G300	NCOR1
G301	MYBBP1A
G302	RELA
G303	ELK1
G304	SRSF3
G305	FIZ1
G306	PRDM14
G307	UTF1
G308	CNOT8
G309	TSHZ3
G310	SP1
G311	TEAD4
G312	HDAC1
G313	MCM5
G314	SMURF1
G315	RNF19A
G316	TRIP11
G317	INTS12
G318	AATF
G319	ETV1
G320	NANOG
G321	BRPF1
G322	MDM2
G323	ESRRA
G324	MCM3
G325	CTNNBL1
G326	CITED2
G327	AES
G328	ZFP423
G329	ATF2
G330	EPAS1
G331	SOX17
G332	BCLAF1
G333	EHMT2
G334	DDX20
G335	E2F6
G336	TAF1A
G337	BRCA2
G338	MEIS3
G339	SAP30
G340	PDCD11
G341	HNRNPAB
G342	ZBTB43
G343	RUNX1
G344	TCF7
G345	TMF1
G346	PHC1
G347	SALL1
G348	ID3
G349	TCF7L2
G350	NFYB
G351	POLR1E
G352	TRIP6
G353	NFYA
G354	MAML1
G355	E2F1
G356	TCOF1
G357	IKBKB
G358	HDAC3
G359	PURA
G360	POLR2J
G361	SRF
G362	HMGA1
G363	HIF3A
G364	NRIP1
G365	TAF6L
G366	JMJD1C
G367	MYC
G368	SMAD7
G369	RHOX6
G370	FOXJ2
G371	TET1
G372	FOXO1
G373	IRF3
G374	TRIM24
G375	OVOL1
G376	SERTAD2
G377	DAXX
G378	MLXIPL
G379	MSX2
G380	JARID2
G381	GLI2
G382	FOXQ1
G383	CRY1
G384	PMS1
G385	RNF14
G386	AKT1
G387	ZBTB39
G388	DDX54
G389	SSB
G390	MEF2A
G391	SND1
G392	ESRRB
G393	MEIS1
G394	CELF3
G395	TEAD1
G396	XAB2
G397	ATF1
G398	YEATS2
G399	MED15
G400	NACC1
G401	MCM6
G402	TRRAP
G403	PCBD1
G404	PHF2
G405	NCOA6
G406	SCMH1
G407	KANK2
G408	XBP1
G409	AIRE
G410	ETV3
G411	MKX
G412	KLF15
G413	GTF2A1L
G414	CHD7
G415	SREBF1
G416	GTF3C1
G417	NFE2L1
G418	NFKB2
G419	TBL1X
G420	ZFP398
G421	ELF3
G422	RUVBL1
G423	NOTCH2
G424	PBX4
G425	ZBTB10
G426	HOPX
G427	FUS
G428	POLR3D
G429	BIN1
G430	HNRNPK
G431	SMAD2
G432	HIVEP2
G433	ETS1
G434	HIF1A
G435	TFAP2C
G436	ATF4
G437	ID2
G438	POU5F1
G439	RAPGEF3
G440	EWSR1
G441	ASXL1
G442	ZFP592
G443	DIDO1
G444	DDX21
G445	GABPA
G446	FXR1
G447	KHDRBS1
G448	RFX7
G449	GBX2
G450	CNOT3
G451	NKRF
G452	PELP1
G453	RLIM
G454	PARP1
G455	PA2G4
G456	CNOT7
G457	SOX7
G458	KAT2B
G459	PKNOX2
G460	CUX2
G461	TNFAIP3
G462	ILF2
G463	THRAP3
G464	HMGXB4
G465	TADA3
G466	PRDM5
G467	HNF1B
G468	MAFK
G469	IRF4
G470	PSIP1
G471	CEBPZ
G472	TRIM32
G473	HES6
G474	TBPL1
G475	HEXIM1
G476	NRF1
G477	WWTR1
G478	DNMT3A
G479	NFATC2IP
G480	SRSF1
G481	ARID1A
G482	CREBZF
G483	ZBTB38
G484	SRSF6
G485	RBL1
G486	TGIF1
G487	MITF
G488	STAT4
G489	RCOR2
G490	EZH2
G491	KNTC1
G492	ZBTB24
G493	EP300
G494	EGR1
G495	RBMX
G496	TBX3
G497	ARID5B
G498	PLRG1
G499	SPEN
G500	TFEB
G501	BTAF1
G502	PML
G503	RERE
G504	NR0B1
G505	KRBA1
G506	POU6F1
G507	FOSL2
G508	KLF4
G509	COPS2
G510	BMP6
G511	NOTCH4
G512	ARNTL
G513	ETV6
G514	PITX2
G515	STAT5B
G516	DNMT1
G517	ILK
G518	SIN3A
G519	BRCA1
G520	LDB1
G521	ETV5
G522	ZEB1
G523	NPAS2
G524	ELK4
G525	GZF1
G526	DAB2
G527	EYA1
G528	TOP2B
G529	ELF4
G530	DDX5
G531	COIL
G532	ATF5
G533	TFAP4
G534	ZSWIM4
G535	HSF2
G536	ZMYND11
G537	HMGXB3
G538	SUZ12
G539	PAX1
G540	GLIS2
G541	MAPK11
G542	DNAJC2
G543	KLF9
G544	POU2F1
G545	SIX1
G546	MED4
G547	SIRT3
G548	PEG3
G549	HDAC5
G550	BRWD1
G551	DPPA2
G552	ZFP276
G553	BCL3
G554	ERF
G555	REST
G556	NFATC1
G557	RBBP4
G558	NR2F6
G559	RARA
G560	SOS2
G561	POLR2H
G562	BTG1
G563	ZFP281
G564	HMGB2
G565	PLAGL2
G566	ZBTB20
G567	FOXH1
G568	ABT1
G569	KEAP1
G570	CALCOCO1
G571	CHD5
G572	WBP11
G573	TRIM25
G574	RBM14
G575	TFCP2L1
G576	MEN1
G577	SATB1
G578	KLF8
G579	NFXL1
G580	TEAD3
G581	DTX1
G582	CENPB
G583	PAX6
G584	CUX1
G585	SMARCC1
G586	POLR3B
G587	ZFP57
G588	TFE3
G589	RBFOX2
G590	PROX1
G591	ZFP236
G592	TOPORS
G593	SMARCAD1
G594	TOX4
G595	ANKRD54
G596	EED
G597	BAZ1A
G598	MPHOSPH8
G599	BRD7
G600	SMARCA5
G601	ZSCAN10
G602	RAD54B
G603	ETV4
G604	E2F4
G605	KLF6
G606	DDB2
G607	HOXD13
G608	MYBL2
G609	PBXIP1
G610	HDGF
G611	MTA3
G612	TCEA3
G613	CNOT6L
G614	ZFAND3
G615	IRF1
G616	GRHL1
G617	HSBP1
G618	NSD1
G619	ASH1L
G620	BARX1
G621	STAT5A
G622	DEK
G623	NFIC
G624	HEY2
G625	SOX4
G626	ZFP335
G627	CBX6
G628	KRT8
G629	APPBP2
G630	GM24455
G631	GM26280
G632	GM37746
G633	LEFTY2
G634	SEMA4C
G635	QDPR
G636	IFITM1
G637	GM45236
G638	CSRP2
G639	CRTAP
G640	CACHD1
G641	CENPV
G642	UBE2S
G643	VSIR
G644	TMSB4X
G645	ISYNA1
G646	HSP90AA1
G647	GNAS
G648	AP1AR
G649	GM2399
G650	AQP3
G651	DKK1
G652	CST3
G653	CTDSPL
G654	MANBA
G655	GRB10
G656	BUB1B
G657	AGPAT4
G658	SNHG12
G659	GM9531
G660	MCAM
G661	SSR3
G662	SLC16A6
G663	CCNG1
G664	FZR1
G665	IMPDH1
G666	SLC25A4
G667	MTHFD2
G668	CKB
G669	NOP56
G670	COPA
G671	RRBP1
G672	IFITM3
G673	MRPS5
G674	GM43558
G675	TMEM231
G676	ZFP990
G677	MIR295
G678	MT-TF
G679	HSP25-PS1
G680	AF357399
G681	CLN6
G682	SNORA33
G683	PRPS2
G684	MDK
G685	MAPKAPK2
G686	HKDC1
G687	SMS
G688	HSPG2
G689	USP9X
G690	HMCES
G691	GM24564
G692	MTCL1
G693	ARF4
G694	SHKBP1
G695	DCXR
G696	ASAH1
G697	1110038B12RIK
G698	EPHA2
G699	UHRF1
G700	GM24201
G701	HIST1H2BF
G702	PRDX1
G703	ZFP980
G704	ADGRE5
G705	SLC9A6
G706	GM26060
G707	FGF4
G708	GM13165
G709	GDPD5
G710	GM25835
G711	VIM
G712	SNURF
G713	IFRD1
G714	PIPOX
G715	SLC35F5
G716	GM25158
G717	GM10182
G718	POFUT2
G719	ITGAV
G720	NIPSNAP1
G721	GM43444
G722	MIR186
G723	LNCENC1
G724	GM17212
G725	MIR297B
G726	SPARC
G727	PLATR14
G728	GM27624
G729	MIR1905
G730	WDR45
G731	EDEM1
G732	LGMN
G733	CERS4
G734	SNORA44
G735	EFEMP2
G736	MIR28B
G737	GM8203
G738	LRRC8D
G739	2810025M15RIK
G740	RAB11A
G741	LAMB1
G742	TUBB4B
G743	PLK2
G744	PLXNB2
G745	RESF1
G746	MIR669J
G747	NDRG4
G748	GM25753
G749	COLGALT1
G750	DUSP9
G751	COMMD3
G752	PCNA
G753	ELOVL6
G754	LAMP2
G755	ATP6V0E
G756	F2R
G757	GM25500
G758	MIR7003
G759	MYLPF
G760	OPLAH
G761	MFGE8
G762	CMKLR1
G763	GM25636
G764	EPHA4
G765	GLIPR1
G766	SLC38A2
G767	DCTPP1
G768	PATJ
G769	GM22281
G770	MIR669E
G771	TGFBR3
G772	PCOLCE2
G773	FGF3
G774	SERPINE2
G775	MT1
G776	CDCA7
G777	TXNDC11
G778	GM25117
G779	SYNE2
G780	GM10039
G781	PTPN14
G782	GM23651
G783	RNF157
G784	BEX3
G785	RNPEPL1
G786	LRRK1
G787	MIR466O
G788	TXNIP
G789	ATG16L2
G790	GM11223
G791	TRIM2
G792	BAG2
G793	TSPAN9
G794	GM26083
G795	ACTG1
G796	GM23946
G797	FRRS1
G798	L1TD1
G799	TOP2A
G800	SRPRB
G801	MSH2
G802	SNORA23
G803	CAR4
G804	SNX1
G805	EIF2S2
G806	PLEKHA7
G807	ZFP710
G808	CEMIP
G809	STT3A
G810	SERPINB6C
G811	HIP1
G812	BNIP3
G813	TUBA4A
G814	MRPL42
G815	NUTF2-PS2
G816	ARHGAP29
G817	GM10259
G818	SLC45A4
G819	GFPT1
G820	FKBP11
G821	CLIC1
G822	GM23569
G823	GM13597
G824	PHLDB2
G825	ASS1
G826	UBALD2
G827	MIR297A-2
G828	BEX4
G829	GM24488
G830	GLIPR2
G831	PRXL2A
G832	MOV10
G833	F3
G834	MYDGF
G835	ZFP961
G836	SNORD35A
G837	HIST1H2BK
G838	RHPN1
G839	SENP3
G840	STX5A
G841	OBSL1
G842	GCLM
G843	SDF2L1
G844	FAT1
G845	LAMA1
G846	EVA1A
G847	TMEM165
G848	CYBA
G849	SERBP1
G850	TPX2
G851	GM20721
G852	SNORA73B
G853	CKAP4
G854	SNORD93
G855	COL4A2
G856	GM7993
G857	GM42429
G858	VKORC1
G859	HERPUD1
G860	KCNG1
G861	TXNDC12
G862	CUBN
G863	DKC1
G864	GM9385
G865	ATP1B1
G866	SOAT1
G867	NSD2
G868	IL33
G869	SGK1
G870	SUN2
G871	RRP1B
G872	MSL3
G873	NKTR
G874	MYO18A
G875	PEG10
G876	TIMP2
G877	PDIA6
G878	PRSS35
G879	MIR669A-3
G880	SNORD83B
G881	GM44429
G882	ADAM19
G883	GM22353
G884	HIRIP3
G885	RPL39L
G886	IFI30
G887	STAG3
G888	LTBP4
G889	SLC16A1
G890	2410141K09RIK
G891	CLDN6
G892	GM8355
G893	CCNE1
G894	GM23497
G895	GM26092
G896	CTH
G897	HSD17B14
G898	GM13502
G899	ADAM15
G900	ODC1
G901	ETL4
G902	LASP1
G903	CTSD
G904	MINDY3
G905	5031439G07RIK
G906	LDHB
G907	HIST1H1A
G908	UPP1
G909	GM43238
G910	GM13237
G911	USP28
G912	MANF
G913	SPP1
G914	LGALS3
G915	UNG
G916	P3H2
G917	MAN1A
G918	COX7A1
G919	PDIA3
G920	UBQLN2
G921	GOT1
G922	VANGL1
G923	ZC3H7A
G924	STMN1
G925	CCNB2
G926	GM25943
G927	FXYD3
G928	GLMP
G929	MAN1A2
G930	GM26397
G931	GM15446
G932	SMS-PS
G933	LRRC1
G934	MYMX
G935	GM25926
G936	SLC25A39
G937	BNC2
G938	SNHG1
G939	GM49347
G940	TUBB2B
G941	AQP8
G942	LIFR
G943	GM37404
G944	GM26287
G945	RAB3IL1
G946	FRMD4A
G947	MFSD1
G948	RPL5
G949	GM10780
G950	GM26229
G951	FLRT3
G952	NDRG1
G953	NRG1
G954	GM23578
G955	NEDD4
G956	NASP
G957	ST5
G958	SUN1
G959	USP3
G960	MIR466B-4
G961	AMFR
G962	GM26156
G963	NUSAP1
G964	SDC4
G965	GM14870
G966	MAGED1
G967	MAP3K1
G968	SRGN
G969	DNAJC10
G970	SNORA74A
G971	PLOD3
G972	ANXA5
G973	GM26426
G974	GM22988
G975	GAS6
G976	PGD
G977	SEC24D
G978	LAD1
G979	SLC6A8
G980	SELENOW
G981	MDN1
G982	GM23571
G983	GM17035
G984	EIF4EBP1
G985	SURF4
G986	GM10221
G987	BASP1
G988	ACP6
G989	ZFP532
G990	SNORA68
G991	WDR1
G992	SLC7A7
G993	CALM2
G994	SUSD2
G995	GM24497
G996	GM28960
G997	GM44170
G998	GM22626
G999	INSIG1
G1000	GM14303
G1001	SNORA26
G1002	GM26165
G1003	TEX264
G1004	DUSP6
G1005	LBHD1
G1006	D230025D16RIK
G1007	FN1
G1008	GM24494
G1009	SPRY2
G1010	GABARAPL2
G1011	RANGRF
G1012	SRI
G1013	MGST3
G1014	TDGF1
G1015	ABCC5
G1016	ANK
G1017	SHROOM3
G1018	GM15459
G1019	GM43110
G1020	NOTUM
G1021	ANXA2
G1022	PDIA5
G1023	DANCR
G1024	FAM168A
G1025	GLDC
G1026	GM25316
G1027	SNX2
G1028	RBPMS2
G1029	SLC17A9
G1030	TCN2
G1031	APLP1
G1032	SLC25A36
G1033	GM12276
G1034	COL27A1
G1035	MIR7063
G1036	LRP2
G1037	MIR466F-2
G1038	GM25451
G1039	MKRN1
G1040	AKR1B8
G1041	ASPH
G1042	GM25183
G1043	RPP25
G1044	P4HA2
G1045	SFMBT2
G1046	LAMC1
G1047	GM26318
G1048	SLC7A6
G1049	GSN
G1050	SERPINH1
G1051	KDELR2
G1052	FDPS
G1053	APOBEC3
G1054	GJB3
G1055	BMPER
G1056	LRPAP1
G1057	P4HA1
G1058	TCF15
G1059	MRAS
G1060	EHD1
G1061	PMM1
G1062	MYO1C
G1063	TNS1
G1064	PLATR16
G1065	KAT6B
G1066	MFSD10
G1067	PCOLCE
G1068	DDAH1
G1069	GM45213
G1070	ARHGAP1
G1071	KRT19
G1072	CSTB
G1073	LPCAT1
G1074	IQSEC1
G1075	GM24044
G1076	GM24289
G1077	CARMIL1
G1078	GM7846
G1079	GGA2
G1080	PTH1R
G1081	IDI1
G1082	GM38009
G1083	RPL22L1
G1084	SPRY4
G1085	IER2
G1086	RASGRP2
G1087	LAMB2
G1088	KANK3
G1089	PODXL
G1090	NRG2
G1091	GM24761
G1092	CAMSAP3
G1093	GM6594
G1094	CALR
G1095	SINHCAF
G1096	ZFP991
G1097	S100A6
G1098	VAMP8
G1099	FABP3
G1100	TRH
G1101	GM26447
G1102	GM44335
G1103	PTTG1IP
G1104	GM25663
G1105	MSH6
G1106	PIK3AP1
G1107	LY75
G1108	KDELR3
G1109	SNORA17
G1110	CD63
G1111	GM17545
G1112	GM8818
G1113	EPS8L2
G1114	GM4202
G1115	RHOX5
G1116	GM26448
G1117	ERLIN1
G1118	UBE2C
G1119	GM26917
G1120	CPM
G1121	PPP2R5A
G1122	TCAF1
G1123	GM44330
G1124	RDM1
G1125	SNORA43
G1126	GALNT2
G1127	TIMP3
G1128	SH3PXD2B
G1129	ALPL
G1130	AMOT
G1131	UCHL1
G1132	THBD
G1133	FBXO5
G1134	AKAP12
G1135	IGF2
G1136	AHNAK
G1137	RBMS1
G1138	TDH
G1139	HDLBP
G1140	VCAN
G1141	GM10925
G1142	PDCD6IP
G1143	LAMA5
G1144	KRTCAP2
G1145	MRPL23-PS1
G1146	SOD1
G1147	CR1L
G1148	ST3GAL6
G1149	PRDX4
G1150	GM3470
G1151	PROS1
G1152	MYH9
G1153	GM21962
G1154	HELLS
G1155	CDC20
G1156	IGFBP2
G1157	CTSA
G1158	FAM129B
G1159	SEPT1
G1160	LMF2
G1161	SNORA81
G1162	CDKN1A
G1163	ECHDC2
G1164	SNORD34
G1165	2200002D01RIK
G1166	CRYBG2
G1167	ARHGEF40
G1168	GM10135
G1169	AARS
G1170	MIR669B
G1171	APOE
G1172	TPM1
G1173	SPC25
G1174	TNS4
G1175	GM27326
G1176	GM14519
G1177	VEGFA
G1178	SLC6A6
G1179	PARVB
G1180	SNORD11
G1181	GM8741
G1182	HMGCS1
G1183	CDH6
G1184	AU018091
G1185	GM13147
G1186	ALDH2
G1187	CNDP2
G1188	GORASP2
G1189	HS3ST1
G1190	RPS4L
G1191	SLC25A22
G1192	LEFTY1
G1193	BCAM
G1194	CHN2
G1195	SEC61A1
G1196	ITM2B
G1197	LDLRAP1
G1198	DUSP3
G1199	TNK2
G1200	4930402H24RIK
G1201	EPS8
G1202	DENND2C
G1203	TPM4
G1204	SELENOI
G1205	IFITM2
G1206	CCNB1
G1207	CARHSP1
G1208	APAF1
G1209	PDK1
G1210	MIR6357
G1211	CALD1
G1212	MIR669F
G1213	MIR6394
G1214	HSPA5
G1215	PITPNC1
G1216	GM49369
G1217	KIT
G1218	LAMP1
G1219	MIR291B
G1220	MARC2
G1221	DDAH2
G1222	HTRA1
G1223	B2M
G1224	GNPTAB
G1225	MSANTD3
G1226	PNP
G1227	PFKP
G1228	BCAT1
G1229	AMPD2
G1230	GABARAP
G1231	TYRO3
G1232	TCL1
G1233	GABARAPL1
G1234	GM16235
G1235	COL4A1
G1236	DPP4
G1237	ME1
G1238	RANBP17
G1239	GASK1B
G1240	TMED2
G1241	ACTL6A
G1242	ZFP600
G1243	HIST1H4K
G1244	RCC2
G1245	GM26073
G1246	JPT1
G1247	CTBP2
G1248	ERP29
G1249	MARCKS
G1250	RMC1
G1251	LIMCH1
G1252	GNG10
G1253	TFRC
G1254	RRAS2
G1255	RPN1
G1256	GM22072
G1257	SPNS2
G1258	GFPT2
G1259	HIST1H2AC
G1260	SETX
G1261	GM28030
G1262	GM23988
G1263	FAM25C
G1264	GM23833
G1265	PDCD4
G1266	GM25701
G1267	CDC42SE2
G1268	HIST1H3H
G1269	RMND5B
G1270	GM44206
G1271	BEND5
G1272	TINAGL1
G1273	NUP210
G1274	STARD8
G1275	PARVA
G1276	ARHGAP45
G1277	FNDC3B
G1278	MIR1949
G1279	PRKAB1
G1280	PIK3R1
G1281	OSTC
G1282	MYO6
G1283	ARHGAP21
G1284	EDA2R
G1285	SNRPN
G1286	GM28439
G1287	ASNS
G1288	CCND3
G1289	SELENOS
G1290	GM23136
G1291	EIF4A2
G1292	GM38312
G1293	SNORD43
G1294	GSTA4
G1295	CTNNAL1
G1296	GM24888
G1297	COL18A1
G1298	CHST15
G1299	FAHD2A
G1300	SNORD70
G1301	GM26431
G1302	AMOTL2
G1303	HMGA1B
G1304	LOXL2
G1305	KHDC3
G1306	HIST1H2AK
G1307	CD9
G1308	PGAM1-PS2
G1309	SLC20A1
G1310	ZFAS1
G1311	FOXN3
G1312	MORC4
G1313	TBRG1
G1314	LAPTM5
G1315	GM24451
G1316	NAGK
G1317	SET
G1318	HIST1H2AF
G1319	ILDR1
G1320	PSME2
G1321	PLOD2
G1322	GNS
G1323	CDIPT
G1324	KRT18
G1325	GM22620
G1326	APP
G1327	PHGDH
G1328	PHLDA3
G1329	GM24330
G1330	ECT2
G1331	OAT
G1332	ADAM23
G1333	TUBB6
G1334	SEC31A
G1335	COBL
G1336	MYL6
G1337	KLB
G1338	BEX1
G1339	CALU
G1340	GSR
G1341	GM22678
G1342	GM13166
G1343	SNORD49A
G1344	PXDN
G1345	CHCHD10
G1346	GM10698
G1347	GM22635
G1348	NXF7
G1349	GJA1
G1350	PDIA4
G1351	FGFR3
G1352	XAF1
G1353	HSPA8
G1354	GM23302
G1355	EIF4A-PS4
G1356	PDE4DIP
G1357	GAA
G1358	LDLR
G1359	BCAS3
G1360	PDGFA
G1361	HIST1H2BN
G1362	GM25787
G1363	FNDC3A
G1364	AY036118
G1365	SNX25
G1366	CRIP2
G1367	PPIB
G1368	CRYAB
G1369	PWWP3B
G1370	CLTC
G1371	GHR
G1372	PLOD1
G1373	GM29397
G1374	COBLL1
G1375	MCFD2
G1376	SNORA3
G1377	RRM2
G1378	ZYX
G1379	MIR669A-1
G1380	SNORD32A
G1381	NCAPD2
G1382	AI506816
G1383	RBM38
G1384	RENBP
G1385	CTSL
G1386	KRT17
G1387	ZFYVE21
G1388	FAM83D
G1389	NPL
G1390	FAM234A
G1391	GM25680
G1392	PTPN3
G1393	PAFAH1B3
G1394	MSMO1
G1395	ULK1
G1396	RPL15-PS3
G1397	CDH1
G1398	FBXO15
G1399	SELENOK
G1400	FXYD6
G1401	GM42413
G1402	PFAS
G1403	RCN3
G1404	CTSZ
G1405	PDLIM1
G1406	P3H1
G1407	MCM10
G1408	MPZL2
G1409	HIST1H2AG
G1410	CFC1
G1411	GM4617
G1412	ATP6V0B
G1413	GM22862
G1414	NEU1
G1415	TMEM144
G1416	TAGLN2
G1417	SERPINB6A
G1418	SNORD33
G1419	GM23268
G1420	CUL7
G1421	ATP6V0A1
G1422	TTC7
G1423	LIPG
G1424	GM23130
G1425	MORF4L2
G1426	GM44450
G1427	CSRP1
G1428	SEC23A
G1429	RTN1
G1430	PCSK6
G1431	MIR5121
G1432	NSMAF
G1433	SLC12A4
G1434	FBP2
G1435	MIR466B-6
G1436	GM25057
G1437	RIAN
G1438	PGA5
G1439	GM22091
G1440	ARHGEF5
G1441	PLTP
G1442	HOOK1
G1443	CLCN5
G1444	MIR3070B
G1445	GM22455
G1446	GM15421
G1447	MYO7A
G1448	SPOCK1
G1449	GM10184
G1450	GPRC5C
G1451	GM26420
G1452	MSI2
G1453	GM49450
G1454	TMEM9
G1455	ABHD5
G1456	GCNT1
G1457	TPD52
G1458	GM45105
G1459	RETREG1
G1460	ZFP989
G1461	GM15181
G1462	HK2
G1463	NID1
G1464	TCEAL9
G1465	GALK1
G1466	GM23245
G1467	GPA33
G1468	TGM1
G1469	PSAP
G1470	GLUL
G1471	SNORD49B
G1472	P3H4
G1473	SORD
G1474	GM12112
G1475	AHCY
G1476	LRRC2
G1477	VILL
G1478	HYOU1
G1479	WDFY1
G1480	MT2
G1481	GNG2
G1482	GM24616
G1483	KDM3A
G1484	GM25735
G1485	ACADM
G1486	ALG13
G1487	ATP13A3
G1488	SETD7
G1489	RNPEP
G1490	ENO1B
G1491	ITGA9
G1492	NUP93
G1493	GM37917
G1494	PLXNA1
G1495	FBLIM1
G1496	FGFR4
G1497	GM4735
G1498	CCND2
G1499	PLATR10
G1500	TENM4
G1501	STXBP2
G1502	RBM47
G1503	SHF
G1504	SLC1A5
G1505	REV1
G1506	DNAJC3
G1507	POLE4
G1508	ECPAS
G1509	GM25185
G1510	SQSTM1
G1511	PLAUR
G1512	FHOD1
G1513	TMEM214
G1514	GM7125
G1515	P4HB
G1516	ITPK1
G1517	GM10046
G1518	FGF10
G1519	TPI1
G1520	ARHGAP32
G1521	TMED9
G1522	ADAMTS9
G1523	SLC5A11
G1524	GLS
G1525	EMP2
G1526	CNN2
G1527	HSP90B1
G1528	HSPH1
G1529	FAM102A
G1530	GNPDA1
G1531	CALM1
G1532	CYP26A1
G1533	SNORD35B
G1534	AKR1B3
G1535	GM7329
G1536	JAM2
G1537	PLSCR1
G1538	ANP32A
