G0	SOX2
G125	GLI1
G126	ATF7
G127	POLR2I
G128	RYBP
G129	PAPOLA
G130	POLR1C
G131	GRIN1
G132	USF1
G133	SALL4
G134	SMARCD1
G135	XRCC5
G136	KPNA2
G137	MIS18BP1
G138	RFXAP
G139	ELF1
G140	TBX18
G141	CNOT2
G142	BMI1
G143	ZFPM1
G144	HDAC11
G145	DMRT1
G146	CTCF
G147	TET2
G148	TIMELESS
G149	ZFHX3
G150	SRRT
G151	POLR1A
G152	ESPL1
G153	SMARCC2
G154	KDM5B
G155	PER1
G156	MAPK13
G157	SMARCA2
G158	GTF2H3
G159	HTT
G160	ZBTB7A
G161	BARD1
G162	NDN
G163	JDP2
G164	DAZAP2
G165	TULP3
G166	MCM7
G167	CREB3
G168	NFE2L2
G169	POLR2E
G170	GATAD2B
G171	PLAG1
G172	ATM
G173	ARID3B
G174	RBPJ
G175	ZFP219
G176	PITX1
G177	TCF20
G178	TAF9
G179	HDAC2
G180	BTF3
G181	ASH2L
G182	HDAC7
G183	ZFP462
G184	PREB
G185	ATF3
G186	PHF20
G187	TCF4
G188	HDAC4
G189	KLF2
G190	RARG
G191	ARL6IP5
G192	XRCC6
G193	CTNNB1
G194	ZFP446
G195	ELL3
G196	NFATC4
G197	NR1H2
G198	ZFP36L1
G199	EOMES
G200	HDAC10
G201	NR2C1
G202	NR4A1
G203	EP400
G204	TAF6
G205	ZBTB32
G206	FUBP3
G207	KLF3
G208	NFIL3
G209	ZHX3
G210	TRP53
G211	RAI14
G212	ERCC3
G213	PIAS1
G214	UBTF
G215	JUN
G216	HSPB1
G217	RNF6
G218	ANKRD49
G219	AIP
G220	TOX3
G221	L3MBTL2
G222	SIX5
G223	YBX1
G224	MLXIP
G225	RFX2
G226	TRIB3
G227	HES1
G228	NFKBIA
G229	YAF2
G230	POLR1B
G231	ZFP277
G232	ABTB1
G233	TRP53BP1
G234	OTX2
G235	LMO4
G236	SOX15
G237	VEZF1
G238	BMP4
G239	SNAPC3
G240	TCF12
G241	H1F0
G242	E2F2
G243	ARNT2
G244	ID4
G245	GABBR1
G246	NR5A2
G247	MLLT1
G248	NOTCH1
G249	MEF2D
G250	NFIA
G251	RUVBL2
G252	NR1D1
G253	BACH2
G254	GNRH1
G255	ZFP91
G256	CREB3L2
G257	GTF2I
G258	TRIM13
G259	POU4F1
G260	CREB5
G261	PIAS3
G262	MAZ
G263	RUNX3
G264	MEF2C
G265	ZBTB3
G266	SFPQ
G267	TRPS1
G268	ING3
G269	TLE1
G270	RBBP7
G271	HIST1H2BB
G272	ZEB2
G273	PHF14
G274	HCFC1
G275	MYD88
G276	ZFP768
G277	NFX1
G278	POLR3F
G279	TTF2
G280	PCBP2
G281	CBX8
G282	CNOT6
G283	BTBD11
G284	KLF13
G285	CRABP2
G286	JUND
G287	SIN3B
G288	TGFB1I1
G289	NR2F2
G290	PHF1
G291	TGFB1
G292	CIC
G293	ZIC3
G294	EBF4
G295	NCOA3
G296	PAWR
G297	POLR2A
G298	HIST1H1D
G299	ING1
G300	NCOR1
G301	MYBBP1A
G302	RELA
G303	ELK1
G304	SRSF3
G305	FIZ1
G306	PRDM14
G307	UTF1
G308	CNOT8
G309	TSHZ3
G310	SP1
G311	TEAD4
G312	HDAC1
G313	MCM5
G314	SMURF1
G315	RNF19A
G316	TRIP11
G317	INTS12
G318	AATF
G319	ETV1
G320	NANOG
G321	BRPF1
G322	MDM2
G323	ESRRA
G324	MCM3
G325	CTNNBL1
G326	CITED2
G327	AES
G328	ZFP423
G329	ATF2
G330	EPAS1
G331	SOX17
G332	BCLAF1
G333	EHMT2
G334	DDX20
G335	E2F6
G336	TAF1A
G337	BRCA2
G338	MEIS3
G339	SAP30
G340	PDCD11
G341	HNRNPAB
G342	ZBTB43
G343	RUNX1
G344	TCF7
G345	TMF1
G346	PHC1
G347	SALL1
G348	ID3
G349	TCF7L2
G350	NFYB
G351	POLR1E
G352	TRIP6
G353	NFYA
G354	MAML1
G355	E2F1
G356	TCOF1
G357	IKBKB
G358	HDAC3
G359	PURA
G360	POLR2J
G361	SRF
G362	HMGA1
G363	HIF3A
G364	NRIP1
G365	TAF6L
G366	JMJD1C
G367	MYC
G368	SMAD7
G369	RHOX6
G370	FOXJ2
G371	TET1
G372	FOXO1
G373	IRF3
G374	TRIM24
G375	OVOL1
G376	SERTAD2
G377	DAXX
G378	MLXIPL
G379	MSX2
G380	JARID2
G381	GLI2
G382	FOXQ1
G383	CRY1
G384	PMS1
G385	RNF14
G386	AKT1
G387	ZBTB39
G388	DDX54
G389	SSB
G390	MEF2A
G391	SND1
G392	ESRRB
G393	MEIS1
G394	CELF3
G395	TEAD1
G396	XAB2
G397	ATF1
G398	YEATS2
G399	MED15
G400	NACC1
G401	MCM6
G402	TRRAP
G403	PCBD1
G404	PHF2
G405	NCOA6
G406	SCMH1
G407	KANK2
G408	XBP1
G409	AIRE
G410	ETV3
G411	MKX
G412	KLF15
G413	GTF2A1L
G414	CHD7
G415	SREBF1
G416	GTF3C1
G417	NFE2L1
G418	NFKB2
G419	TBL1X
G420	ZFP398
G421	ELF3
G422	RUVBL1
G423	NOTCH2
G424	PBX4
G425	ZBTB10
G426	HOPX
G427	FUS
G428	POLR3D
G429	BIN1
G430	HNRNPK
G431	SMAD2
G432	HIVEP2
G433	ETS1
G434	HIF1A
G435	TFAP2C
G436	ATF4
G437	ID2
G438	POU5F1
G439	RAPGEF3
G440	EWSR1
G441	ASXL1
G442	ZFP592
G443	DIDO1
G444	DDX21
G445	GABPA
G446	FXR1
G447	KHDRBS1
G448	RFX7
G449	GBX2
G450	CNOT3
G451	NKRF
G452	PELP1
G453	RLIM
G454	PARP1
G455	PA2G4
G456	CNOT7
G457	SOX7
G458	KAT2B
G459	PKNOX2
G460	CUX2
G461	TNFAIP3
G462	ILF2
G463	THRAP3
G464	HMGXB4
G465	TADA3
G466	PRDM5
G467	HNF1B
G468	MAFK
G469	IRF4
G470	PSIP1
G471	CEBPZ
G472	TRIM32
G473	HES6
G474	TBPL1
G475	HEXIM1
G476	NRF1
G477	WWTR1
G478	DNMT3A
G479	NFATC2IP
G480	SRSF1
G481	ARID1A
G482	CREBZF
G483	ZBTB38
G484	SRSF6
G485	RBL1
G486	TGIF1
G487	MITF
G488	STAT4
G489	RCOR2
G490	EZH2
G491	KNTC1
G492	ZBTB24
G493	EP300
G494	EGR1
G495	RBMX
G496	TBX3
G497	ARID5B
G498	PLRG1
G499	SPEN
G500	TFEB
G501	BTAF1
G502	PML
G503	RERE
G504	NR0B1
G505	KRBA1
G506	POU6F1
G507	FOSL2
G508	KLF4
G509	COPS2
G510	BMP6
G511	NOTCH4
G512	ARNTL
G513	ETV6
G514	PITX2
G515	STAT5B
G516	DNMT1
G517	ILK
G518	SIN3A
G519	BRCA1
G520	LDB1
G521	ETV5
G522	ZEB1
G523	NPAS2
G524	ELK4
G525	GZF1
G526	DAB2
G527	EYA1
G528	TOP2B
G529	ELF4
G530	DDX5
G531	COIL
G532	ATF5
G533	TFAP4
G534	ZSWIM4
G535	HSF2
G536	ZMYND11
G537	HMGXB3
G538	SUZ12
G539	PAX1
G540	GLIS2
G541	MAPK11
G542	DNAJC2
G543	KLF9
G544	POU2F1
G545	SIX1
G546	MED4
G547	SIRT3
G548	PEG3
G549	HDAC5
G550	BRWD1
G551	DPPA2
G552	ZFP276
G553	BCL3
G554	ERF
G555	REST
G556	NFATC1
G557	RBBP4
G558	NR2F6
G559	RARA
G560	SOS2
G561	POLR2H
G562	BTG1
G563	ZFP281
G564	HMGB2
G565	PLAGL2
G566	ZBTB20
G567	FOXH1
G568	ABT1
G569	KEAP1
G570	CALCOCO1
G571	CHD5
G572	WBP11
G573	TRIM25
G574	RBM14
G575	TFCP2L1
G576	MEN1
G577	SATB1
G578	KLF8
G579	NFXL1
G580	TEAD3
G581	DTX1
G582	CENPB
G583	PAX6
G584	CUX1
G585	SMARCC1
G586	POLR3B
G587	ZFP57
G588	TFE3
G589	RBFOX2
G590	PROX1
G591	ZFP236
G592	TOPORS
G593	SMARCAD1
G594	TOX4
G595	ANKRD54
G596	EED
G597	BAZ1A
G598	MPHOSPH8
G599	BRD7
G600	SMARCA5
G601	ZSCAN10
G602	RAD54B
G603	ETV4
G604	E2F4
G605	KLF6
G606	DDB2
G607	HOXD13
G608	MYBL2
G609	PBXIP1
G610	HDGF
G611	MTA3
G612	TCEA3
G613	CNOT6L
G614	ZFAND3
G615	IRF1
G616	GRHL1
G617	HSBP1
G618	NSD1
G619	ASH1L
G620	BARX1
G621	STAT5A
G622	DEK
G623	NFIC
G624	HEY2
G625	SOX4
G626	ZFP335
G627	CBX6
