#ID	Name
G0	TAF7
G472	WDHD1
G473	G2E3
G474	CBR1
G475	GMNN
G476	ANP32E
G477	DPPA4
G478	CA2
G479	FAM13A
G480	S100A14
G481	USP44
G482	THOC1
G483	IFITM1
G484	WARS
G485	RNASEH2A
G486	C1GALT1
G487	ANAPC4
G488	PHGDH
G489	ECT2
G490	ANXA4
G491	SIL1
G492	CENPW
G493	VTN
G494	FANCI
G495	MEST
G496	S100A16
G497	ATG5
G498	SERPIND1
G499	YAE1D1
G500	EPHX2
G501	ORC4
G502	TM4SF4
G503	SPINK1
G504	MAP1B
G505	GATM
G506	ATIC
G507	IQCB1
G508	MTMR2
G509	TMEM37
G510	PLCD1
G511	FGB
G512	CENPE
G513	MORN2
G514	TBRG4
G515	SLC7A7
G516	NOL10
G517	PPT1
G518	PPFIBP2
G519	GLIPR2
G520	ECHDC2
G521	CDC20
G522	THY1
G523	GRPR
G524	FBL
G525	EFTUD2
G526	DDC
G527	SDAD1
G528	ASPH
G529	AXL
G530	SLC38A2
G531	UGT2B11
G532	GGCT
G533	PLIN2
G534	DNPEP
G535	HERPUD1
G536	TNNT1
G537	XPO5
G538	TMEM150C
G539	PARPBP
G540	RRM1
G541	DPEP1
G542	ACADVL
G543	DKC1
G544	ZFYVE21
G545	GSN
G546	FKBP11
G547	PHF5A
G548	AURKA
G549	PSMG1
G550	SPP1
G551	ARSE
G552	PIGH
G553	HPRT1
G554	RAD51C
G555	BRIX1
G556	KIAA0101
G557	CPSF3
G558	KLHL7
G559	WDR54
G560	DPAGT1
G561	TRIM59
G562	ITGB5
G563	MUSTN1
G564	OCIAD2
G565	ARG2
G566	GEMIN8
G567	KIF22
G568	DNAH14
G569	TTR
G570	BCS1L
G571	MELK
G572	SCGB3A2
G573	TMEM120A
G574	PDGFRA
G575	TIMM21
G576	CENPN
G577	ITGB3BP
G578	APEH
G579	SLC7A6
G580	PRIM1
G581	BLVRA
G582	LGALS3
G583	DEPDC7
G584	PLA2G12B
G585	NCAPG
G586	ANAPC7
G587	QTRTD1
G588	KIF20B
G589	ALG6
G590	PAFAH1B3
G591	PSAT1
G592	ASNS
G593	IMP4
G594	DROSHA
G595	APOC2
G596	HSPE1.MOB4
G597	EEF1E1
G598	GNPNAT1
G599	RGN
G600	AMBP
G601	IL6ST
G602	MLF1
G603	KNSTRN
G604	NUP93
G605	ACTL6A
G606	THYN1
G607	CNOT10
G608	CCNB1
G609	HIBCH
G610	CCL2
G611	ANXA3
G612	SH3BGRL
G613	CMC1
G614	SCAPER
G615	SHMT2
G616	LITAF
G617	VRK1
G618	ALDH1A1
G619	BIRC5
G620	CTPS1
G621	PUS7L
G622	COMMD10
G623	OAZ2
G624	SLN
G625	ACTC1
G626	ZWINT
G627	UTRN
G628	ITIH4
G629	CUBN
G630	DUT
G631	EBNA1BP2
G632	NVL
G633	B4GALT3
G634	GALM
G635	SEC11C
G636	PYGL
G637	STX8
G638	UTP18
G639	UCHL1
G640	SGK1
G641	C19orf48
G642	ZNF561
G643	HMGCL
G644	TPD52L1
G645	ATP1B3
G646	NEK2
G647	MTFP1
G648	ODF2L
G649	PPP1R7
G650	CD9
G651	AIMP2
G652	ZFAND2A
G653	WFDC2
G654	MTUS1
G655	CDK4
G656	SEMA3E
G657	BBS9
G658	RBP2
G659	PRMT5
G660	ISG15
G661	TDP2
G662	DERA
G663	ITLN2
G664	F3
G665	GULP1
G666	PRC1
G667	SEPP1
G668	ANPEP
G669	FANCL
G670	AGT
G671	GALK1
G672	FAM151A
G673	BUB1B
G674	ATG4C
G675	PEF1
G676	C12orf10
G677	KIFAP3
G678	LGALS1
G679	ACY1
G680	FANCD2
G681	FASTKD2
G682	BUB1
G683	PON2
G684	NUF2
G685	CKS2
G686	C11orf74
G687	NUP88
G688	ASL
G689	APOC1
G690	TIMM9
G691	ANG
G692	WDR12
G693	SLC7A3
G694	STC1
G695	ESRG
G696	CRAT
G697	C9orf72
G698	LAMB2
G699	CAMK2D
G700	LRR1
G701	ACAD11
G702	SERPINB1
G703	TFF1
G704	DCLRE1C
G705	SFRP1
G706	NDUFAF7
G707	CDCA3
G708	BPHL
G709	SF3B3
G710	ZNF770
G711	LCMT1
G712	POP5
G713	CEP70
G714	GPN3
G715	TEX10
G716	C17orf75
G717	IFITM2
G718	EXOSC3
G719	SHISA2
G720	NDUFAF4
G721	RAB34
G722	DCTPP1
G723	KDELR3
G724	NNAT
G725	ASGR1
G726	MT1X
G727	AFP
G728	BLM
G729	MMS22L
G730	ANLN
G731	TPX2
G732	DDX39A
G733	ACOX2
G734	DGAT1
G735	ARL6IP6
G736	MTERF3
G737	DPH6
G738	LEAP2
G739	MAD2L1
G740	POLB
G741	ZNF93
G742	MTHFD2
G743	PEMT
G744	LCP1
G745	CTSE
G746	TERF1
G747	FANCB
G748	UMPS
G749	HSD17B11
G750	S100A6
G751	SMC4
G752	PMAIP1
G753	MT1G
G754	NUSAP1
G755	RHOBTB3
G756	RNASE4
G757	CUTC
G758	HMGCS2
G759	APOC4.APOC2
G760	AMZ2
G761	APOC3
G762	BST2
G763	TSFM
G764	FAM64A
G765	CENPF
G766	IL32
G767	IFITM3
G768	PIM2
G769	GSTA2
G770	BSCL2
G771	COMMD3
G772	DPH5
G773	UCP2
G774	HMGN4
G775	QPCT
G776	ACAA1
G777	WDYHV1
G778	DDAH1
G779	DNASE1
G780	SUPV3L1
G781	RAMP1
G782	C11orf1
G783	UBE2C
G784	HAT1
G785	NIF3L1
G786	AHSG
G787	MRPS27
G788	ZWILCH
G789	MTTP
G790	SAAL1
G791	C12orf45
G792	NUP35
G793	ICE2
G794	TPM2
G795	HPX
G796	G6PC3
G797	TFPI
G798	CDK5RAP1
G799	NT5DC2
G800	ACOT7
G801	FMO5
G802	CRYZL1
G803	CUEDC2
G804	HPN
G805	APOB
G806	NUP54
G807	CTSC
G808	PRKCE
G809	RAB28
G810	CETN3
G811	KPNA2
G812	TK1
G813	TMEM69
G814	RRM2
G815	SULT1A2
G816	UGP2
G817	LAPTM4B
G818	F10
G819	TF
G820	NUDT1
G821	GMPS
G822	GPC3
G823	ADSL
G824	STMN1
G825	UBL7
G826	VCAN
G827	FGA
G828	ASUN
G829	LEFTY2
G830	MST1
G831	NOP16
G832	AGTRAP
G833	MEP1A
G834	DTWD1
G835	FGG
G836	CCDC82
G837	TDGF1
G838	MPC1
G839	GNRH2
G840	NUP85
G841	HLA.DRB5
G842	EXOSC9
G843	CYP3A5
G844	C3orf14
G845	CIDEB
G846	APOA2
G847	AKR1D1
G848	SLC38A1
G849	CCS
G850	NEDD1
G851	F2RL1
G852	KIF23
G853	RAB25
G854	TOP2A
G855	SLC51A
G856	FUCA1
G857	MRPL1
G858	DDIT4
G859	MFAP2
G860	HELLS
G861	NDUFAF5
G862	SLC35D2
G863	SKA3
G864	DSN1
G865	CAPN12
G866	NODAL
G867	TMEM177
G868	FEN1
G869	ZDHHC4
G870	YARS
G871	RAD51AP1
G872	COQ3
G873	L1TD1
G874	SLC25A20
G875	ACADSB
G876	FLRT3
G877	WDR43
G878	DCAF13
G879	MGST2
G880	GSTA1
G881	TAGLN
G882	TNNI3
G883	ICA1
G884	CHEK2
G885	GMPR2
G886	CENPU
G887	EFNA1
G888	AKR1B1
G889	FLRT2
G890	USP7
G891	CKS1B
G892	CAPG
G893	CACYBP
G894	HNRNPH2
G895	MPHOSPH9
G896	UQCC1
G897	MTHFD1
G898	DPYSL2
G899	VPS72
G900	INMT
G901	IQGAP2
G902	KNG1
G903	RNASE1
G904	ASNSD1
G905	ISY1
G906	WDR74
G907	DPCD
G908	BZW2
G909	LGALS2
G910	HGD
G911	APOA1
G912	RFC4
G913	PDZK1
G914	DECR1
G915	MSH2
G916	ALDH9A1
G917	HAUS1
G918	PIH1D1
G919	PAK1IP1
G920	NIP7
G921	PCNA
G922	PLK1
G923	SGOL1
G924	PRAP1
G925	LMO7
G926	LAMC1
G927	RSU1
G928	CHEK1
G929	CER1
G930	SPTLC3
G931	TATDN3
G932	FAM114A1
G933	CDKN3
G934	ERBB4
G935	TIPIN
G936	GYG1
G937	LAMB1
G938	GSTK1
G939	DLGAP5
G940	FXYD5
G941	HP
G942	AASS
G943	CDK1
G944	HMMR
G945	RBP4
G946	RFC2
G947	NPRL2
