G0	EGR1
G307	MYBBP1A
G308	ZBTB16
G309	TAF11
G310	PRDM1
G311	KLF5
G312	POLR2F
G313	BDP1
G314	SMARCE1
G315	ZNF208
G316	PCGF6
G317	BRCA2
G318	GTF3C5
G319	TRERF1
G320	TEAD2
G321	TARDBP
G322	POU2F1
G323	DNMT3B
G324	TCOF1
G325	PAX6
G326	ERCC8
G327	TFDP1
G328	ILF2
G329	MIS18BP1
G330	CREB3L3
G331	IVNS1ABP
G332	ZNF670
G333	MED21
G334	RNF4
G335	GTF3C4
G336	TIMELESS
G337	AEBP1
G338	NAA15
G339	PARP1
G340	POLR2K
G341	YAF2
G342	CNOT7
G343	ABT1
G344	ZFP42
G345	ELF1
G346	TFDP2
G347	E2F5
G348	ZNF589
G349	CENPK
G350	BMP2
G351	RAD54B
G352	PITX1
G353	SOX11
G354	U2AF1
G355	F2
G356	XRCC6
G357	TCEB3
G358	REST
G359	PPARA
G360	UHRF1
G361	HMGA1
G362	ASCC3
G363	BCL11B
G364	DOT1L
G365	SMAD5
G366	MLXIPL
G367	PMS1
G368	SALL3
G369	DRAP1
G370	NCOA1
G371	ZNF397
G372	COPS5
G373	RNF19A
G374	SCD5
G375	RFC1
G376	MED14
G377	HIST1H1B
G378	POLR3D
G379	SMARCA5
G380	ZFP36
G381	GTF3C2
G382	NFKBIZ
G383	RFX5
G384	EIF5B
G385	HNRNPR
G386	ZNF91
G387	AEBP2
G388	IRF9
G389	TCF4
G390	ZNF354A
G391	RBM39
G392	PIAS2
G393	CDCA7L
G394	SALL4
G395	ZNRD1
G396	ZNF227
G397	SALL2
G398	MYCN
G399	EZH2
G400	PTMA
G401	CNBP
G402	SIRT2
G403	ARID2
G404	MAZ
G405	ZNF567
G406	ETV5
G407	MCRS1
G408	GATA4
G409	TRIP13
G410	COPS2
G411	HMGA2
G412	RFXANK
G413	MED4
G414	SRSF2
G415	ZNF300
G416	TAF9B
G417	MCM7
G418	DEDD
G419	CXXC1
G420	SRSF1
G421	POU5F1
G422	SMARCA4
G423	MAF
G424	RBMX
G425	DDIT3
G426	NEIL2
G427	BMPR1A
G428	MCM3
G429	ZNF581
G430	IRF3
G431	GABPB1
G432	ZNF101
G433	MEIS3
G434	ZSCAN21
G435	TTF2
G436	SRRM1
G437	MTF2
G438	ZNF232
G439	SERTAD3
G440	XRCC5
G441	HIST1H1E
G442	MMS19
G443	TOP2B
G444	DDB2
G445	PLRG1
G446	HNRNPD
G447	LDB2
G448	ZNF202
