#ID	Name
G0	EGR1
G307	MYBBP1A
G308	ZBTB16
G309	TAF11
G310	PRDM1
G311	KLF5
G312	POLR2F
G313	BDP1
G314	SMARCE1
G315	ZNF208
G316	PCGF6
G317	BRCA2
G318	GTF3C5
G319	TRERF1
G320	TEAD2
G321	TARDBP
G322	POU2F1
G323	DNMT3B
G324	TCOF1
G325	PAX6
G326	ERCC8
G327	TFDP1
G328	ILF2
G329	MIS18BP1
G330	CREB3L3
G331	IVNS1ABP
G332	ZNF670
G333	MED21
G334	RNF4
G335	GTF3C4
G336	TIMELESS
G337	AEBP1
G338	NAA15
G339	PARP1
G340	POLR2K
G341	YAF2
G342	CNOT7
G343	ABT1
G344	ZFP42
G345	ELF1
G346	TFDP2
G347	E2F5
G348	ZNF589
G349	CENPK
G350	BMP2
G351	RAD54B
G352	PITX1
G353	SOX11
G354	U2AF1
G355	F2
G356	XRCC6
G357	TCEB3
G358	REST
G359	PPARA
G360	UHRF1
G361	HMGA1
G362	ASCC3
G363	BCL11B
G364	DOT1L
G365	SMAD5
G366	MLXIPL
G367	PMS1
G368	SALL3
G369	DRAP1
G370	NCOA1
G371	ZNF397
G372	COPS5
G373	RNF19A
G374	SCD5
G375	RFC1
G376	MED14
G377	HIST1H1B
G378	POLR3D
G379	SMARCA5
G380	ZFP36
G381	GTF3C2
G382	NFKBIZ
G383	RFX5
G384	EIF5B
G385	HNRNPR
G386	ZNF91
G387	AEBP2
G388	IRF9
G389	TCF4
G390	ZNF354A
G391	RBM39
G392	PIAS2
G393	CDCA7L
G394	SALL4
G395	ZNRD1
G396	ZNF227
G397	SALL2
G398	MYCN
G399	EZH2
G400	PTMA
G401	CNBP
G402	SIRT2
G403	ARID2
G404	MAZ
G405	ZNF567
G406	ETV5
G407	MCRS1
G408	GATA4
G409	TRIP13
G410	COPS2
G411	HMGA2
G412	RFXANK
G413	MED4
G414	SRSF2
G415	ZNF300
G416	TAF9B
G417	MCM7
G418	DEDD
G419	CXXC1
G420	SRSF1
G421	POU5F1
G422	SMARCA4
G423	MAF
G424	RBMX
G425	DDIT3
G426	NEIL2
G427	BMPR1A
G428	MCM3
G429	ZNF581
G430	IRF3
G431	GABPB1
G432	ZNF101
G433	MEIS3
G434	ZSCAN21
G435	TTF2
G436	SRRM1
G437	MTF2
G438	ZNF232
G439	SERTAD3
G440	XRCC5
G441	HIST1H1E
G442	MMS19
G443	TOP2B
G444	DDB2
G445	PLRG1
G446	HNRNPD
G447	LDB2
G448	ZNF202
G449	PPIL1
G450	CXCR4
G451	ZSWIM8
G452	GLUD1
G453	PIM2
G454	CD37
G455	TIMM21
G456	ENO2
G457	EXOSC8
G458	LAMA1
G459	CCNB2
G460	SPP1
G461	CFAP97
G462	RHNO1
G463	PLTP
G464	CALML4
G465	PUS7L
G466	METTL18
G467	TMEM150C
G468	SEC22C
G469	PLG
G470	IL32
G471	ZNF93
G472	SS18
G473	IFITM3
G474	EMC2
G475	WIPI1
G476	CLDN4
G477	CDH2
G478	RRM2
G479	LAMC1
G480	DCAF13
G481	DDAH1
G482	HOOK2
G483	HACL1
G484	ISY1
G485	GSN
G486	ARG2
G487	ICA1
G488	PLCD1
G489	AAMP
G490	ATP5SL
G491	MEST
G492	CDK4
G493	ACAD11
G494	UTP18
G495	PLA2G16
G496	KIZ
G497	PRAP1
G498	DECR1
G499	NARS2
G500	FBL
G501	CPSF6
G502	SIAE
G503	CDK1
G504	SPINK1
G505	MPHOSPH9
G506	WDR43
G507	MGME1
G508	DKC1
G509	MTFP1
G510	HMGCL
G511	HSPA14
G512	APOC4.APOC2
G513	ESCO2
G514	THAP4
G515	HMGCR
G516	NPPB
G517	BCKDK
G518	G6PC3
G519	PEX19
G520	CHEK1
G521	DPP4
G522	ATG5
G523	TMEM69
G524	GPN3
G525	ZNF253
G526	AAAS
G527	ACTN1
G528	DSCR3
G529	HNRNPH3
G530	NNAT
G531	SEPT10
G532	SIL1
G533	ZNF260
G534	CYB5B
G535	SUCLA2
G536	LRR1
G537	LITAF
G538	ACADSB
G539	CKS1B
G540	ECHDC1
G541	HERPUD1
G542	VPS26A
G543	MYL6B
G544	UFSP2
G545	PIK3R1
G546	SAT1
G547	TMEM37
G548	HMGN4
G549	WRB
G550	SPAG9
G551	PPFIBP2
G552	EXOSC1
G553	SCPEP1
G554	NEDD4L
G555	TTC39C
G556	QTRTD1
G557	CFAP36
G558	FABP1
G559	KNSTRN
G560	HARS
G561	ATIC
G562	IGF2BP3
G563	SPDL1
G564	SLC25A4
G565	MAD2L1
G566	HPRT1
G567	ITGB3BP
G568	APEH
G569	NOSIP
G570	TTLL4
G571	RNASE4
G572	HK1
G573	SVIL
G574	CNN2
G575	TRIM59
G576	CKS2
G577	DNAJB9
G578	FTSJ2
G579	PPAPDC1B
G580	COMMD10
G581	B4GALT3
G582	BLM
G583	CENPW
G584	DNPEP
G585	WDHD1
G586	RGN
G587	NOL11
G588	POLE4
G589	WDR3
G590	HIST1H4C
G591	STC1
G592	DYNLT3
G593	NUP37
G594	EPS8L2
G595	PDZK1
G596	MAP1B
G597	EFTUD2
G598	ORC4
G599	KIF22
G600	KLHDC2
G601	CMC2
G602	DNASE1
G603	ACADVL
G604	MYO10
G605	NREP
G606	PHF11
G607	TMEM97
G608	C12orf45
G609	LAPTM4B
G610	PDGFRA
G611	HDAC6
G612	UBE2L6
G613	METTL5
G614	RAD54L
G615	UBE2T
G616	NNT
G617	NT5DC2
G618	CDC20
G619	ACAA1
G620	APOA2
G621	CAMK2D
G622	MRPL2
G623	ZSWIM7
G624	CRBN
G625	NUP35
G626	TATDN3
G627	WDR75
G628	HAUS1
G629	NIF3L1
G630	DNAH14
G631	AURKA
G632	NDUFAF4
G633	F3
G634	NUF2
G635	MRRF
G636	CAPN2
G637	USP44
G638	TBCB
G639	ATP11C
G640	ATP1B1
G641	SFRP1
G642	CENPE
G643	LTV1
G644	TMEM237
G645	NAA16
G646	MAT2B
G647	USP3
G648	LIFR
G649	ATP1B3
G650	ZMYM6NB
G651	CCDC82
G652	DDC
G653	CMPK1
G654	PSMD10
G655	C9orf72
G656	PPP2R1B
G657	PRMT5
G658	SMC2
G659	SGK1
G660	ITIH4
G661	DUT
G662	SMLR1
G663	RFC2
G664	PRKCI
G665	ACY1
G666	SEC11C
G667	L1TD1
G668	APOC1
G669	MT1G
G670	TPX2
G671	LCMT1
G672	RRM2B
G673	AGT
G674	GAL
G675	CTSE
G676	POLR3G
G677	ANAPC7
G678	ELMOD2
G679	RAB34
G680	MRPS2
G681	HJURP
G682	GNPNAT1
G683	NAA50
G684	CEP70
G685	PCNA
G686	UBE2E3
G687	S100A14
G688	PAFAH1B3
G689	MID1
G690	SMOX
G691	CDC23
G692	OBFC1
G693	UROD
G694	AGPAT2
G695	RNASE1
G696	PPP1R16A
G697	SKA3
G698	MBIP
G699	LTA4H
G700	LAMB2
G701	CNOT10
G702	NVL
G703	ARL2
G704	FLAD1
G705	FAM46A
G706	OGFOD1
G707	PFKM
G708	SLC25A17
G709	INMT
G710	MRPL16
G711	ZUFSP
G712	SGOL2
G713	HMGCS2
G714	TPD52L1
G715	P2RX4
G716	PSMB10
G717	MRPS35
G718	C11orf54
G719	CAPRIN1
G720	ZFAND2A
G721	DDIT4
G722	EIF3J
G723	AKR1C3
G724	GMPS
G725	MRPS9
G726	HAUS4
G727	GPATCH4
G728	FGG
G729	CENPH
G730	CENPN
G731	NIFK
G732	MRPS30
G733	PHGDH
G734	UMPS
G735	CCL2
G736	MTHFD1
G737	SLC51A
G738	TMEM147
G739	TERF1
G740	KEAP1
G741	TIPARP
G742	PTGR1
G743	CPSF3
G744	FKBP11
G745	GOT1
G746	AKR1D1
G747	PPA2
G748	ITLN2
G749	FXYD5
G750	KNG1
G751	NME1
G752	TK1
G753	NUP88
G754	PAK1IP1
G755	NDUFAF5
G756	ACOX2
G757	TMEM126B
G758	HDHD1
G759	SCGB3A2
G760	FGFR1
G761	CAPG
G762	METTL13
G763	TRIT1
G764	RNF26
G765	ALG8
G766	CDK5RAP2
G767	THYN1
G768	MAEA
G769	USP1
G770	HELLS
G771	DBNDD2
G772	SAMHD1
G773	BUB1B
G774	NPRL2
G775	CUEDC2
G776	SLC25A26
G777	SRM
G778	ELOVL5
G779	ANKRD32
G780	USB1
G781	VCAN
G782	SMIM20
G783	ZDHHC4
G784	COMMD3
G785	ALG6
G786	STEAP1
G787	SAAL1
G788	PRPS2
G789	APOB
G790	EFTUD1
G791	ASPH
G792	ASUN
G793	TTK
G794	PPAT
G795	CTSV
G796	ANP32E
G797	FANCL
G798	ACN9
G799	HSD17B2
G800	CASC5
G801	RIOK1
G802	PLAC8
G803	CIDEB
G804	IDH3B
G805	SLC7A3
G806	UCP2
G807	ALPL
G808	ZCCHC7
G809	EEF1E1
G810	PARPBP
G811	SLC7A7
G812	PSEN1
G813	FGB
G814	SLC44A2
G815	PRIM1
G816	PLK1
G817	CAPN12
G818	AHSG
G819	SEC61A2
G820	KATNA1
G821	AKR1B1
G822	IQGAP2
G823	METTL21A
G824	TTR
G825	HMGB3
G826	TMEM216
G827	GPN1
G828	DLGAP5
G829	CYFIP2
G830	PFN2
G831	TIMMDC1
G832	KIAA0586
G833	DERA
G834	SH3BGR
G835	ASF1A
G836	TBC1D1
G837	GEMIN7
G838	KPNA2
G839	SLC7A6
G840	FEN1
G841	MIS18A
G842	UBLCP1
G843	ITGB5
G844	ZFP62
G845	NOL10
G846	ASL
G847	CA2
G848	GPC3
G849	SLC38A2
G850	TMEM14A
G851	MUSTN1
G852	GRPR
G853	CAAP1
G854	ESRG
G855	SCN7A
G856	CCNB1
G857	BBS7
G858	DPEP1
G859	SPTLC3
G860	BBS9
G861	ASGR1
G862	UCHL1
G863	SKIV2L2
G864	KIF20A
G865	ECI2
G866	CHTF18
G867	FLRT3
G868	PDPN
G869	CD200
G870	GDAP1
G871	S100PBP
G872	FN1
G873	TDGF1
G874	UPP1
G875	DROSHA
G876	USP7
G877	RBP4
G878	CBR1
G879	XPO5
G880	TRNT1
G881	S100A16
G882	ZMYM1
G883	HIST1H2BC
G884	AAR2
G885	GALE
G886	S100A6
G887	PROSER1
G888	HAVCR1
G889	BLMH
G890	GRTP1
G891	ZWINT
G892	POLE2
G893	NTHL1
G894	C3orf14
G895	ERBB4
G896	ICT1
G897	UCK2
G898	NUCB2
G899	C9orf78
G900	NUP107
G901	SNRNP25
G902	RABEPK
G903	TMEM177
G904	OPA1
G905	FLRT2
G906	CUL2
G907	COPS3
G908	GALM
G909	GULP1
G910	R3HDM1
G911	BRIX1
G912	F2RL1
G913	POLD2
G914	RPUSD4
G915	YARS
G916	LECT1
G917	LCP1
G918	AMHR2
G919	CCDC138
G920	CENPU
G921	CRELD1
G922	DEF8
G923	LGALS4
G924	MRPS27
G925	TSFM
G926	TMEM60
G927	DHRS3
G928	CAT
G929	PAPSS1
G930	MLH1
G931	DSN1
G932	UGT2B11
G933	PPT1
G934	USP11
G935	GEMIN8
G936	MDK
G937	FAM49B
G938	P4HA2
G939	USP45
G940	ANAPC4
G941	MTAP
G942	SLC39A10
G943	EMP2
G944	HLA.DRB5
G945	NAA25
G946	TKT
G947	HAT1
G948	IFRD2
G949	EXOSC9
G950	CCDC126
G951	ORC5
G952	WDR74
G953	PHF5A
G954	METTL1
G955	NTMT1
G956	ANLN
G957	MGST2
G958	EXOSC3
G959	MTUS1
G960	STX8
G961	RNASEH2A
G962	APOO
G963	WFDC2
G964	FBXO6
G965	TBRG4
G966	GLIPR2
G967	MTHFD2
G968	ZWILCH
G969	VPS33A
G970	ACTL6A
G971	YAE1D1
G972	METTL10
G973	GSTA1
G974	DGAT1
G975	EFNA1
G976	KLC4
G977	ANXA4
G978	FBXO22
G979	TUBA1B
G980	MTIF2
G981	PEMT
G982	EXOC5
G983	PPP1R7
G984	COPS7A
G985	GMPR2
G986	UBL7
G987	LGALS2
G988	EPSTI1
G989	AARS
G990	PYCR1
G991	SERPINF1
G992	EXOSC2
G993	PLA2G12B
G994	CD320
G995	C2orf47
G996	ERAL1
G997	HAUS2
G998	DNA2
G999	NEDD1
G1000	CDK2AP1
G1001	AMBP
G1002	TOP2A
G1003	C19orf48
G1004	MECR
G1005	WDR12
G1006	SERPINB1
G1007	NDUFAF7
G1008	PIGH
G1009	TAGLN
G1010	TPM2
G1011	SLC7A8
G1012	IL6ST
G1013	IPO5
G1014	ARMC9
G1015	GMNN
G1016	PHKA2
G1017	ARL14EP
G1018	C21orf59
G1019	SURF2
G1020	TYMS
G1021	PSME3
G1022	SULT1A2
G1023	HPN
G1024	RAMP1
G1025	CTSC
G1026	TUBB6
G1027	RAD51C
G1028	PISD
G1029	NUP85
G1030	SLC35B4
G1031	M6PR
G1032	RANGRF
G1033	OAZ2
G1034	MEP1A
G1035	PTPN12
G1036	OCIAD2
G1037	HSD17B10
G1038	APPL2
G1039	RBP2
G1040	VPS72
G1041	FARSA
G1042	NCK1
G1043	TDP1
G1044	METTL3
G1045	CFTR
G1046	HNRNPH2
G1047	ABCE1
G1048	DTYMK
G1049	CDK5RAP1
G1050	C1GALT1
G1051	RAB31
G1052	LEFTY1
G1053	DDX39A
G1054	GPM6B
G1055	GPRC5C
G1056	NUDT1
G1057	NDC80
G1058	APOC2
G1059	POP5
G1060	PCID2
G1061	VRK1
G1062	GXYLT2
G1063	ICE2
G1064	ZDHHC13
G1065	HIBCH
G1066	LAMB1
G1067	ISG20
G1068	DPCD
G1069	ALB
G1070	ASNS
G1071	ACAT2
G1072	ATL2
G1073	ATP2C1
G1074	ACTC1
G1075	FAM13A
G1076	ARHGAP26
G1077	CER1
G1078	AGTRAP
G1079	TIMM9
G1080	TF
G1081	USP10
G1082	LSM10
G1083	LRRC1
G1084	CCDC169
G1085	FANCA
G1086	IFNGR1
G1087	SLC2A1
G1088	CD9
G1089	DDX55
G1090	APOC3
G1091	CFAP20
G1092	WDR54
G1093	UTRN
G1094	ELP2
G1095	GGCT
G1096	MRPL49
G1097	IGF1R
G1098	CCDC66
G1099	SLC39A1
G1100	C4orf27
G1101	TM7SF3
G1102	PMAIP1
G1103	ATG101
G1104	UQCC1
G1105	TSR1
G1106	AXL
G1107	CRAT
G1108	GCHFR
G1109	AIMP2
G1110	BUB1
G1111	C12orf10
G1112	PDCD2L
G1113	USP39
G1114	EPHX2
G1115	POLB
G1116	VIL1
G1117	GNRH2
G1118	CDKN3
G1119	CHCHD6
G1120	NUP93
G1121	SLC25A37
G1122	ARL15
G1123	PMM1
G1124	TNNI3
G1125	SLC10A1
G1126	MFAP2
G1127	SLC35D2
G1128	NUSAP1
G1129	MPC1
G1130	LIAS
G1131	NUDT15
G1132	NHEJ1
G1133	AURKB
G1134	SGOL1
G1135	NUP54
G1136	TMEM41A
G1137	CTPS1
G1138	B3GNT7
G1139	S100A13
G1140	MYO9A
G1141	SLC39A5
G1142	UBAC2
G1143	TPGS2
G1144	RNASEH2B
G1145	RIN2
G1146	DPH6
G1147	ELOVL6
G1148	ACSL5
G1149	ITM2A
G1150	MLST8
G1151	SLC25A11
G1152	TBC1D31
G1153	AGO2
G1154	PHC1
G1155	ADAM9
G1156	CDCA3
G1157	PEF1
G1158	BCAS2
G1159	DPYSL2
G1160	HPX
G1161	CCS
G1162	GGPS1
G1163	BLVRA
G1164	ANG
G1165	FMO5
G1166	PTP4A1
G1167	EXOSC5
G1168	A1CF
G1169	SLC5A6
G1170	MRPL10
G1171	PPP1CC
G1172	IQCB1
G1173	F10
G1174	MTTP
G1175	SYTL2
G1176	OIP5
G1177	DBF4
G1178	RRM1
G1179	EIF2B3
G1180	PSMG1
G1181	ADSL
G1182	ZGRF1
G1183	DPH5
G1184	CENPF
G1185	ABCA5
G1186	RAD1
G1187	FGA
G1188	FASTKD2
G1189	ELP6
G1190	RAB25
G1191	THY1
G1192	ANPEP
G1193	PNPT1
G1194	KIFAP3
G1195	GYG1
G1196	IFT22
G1197	TRMT1
G1198	AASS
G1199	LIG1
G1200	STARD3NL
G1201	YWHAH
G1202	LGALS1
G1203	PON2
G1204	G2E3
G1205	WARS
G1206	ALDH1A1
G1207	MLF1
G1208	IFT52
G1209	LMO7
G1210	TDP2
G1211	HPR
G1212	UNC93A
G1213	NODAL
G1214	RAB28
G1215	RCAN1
G1216	TMEM120A
G1217	TWISTNB
G1218	MAD2L1BP
G1219	KIAA0101
G1220	MRTO4
G1221	TEX10
G1222	C1orf109
G1223	PSAT1
G1224	CDC6
G1225	RARRES2
G1226	CRYZL1
G1227	LEFTY2
G1228	HP
G1229	UTP15
G1230	LGALS3
G1231	ALDH9A1
G1232	EMG1
G1233	ASRGL1
G1234	IDI1
G1235	PDCD4
G1236	ORC6
G1237	CCDC77
G1238	LEAP2
G1239	IFITM2
G1240	RNF138
G1241	PTPRZ1
G1242	GGH
G1243	ACOT7
G1244	HSPE1.MOB4
G1245	MRS2
G1246	TM4SF5
G1247	NAA10
G1248	USP28
G1249	SHKBP1
G1250	TFF1
G1251	HSD17B7
G1252	SMC6
G1253	CUBN
G1254	MT1E
G1255	HMGN5
G1256	RHOBTB3
G1257	HMCES
G1258	TXNDC9
G1259	TNNT1
G1260	SEMA3E
G1261	NCAPG
G1262	C11orf1
G1263	LRRC40
G1264	HN1
G1265	SLC29A1
G1266	MELK
G1267	CHEK2
G1268	PYGL
G1269	GSTA2
G1270	VTN
G1271	RSU1
G1272	SUGCT
G1273	DTWD1
G1274	UCHL5
G1275	ATP5G1
G1276	AMZ2
G1277	SDAD1
G1278	PRIM2
G1279	BRMS1
G1280	RFC4
G1281	NOP16
G1282	CASP8AP2
G1283	SLC25A20
G1284	IFITM1
G1285	MT1X
G1286	UBE2C
G1287	BIRC5
G1288	KIF20B
G1289	PSPH
G1290	CCDC88A
G1291	PTPRM
G1292	MST1
G1293	GATM
G1294	DEPDC7
G1295	HMBS
G1296	XPO6
G1297	MTERF3
G1298	SAE1
G1299	HSD17B11
G1300	APOA1
G1301	CMC1
G1302	SMC4
G1303	FANCI
G1304	BCS1L
G1305	DPPA4
G1306	FAM151A
G1307	CDCA2
G1308	BPHL
G1309	TFPI
G1310	TADA1
G1311	MRPS12
G1312	SF3B3
G1313	COPS7B
G1314	STMN1
G1315	SEPP1
G1316	PLIN2
G1317	UFD1L
G1318	MOV10
G1319	BSCL2
G1320	ECT2
G1321	EXTL2
G1322	ATG3
G1323	METAP1
G1324	DCUN1D5
G1325	TRIAP1
G1326	FAM118B
G1327	GSTK1
G1328	C11orf74
G1329	UCKL1
G1330	ATG4C
G1331	TIPIN
G1332	RBBP8
G1333	TSN
G1334	IMMP1L
G1335	SHISA2
G1336	ZNF561
G1337	DCTPP1
G1338	HGD
G1339	ECSIT
G1340	HMMR
G1341	DMKN
G1342	BST2
G1343	WDYHV1
G1344	GPR133
G1345	DCLRE1C
G1346	SH3BGRL
G1347	RAD51AP1
G1348	C17orf75
G1349	FTSJ1
G1350	IMP4
G1351	NEK2
G1352	PPP1R21
G1353	HSDL2
G1354	PRC1
G1355	ODF2L
G1356	ESYT1
G1357	MRPS11
G1358	RFC5
G1359	NUDCD1
G1360	PPCDC
G1361	DHPS
G1362	ARSE
G1363	RECQL
G1364	BZW2
G1365	CMSS1
G1366	FANCB
G1367	UGP2
G1368	EBNA1BP2
G1369	PDE6D
G1370	FAM64A
G1371	ECHDC2
G1372	SORBS2
G1373	CYP3A5
G1374	ISG15
G1375	KLHL7
G1376	PRKCE
G1377	MTX2
G1378	GALK1
G1379	ZFYVE21
G1380	PLAA
G1381	ANXA3
G1382	EFNA5
G1383	ZNF195
G1384	MRPL1
G1385	RIOK3
G1386	MRPL15
G1387	PCIF1
G1388	MPHOSPH6
G1389	NBAS
G1390	MYOF
G1391	DHCR7
G1392	APOA4
G1393	RABGGTB
G1394	TM4SF4
G1395	MTMR2
G1396	GSTM3
G1397	PIK3R4
G1398	CACYBP
G1399	DPAGT1
G1400	C3
G1401	KDELR3
G1402	ASNSD1
G1403	QPCT
G1404	THOC1
G1405	SLC38A1
G1406	CUTC
G1407	SUPV3L1
G1408	TTI2
G1409	NMRK2
G1410	METTL8
G1411	TTC4
G1412	CKAP2
G1413	ELOF1
G1414	TFRC
G1415	MSH2
G1416	SULF2
G1417	ZNF770
G1418	FANCD2
G1419	FUCA1
G1420	AFP
G1421	MORN2
G1422	EPB41L2
G1423	C6orf203
G1424	TUBE1
G1425	SLN
G1426	FAM114A1
G1427	TIMM50
G1428	TP53INP2
G1429	HSD17B14
G1430	DDHD1
G1431	ARL6IP6
G1432	NIP7
G1433	MMS22L
G1434	SQLE
G1435	SCAPER
G1436	SERPIND1
G1437	GLMN
G1438	NTPCR
G1439	KIF23
G1440	HDHD3
G1441	HEXB
G1442	CETN3
G1443	POLD3
G1444	SHMT2
G1445	COQ3
G1446	SF3A3
G1447	PIH1D1
