#ID	Name
G0	MYBL2
G283	FOSL2
G284	KRBA1
G285	GNRH1
G286	TRIM28
G287	ZBTB3
G288	FXR1
G289	ARL6IP5
G290	AIP
G291	PHC1
G292	MAPK3
G293	RCOR2
G294	ZFP398
G295	GTF3C5
G296	ESPL1
G297	FOXA2
G298	YEATS4
G299	SUB1
G300	TCEA1
G301	IRF1
G302	MEF2C
G303	NR1H2
G304	HNF1B
G305	BTAF1
G306	HSF2BP
G307	SREBF1
G308	BAZ1A
G309	COIL
G310	TCF20
G311	POLR1A
G312	FIZ1
G313	DDX5
G314	KEAP1
G315	ELL3
G316	REST
G317	CTNNBIP1
G318	RLIM
G319	HEY2
G320	ARID5B
G321	AKT1
G322	XRCC6
G323	SAP30
G324	NCOR1
G325	RELA
G326	TRIM32
G327	MAML3
G328	XBP1
G329	NR5A2
G330	AES
G331	ATF7
G332	HDAC4
G333	ANKRD54
G334	MEIS3
G335	EBF4
G336	PHF12
G337	ZHX3
G338	YEATS2
G339	TAF10
G340	TEAD3
G341	MLXIP
G342	POLR2E
G343	CSF1
G344	NR0B1
G345	SNAPC3
G346	ERF
G347	KLF4
G348	MCM6
G349	GLI1
G350	TCF7L2
G351	AATF
G352	HDAC5
G353	KNTC1
G354	MXD4
G355	MYBBP1A
G356	MAFK
G357	TLE1
G358	ETV6
G359	FOXH1
G360	RAD51
G361	SRRT
G362	GATA4
G363	CHD4
G364	SND1
G365	CUX1
G366	E2F4
G367	BRCA1
G368	ETV3
G369	ATF3
G370	EMX2
G371	PAPOLA
G372	CBX8
G373	PITX2
G374	TIMELESS
G375	PBX4
G376	POLR1E
G377	TMF1
G378	TGIF1
G379	RBMX
G380	EED
G381	SMARCB1
G382	DDX58
G383	LDB1
G384	PARP1
G385	SOX17
G386	NANOG
G387	ID2
G388	TCERG1
G389	HIF1A
G390	FOXD3
G391	ZBTB24
G392	AGAP3
G393	GTF2A1L
G394	PKNOX2
G395	ZFP281
G396	ZFP446
G397	PIAS1
G398	PAX1
G399	STAT5B
G400	GTF2H4
G401	TAF9
G402	GTF2H3
G403	GBX2
G404	TRP53
G405	TFEB
G406	TAF5
G407	DTX1
G408	TCOF1
G409	POU4F1
G410	DDB2
G411	ABTB1
G412	TBL1X
G413	CENPB
G414	ZSWIM4
G415	DCP1A
G416	CTNNB1
G417	NKRF
G418	ANKRD6
G419	ZDHHC16
G420	TULP3
G421	ZFP423
G422	EPAS1
G423	BRWD1
G424	PATZ1
G425	SP8
G426	FOXQ1
G427	NR3C1
G428	HEXIM1
G429	HCFC1
G430	EHMT2
G431	ING1
G432	SPEN
G433	XAB2
G434	TFCP2L1
G435	HIF3A
G436	MKX
G437	ERCC8
G438	PRDM14
G439	MCM5
G440	ERCC3
G441	MEIS1
G442	PITX1
G443	BRD7
G444	SERTAD2
G445	ELP2
G446	ETV4
G447	NUPR1
G448	PIAS2
G449	TAF1
G450	ELK4
G451	EZH2
G452	HOXD13
G453	ZIC3
G454	DMRT1
G455	BARX1
G456	SIN3B
G457	RNF6
G458	ESRRB
G459	ATF5
G460	TSG101
G461	TRIM13
G462	NR2F6
G463	RB1
G464	POLR2A
G465	POLR1B
G466	TNFAIP3
G467	RARA
G468	RBBP7
G469	PMS1
G470	RFX7
G471	SALL1
G472	EOMES
G473	SIRT3
G474	MYD88
G475	CRAMP1L
G476	TOX4
G477	NFATC1
G478	ARID1A
G479	KLF2
G480	CREB3L2
G481	HTT
G482	DAZAP2
G483	CTNNBL1
G484	TRP53BP1
G485	PEG3
G486	CALCOCO1
G487	TTF2
G488	RBBP4
G489	DEK
G490	ETV1
G491	ILF2
G492	PCBP2
G493	HMGA1
G494	CITED2
G495	MCM4
G496	MYCN
G497	WBP11
G498	MED4
G499	ORC2
G500	TWIST1
G501	HMGB2
G502	IRF4
G503	MTA3
G504	OTX2
G505	NFIL3
G506	KLF3
G507	TCF12
G508	MAPK13
G509	DDX20
G510	TAF6L
G511	SRSF6
G512	MED31
G513	TRRAP
G514	DNAJC2
G515	ABT1
G516	YBX1
G517	NFKB2
G518	ID3
G519	GLIS2
G520	ZDHHC15
G521	ZSCAN10
G522	NME2
G523	INTS12
G524	IKBKB
G525	FUS
G526	BARD1
G527	RBFOX2
G528	ZFP275
G529	KDM5B
G530	RFX5
G531	KANK2
G532	SUZ12
G533	BIN1
G534	NFATC3
G535	GTF2I
G536	ZBTB32
G537	ETV5
G538	KAT2B
G539	ID4
G540	HDGF
G541	POLR3D
G542	RAD54B
G543	TBPL1
G544	TEAD4
G545	RUNX1
G546	E2F2
G547	NFE2L2
G548	NFIA
G549	POLR3F
G550	STAT4
G551	KLF10
G552	TOX3
G553	HNRNPK
G554	NRF1
G555	CNOT3
G556	NOTCH2
G557	ATM
G558	HIST1H1D
G559	TBX3
G560	LHX2
G561	MIS18BP1
G562	PIAS3
G563	EYA1
G564	H1F0
G565	SSB
G566	HIST1H2BB
G567	UBTF
G568	SOX15
G569	KLF6
G570	NFYA
G571	MSC
G572	RHOX6
G573	TGFB1I1
G574	CUX2
G575	BCL3
G576	RAI14
G577	RNF2
G578	NACC1
G579	ZBTB39
G580	ZFP148
G581	CTCF
G582	SKIL
G583	ZFP768
G584	CHD7
G585	ILK
G586	NONO
G587	PDCD11
G588	TSHZ3
G589	ETS1
G590	MED21
G591	E2F1
G592	DDX54
G593	JDP2
G594	APBB1
G595	NFATC4
G596	SMURF2
G597	PRDM5
G598	POU5F1
G599	MSX2
G600	OVOL1
G601	CREBZF
G602	CNOT6
G603	TFAP4
G604	MEF2A
G605	PML
G606	ZFP91
G607	POU4F2
G608	PSIP1
G609	EP300
G610	ZBTB7A
G611	SIRT2
G612	NDN
G613	NOTCH4
G614	JUND
G615	PHF1
G616	NFKBIA
G617	SNAI1
G618	SMAD4
G619	CREB3
G620	TFRC
G621	GPX3
G622	NUTF2-PS2
G623	GM37404
G624	GRB10
G625	RPL17-PS10
G626	LNCENC1
G627	HSPH1
G628	FABP3
G629	GM24761
G630	EPHA2
G631	GJA1
G632	PLA2G1B
G633	GM43558
G634	PGAM1-PS2
G635	D230025D16RIK
G636	VEGFA
G637	SSR3
G638	RPL22L1
G639	GM24494
G640	ADAM19
G641	FLRT3
G642	SPRY2
G643	LAMB1
G644	MIR669B
G645	SNURF
G646	SOCS2
G647	GNAS
G648	RBPMS2
G649	SDC4
G650	KDELR2
G651	DPPA4
G652	PHLDB2
G653	IGF2
G654	GM27624
G655	RASGRP2
G656	FAM234A
G657	GM23136
G658	RHOX5
G659	SNORA43
G660	UPP1
G661	EIF4A2
G662	ASS1
G663	GM44330
G664	2810025M15RIK
G665	SNORD35A
G666	RRM2
G667	ZFP57
G668	LRRK1
G669	TXNDC5
G670	SLC6A6
G671	SPOCK1
G672	CDC42SE2
G673	GM26917
G674	GM44429
G675	GM25787
G676	SLC26A10
G677	SLCO3A1
G678	MYO7A
G679	GM25451
G680	GM28439
G681	FGF10
G682	TIMP3
G683	SORD
G684	HDLBP
G685	ATP13A3
G686	RAB3IL1
G687	MME
G688	VSIR
G689	MIR7003
G690	AQP8
G691	FBLIM1
G692	GM26287
G693	SEC24D
G694	HSP90AA1
G695	CKB
G696	GM49347
G697	NPHS1
G698	GM26318
G699	AY036118
G700	SLC25A4
G701	CEMIP
G702	GM26447
G703	SNHG12
G704	ZFP989
G705	HIP1
G706	HSPG2
G707	RCC2
G708	FRRS1
G709	ANXA5
G710	TOP2A
G711	PDPN
G712	PLOD1
G713	NID1
G714	COBL
G715	SERPINE2
G716	GM22455
G717	MT2
G718	2200002D01RIK
G719	GM22620
G720	COL4A2
G721	TPM4
G722	MIR7005
G723	GM10718
G724	RNF157
G725	TMEM144
G726	PDIA6
G727	TRH
G728	ODC1
G729	FAM25C
G730	SLC9A6
G731	EDA2R
G732	MIR5121
G733	TXNDC12
G734	CCNG1
G735	GM21962
G736	SNORD32A
G737	UCHL1
G738	GM42429
G739	CTSZ
G740	CALR
G741	GM43238
G742	CTSD
G743	SFI1
G744	BASP1
G745	MIR1949
G746	AKR1B8
G747	GM23569
G748	PARVB
G749	TNS4
G750	FAM129B
G751	EPHA4
G752	PLAT
G753	HIST1H2BN
G754	TNK2
G755	RIAN
G756	LGMN
G757	RCN3
G758	TUBA4A
G759	ZFP987
G760	AMOTL2
G761	KRT8
G762	AMPD2
G763	SERPINH1
G764	KIT
G765	GM23988
G766	GM24201
G767	GM22281
G768	GM2399
G769	MYMX
G770	AMOT
G771	EFEMP2
G772	LEFTY2
G773	GM24451
G774	GM24564
G775	PLOD2
G776	ITGA6
G777	GM14303
G778	ZFP979
G779	CLDN6
G780	GM10039
G781	RPL15-PS3
G782	HS3ST1
G783	HSP25-PS1
G784	LAMB2
G785	SLC6A8
G786	GM26448
G787	TYRO3
G788	MT-TF
G789	CD63
G790	GLDC
G791	FGF4
G792	MSH6
G793	GM17035
G794	OBSL1
G795	MOV10
G796	LTBP4
G797	SNORD87
G798	MYLPF
G799	NDRG4
G800	P4HA1
G801	FDPS
G802	CMKLR1
G803	PWWP3B
G804	MYO6
G805	GM26431
G806	GM26073
G807	TDGF1-PS1
G808	CKAP4
G809	GM26060
G810	HIST1H2AF
G811	SNORD43
G812	ECT2
G813	GM10780
G814	ATP6V0A1
G815	LDLRAP1
G816	MAGED1
G817	HIST1H2AI
G818	GM26426
G819	GM24044
G820	VIM
G821	HIST1H2BK
G822	GLIPR2
G823	GM15181
G824	HIST1H2AK
G825	KHDC3
G826	MIR3535
G827	MIR7063
G828	GM28960
G829	BEX1
G830	HIST1H3H
G831	SNORD33
G832	TAGLN2
G833	UBQLN2
G834	DKC1
G835	LAMA5
G836	MIR669J
G837	GM7329
G838	KAT6B
G839	DKK1
G840	SLC5A11
G841	HTRA1
G842	ISYNA1
G843	DNAJC10
G844	SNORA3
G845	SEPT1
G846	GJB3
G847	GM26092
G848	CCNB1
G849	GM22091
G850	ASNS
G851	GM4202
G852	CALCOCO2
G853	MRPL23-PS1
G854	CAR2
G855	B2M
G856	LOXL2
G857	DUSP9
G858	GABARAPL2
G859	JAM2
G860	LEFTY1
G861	NEDD4
G862	CALD1
G863	GM38312
G864	GM20721
G865	EIF4A-PS4
G866	MIR186
G867	ADAM23
G868	GM10925
G869	COL27A1
G870	MORF4L2
G871	CDKN1A
G872	CLCN5
G873	CTBP2
G874	GM25057
G875	UHRF1
G876	HSPA5
G877	TXNIP
G878	TIMP2
G879	FGFR3
G880	MIR669A-1
G881	PDCD4
G882	ANXA2
G883	GM27326
G884	TDGF1
G885	CDC20
G886	NOTUM
G887	FXYD6
G888	MIR297A-2
G889	PRXL2A
G890	EMP2
G891	PATJ
G892	APP
G893	KANK3
G894	GM23130
G895	LMF2
G896	GAS6
G897	GDPD5
G898	STXBP2
G899	TCL1
G900	GM22862
G901	GM24455
G902	BNIP3
G903	HIST1H2BL
G904	HIST1H4K
G905	APOE
G906	IFI30
G907	CTSL
G908	IFITM1
G909	TPD52
G910	TMED2
G911	BCAM
G912	HIST1H1A
G913	CCN2
G914	GM25753
G915	ARHGAP29
G916	GM23651
G917	DPPA2
G918	LAPTM5
G919	MARC2
G920	TET1
G921	LRPAP1
G922	SURF4
G923	SLC25A5
G924	GLS
G925	GM14519
G926	AF357399
G927	GM24497
G928	PDK1
G929	MANF
G930	EDEM1
G931	BEND5
G932	ALPL
G933	CALU
G934	SELENOW
G935	P3H1
G936	GM10259
G937	PFKP
G938	STARD10
G939	PLTP
G940	GM9531
G941	GM44206
G942	SNORD70
G943	CUBN
G944	THBD
G945	SLC7A3
G946	IL33
G947	GM23571
G948	RIF1
G949	SNORA74A
G950	GSTA4
G951	PODXL
G952	TET2
G953	GM25943
G954	DCXR
G955	GM8355
G956	IGFBP2
G957	DDAH2
G958	SNORD34
G959	TINAGL1
G960	SEMA4C
G961	SRGN
G962	KRT42
G963	ZFYVE21
G964	MRAS
G965	PTH1R
G966	L1TD1
G967	TUBB2B
G968	COTL1
G969	UBE2C
G970	GM49450
G971	IFITM2
G972	PGA5
G973	PHLDA3
G974	GM22988
G975	MAN1A2
G976	GM25835
G977	OPLAH
G978	SLC16A1
G979	MIR466B-4
G980	HKDC1
G981	TUBB6
G982	GM44335
G983	IFITM3
G984	MORC4
G985	CST3
G986	GM28030
G987	GM37917
G988	ZC3H7A
G989	ME1
G990	CTSA
G991	SPARC
G992	SHKBP1
G993	PCOLCE
G994	SNORA26
G995	GSR
G996	NDRG1
G997	GNPDA1
G998	ZFAS1
G999	HIST1H2BF
G1000	TSPAN9
G1001	SNORA68
G1002	KDM3A
G1003	RRBP1
G1004	LAMA1
G1005	GM15459
G1006	SGK1
G1007	IMPDH1
G1008	SNORD35B
G1009	LAMC1
G1010	MT1
G1011	ULK1
G1012	GM13597
G1013	DPP4
G1014	FGF3
G1015	F3
G1016	UNG
G1017	P4HA2
G1018	KDELR3
G1019	ENO1B
G1020	MKRN1
G1021	GLUL
G1022	NUP210
G1023	FXYD3
G1024	FN1
G1025	HIST1H2AC
G1026	P3H4
G1027	INSIG1
G1028	COMMD3
G1029	GM24330
G1030	GM14870
G1031	NRG1
G1032	HMCES
G1033	SNORD49A
G1034	ITPK1
G1035	ZYX
G1036	TENM4
G1037	NSD2
G1038	MIR466B-6
G1039	STARD8
G1040	GM25701
G1041	RANBP17
G1042	MYH9
G1043	CSRP2
G1044	GASK1B
G1045	BCAT1
G1046	SLC7A6
G1047	PRSS35
G1048	FRMD4A
G1049	2410141K09RIK
G1050	CRIP2
G1051	GM23268
G1052	GM29397
G1053	LRP2
G1054	CTH
G1055	SNORD93
G1056	CHCHD10
G1057	MIR669G
G1058	GM24616
G1059	PDGFRA
G1060	P4HB
G1061	GLMP
G1062	ABHD5
G1063	SNORA73A
G1064	HMGA1B
G1065	ARHGEF40
G1066	LDHB
G1067	TMSB4X
G1068	VILL
G1069	ALG13
G1070	ERP29
G1071	GM37746
G1072	GM10184
G1073	TDH
G1074	GABBR1
G1075	SAT1
G1076	ANP32A
G1077	HSP90B1
G1078	FST
G1079	PTPN14
G1080	SRI
G1081	MIR669A-3
G1082	MEG3
G1083	SPRY4
G1084	ADAMTS9
G1085	CHST15
G1086	GM9385
G1087	MIR8091
G1088	MIR1192
G1089	EPS8
G1090	SNORA81
G1091	LY6G6E
G1092	GM26156
G1093	MIR3070B
G1094	MGST3
G1095	SHROOM3
G1096	GM25316
G1097	MIR466O
G1098	AU018091
G1099	GM22072
G1100	GM24488
G1101	BMPER
G1102	GM23833
G1103	COL4A1
G1104	SOAT1
G1105	MIR291B
G1106	TMEM150A
G1107	GM17545
G1108	GM22678
G1109	PLOD3
G1110	SPP1
G1111	WDR45
G1112	RAB11A
G1113	SRM
G1114	PMM1
G1115	NXF7
G1116	APOBEC3
G1117	GM25500
G1118	SNORD49B
G1119	GM24289
