G0	MYBL2
G284	KRBA1
G285	GNRH1
G286	TRIM28
G287	ZBTB3
G288	FXR1
G289	ARL6IP5
G290	AIP
G291	PHC1
G292	MAPK3
G293	RCOR2
G294	ZFP398
G295	GTF3C5
G296	ESPL1
G297	FOXA2
G298	YEATS4
G299	SUB1
G300	TCEA1
G301	IRF1
G302	MEF2C
G303	NR1H2
G304	HNF1B
G305	BTAF1
G306	HSF2BP
G307	SREBF1
G308	BAZ1A
G309	COIL
G310	TCF20
G311	POLR1A
G312	FIZ1
G313	DDX5
G314	KEAP1
G315	ELL3
G316	REST
G317	CTNNBIP1
G318	RLIM
G319	HEY2
G320	ARID5B
G321	AKT1
G322	XRCC6
G323	SAP30
G324	NCOR1
G325	RELA
G326	TRIM32
G327	MAML3
G328	XBP1
G329	NR5A2
G330	AES
G331	ATF7
G332	HDAC4
G333	ANKRD54
G334	MEIS3
G335	EBF4
G336	PHF12
G337	ZHX3
G338	YEATS2
G339	TAF10
G340	TEAD3
G341	MLXIP
G342	POLR2E
G343	CSF1
G344	NR0B1
G345	SNAPC3
G346	ERF
G347	KLF4
G348	MCM6
G349	GLI1
G350	TCF7L2
G351	AATF
G352	HDAC5
G353	KNTC1
G354	MXD4
G355	MYBBP1A
G356	MAFK
G357	TLE1
G358	ETV6
G359	FOXH1
G360	RAD51
G361	SRRT
G362	GATA4
G363	CHD4
G364	SND1
G365	CUX1
G366	E2F4
G367	BRCA1
G368	ETV3
G369	ATF3
G370	EMX2
G371	PAPOLA
G372	CBX8
G373	PITX2
G374	TIMELESS
G375	PBX4
G376	POLR1E
G377	TMF1
G378	TGIF1
G379	RBMX
G380	EED
G381	SMARCB1
G382	DDX58
G383	LDB1
G384	PARP1
G385	SOX17
G386	NANOG
G387	ID2
G388	TCERG1
G389	HIF1A
G390	FOXD3
G391	ZBTB24
G392	AGAP3
G393	GTF2A1L
G394	PKNOX2
G395	ZFP281
G396	ZFP446
G397	PIAS1
G398	PAX1
G399	STAT5B
G400	GTF2H4
G401	TAF9
G402	GTF2H3
G403	GBX2
G404	TRP53
G405	TFEB
G406	TAF5
G407	DTX1
G408	TCOF1
G409	POU4F1
G410	DDB2
G411	ABTB1
G412	TBL1X
G413	CENPB
G414	ZSWIM4
G415	DCP1A
G416	CTNNB1
G417	NKRF
G418	ANKRD6
G419	ZDHHC16
G420	TULP3
G421	ZFP423
G422	EPAS1
G423	BRWD1
G424	PATZ1
G425	SP8
G426	FOXQ1
G427	NR3C1
G428	HEXIM1
G429	HCFC1
G430	EHMT2
G431	ING1
G432	SPEN
G433	XAB2
G434	TFCP2L1
G435	HIF3A
G436	MKX
G437	ERCC8
G438	PRDM14
G439	MCM5
G440	ERCC3
G441	MEIS1
G442	PITX1
G443	BRD7
G444	SERTAD2
G445	ELP2
G446	ETV4
G447	NUPR1
G448	PIAS2
G449	TAF1
G450	ELK4
G451	EZH2
G452	HOXD13
G453	ZIC3
G454	DMRT1
G455	BARX1
G456	SIN3B
G457	RNF6
G458	ESRRB
G459	ATF5
G460	TSG101
G461	TRIM13
G462	NR2F6
G463	RB1
G464	POLR2A
G465	POLR1B
G466	TNFAIP3
G467	RARA
G468	RBBP7
G469	PMS1
G470	RFX7
G471	SALL1
G472	EOMES
G473	SIRT3
G474	MYD88
G475	CRAMP1L
G476	TOX4
G477	NFATC1
G478	ARID1A
G479	KLF2
G480	CREB3L2
G481	HTT
G482	DAZAP2
G483	CTNNBL1
G484	TRP53BP1
G485	PEG3
G486	CALCOCO1
G487	TTF2
G488	RBBP4
G489	DEK
G490	ETV1
G491	ILF2
G492	PCBP2
G493	HMGA1
G494	CITED2
G495	MCM4
G496	MYCN
G497	WBP11
G498	MED4
G499	ORC2
G500	TWIST1
G501	HMGB2
G502	IRF4
G503	MTA3
G504	OTX2
G505	NFIL3
G506	KLF3
G507	TCF12
G508	MAPK13
G509	DDX20
G510	TAF6L
G511	SRSF6
G512	MED31
G513	TRRAP
G514	DNAJC2
G515	ABT1
G516	YBX1
G517	NFKB2
G518	ID3
G519	GLIS2
G520	ZDHHC15
G521	ZSCAN10
G522	NME2
G523	INTS12
G524	IKBKB
G525	FUS
G526	BARD1
G527	RBFOX2
G528	ZFP275
G529	KDM5B
G530	RFX5
G531	KANK2
G532	SUZ12
G533	BIN1
G534	NFATC3
G535	GTF2I
G536	ZBTB32
G537	ETV5
G538	KAT2B
G539	ID4
G540	HDGF
G541	POLR3D
G542	RAD54B
G543	TBPL1
G544	TEAD4
G545	RUNX1
G546	E2F2
G547	NFE2L2
G548	NFIA
G549	POLR3F
G550	STAT4
G551	KLF10
G552	TOX3
G553	HNRNPK
G554	NRF1
G555	CNOT3
G556	NOTCH2
G557	ATM
G558	HIST1H1D
G559	TBX3
G560	LHX2
G561	MIS18BP1
G562	PIAS3
G563	EYA1
G564	H1F0
G565	SSB
G566	HIST1H2BB
G567	UBTF
G568	SOX15
G569	KLF6
G570	NFYA
G571	MSC
G572	RHOX6
G573	TGFB1I1
G574	CUX2
G575	BCL3
G576	RAI14
G577	RNF2
G578	NACC1
G579	ZBTB39
G580	ZFP148
G581	CTCF
G582	SKIL
G583	ZFP768
G584	CHD7
G585	ILK
G586	NONO
G587	PDCD11
G588	TSHZ3
G589	ETS1
G590	MED21
G591	E2F1
G592	DDX54
G593	JDP2
G594	APBB1
G595	NFATC4
G596	SMURF2
G597	PRDM5
G598	POU5F1
G599	MSX2
G600	OVOL1
G601	CREBZF
G602	CNOT6
G603	TFAP4
G604	MEF2A
G605	PML
G606	ZFP91
G607	POU4F2
G608	PSIP1
G609	EP300
G610	ZBTB7A
G611	SIRT2
G612	NDN
G613	NOTCH4
G614	JUND
G615	PHF1
G616	NFKBIA
G617	SNAI1
G618	SMAD4
G619	CREB3
