#ID	Name
G0	PPARA
G470	NOP16
G471	SERPIND1
G472	EPHX2
G473	S100A16
G474	CNOT10
G475	AKR1B1
G476	KPNA2
G477	TNNI3
G478	C11orf74
G479	GSTK1
G480	AHSG
G481	PRIM1
G482	NT5DC2
G483	NCAPG
G484	DLGAP5
G485	S100A14
G486	EXOSC3
G487	PLIN2
G488	SLC7A6
G489	ANAPC4
G490	SEPP1
G491	MEST
G492	ATIC
G493	ZNF93
G494	MT1X
G495	APOA1
G496	YAE1D1
G497	MUSTN1
G498	HPN
G499	PRC1
G500	PRAP1
G501	MRPS27
G502	ATL2
G503	ARG2
G504	SMC4
G505	GPM6B
G506	PHGDH
G507	MTHFD2
G508	ECHDC2
G509	FANCB
G510	SGK1
G511	TMEM120A
G512	TDGF1
G513	PON2
G514	ITGB5
G515	HP
G516	PLCD1
G517	INMT
G518	GMNN
G519	PEMT
G520	C12orf10
G521	MLF1
G522	SEC11C
G523	WDR12
G524	RAD51C
G525	HMMR
G526	DCTPP1
G527	PLK1
G528	DPYSL2
G529	CDCA3
G530	FAM114A1
G531	TTC39C
G532	TIMM21
G533	RFC2
G534	GULP1
G535	ACTL6A
G536	BPHL
G537	TM4SF4
G538	SCGB3A2
G539	TFRC
G540	BUB1
G541	DKC1
G542	CYP3A5
G543	DPH6
G544	MORN2
G545	FANCL
G546	TMEM37
G547	NVL
G548	TK1
G549	ASL
G550	LITAF
G551	TPM2
G552	ACADVL
G553	ATP1B3
G554	NDUFAF7
G555	UQCC1
G556	LEAP2
G557	MST1
G558	GSN
G559	BBS9
G560	PARPBP
G561	MAP1B
G562	NUP88
G563	DPAGT1
G564	TOP2A
G565	HAUS1
G566	GPN3
G567	SERPINB1
G568	UGT2B11
G569	DPEP1
G570	LMO7
G571	POLB
G572	PPP1R7
G573	HSD17B11
G574	C19orf48
G575	CDK5RAP1
G576	SLC7A3
G577	IFITM1
G578	C17orf75
G579	ECT2
G580	PHF5A
G581	IFITM3
G582	PAFAH1B3
G583	HPX
G584	DTWD1
G585	PMAIP1
G586	LRR1
G587	TMEM69
G588	RNASEH2A
G589	CENPE
G590	POP5
G591	TUBB6
G592	APOA4
G593	ADSL
G594	LAMB2
G595	NEK2
G596	CENPW
G597	G6PC3
G598	GLIPR2
G599	FEN1
G600	CDKN3
G601	WDR74
G602	SH3BGRL
G603	ARSE
G604	CUEDC2
G605	HGD
G606	OAZ2
G607	PIH1D1
G608	CUTC
G609	PRKCE
G610	STMN1
G611	HMGCS2
G612	GNRH2
G613	COQ3
G614	GATM
G615	ACAD11
G616	ASNS
G617	PEF1
G618	IQGAP2
G619	FANCD2
G620	MTFP1
G621	PDZK1
G622	SGOL1
G623	AASS
G624	F2RL1
G625	GPC3
G626	AGTRAP
G627	UCP2
G628	RNASE4
G629	CENPF
G630	VRK1
G631	TRIM59
G632	PIGH
G633	ANAPC7
G634	WDR43
G635	GSTA1
G636	CDK1
G637	HMGCL
G638	EBNA1BP2
G639	ERBB4
G640	USP7
G641	GALK1
G642	KLHL7
G643	ZNF770
G644	ANPEP
G645	RFC4
G646	IMP4
G647	GSTA2
G648	YARS
G649	SAAL1
G650	DERA
G651	SCN7A
G652	LAMC1
G653	DNPEP
G654	SULT1A2
G655	NPRL2
G656	MTTP
G657	GMPR2
G658	CIDEB
G659	AKR1D1
G660	VTN
G661	TSFM
G662	ORC4
G663	STC1
G664	KDELR3
G665	CTSC
G666	ALDH9A1
G667	PAK1IP1
G668	APOA2
G669	CETN3
G670	CAPN12
G671	F10
G672	CMC1
G673	CEP70
G674	NEDD1
G675	HAT1
G676	MPHOSPH9
G677	NUDT15
G678	TF
G679	CKS2
G680	STX8
G681	DCAF13
G682	EXOSC9
G683	RSU1
G684	ANP32E
G685	EFNA1
G686	NUDT1
G687	WDR54
G688	FGB
G689	HIBCH
G690	APOC4.APOC2
G691	SEMA3E
G692	SPTLC3
G693	PDGFRA
G694	MEP1A
G695	SULF2
G696	GRPR
G697	FAM13A
G698	ASGR1
G699	DDAH1
G700	KIAA0101
G701	MFAP2
G702	THYN1
G703	SLC7A7
G704	G2E3
G705	SDAD1
G706	RAD51AP1
G707	ICA1
G708	CTPS1
G709	BSCL2
G710	NIF3L1
G711	C9orf72
G712	PRMT5
G713	RAB34
G714	WIPI1
G715	PYGL
G716	TBRG4
G717	USP44
G718	GGCT
G719	CCL2
G720	LAMB1
G721	BLM
G722	RNF138
G723	FAM151A
G724	ISG15
G725	ALG8
G726	PRPS2
G727	UBE2C
G728	SCAPER
G729	LGALS2
G730	PLA2G12B
G731	RHOBTB3
G732	ITGB3BP
G733	CRYZL1
G734	HNRNPH2
G735	UMPS
G736	MTHFD1
G737	FANCI
G738	CRAT
G739	NUSAP1
G740	QTRTD1
G741	FKBP11
G742	APOC3
G743	ZWILCH
G744	ITLN2
G745	CTSE
G746	TMEM177
G747	NUP37
G748	PSMG1
G749	HSPE1.MOB4
G750	PPFIBP2
G751	KIF23
G752	CBR1
G753	GYG1
G754	VPS72
G755	DSN1
G756	TTR
G757	PUS7L
G758	GMPS
G759	RAB28
G760	F3
G761	SLC25A20
G762	QPCT
G763	XPO5
G764	ITIH4
G765	ASUN
G766	DPCD
G767	ICE2
G768	MGST2
G769	AFP
G770	ZNF561
G771	TFF1
G772	CDK4
G773	FASTKD2
G774	BZW2
G775	UBL7
G776	UTRN
G777	KNG1
G778	NUF2
G779	ZFAND2A
G780	MELK
G781	RRM1
G782	IQCB1
G783	KNSTRN
G784	IL6ST
G785	DPH5
G786	ARL6IP6
G787	TERF1
G788	SFRP1
G789	HPRT1
G790	EEF1E1
G791	C12orf45
G792	RAMP1
G793	NUP54
G794	KIF20B
G795	FABP1
G796	FGG
G797	GNPNAT1
G798	LCMT1
G799	DCLRE1C
G800	GEMIN8
G801	CCS
G802	ATG4C
G803	ANXA4
G804	MTAP
G805	DDX39A
G806	NDUFAF4
G807	CAPG
G808	SF3B3
G809	ASPH
G810	UCHL1
G811	CCNB2
G812	SPP1
G813	DDC
G814	NUP93
G815	ALB
G816	ODF2L
G817	TMEM150C
G818	ATG5
G819	MT1G
G820	MSH2
G821	ALG6
G822	FAM64A
G823	PPIL1
G824	RRM2
G825	FBL
G826	LAPTM4B
G827	ACY1
G828	ANLN
G829	HERPUD1
G830	FUCA1
G831	RBP2
G832	FXYD5
G833	ALDH1A1
G834	GALM
G835	THY1
G836	CER1
G837	CD9
G838	MPC1
G839	MMS22L
G840	SLC51A
G841	TIMM9
G842	TDP2
G843	TNNT1
G844	CUBN
G845	SUPV3L1
G846	WARS
G847	SLN
G848	NOL10
G849	HMGN4
G850	UGP2
G851	IL32
G852	APOB
G853	DNAH14
G854	SLC38A2
G855	TATDN3
G856	SKA3
G857	CA2
G858	ACADSB
G859	TPD52L1
G860	B4GALT3
G861	LEFTY2
G862	AURKB
G863	TFPI
G864	NIP7
G865	SHMT2
G866	CDC20
G867	FGA
G868	ZWINT
G869	L1TD1
G870	CKAP2
G871	WDHD1
G872	CENPN
G873	CAMK2D
G874	MTMR2
G875	NDUFAF5
G876	DECR1
G877	LGALS1
G878	AMZ2
G879	ESRG
G880	RBP4
G881	P4HA2
G882	SHISA2
G883	RNASE1
G884	NUP85
G885	AMBP
G886	CHEK2
G887	ACAA1
G888	TIPIN
G889	SPINK1
G890	MRPL1
G891	TAGLN
G892	ACOX2
G893	ZFYVE21
G894	APOC1
G895	ZDHHC4
G896	S100A6
G897	APEH
G898	ACOT7
G899	UTP18
G900	SLC35D2
G901	BST2
G902	AGT
G903	CHEK1
G904	TPX2
G905	ASNSD1
G906	FMO5
G907	ACTC1
G908	COMMD10
G909	HLA.DRB5
G910	CCDC82
G911	ANG
G912	THOC1
G913	SLC38A1
G914	SIL1
G915	DUT
G916	COMMD3
G917	HELLS
G918	KIF22
G919	TEX10
G920	UBE2T
G921	AURKA
G922	C11orf1
G923	PCNA
G924	BCS1L
G925	C3orf14
G926	VCAN
G927	NNAT
G928	MTUS1
G929	BUB1B
G930	LCP1
G931	AIMP2
G932	MAD2L1
G933	FLRT3
G934	DNASE1
G935	BLVRA
G936	CCNB1
G937	IFITM2
G938	WDYHV1
G939	APOC2
G940	CENPU
G941	ISY1
G942	NUP35
G943	DGAT1
G944	CKS1B
G945	PPT1
G946	MTERF3
G947	RGN
