#ID	Name
G0	TEAD4
G703	MRAS
G704	SNORA81
G705	DCTPP1
G706	GRB10
G707	CTSA
G708	ASAH1
G709	OAT
G710	GSR
G711	SNORA74A
G712	GM25787
G713	GM22455
G714	TXNDC5
G715	GM23268
G716	SERPINH1
G717	GM26448
G718	CERS4
G719	SDCBP
G720	ATP6V0E
G721	GNG10
G722	HIP1
G723	GFPT1
G724	GM10039
G725	VILL
G726	PLSCR1
G727	UNG
G728	TMEM9
G729	ZFP961
G730	GM9531
G731	IER2
G732	SH3PXD2B
G733	FXYD3
G734	HOOK1
G735	MARC2
G736	ACTG1
G737	FUT8
G738	GM44206
G739	MFGE8
G740	PEG10
G741	ATP1B1
G742	COL4A2
G743	SRPRB
G744	NXF7
G745	MYO5B
G746	LAMC1
G747	MSMO1
G748	HIST1H2AC
G749	GM43238
G750	NAGK
G751	EFEMP2
G752	GM10182
G753	SPRY2
G754	LEFTY2
G755	GM37404
G756	HERPUD1
G757	GM11223
G758	GM26287
G759	FAHD2A
G760	PHGDH
G761	TXNDC12
G762	SNORA73A
G763	BUB1B
G764	FGFR4
G765	HABP2
G766	TPX2
G767	TMEM214
G768	ZFAS1
G769	RCC2
G770	GM23946
G771	REV1
G772	PDGFA
G773	LRP2
G774	MT1
G775	AFF1
G776	GM23571
G777	CCN2
G778	MANF
G779	MPZL2
G780	MIR466F-2
G781	OPLAH
G782	LMF2
G783	GM28960
G784	COL4A1
G785	SLC16A6
G786	LGALS3
G787	MIR669G
G788	CRTAP
G789	GPRC5C
G790	GM8741
G791	SLC12A4
G792	MCM10
G793	ERLIN1
G794	VEGFA
G795	HIST1H4K
G796	ARHGEF5
G797	GM25158
G798	ZFP600
G799	TDGF1-PS1
G800	NPL
G801	RANBP17
G802	ADGRE5
G803	GM2399
G804	LAMB2
G805	PSAP
G806	GM22353
G807	ASS1
G808	GM26092
G809	GM42429
G810	GM25316
G811	GM43444
G812	CTBP2
G813	PLAUR
G814	SNORD87
G815	SNORD34
G816	SOCS2
G817	FZR1
G818	AKR1B3
G819	AMFR
G820	PWWP3B
G821	GM24564
G822	VSIR
G823	ZYX
G824	FKBP11
G825	APAF1
G826	TUBB2B
G827	FAM83D
G828	GM14519
G829	MSH2
G830	HIST1H2AK
G831	PAFAH1B3
G832	SELENOI
G833	LRPAP1
G834	P4HA2
G835	PLAT
G836	PHLDA3
G837	CDH1
G838	GM24507
G839	CDC42SE2
G840	SNORA44
G841	P4HA1
G842	SNORD32A
G843	LPCAT1
G844	CYP26A1
G845	ZFP710
G846	HIST1H1A
G847	GORASP2
G848	GM26397
G849	KDELR2
G850	DCXR
G851	BSG
G852	HIST1H2AF
G853	LASP1
G854	SNORA33
G855	RIF1
G856	MTHFD2
G857	EMP2
G858	FN1
G859	SLC16A1
G860	GM23988
G861	SMS
G862	NUP93
G863	MYDGF
G864	JAM2
G865	GM23569
G866	SPP1
G867	GM26060
G868	MFSD1
G869	L1TD1
G870	HSD17B14
G871	FRMD4A
G872	TNS1
G873	GM4617
G874	GM17212
G875	SLC25A36
G876	HMCES
G877	UBALD2
G878	GM4735
G879	GABBR1
G880	SLC17A9
G881	ACTL6A
G882	NID1
G883	SLC1A5
G884	GM23245
G885	ULK1
G886	CDIPT
G887	GM12112
G888	MEG3
G889	GM13597
G890	SPOCK1
G891	GALNT2
G892	GGTA1
G893	GM44450
G894	GM44170
G895	CALCOCO2
G896	SINHCAF
G897	VIM
G898	TMEM165
G899	CRYAB
G900	CAMSAP3
G901	PRKAB1
G902	GM44429
G903	GM13165
G904	RCN3
G905	PPP2R5A
G906	CPM
G907	TIMP2
G908	RNPEP
G909	SLC38A2
G910	COBLL1
G911	ETL4
G912	SERBP1
G913	MCFD2
G914	AMPD2
G915	SLC7A3
G916	EIF2S2
G917	RETREG2
G918	KCNG1
G919	GM7993
G920	ZFP979
G921	PLA2G1B
G922	PFAS
G923	1810032O08RIK
G924	CALU
G925	SLC9A6
G926	NRG2
G927	GNS
G928	MYO7A
G929	ZFP980
G930	ARHGAP21
G931	GAS6
G932	LY75
G933	GM24488
G934	GM42413
G935	NPHS1
G936	PLATR10
G937	HIST1H2BK
G938	HSP25-PS1
G939	NEU1
G940	USP9X
G941	MIR291B
G942	P3H1
G943	CDCA7
G944	CKAP4
G945	PDPN
G946	ENAH
G947	ALPL
G948	MYL6
G949	MT2
G950	GAA
G951	GM25701
G952	POLE4
G953	ECPAS
G954	NOTUM
G955	MIR297A-2
G956	BEX3
G957	FBXO15
G958	GM26917
G959	SLC7A7
G960	SOAT1
G961	GPX3
G962	CLTC
G963	CAR2
G964	PLOD2
G965	DNAJC3
G966	GM15421
G967	AKR1B8
G968	RPL39L
G969	GM24455
G970	ARHGAP32
G971	NUTF2-PS2
G972	GM6594
G973	SOD1
G974	HSPG2
G975	ME1
G976	TUBA4A
G977	TUBB4B
G978	SPARC
G979	APOE
G980	GM25735
G981	MDN1
G982	PRSS35
G983	GM25835
G984	CTNNAL1
G985	SNHG1
G986	BASP1
G987	ITPK1
G988	MAP3K1
G989	AF357399
G990	ASPH
G991	2200002D01RIK
G992	CARHSP1
G993	ODC1
G994	SNX1
G995	FAT1
G996	GM26387
G997	PDK1
G998	SNX25
G999	SYNE2
G1000	GRAMD1A
G1001	PDIA4
G1002	RRAS2
G1003	SEPT1
G1004	PCSK6
G1005	HKDC1
G1006	GM23302
G1007	HTRA1
G1008	MME
G1009	BMPER
G1010	PCNA
G1011	MYH9
G1012	SERPINE2
G1013	ITGA9
G1014	KRT17
G1015	GJB3
G1016	TMEM150A
G1017	DANCR
G1018	COL27A1
G1019	SUSD2
G1020	TINAGL1
G1021	GNAS
G1022	ERP29
G1023	GNPTAB
G1024	SEC31A
G1025	IFI30
G1026	NSMAF
G1027	SNORA73B
G1028	NDRG4
G1029	MIR1949
G1030	MFSD10
G1031	ADAM23
G1032	SENP3
G1033	MIR3535
G1034	CDC20
G1035	ARHGAP29
G1036	HMGCS1
G1037	GM12276
G1038	ALDH2
G1039	TEX264
G1040	GM17035
G1041	MIR466B-6
G1042	SNURF
G1043	RBM47
G1044	SNORD33
G1045	FBP2
G1046	SELENOK
G1047	GM13502
G1048	RDM1
G1049	APOBEC3
G1050	P4HB
G1051	MYO18A
G1052	SEMA4C
G1053	GM44335
G1054	GM26156
G1055	EPHA2
G1056	CYBA
G1057	IMPDH1
G1058	NEDD4
G1059	SEC24D
G1060	DKK1
G1061	BAG2
G1062	RESF1
G1063	ST5
G1064	GM8203
G1065	CARMIL1
G1066	GM27624
G1067	CD63
G1068	AMOT
G1069	HIST1H2BN
G1070	STXBP2
G1071	SDC4
G1072	HK2
G1073	HS3ST1
G1074	GM23651
G1075	KRT42
G1076	IDI1
G1077	NDRG1
G1078	GM10718
G1079	PNP
G1080	PSME2
G1081	MIR6357
G1082	UHRF1
G1083	SEC23A
G1084	MANBA
G1085	MAN1A
G1086	CCNG1
G1087	EPHA4
G1088	EIF4A2
G1089	LAMA1
G1090	GM15446
G1091	CCNB2
G1092	PRDX1
G1093	AU018091
G1094	GM26280
G1095	CHN2
G1096	TPM4
G1097	ISYNA1
G1098	TSPAN4
G1099	FRRS1
G1100	ATP6V0B
G1101	MOV10
G1102	SERPING1
G1103	GM24761
G1104	GM23497
G1105	XAF1
G1106	SEC61A1
G1107	SNORD17
G1108	GM43558
G1109	NUSAP1
G1110	GM25500
G1111	SIDT2
G1112	BEX1
G1113	RPS4L
G1114	KDM3A
G1115	TOP2A
G1116	GM3470
G1117	PARVA
G1118	SNORD49A
G1119	TET2
G1120	SGK1
G1121	SETD7
G1122	GM13237
G1123	2810025M15RIK
G1124	D230025D16RIK
G1125	RPL5
G1126	LIMCH1
G1127	TNS4
G1128	CNN2
G1129	GASK1B
G1130	TMEM144
G1131	RMND5B
G1132	COX7A1
G1133	FNDC3B
G1134	SHISA5
G1135	RENBP
G1136	LNCENC1
G1137	B2M
G1138	PDIA5
G1139	S100A6
G1140	GM10925
G1141	FNDC3A
G1142	FBLIM1
G1143	GM10046
G1144	GM13147
G1145	MIR466B-4
G1146	PXDN
G1147	SURF4
G1148	DPPA4
G1149	GM25185
G1150	PTPN3
G1151	SFI1
G1152	HDLBP
G1153	VKORC1
G1154	GM22072
G1155	GM22091
G1156	TIMP3
G1157	LAMP1
G1158	CALD1
G1159	UPP1
G1160	SNORD11
G1161	GM10698
G1162	WDR1
G1163	GM24616
G1164	GNPDA1
G1165	KRT8
G1166	PCOLCE
G1167	PROS1
G1168	FABP3
G1169	USP28
G1170	SPNS2
G1171	ADAM19
G1172	PMM1
G1173	MAN1A2
G1174	STMN1
G1175	GM28030
G1176	GGA2
G1177	PODXL
G1178	SNORA26
G1179	CCNB1
G1180	LEFTY1
G1181	MSI2
G1182	FOXN3
G1183	HIRIP3
G1184	GM10780
G1185	GM23136
G1186	APLP1
G1187	SNORD43
G1188	PDCD6IP
G1189	GM25926
G1190	MIR669B
G1191	GM29397
G1192	PLTP
G1193	LIPG
G1194	BEX4
G1195	RTN1
G1196	GJA1
G1197	GHR
G1198	TGFBR3
G1199	F3
G1200	MINDY3
G1201	GM26447
G1202	TDGF1
G1203	SRGN
G1204	LRRC8D
G1205	FHOD1
G1206	CLCN5
G1207	MIR6394
G1208	RRM2
G1209	MIR5121
G1210	LRRK1
G1211	CTSD
G1212	PIPOX
G1213	ST3GAL6
G1214	HIST1H3H
G1215	MARCKS
G1216	GNG2
G1217	ASNS
G1218	GM28439
G1219	KAT6B
G1220	GM22635
G1221	GM26420
G1222	COMMD3
G1223	LAD1
G1224	EPS8L2
G1225	MORF4L2
G1226	PRDX4
G1227	EVA1A
G1228	MYO6
G1229	SERPINB6A
G1230	GM25636
G1231	LRRC1
G1232	MORC4
G1233	NOP56
G1234	CSTB
G1235	CEMIP
G1236	BCAS3
G1237	AHCY
G1238	DUSP9
G1239	RAB11A
G1240	MT-TF
G1241	RPP25
G1242	TMSB4X
G1243	ZFP367
G1244	FAM102A
G1245	RPS6KA6
G1246	CLDN6
G1247	CLIC1
G1248	CALM1
G1249	CHST15
G1250	GM24289
G1251	AQP8
G1252	SNORD49B
G1253	TXNIP
G1254	WDFY1
G1255	SERPINB6C
G1256	CR1L
G1257	MKRN1
G1258	GM15459
G1259	GM25451
G1260	TFRC
G1261	STARD10
G1262	CCNE1
G1263	TCAF1
G1264	IFRD1
G1265	NRG1
G1266	ENO1B
G1267	SLC7A6
G1268	CAR4
G1269	IGF2
G1270	GM22620
G1271	TPI1
G1272	SLC6A6
G1273	5031439G07RIK
G1274	SNHG12
G1275	PGD
G1276	PGA5
G1277	GM26318
G1278	DNAJC10
G1279	GM38312
G1280	ANP32A
G1281	RASGRP2
G1282	GM24044
G1283	PTTG1IP
G1284	HIST1H2AG
G1285	GSN
G1286	ANXA2
G1287	RANGRF
G1288	LAMB1
G1289	MIR295
G1290	RPL22L1
G1291	FBXO5
G1292	CKB
G1293	VCAN
G1294	KDELR3
G1295	RRBP1
G1296	SHF
G1297	CFC1
G1298	SDF2L1
G1299	LRRC2
G1300	GM22678
G1301	PDIA3
G1302	MIR7003
G1303	PLEKHA7
G1304	CTSL
G1305	MIR669J
G1306	ZFP989
G1307	TENM4
G1308	GCLM
G1309	GM24451
G1310	PDE4DIP
G1311	RNPEPL1
G1312	FGF10
G1313	THBD
G1314	GOT1
G1315	LIFR
G1316	MIR297B
G1317	BCAT1
G1318	IFITM3
G1319	MYO1C
G1320	GM26083
G1321	KIT
G1322	SFMBT2
G1323	GM26073
G1324	ZFP532
G1325	LDHB
G1326	CHCHD10
G1327	UBE2S
G1328	SNORA17
G1329	GLIPR2
G1330	TMED2
G1331	COLGALT1
G1332	AQP3
G1333	MYLPF
G1334	PTPN14
G1335	SRI
G1336	VAMP8
G1337	APPBP2
G1338	OSTC
G1339	DDX21
G1340	SLC6A8
G1341	BNC2
G1342	SQSTM1
G1343	MIR6928
G1344	EDA2R
G1345	GM15181
G1346	IGFBP2
G1347	CALR
G1348	ANXA5
G1349	LOXL2
G1350	CUL7
G1351	GM23130
G1352	GM16235
G1353	P3H4
G1354	HSPH1
G1355	ABHD5
G1356	GM45236
G1357	MIR1905
G1358	ITGA6
G1359	GM26426
G1360	SNORD93
G1361	MTCL1
G1362	GM26165
G1363	CALM2
G1364	BNIP3
G1365	RBM38
G1366	KRT18
G1367	PFKP
G1368	FAM129B
G1369	ATG16L2
G1370	TPD52
G1371	TYRO3
G1372	TSPAN9
G1373	EPS8
G1374	RBMS1
G1375	LAMP2
G1376	RPL15-PS3
G1377	CACHD1
G1378	SRM
G1379	HELLS
G1380	RRP1B
G1381	SLC26A10
G1382	2410141K09RIK
G1383	HSPA8
G1384	CLN6
G1385	GM49347
G1386	SNORD35B
G1387	GPA33
G1388	EIF4EBP1
G1389	QDPR
G1390	TTC7
G1391	LY6G6E
G1392	KANK3
G1393	ITGAV
G1394	GM26229
G1395	SNORA23
G1396	DDAH2
G1397	GLMP
G1398	RIAN
G1399	SNORA3
G1400	RFFL
G1401	GM10184
G1402	LDLR
G1403	PLOD1
G1404	TUBB6
G1405	CDH6
G1406	CCND3
G1407	DPPA2
G1408	AHNAK
G1409	RNF157
G1410	PLATR16
G1411	APP
G1412	GM22988
G1413	SNX2
G1414	DKC1
G1415	CTH
G1416	COBL
G1417	GM10221
G1418	GM8818
G1419	GM25680
G1420	GM22862
G1421	PDIA6
G1422	PDCD4
G1423	MRPL42
G1424	HSP90AA1
G1425	MIR1192
G1426	ARFGAP1
G1427	GABARAPL1
G1428	FGFR3
G1429	SNORA43
G1430	SLC45A4
G1431	LAPTM5
G1432	BCAM
G1433	GM24888
G1434	STT3A
G1435	IL33
G1436	DDAH1
G1437	GM24640
G1438	FST
G1439	TCF15
G1440	PRXL2A
G1441	SELENOW
G1442	PLATR14
G1443	ICAM1
G1444	LY6E
G1445	KRT19
G1446	SHKBP1
G1447	FLRT3
G1448	KRTCAP2
G1449	TRH
G1450	UBQLN2
G1451	CD9
G1452	NKTR
G1453	BEND5
G1454	TXNDC11
G1455	P3H2
G1456	GM37917
G1457	MIR3070B
G1458	STAG3
G1459	GM28037
G1460	GM20721
G1461	DUSP6
G1462	SNORD70
G1463	MIR28B
G1464	SLC35F5
G1465	TRIM2
G1466	SHROOM3
G1467	UCHL1
G1468	NIPSNAP1
G1469	TCN2
G1470	1110038B12RIK
G1471	MIR669A-1
G1472	DUSP3
G1473	GLUL
G1474	TMEM231
G1475	STX5A
G1476	MRPL23-PS1
G1477	GABARAP
G1478	IFITM1
G1479	HIST1H2BF
G1480	PITPNC1
G1481	GM37746
G1482	GM24494
G1483	AGPAT4
G1484	TAGLN2
G1485	RHOX5
G1486	COTL1
G1487	ACP6
G1488	KLB
G1489	GLS
G1490	GM8355
G1491	ZFP987
G1492	MYMX
G1493	PLOD3
G1494	CUBN
G1495	GDPD5
G1496	GM17545
G1497	HSPA5
G1498	AY036118
G1499	SLC7A5
G1500	PDLIM1
G1501	GM14870
G1502	PIK3AP1
G1503	TDH
G1504	MAPKAPK2
G1505	CMKLR1
G1506	MSL3
G1507	COPA
G1508	RMC1
G1509	GM24201
G1510	SLC25A22
G1511	GM7125
G1512	MPP1
G1513	MIR8091
G1514	IQSEC1
G1515	ATP13A3
G1516	USP3
G1517	CTDSPL
G1518	TCL1
G1519	RHPN1
G1520	PLXNB2
G1521	ECHDC2
G1522	SNORD35A
G1523	HSP90B1
G1524	INSIG1
G1525	SORD
G1526	GM24330
G1527	RETREG1
G1528	GM25117
G1529	CNDP2
G1530	PLXNA1
G1531	MDK
G1532	SLC20A1
G1533	MGST3
G1534	SLC5A11
G1535	ZFYVE21
