G0	BMI1
G390	PITX1
G391	MYBL2
G392	DIDO1
G393	TRP53BP1
G394	SMARCA5
G395	SMAD4
G396	POU2F1
G397	MED12
G398	CITED1
G399	IRF6
G400	SRF
G401	TBPL1
G402	POLR3D
G403	CUX2
G404	MAPK3
G405	DNMT1
G406	NR2F6
G407	ELP2
G408	GATA4
G409	ZFP91
G410	NOTCH4
G411	HSF2
G412	RAI14
G413	MTF2
G414	GTF2H3
G415	NONO
G416	CNOT8
G417	NFKBIA
G418	ZFP42
G419	NFX1
G420	EP300
G421	POLR2I
G422	ILF2
G423	RBFOX2
G424	ID3
G425	CELF3
G426	NAA15
G427	TRIM13
G428	ZBTB43
G429	DR1
G430	JUN
G431	GRHL1
G432	HIF1A
G433	POLR1A
G434	APBB1
G435	MYD88
G436	POLR3F
G437	FHL2
G438	TCOF1
G439	ETV4
G440	REST
G441	TBX18
G442	FUBP3
G443	SNAPC3
G444	HIF3A
G445	ELAVL2
G446	HDGF
G447	TWIST1
G448	JUND
G449	SMAD3
G450	PAPOLA
G451	NFIC
G452	ARNTL
G453	SP8
G454	PAWR
G455	ESRRB
G456	CNOT2
G457	BMP6
G458	CTBP1
G459	MEF2C
G460	ZFP277
G461	VEZF1
G462	TCERG1
G463	ZFP462
G464	TCF20
G465	DAB2
G466	TFAP4
G467	MAFK
G468	ZEB2
G469	RELA
G470	BTAF1
G471	ZFPM1
G472	BRCA2
G473	GATA3
G474	CBX8
G475	ESPL1
G476	CTNNBL1
G477	L3MBTL2
G478	SP1
G479	CRABP2
G480	ID2
G481	MEIS3
G482	TET1
G483	TRIB3
G484	TOX3
G485	EZH2
G486	HIST1H2BB
G487	ATF6
G488	BTG1
G489	UBP1
G490	EHMT2
G491	ATM
G492	YBX1
G493	FOXD3
G494	HDAC7
G495	ESRRA
G496	ZFP148
G497	HSF2BP
G498	CNOT6
G499	RBL1
G500	ZFP398
G501	RAPGEF3
G502	PRRX2
G503	NSD1
G504	DEK
G505	TGFB1I1
G506	ZFP57
G507	HNF4A
G508	SRSF1
G509	SMURF2
G510	E2F1
G511	ERCC8
G512	BIN1
G513	BARX1
G514	TRIM32
G515	ZBTB39
G516	PAX1
G517	CHD5
G518	ZFP36L1
G519	AATF
G520	PHC1
G521	ZBTB24
G522	ASH2L
G523	TRIM28
G524	MXD4
G525	PRDM5
G526	MCM5
G527	EOMES
G528	ELL3
G529	KPNA2
G530	TCF7
G531	ZMYND11
G532	HOPX
G533	TTF2
G534	DAZAP2
G535	EGR1
G536	MYC
G537	SREBF1
G538	SOX2
G539	ETS1
G540	ELF1
G541	SIRT2
G542	IKBKB
G543	KLF4
G544	KLF6
G545	NME2
G546	HIST1H1D
G547	KNTC1
G548	POLR2J
G549	BMP4
G550	ANKRD49
G551	MEIS1
G552	PMS1
G553	ANKRD6
G554	ZSCAN10
G555	RB1
G556	HTT
G557	RLIM
G558	GATAD2B
G559	GABPA
G560	ASXL1
G561	GTF3C5
G562	USF1
G563	RBBP4
G564	NFYA
G565	ZFP275
G566	SMARCAD1
G567	PAX6
G568	HMGXB3
G569	ETV6
G570	ANKS1
G571	DTX1
G572	MKX
G573	NFKB2
G574	ELL2
G575	ZDHHC15
G576	JMJD1C
G577	MEF2D
G578	TAF10
G579	CCND1
G580	SCMH1
G581	ARID5B
G582	CHD7
G583	COPS2
G584	ETV5
G585	TFAP2C
G586	PROX1
G587	ELK1
G588	TEAD4
G589	PA2G4
G590	TAF6L
G591	ATF3
G592	NKRF
G593	HSPB1
G594	NFE2L2
G595	PATZ1
G596	NR2C1
G597	PIAS2
G598	ELF2
G599	SRSF3
G600	TULP3
G601	CDC5L
G602	MCM6
G603	TFCP2L1
G604	AIRE
G605	GBX2
G606	MED21
G607	NFATC4
G608	XRCC5
G609	ANKRD54
G610	EWSR1
G611	ILF3
G612	HES6
G613	RBPJ
G614	PIAS1
G615	SUB1
G616	SMARCA2
G617	ELF3
G618	PHF1
G619	MYCN
G620	EBF4
G621	TOX4
G622	CREB3L2
G623	ZBTB7A
G624	MLXIP
G625	GABBR1
G626	ATF1
