#ID	Name
G0	BMI1
G389	SERTAD2
G390	PITX1
G391	MYBL2
G392	DIDO1
G393	TRP53BP1
G394	SMARCA5
G395	SMAD4
G396	POU2F1
G397	MED12
G398	CITED1
G399	IRF6
G400	SRF
G401	TBPL1
G402	POLR3D
G403	CUX2
G404	MAPK3
G405	DNMT1
G406	NR2F6
G407	ELP2
G408	GATA4
G409	ZFP91
G410	NOTCH4
G411	HSF2
G412	RAI14
G413	MTF2
G414	GTF2H3
G415	NONO
G416	CNOT8
G417	NFKBIA
G418	ZFP42
G419	NFX1
G420	EP300
G421	POLR2I
G422	ILF2
G423	RBFOX2
G424	ID3
G425	CELF3
G426	NAA15
G427	TRIM13
G428	ZBTB43
G429	DR1
G430	JUN
G431	GRHL1
G432	HIF1A
G433	POLR1A
G434	APBB1
G435	MYD88
G436	POLR3F
G437	FHL2
G438	TCOF1
G439	ETV4
G440	REST
G441	TBX18
G442	FUBP3
G443	SNAPC3
G444	HIF3A
G445	ELAVL2
G446	HDGF
G447	TWIST1
G448	JUND
G449	SMAD3
G450	PAPOLA
G451	NFIC
G452	ARNTL
G453	SP8
G454	PAWR
G455	ESRRB
G456	CNOT2
G457	BMP6
G458	CTBP1
G459	MEF2C
G460	ZFP277
G461	VEZF1
G462	TCERG1
G463	ZFP462
G464	TCF20
G465	DAB2
G466	TFAP4
G467	MAFK
G468	ZEB2
G469	RELA
G470	BTAF1
G471	ZFPM1
G472	BRCA2
G473	GATA3
G474	CBX8
G475	ESPL1
G476	CTNNBL1
G477	L3MBTL2
G478	SP1
G479	CRABP2
G480	ID2
G481	MEIS3
G482	TET1
G483	TRIB3
G484	TOX3
G485	EZH2
G486	HIST1H2BB
G487	ATF6
G488	BTG1
G489	UBP1
G490	EHMT2
G491	ATM
G492	YBX1
G493	FOXD3
G494	HDAC7
G495	ESRRA
G496	ZFP148
G497	HSF2BP
G498	CNOT6
G499	RBL1
G500	ZFP398
G501	RAPGEF3
G502	PRRX2
G503	NSD1
G504	DEK
G505	TGFB1I1
G506	ZFP57
G507	HNF4A
G508	SRSF1
G509	SMURF2
G510	E2F1
G511	ERCC8
G512	BIN1
G513	BARX1
G514	TRIM32
G515	ZBTB39
G516	PAX1
G517	CHD5
G518	ZFP36L1
G519	AATF
G520	PHC1
G521	ZBTB24
G522	ASH2L
G523	TRIM28
G524	MXD4
G525	PRDM5
G526	MCM5
G527	EOMES
G528	ELL3
G529	KPNA2
G530	TCF7
G531	ZMYND11
G532	HOPX
G533	TTF2
G534	DAZAP2
G535	EGR1
G536	MYC
G537	SREBF1
G538	SOX2
G539	ETS1
G540	ELF1
G541	SIRT2
G542	IKBKB
G543	KLF4
G544	KLF6
G545	NME2
G546	HIST1H1D
G547	KNTC1
G548	POLR2J
G549	BMP4
G550	ANKRD49
G551	MEIS1
G552	PMS1
G553	ANKRD6
G554	ZSCAN10
G555	RB1
G556	HTT
G557	RLIM
G558	GATAD2B
G559	GABPA
G560	ASXL1
G561	GTF3C5
G562	USF1
G563	RBBP4
G564	NFYA
G565	ZFP275
G566	SMARCAD1
G567	PAX6
G568	HMGXB3
G569	ETV6
G570	ANKS1
G571	DTX1
G572	MKX
G573	NFKB2
G574	ELL2
G575	ZDHHC15
G576	JMJD1C
G577	MEF2D
G578	TAF10
G579	CCND1
G580	SCMH1
G581	ARID5B
G582	CHD7
G583	COPS2
G584	ETV5
G585	TFAP2C
G586	PROX1
G587	ELK1
G588	TEAD4
G589	PA2G4
G590	TAF6L
G591	ATF3
G592	NKRF
G593	HSPB1
G594	NFE2L2
G595	PATZ1
G596	NR2C1
G597	PIAS2
G598	ELF2
G599	SRSF3
G600	TULP3
G601	CDC5L
G602	MCM6
G603	TFCP2L1
G604	AIRE
G605	GBX2
G606	MED21
G607	NFATC4
G608	XRCC5
G609	ANKRD54
G610	EWSR1
G611	ILF3
G612	HES6
G613	RBPJ
G614	PIAS1
G615	SUB1
G616	SMARCA2
G617	ELF3
G618	PHF1
G619	MYCN
G620	EBF4
G621	TOX4
G622	CREB3L2
G623	ZBTB7A
G624	MLXIP
G625	GABBR1
G626	ATF1
G627	SOAT1
G628	GM13597
G629	TXNDC12
G630	ODC1
G631	GM24044
G632	SLC25A4
G633	GM14303
G634	MAGED1
G635	PDIA6
G636	PHLDA3
G637	DCXR
G638	COL27A1
G639	PARVB
G640	GJB3
G641	SNORD43
G642	SLC5A11
G643	GM8355
G644	KRT8
G645	TCL1
G646	FGF10
G647	MYMX
G648	GM44429
G649	MIR291B
G650	EIF4A2
G651	ZFP989
G652	LDLRAP1
G653	GLMP
G654	FST
G655	GAS6
G656	DPP4
G657	GM22862
G658	CSRP2
G659	PHLDB2
G660	KAT6B
G661	CRIP2
G662	EDA2R
G663	PATJ
G664	DNAJC10
G665	BEND5
G666	FAM129B
G667	SLC25A5
G668	CTSL
G669	LAMB2
G670	AKR1B8
G671	ADAM19
G672	ECT2
G673	GM15181
G674	GM26092
G675	AF357399
G676	ZFYVE21
G677	ANP32A
G678	SLC26A10
G679	LY6G6E
G680	SRI
G681	KDM3A
G682	TENM4
G683	THBD
G684	KHDC3
G685	HIST1H2AK
G686	SNORD33
G687	ALG13
G688	COL4A1
G689	GM17545
G690	MSH6
G691	GM24455
G692	ANXA5
G693	GM17035
G694	MKRN1
G695	BMPER
G696	CCN2
G697	ADAMTS9
G698	GM25701
G699	TOP2A
G700	L1TD1
G701	MIR3070B
G702	ME1
G703	GM27326
G704	GM25787
G705	GM14519
G706	SFI1
G707	IMPDH1
G708	GM26426
G709	NUTF2-PS2
G710	MIR5121
G711	HSPA5
G712	GM26448
G713	FXYD3
G714	GM20721
G715	GM2399
G716	MME
G717	MIR669G
G718	P3H4
G719	ZFAS1
G720	FGF4
G721	P3H1
G722	MIR669A-1
G723	GM42429
G724	CALR
G725	CTSD
G726	GM23651
G727	EDEM1
G728	GM9531
G729	RIAN
G730	GM23136
G731	GM22988
G732	SRM
G733	FRRS1
G734	HIST1H2BN
G735	RAB11A
G736	SNORA43
G737	SORD
G738	CDC42SE2
G739	TMED2
G740	ERP29
G741	GM22072
G742	LGMN
G743	CHST15
G744	TIMP3
G745	TNS4
G746	GM24616
G747	RASGRP2
G748	TNK2
G749	HIST1H3H
G750	STARD8
G751	LEFTY1
G752	GM10259
G753	PFKP
G754	B2M
G755	NUP210
G756	UNG
G757	P4HA1
G758	GM37917
G759	TMEM144
G760	KIT
G761	SLCO3A1
G762	CTSA
G763	BASP1
G764	DKC1
G765	ULK1
G766	GLDC
G767	BCAM
G768	MIR7003
G769	PCOLCE
G770	GM26917
G771	BEX1
G772	AU018091
G773	RPL22L1
G774	BNIP3
G775	GM25500
G776	VIM
G777	MIR466O
G778	AMOT
G779	CALU
G780	FRMD4A
G781	MGST3
G782	GM25835
G783	TXNIP
G784	EMP2
G785	MIR669A-3
G786	HDLBP
G787	GM26060
G788	GM28960
G789	TFRC
G790	GM24201
G791	GM44206
G792	RANBP17
G793	GM24289
G794	RPL15-PS3
G795	NPHS1
G796	HIST1H2BK
G797	MANF
G798	GM4202
G799	SLC16A1
G800	TYRO3
G801	EFEMP2
G802	AMOTL2
G803	CTBP2
G804	GM22091
G805	ALPL
G806	MEG3
G807	GM24451
G808	SNORA73A
G809	MAN1A2
G810	ZC3H7A
G811	MIR7063
G812	ARHGEF40
G813	IFITM2
G814	GM25943
G815	MIR1949
G816	SHKBP1
G817	GLIPR2
G818	TIMP2
G819	SPARC
G820	SNORA74A
G821	HIST1H2BL
G822	LRPAP1
G823	HIST1H2BF
G824	GNPDA1
G825	GM24494
G826	GPX3
G827	SELENOW
G828	GM22620
G829	IFITM1
G830	CCNB1
G831	SURF4
G832	CD63
G833	DDAH2
G834	TPD52
G835	SPOCK1
G836	LAMA5
G837	FAM234A
G838	RCC2
G839	KDELR2
G840	GM26431
G841	SNORD93
G842	GM10718
G843	LAMA1
G844	2810025M15RIK
G845	PLOD3
G846	PMM1
G847	HKDC1
G848	KRT42
G849	LAMC1
G850	VEGFA
G851	TMEM150A
G852	NEDD4
G853	HMCES
G854	CKB
G855	HIP1
G856	GM23569
G857	CALCOCO2
G858	APOE
G859	EIF4A-PS4
G860	MRAS
G861	RBPMS2
G862	NID1
G863	APOBEC3
G864	ISYNA1
G865	SNURF
G866	SNHG12
G867	LNCENC1
G868	GM25451
G869	EPS8
G870	HSPH1
G871	GM37404
G872	GM23833
G873	SNORD35B
G874	LEFTY2
G875	DUSP9
G876	NOTUM
G877	GRB10
G878	IGF2
G879	COL4A2
G880	SPP1
G881	SNORA3
G882	GSR
G883	STARD10
G884	SNORD70
G885	GM25316
G886	MT1
G887	PDK1
G888	HTRA1
G889	VILL
G890	GM15459
G891	MT2
G892	HSPG2
G893	SRGN
G894	GM22455
G895	GM23130
G896	CDC20
G897	SERPINH1
G898	MIR3535
G899	COMMD3
G900	PODXL
G901	HMGA1B
G902	EPHA2
G903	GM14870
G904	PDPN
G905	CUBN
G906	GM27624
G907	PTH1R
G908	SLC7A6
G909	GM10925
G910	GM26287
G911	HSP90B1
G912	PRXL2A
G913	MYO7A
G914	CTSZ
G915	D230025D16RIK
G916	MIR186
G917	TAGLN2
G918	IGFBP2
G919	JAM2
G920	MIR669J
G921	RCN3
G922	FLRT3
G923	GM26156
G924	FDPS
G925	RRBP1
G926	COTL1
G927	NSD2
G928	GM43238
G929	VSIR
G930	P4HB
G931	ZYX
G932	GM10780
G933	MIR8091
G934	CEMIP
G935	MIR7005
G936	IL33
G937	SNORA81
G938	AMPD2
G939	KDELR3
G940	KANK3
G941	ENO1B
G942	CHCHD10
G943	PDCD4
G944	STXBP2
G945	SNORD34
G946	INSIG1
G947	LOXL2
G948	SNORD49A
G949	NXF7
G950	GJA1
G951	TDGF1-PS1
G952	CALD1
G953	ADAM23
G954	GLS
G955	GM22281
G956	FAM25C
G957	LDHB
G958	TINAGL1
G959	ABHD5
G960	TPM4
G961	SGK1
G962	SPRY2
G963	SLC6A8
G964	GSTA4
G965	UPP1
G966	GDPD5
G967	RAB3IL1
G968	PGAM1-PS2
G969	GM23988
G970	LMF2
G971	GABARAPL2
G972	SDC4
G973	TDGF1
G974	GM49347
G975	FGFR3
G976	EPHA4
G977	GM29397
G978	GM26447
G979	MOV10
G980	SLC7A3
G981	LTBP4
G982	GM43558
G983	UBQLN2
G984	GM7329
G985	TUBA4A
G986	MORC4
G987	GM25753
G988	FXYD6
G989	PLOD1
G990	GM25057
G991	TXNDC5
G992	LRP2
G993	GM22678
G994	MYH9
G995	MYO6
G996	GASK1B
G997	MIR297A-2
G998	FN1
G999	SAT1
G1000	TDH
G1001	PDGFRA
G1002	RNF157
G1003	GM38312
G1004	ITPK1
G1005	CDKN1A
G1006	HIST1H1A
G1007	GM9385
G1008	ZFP979
G1009	CKAP4
G1010	GM49450
G1011	HSP25-PS1
G1012	SPRY4
G1013	ATP13A3
G1014	FABP3
G1015	MIR669B
G1016	GM24761
G1017	CST3
G1018	SNORD32A
G1019	MIR466B-6
G1020	SSR3
G1021	FBLIM1
G1022	GM21962
G1023	MIR466B-4
G1024	NDRG1
G1025	IFITM3
G1026	GM24564
G1027	OPLAH
G1028	ITGA6
G1029	HSP90AA1
G1030	APP
G1031	MIR1192
G1032	SLC6A6
G1033	UHRF1
G1034	SEMA4C
G1035	LAMB1
G1036	GM28030
G1037	SEC24D
G1038	SNORD35A
G1039	RPL17-PS10
G1040	PRSS35
G1041	GM28439
G1042	MARC2
G1043	CCNG1
G1044	SNORD87
G1045	F3
G1046	ZFP987
G1047	SLC9A6
G1048	GM23571
G1049	PGA5
G1050	GM24497
G1051	ARHGAP29
G1052	ATP6V0A1
G1053	2410141K09RIK
G1054	PLTP
G1055	TUBB6
G1056	GM24488
G1057	HIST1H2AI
G1058	UCHL1
G1059	GLUL
G1060	CAR2
G1061	WDR45
G1062	HIST1H2AC
G1063	DKK1
G1064	LRRK1
G1065	MYLPF
G1066	GM37746
G1067	SERPINE2
G1068	RHOX5
G1069	NRG1
G1070	PLOD2
G1071	ASS1
G1072	UBE2C
G1073	HS3ST1
G1074	CLDN6
G1075	HIST1H2AF
G1076	RRM2
G1077	GM26073
G1078	ASNS
G1079	MRPL23-PS1
G1080	BCAT1
G1081	SHROOM3
G1082	CTH
G1083	2200002D01RIK
G1084	SNORA26
G1085	NDRG4
G1086	GM23268
G1087	TMSB4X
G1088	GM44335
G1089	IFI30
G1090	OBSL1
G1091	SOCS2
G1092	GM26318
G1093	MORF4L2
G1094	TUBB2B
G1095	SNORD49B
G1096	GNAS
G1097	HIST1H4K
G1098	CMKLR1
G1099	LAPTM5
G1100	AQP8
G1101	CLCN5
G1102	P4HA2
G1103	TRH
G1104	PLA2G1B
G1105	PWWP3B
G1106	FGF3
G1107	GM10039
G1108	GM10184
G1109	ANXA2
G1110	GM44330
G1111	SEPT1
G1112	SNORA68
G1113	TSPAN9
G1114	MT-TF
G1115	PLAT
G1116	COBL
G1117	PTPN14
G1118	GM24330
G1119	AY036118
