#ID	Name
G0	EYA2
G182	ZMIZ1
G183	P2RY14
G184	CCL3
G185	PARP8
G186	MPL
G187	TNFAIP2
G188	HID1
G189	GGT5
G190	ERP29
G191	VLDLR
G192	RGS19
G193	SELL
G194	TMEM268
G195	H2-OB
G196	EVI2A
G197	ME2
G198	LHCGR
G199	PLPPR3
G200	5430427O19RIK
G201	SERPINA3G
G202	ELOVL5
G203	MKI67
G204	CD244A
G205	ANKRD33B
G206	SLC18A2
G207	NCAPD2
G208	ADAM17
G209	TNS2
G210	ITGAM
G211	EPSTI1
G212	TMEM173
G213	PPCDC
G214	NKG7
G215	HAAO
G216	LAG3
G217	ARRDC4
G218	CD63
G219	RGS2
G220	KLHL4
G221	STK17B
G222	UNC93B1
G223	ITGAL
G224	CD81
G225	IL7R
G226	CD69
G227	SLC18A1
G228	TMEM246
G229	SYK
G230	CD44
G231	PKIB
G232	DEF8
G233	NCEH1
G234	TBXA2R
G235	POLA2
G236	CMAH
G237	PRNP
G238	APP
G239	NT5C3
G240	CFP
G241	CD33
G242	PAQR5
G243	NAV1
G244	NAPSA
G245	BLNK
G246	F11R
G247	CDKN1C
G248	GM973
G249	ABCG2
G250	FCHO2
G251	DOK2
G252	KAZALD1
G253	MYCT1
G254	FCRL1
G255	STARD4
G256	GIMAP4
G257	FDFT1
G258	PPIC
G259	SLC16A10
G260	PLSCR4
G261	CDT1
G262	CAPG
G263	TIPIN
G264	CCL9
G265	ARHGAP18
G266	PIRB
G267	PROCR
G268	IGHV1-77
G269	FAM171A1
G270	SLC2A3
G271	TAPT1
G272	PARVG
G273	GNG11
G274	SAMSN1
G275	GM2A
G276	RNASE6
G277	ARHGEF39
G278	SLC43A2
G279	VAMP1
G280	2810468N07RIK
G281	FKBP9
G282	PYGL
G283	AMPD2
G284	AFF3
G285	NRROS
G286	APLP2
G287	MPO
G288	TES
G289	BTLA
G290	GM10384
G291	ARL11
G292	RHOF
G293	TMEM14C
G294	SSH2
G295	TIE1
G296	CD34
G297	PECAM1
G298	CLEC12A
G299	NPDC1
G300	JAM3
G301	PDE1B
G302	FLT3
G303	SERPINF1
G304	IL17RE
G305	SLC44A2
G306	RASAL3
G307	H2-Q6
G308	ICA1
G309	GMNN
G310	CYFIP2
G311	SERPINB6A
G312	NUDT19
G313	MMRN1
G314	SAT1
G315	ANXA5
G316	SSTR2
G317	CSF3R
G318	DOCK10
G319	ROBO4
G320	SELENOP
G321	PEAR1
G322	PDZK1IP1
G323	TINAGL1
G324	GBP4
G325	CADPS2
G326	STXBP1
G327	RNF213
G328	TESPA1
G329	FRMD6
G330	AFDN
G331	DOCK11
G332	ADGRL4
G333	ARID5A
G334	CTNNAL1
G335	4833407H14RIK
G336	GPR18
G337	TRIM47
G338	PRUNE2
G339	MAGED1
G340	GIMAP1
G341	PRR5
G342	C230085N15RIK
G343	F630028O10RIK
G344	DUSP1
G345	E430014B02RIK
G346	ARHGEF18
G347	RANBP1
G348	CD74
G349	ADGRG3
G350	SYTL1
G351	CORO7
G352	SELPLG
G353	UAP1L1
G354	EBI3
G355	IRAK3
G356	PRIM1
G357	ST8SIA4
G358	PANX1
G359	ARHGAP27
G360	IPCEF1
G361	RCSD1
G362	P2RX1
G363	SLC22A3
G364	GUCY1A1
G365	KCTD12
G366	LACTB
G367	TUBB4B
G368	PGRMC1
G369	JPT1
G370	CCT2
G371	OSGIN1
G372	FCGRT
G373	PPM1G
G374	TRPV2
G375	CDK18
G376	IL10RA
G377	RNF13
G378	PPP1R15A
G379	IL12A
G380	GNG2
G381	MAMDC2
G382	GM4759
G383	TBC1D5
G384	DPP4
G385	ARHGAP15
G386	SPNS3
G387	SULT1A1
G388	RBPMS
G389	KIF17
G390	MYLK
G391	DUSP6
G392	GAA
G393	CERS4
G394	LAX1
G395	SLC39A13
G396	SEMA3D
G397	LPCAT2
G398	APOE
G399	SLC29A1
G400	PRSS57
G401	PLEK
G402	FAM110C
G403	CD55
G404	ADSSL1
G405	GM5111
G406	DCK
G407	PLXDC2
G408	PDGFRB
G409	HSD3B7
G410	SLFN2
G411	ARPP21
G412	SH2D5
G413	IGKC
G414	IFI27
G415	PRKCH
G416	SLAMF1
G417	ANKRD44
G418	CIPC
G419	RRAS
G420	AC174780.1
G421	NHP2
G422	GIMAP8
G423	GDF3
G424	TMEM206
G425	VEGFC
G426	OTUB2
G427	LYN
G428	GP9
G429	GSN
G430	TM6SF1
G431	PLD4
G432	UBA7
G433	FGD5
G434	NCF1
G435	GBP2
G436	CPNE8
G437	TBXAS1
G438	D630039A03RIK
G439	CISH
G440	GIMAP5
G441	NWD1
G442	TSPAN2
G443	MYO5A
G444	PLXNC1
G445	OBSL1
G446	GOLM1
G447	C1RL
G448	CPQ
G449	S100A6
G450	KRT18
G451	TMEM37
G452	ZNRF2
G453	CAV2
G454	AP1S2
G455	BPIFC
G456	LGALS1
G457	MPZL1
G458	SLC16A11
G459	WFDC17
G460	SCARF1
G461	RFTN1
G462	RAMP1
G463	FUT7
G464	UPP1
G465	ITGB5
G466	TRAF1
G467	SNAP23
G468	LRRC8C
G469	RASA4
G470	GIMAP3
G471	N4BP3
G472	DNTT
G473	IL18RAP
G474	FGD2
G475	TFR2
G476	CD52
G477	CAMK1D
G478	ZFP367
G479	CTTN
G480	LGMN
G481	LSP1
G482	DDX4
G483	OTULINL
G484	CD9
G485	MAN1A
G486	CST7
G487	CDK17
G488	WFDC2
G489	2610307P16RIK
G490	TOP2A
G491	ZFP62
G492	SLC9A9
G493	IGFBP4
G494	RNF38
G495	RAB27B
G496	FADS1
G497	SOCS2
G498	DTL
G499	CDK6
G500	DUSP5
G501	PLIN3
G502	GRAMD1A
G503	ATP8B4
G504	CASP12
G505	GSTT1
G506	LCK
G507	CTSW
G508	CCDC112
G509	ABCG3
G510	NDRG2
G511	CTSB
G512	NEURL3
G513	EFNA1
G514	TRIM16
G515	SLC35D3
G516	CHRNB1
G517	RP2
G518	TMEM123
G519	TPM4
G520	PTP4A3
G521	ACAP1
G522	H2-DMA
G523	CREG1
G524	HACD4
G525	FUCA2
G526	TXNIP
G527	SERP1
G528	9530082P21RIK
G529	TYROBP
G530	GM1966
G531	GIMAP1OS
G532	PTPRE
G533	PSTPIP1
G534	MSMO1
G535	NLRC3
G536	CNN3
G537	CCNG2
G538	GBP9
G539	EEPD1
G540	CLIP3
G541	NSMF
G542	ZFP422
G543	IFI213
G544	CRACR2B
G545	OBSCN
G546	KBTBD11
G547	BGN
G548	IFI209
G549	SLC26A11
G550	EMB
G551	IFI206
G552	TLR7
G553	GGTA1
G554	CTSH
G555	CKS1B
G556	ITGB7
G557	JCHAIN
G558	VAV3
G559	ESAM
