#ID	Name
G0	RAG2
G537	CDK6
G538	CHST2
G539	BGN
G540	VLDLR
G541	SLC43A2
G542	SCRN1
G543	FCHO2
G544	GIMAP3
G545	EMP1
G546	DHRS3
G547	FRMD6
G548	CCR7
G549	FCRL1
G550	SSTR2
G551	OSGIN1
G552	TFPI
G553	PPIC
G554	CD34
G555	FLNA
G556	ZFP37
G557	STK10
G558	9030619P08RIK
G559	ITGA6
G560	ADAMTSL5
G561	IGLC2
G562	MAMDC2
G563	APOE
G564	AKNA
G565	C1RL
G566	MLPH
G567	CCNG2
G568	SMTNL1
G569	NUCB2
G570	GIMAP4
G571	ABHD17B
G572	NSMF
G573	CLEC14A
G574	NEO1
G575	IFI213
G576	CCL3
G577	GBP2
G578	PLCL1
G579	ATPIF1
G580	SAT1
G581	JPT1
G582	GM26917
G583	LAPTM5
G584	RAMP1
G585	GM1966
G586	PKIA
G587	HSPE1
G588	CFP
G589	PLEKHB1
G590	COL4A2
G591	PDCD4
G592	CTSS
G593	RHOF
G594	CSGALNACT1
G595	CD53
G596	AFF3
G597	GPX1
G598	MCTP2
G599	GM4951
G600	GM30948
G601	GOLM1
G602	FAM171A1
G603	ROBO4
G604	ARHGAP18
G605	STXBP1
G606	TSPAN13
G607	SYK
G608	CCDC112
G609	SLC18A1
G610	SEMA3D
G611	RHOH
G612	DPP4
G613	ITSN1
G614	GMNN
G615	SLC16A11
G616	PROCR
G617	IGHV1-81
G618	CYP26B1
G619	NPDC1
G620	PLXNA1
G621	CTNNAL1
G622	IL18RAP
G623	TRPC6
G624	SLC39A6
G625	SLC18A2
G626	PPP1R15A
G627	HID1
G628	CASP12
G629	TFEC
G630	DUSP1
G631	MYCT1
G632	MYLK
G633	S100A6
G634	CNN3
G635	IL17RA
G636	STK17B
G637	RUSC2
G638	NT5C3
G639	C130089K02RIK
G640	CD52
G641	CPQ
G642	CD93
G643	COL4A1
G644	RAB27B
G645	OCLN
G646	KCNK5
G647	STARD4
G648	GCSAM
G649	LPCAT2
G650	CDK17
G651	TMEM173
G652	LCK
G653	SLC25A5
G654	TSPAN3
G655	ITGB7
G656	MIR6240
G657	TAPT1
G658	ANKRD33B
G659	MKI67
G660	PDE1C
G661	GUCY1A1
G662	CD9
G663	CLIP3
G664	PARP8
G665	IFI27L2A
G666	CTSW
G667	P2RY14
G668	SERP1
G669	FGFR3
G670	GSN
G671	AC174780.1
G672	RASIP1
G673	RNF38
G674	PLXNA4OS1
G675	IL10RA
G676	MAGED2
G677	IFITM1
G678	CDT1
G679	GM15564
G680	GM37124
G681	H2-DMA
G682	UBE2L6
G683	CORO7
G684	GM8203
G685	WFDC2
G686	ABCG3
G687	PAQR5
G688	FGD5
G689	NHP2
G690	CD55
G691	ADGRG1
