#ID	Name
G0	PHF10
G214	CDT1
G215	PLXNC1
G216	PTDSS1
G217	RP2
G218	SLC18A2
G219	WDR55
G220	PARP8
G221	CLEC12A
G222	SLC28A2
G223	ATP6AP1
G224	TRP53I11
G225	ST6GALNAC4
G226	RRM2
G227	FAM136A
G228	MOB3C
G229	HACD3
G230	NEURL3
G231	TMEM43
G232	CST7
G233	METTL27
G234	ABCB8
G235	SLC43A3
G236	RHOF
G237	RAB44
G238	MFSD1
G239	HDC
G240	IL12A
G241	CCL9
G242	MFNG
G243	GCNT2
G244	ARHGEF18
G245	PSEN1
G246	CYBC1
G247	MYO1F
G248	GSR
G249	PLEK
G250	IGTP
G251	DHX33
G252	UMPS
G253	SNAP23
G254	USP37
G255	ARL8B
G256	TESPA1
G257	STXBP4
G258	KAT7
G259	PUS7
G260	GM1966
G261	IDH1
G262	CD74
G263	MYO5A
G264	FUT7
G265	PIM2
G266	HP
G267	SLC30A5
G268	RFC4
G269	PAK1
G270	TOP2A
G271	SDF2L1
G272	MARS
G273	AFAP1L1
G274	PHF6
G275	PREP
G276	GLB1
G277	KCTD12
G278	BID
G279	IFI44
G280	SERPINB1A
G281	GRK3
G282	GBP3
G283	DHRS3
G284	TFR2
G285	CTSG
G286	FCGR2B
G287	CSF3R
G288	TMEM173
G289	CDC45
G290	LY6C2
G291	PLIN3
G292	ACOT9
G293	KPNA3
G294	PRKCQ
G295	CFP
G296	FLT3
G297	NCLN
G298	ABHD17B
G299	TK1
G300	IPO9
G301	MAPKAPK3
G302	RMND5A
G303	RABGGTB
G304	PDZK1IP1
G305	ATP8B4
G306	SORT1
G307	DENND1C
G308	SNX30
G309	RGCC
G310	CASP1
G311	MTMR6
G312	AKNA
G313	RFC5
G314	ERLIN1
G315	LCP2
G316	HEXA
G317	RAB31
G318	GMIP
G319	SERPINA3G
G320	ITIH5
G321	EMILIN1
G322	DOK2
G323	TIMM29
G324	MSH6
G325	PRIM2
G326	UBE2L6
G327	MYCT1
G328	FLNB
G329	SLC35B4
G330	GNG11
G331	ZFP35
G332	RGS1
G333	CD300A
G334	TMX4
G335	PRIM1
G336	GMFB
G337	TARS
G338	NCAPD2
G339	MFSD14B
G340	F630028O10RIK
G341	PLPPR3
G342	TRMT11
G343	CD53
G344	CTSF
G345	FRRS1
G346	ISYNA1
G347	KRT18
G348	CTSO
G349	CD69
G350	GNG12
G351	GALNT6
G352	BC005561
G353	PTGR1
G354	CCL4
G355	CASP4
G356	CSF2RB
G357	VPS16
G358	OTUD6B
G359	UBL4A
G360	PHF11B
G361	COLGALT1
G362	IL27RA
G363	FTSJ3
G364	NDE1
G365	LONP1
G366	SELENBP1
G367	TMEM229B
G368	RARS
G369	LDHB
G370	TNIP3
G371	GIMAP1OS
G372	LTB
G373	GM4759
G374	SERPINB9
G375	ICAM1
G376	ESAM
G377	TMEM50B
G378	SCARF1
G379	CCNB2
G380	MAGED1
G381	FLOT2
G382	IGSF6
G383	SPNS2
G384	TCN2
G385	PGLYRP2
G386	PLAA
G387	MRPL37
G388	MYO1G
G389	GM5111
G390	SPNS3
G391	ZFP24
G392	EML4
G393	INO80D
G394	GLIPR2
G395	GANAB
G396	CYP2J6
G397	MS4A3
G398	SSH3
G399	FES
G400	BACE1
G401	SLC25A46
G402	PSTPIP1
G403	GUSB
G404	PRPS2
G405	CSGALNACT1
G406	PRSS57
G407	CNIH1
G408	RANBP3
G409	HK3
G410	PRMT7
G411	DLST
G412	USP11
G413	TGM2
G414	H2-OB
G415	CD82
G416	CALCRL
G417	GBP2
G418	ALAS1
G419	PTTG1IP
G420	CSTF2
G421	POR
G422	GNS
G423	MPL
G424	MTFR1
G425	MOGS
G426	IGKC
G427	ANXA1
G428	DEF8
G429	TCIRG1
G430	GMCL1
G431	FCGR3
G432	CASP12
G433	CHRNB1
G434	MSMO1
G435	TCP11L2
G436	PPAT
G437	AHCYL1
G438	CD48
G439	PLD3
G440	CTLA2A
G441	OSBPL1A
G442	VSIR
G443	PPP1R15A
G444	NEAT1
G445	TRIM35
G446	GPR65
G447	RASSF4
G448	EMID1
G449	CTC1
G450	MAN2A2
G451	RASA4
G452	DPP8
G453	ZFP451
G454	CSGALNACT2
G455	NCF1
G456	GOLPH3
G457	LY6A
G458	RPS6KA3
G459	UTP4
G460	FAM91A1
G461	GRINA
G462	FGL2
G463	TSPAN14
G464	MYL10
G465	CERK
G466	FAM111A
G467	TBXAS1
G468	FAR1
G469	POLE3
G470	PANX1
G471	ATP6AP2
G472	FOXRED1
G473	TBL3
G474	ATG12
G475	TMEM206
G476	MTREX
G477	DNM1L
G478	IIGP1
G479	MAP4K2
G480	NUDT19
G481	TBC1D9B
G482	CTLA2B
G483	DUS1L
G484	CUL3
G485	PADI4
G486	DUSP1
G487	PRPF4
G488	DNAJC5
G489	RPA2
G490	SLA
G491	ARID5A
G492	LYN
G493	CD52
G494	ST8SIA4
G495	CDC6
G496	MS4A6C
G497	UAP1
G498	ADSSL1
G499	CLN5
G500	UHRF1
G501	GT(ROSA)26SOR
G502	CLPTM1L
G503	DHFR
G504	ELMO2
G505	RRM1
G506	IGHM
G507	TGTP2
G508	EIF1AD
G509	RAB37
G510	TYMS
G511	AKAP8L
G512	PCLAF
G513	RGS2
G514	SLC19A1
G515	CAD
G516	F11R
G517	SMPDL3A
G518	SETD2
G519	CDCA8
G520	PRODH
G521	ORC6
G522	TBC1D10C
G523	IARS2
G524	TOP3B
G525	GIMAP1
G526	ACAA2
G527	TYROBP
G528	METAP1
G529	TUBGCP3
G530	PRELID3B
G531	XPNPEP1
G532	LONP2
G533	PTGS1
G534	RPA1
G535	ME2
G536	CERS4
G537	PLAC8
G538	SH2D5
G539	PCMTD2
G540	UBA7
G541	ALDH9A1
G542	OTULINL
G543	TBC1D5
G544	TNFRSF21
G545	GPR160
G546	SAMD9L
G547	CCDC137
G548	G6PDX
G549	IRGM2
G550	CHORDC1
G551	ANXA2
G552	BCL2
G553	GMNN
G554	DNAJC11
G555	ITSN1
G556	SHISA8
G557	AP3S1
G558	CCDC50
G559	PSAT1
G560	ELANE
G561	ATP13A1
G562	PEAR1
G563	TMX3
G564	COPB1
G565	LAP3
G566	CTSZ
G567	MORC3
G568	GIMAP5
G569	FIGNL1
G570	EPSTI1
G571	FDFT1
G572	ADGRG3
G573	MILR1
G574	STARD7
G575	MAD2L1
G576	NSD2
G577	MAGED2
G578	FCHO2
G579	POLD1
G580	PBK
G581	VPS35
G582	SLC2A3
G583	CYP4V3
G584	COQ8A
G585	4833439L19RIK
G586	GRIA3
G587	MIS12
G588	S100A6
G589	VAV3
G590	CKAP5
G591	DENND2D
G592	NCEH1
G593	NAMPT
G594	ARHGEF39
G595	ATP11C
G596	NFAM1
G597	EPB41L4B
G598	MMRN1
G599	2610035D17RIK
G600	NOP2
G601	UBR7
G602	SESN1
G603	MICU1
G604	HACD4
G605	PFKP
G606	RANGAP1
G607	IARS
G608	ITM2A
G609	DCAF13
G610	RPP40
G611	EMCN
G612	NDRG1
G613	TXNDC11
G614	MKI67
G615	PCMTD1
G616	FASTKD2
G617	FGFR1OP
G618	LGALS1
G619	CPA3
G620	ITGAL
G621	SHMT1
G622	SGMS1
G623	NADK
G624	CYP2J9
G625	FUCA2
G626	WDR4
G627	TM7SF3
G628	ARL11
G629	TRIM47
G630	TRPC6
G631	ANXA5
