#ID	Name
G0	CTNNB1
G125	SOX17
G126	SMAD5
G127	E2F3
G128	TBX20
G129	DEK
G130	ARNT2
G131	RAD51
G132	ZNF146
G133	SIX6
G134	BARX2
G135	MAPK10
G136	HIST1H1B
G137	POU3F1
G138	GTF3C4
G139	POLR2G
G140	ID1
G141	MLLT6
G142	KHSRP
G143	ZNF8
G144	DACH1
G145	GATA6
G146	ZEB1
G147	TRIM25
G148	ZHX3
G149	JUND
G150	PATZ1
G151	APEX1
G152	DMBX1
G153	MAFG
G154	EHMT2
G155	E2F7
G156	SATB2
G157	TWIST1
G158	PPARGC1B
G159	PURA
G160	WWTR1
G161	ZNF165
G162	FUBP1
G163	ARID3A
G164	BTG2
G165	TRIP6
G166	WWP1
G167	HDGF
G168	DNAJC2
G169	RBPJ
G170	CENPK
G171	CXXC1
G172	TEAD4
G173	SOX4
G174	POLR2A
G175	RFXANK
G176	RBM14
G177	ZNF202
G178	PTMA
G179	KLF7
G180	SOX2
G181	SNAI2
G182	SP100
G183	TRERF1
G184	TFAP4
G185	RXRG
G186	KLF6
G187	ZBTB2
G188	ZNF398
G189	BCL11B
G190	TFAP2A
G191	HNRNPAB
G192	MDM4
G193	MED14
G194	DAB2
G195	SOX5
G196	POLR2K
G197	HOXB4
G198	MCM3
G199	RAI1
G200	HELZ
G201	SKIL
G202	ZFP42
G203	APBB1
G204	POLR1B
G205	GATA2
G206	NR2C1
G207	SNRPD1
G208	FOXN3
G209	NKX3-1
G210	LMX1B
G211	HMGN2
G212	BMPR1A
G213	NPM1
G214	UHRF1
G215	GATA3
G216	DNMT3A
G217	FXR1
G218	PPARA
G219	CALCOCO1
G220	HOXB7
G221	PHB2
G222	CBX3
G223	APBB2
G224	FLI1
G225	SRSF6
G226	POLR1C
G227	NONO
G228	LZTS1
G229	MXD4
G230	POU2F2
G231	UBTF
G232	NFIA
G233	MYCN
G234	ATRX
G235	SMARCD3
G236	TRAF6
G237	HNRNPD
G238	ASH2L
G239	MCM6
G240	ENO1
G241	MEF2D
G242	PHF17
G243	DNMT1
G244	ZKSCAN1
G245	RBFOX2
G246	FOXP1
G247	SFPQ
G248	TLE1
G249	ISL1
G250	CHAF1A
G251	SMAD2
G252	TRIP11
G253	MAML3
G254	SOX13
G255	TLR7
G256	TRIM28
G257	MCM7
G258	ZFPM2
G259	RBMX
G260	ZNF24
G261	HOXB3
G262	SMARCC1
G263	ZIC3
G264	GCM1
G265	RUVBL1
G266	H1F0
G267	CTBP1
G268	POLR2D
G269	SIRT1
G270	NAA15
G271	NFATC1
G272	ZNF585B
G273	CRABP2
G274	POU2F1
G275	UPF2
G276	EGR1
G277	PBXIP1
G278	ARID3B
G279	NFE2L3
G280	PLAGL1
G281	RNF19A
G282	MIF
G283	ARID5B
G284	NFIB
G285	ARID4B
G286	TCEA1
G287	ZFHX3
G288	MEIS1
G289	ZNF83
G290	PBX1
G291	STAT3
G292	HESX1
G293	ANKRD1
G294	RBBP4
G295	CCND1
G296	IRF1
G297	ALS2CR8
G298	SRSF1
G299	ASB4
G300	SALL2
G301	LMO2
G302	SMARCD1
G303	TMF1
G304	MED16
G305	CREB3L4
G306	MSX1
G307	ELL2
G308	HMGA1
G309	ETV3
G310	MCM2
G311	ID3
G312	ASB9
G313	LIMD1
G314	ZNF587
G315	FUS
G316	ZIC2
G317	SF1
G318	MEIS2
G319	BMP4
G320	GATAD2A
G321	FOXF1
G322	NFAT5
G323	BTF3
G324	ZBTB38
G325	LIN28A
G326	ASXL1
G327	POU5F1
G328	ZNF589
G329	PRIC285
G330	DPF2
G331	PDGFA
G332	ANKRD6
G333	KHDRBS2
G334	HCFC1
G335	IFI16
G336	KAT6A
G337	CRX
G338	ZNF160
G339	SPIB
G340	DEDD2
G341	HLX
G342	PAWR
G343	SOX7
G344	MYBBP1A
G345	MLL3
G346	SUPT7L
G347	TEAD1
G348	NFATC3
G349	SRSF3
G350	ZNF471
G351	ELK3
G352	HIF1A
G353	BRWD1
G354	SFMBT1
G355	U2AF1
G356	SUPT16H
G357	CBFA2T2
G358	ALYREF
G359	TFDP1
G360	CREB3L2
G361	LDB2
G362	TRIM27
G363	VHL
G364	ILF3
G365	PRDM14
G366	GATA4
G367	SRSF10
G368	SLA2
G369	E2F4
G370	DAXX
G371	KLF8
G372	RORB
G373	LMO3
G374	POLR2F
G375	EZH2
G376	BCL11A
G377	ZEB2
G378	PLAGL2
G379	TGFB1I1
G380	EOMES
G381	PER3
G382	SETBP1
G383	SNAPC4
G384	EEF1A1
G385	NCOA6
G386	YBX1
G387	ZNF488
G388	TLE3
G389	RAI14
G390	POLR3E
G391	CNBP
G392	TLR4
G393	SHOX
G394	POLR1A
G395	NFKBIA
G396	SSB
G397	TLE2
G398	TRIM33
G399	RNF14
G400	RUNX1
G401	TCF4
G402	ZRANB2
G403	POLR2H
G404	TFE3
G405	CSDE1
G406	MXI1
G407	ATF6
G408	PITX2
G409	ZNF764
G410	ANKMY2
G411	ERCC-00004
G412	PKIG
G413	RBMS3
G414	RND3
G415	TNFRSF21
G416	GYPB
G417	ACBD6
G418	RAD50
G419	MXRA5
G420	SEMA6A
G421	ANKRD26
G422	ZCCHC11
G423	IL13RA1
G424	SEMA6D
G425	CD9
G426	LPIN1
G427	NAT10
G428	ARRB1
G429	TMLHE
G430	UCHL3
G431	COMMD3
G432	SGCE
G433	GULP1
G434	ERBB4
G435	CAPN2
G436	MPHOSPH6
G437	NAV2
G438	VPS13C
G439	LIPG
G440	ARFGAP3
G441	FAM120AOS
G442	TGFBR1
G443	AGPAT5
G444	KIAA1324L
G445	CLGN
G446	CDC6
G447	CHL1
G448	LGR5
G449	DLGAP5
G450	SPRY2
G451	C2orf69
G452	ALDH18A1
G453	NPFFR2
G454	ZNF512
G455	PDPN
G456	NECAP2
G457	ERCC-00062
G458	LBH
G459	COMMD10
G460	XRN1
G461	NIN
G462	APLNR
G463	ERCC-00165
G464	RBM47
G465	CALCOCO2
G466	CRHBP
G467	SLC39A14
G468	GAD1
G469	MBTD1
G470	MAN2A1
G471	GABRB3
G472	NDC80
G473	SNUPN
G474	POLQ
G475	RIN2
G476	VIM
G477	RFC5
G478	PROM1
G479	COL11A1
G480	APOBEC3C
G481	LPGAT1
G482	WDR3
G483	BLM
G484	FRMD4B
G485	SECISBP2L
G486	DPYSL3
G487	LGALSL
G488	STX12
G489	MANEA
G490	NIP7
G491	INSIG2
G492	FN1
G493	ERCC-00136
G494	COL4A6
G495	CDH2
G496	RGS5
G497	S100A10
G498	GRPR
G499	SLFN5
G500	FRYL
G501	NIPSNAP3A
G502	SH2B3
G503	GALM
G504	MCCC1
G505	CCKBR
G506	GPM6B
G507	GLMN
G508	GPSM2
G509	FRZB
G510	SPRED2
G511	EGLN1
G512	RNF24
G513	TMEM87B
G514	BCAR3
G515	TEX10
G516	BEND3
G517	IFT80
G518	IMPAD1
G519	GEMIN4
G520	VPS54
G521	SH3BP4
G522	NUAK1
G523	CCDC141
G524	PLSCR4
G525	RPL17-C18ORF32
G526	FAM64A
G527	CAP2
G528	TRPC4
G529	KIF16B
G530	PJA2
G531	UCK2
G532	DTL
G533	BTBD10
G534	TIMP3
G535	RBM12
G536	TMEM177
G537	ARL4A
G538	ERCC-00095
G539	LTA4H
G540	NOC3L
G541	AKAP1
G542	GDAP1
G543	FBXO28
G544	ERCC-00003
G545	NAGA
G546	STX6
G547	PLOD2
G548	POLR2M
G549	CCDC82
G550	PAK1
G551	ZNF124
G552	TIPARP
G553	NT5DC3
G554	NEK7
G555	EHD3
G556	PLK1
G557	CER1
G558	LTBP1
G559	AMIGO2
G560	FBXO36
G561	SEC11C
G562	WEE1
G563	MAP3K2
G564	ACSS3
G565	GOLGB1
G566	ASS1
G567	SRGAP1
G568	PCDH10
G569	PPT2
G570	LGR4
G571	ODZ4
G572	ARHGAP29
G573	ITM2A
G574	SH3PXD2A
G575	F3
G576	SYNE2
G577	DCAF5
G578	TRPA1
G579	METTL1
G580	PHC1
G581	PAIP2B
G582	SNX16
G583	SH3BGRL
G584	ABLIM1
G585	NBPF10
G586	SNX18
G587	SULF2
G588	ZFP36L2
G589	C3orf14
G590	C5orf42
G591	RABEPK
G592	PHLPP1
G593	TMEM39A
G594	NIF3L1
G595	ERCC-00074
G596	NBPF15
G597	ANGPT2
G598	MPP6
G599	ERCC-00076
G600	GTF2H2D
G601	SYNC
G602	RRAS2
G603	SLC7A5
G604	ELMO1
G605	TMOD1
G606	DOCK1
G607	COMMD3-BMI1
G608	COL3A1
G609	PCDH17
G610	EIF5A2
G611	YTHDF3
G612	RNF170
G613	VEZT
G614	SLC46A3
G615	BNIP3
G616	SPPL2A
G617	MCC
G618	DMXL2
G619	PNRC1
G620	METTL13
G621	MRPS9
G622	KDELR3
G623	FBN1
G624	ZWILCH
G625	BAMBI
G626	RGPD2
G627	ZNF516
G628	DKK4
G629	NCAPG
G630	IPO4
G631	PCDH7
G632	DNAAF2
G633	STK17B
G634	CIRH1A
G635	KIF22
G636	PDLIM3
G637	DLC1
G638	PTGR1
G639	STT3B
G640	RPP40
G641	CLDN11
G642	IMP4
G643	EPB41L3
G644	STK38L
G645	TTC39C
G646	UBL7
G647	CASD1
G648	C11orf82
G649	NOP2
G650	GCNT2
G651	BBS4
G652	TAOK3
G653	USP44
G654	PRICKLE1
G655	NXT2
G656	DNAJB14
G657	CCDC80
G658	KIFAP3
G659	ERCC-00043
G660	POLR3G
G661	C18orf21
G662	AMN1
G663	FYTTD1
G664	AKAP2
G665	DSE
G666	ERBB2IP
G667	NAP1L3
G668	SCG3
G669	FAM89A
G670	CHN1
G671	NFXL1
G672	TADA1
G673	UNC13B
G674	GXYLT1
G675	ZFP90
G676	CNKSR3
G677	PODXL
G678	CDK6
G679	MIB1
G680	PLEKHA6
G681	BET1
G682	DKK1
G683	TATDN1
G684	WDR12
G685	SEPHS1
G686	RCAN2
G687	KLHL28
G688	DYNC1I1
G689	MAN1A1
G690	RRN3
G691	PPM1H
G692	NTS
G693	GEMIN6
G694	AHSA2
G695	PGAP1
G696	MAP4K3
G697	ANXA3
G698	CLSTN2
G699	FRMD6
G700	ZCCHC24
G701	DDHD2
G702	ADD2
G703	USP1
G704	ERLEC1
G705	GALNT11
G706	NOB1
G707	PDGFRA
G708	SDCCAG8
G709	CDCA8
G710	B4GALT4
G711	OIP5
G712	KIAA0494
G713	LRRCC1
G714	SLC5A6
G715	MCM10
G716	MBIP
G717	MLF1IP
G718	THAP9
G719	NHSL1
G720	NLGN4X
G721	EPHB2
G722	NUP54
G723	ERCC-00002
G724	TRIB1
G725	MBOAT1
G726	ERCC-00162
G727	PPAT
G728	MYOF
G729	CA12
G730	KIF23
G731	TFB2M
G732	COL5A1
G733	POP5
G734	PABPC4L
G735	KIAA1467
G736	CEP112
G737	NUCB2
G738	ALPK2
G739	RAD54L
G740	ZSWIM6
G741	WDR35
G742	GPC4
G743	NBEAL1
G744	ERCC-00145
G745	NUFIP1
G746	SLC18B1
G747	C12orf23
G748	SFRP1
G749	RBM24
G750	ST3GAL6
G751	PMAIP1
G752	IGSF3
G753	FBXO34
G754	PGM1
G755	TMEM64
G756	DUSP10
G757	ERCC-00130
G758	SFRP2
G759	CSPP1
G760	DSCAM
G761	STEAP1B
G762	TIMM21
G763	DKK3
G764	SERPINB6
G765	C4orf46
G766	RNF13
G767	ARHGAP28
G768	TMEM48
G769	BEX2
G770	CDC14B
G771	KRCC1
G772	PLXNA2
G773	DOK6
G774	DENND1A
G775	GCA
G776	SAAL1
G777	RIPPLY1
G778	TIMM8A
G779	JAKMIP2
G780	WDHD1
G781	ITGB3BP
G782	ALDH2
G783	EPHA2
G784	CCDC138
G785	ITPR2
G786	NUP35
G787	DNA2
G788	RGMB
G789	TRDN
G790	RSPO3
G791	ERCC-00084
G792	CDCA7
G793	PIM2
G794	CCDC50
G795	ZFYVE21
G796	SLC2A1
G797	ZFC3H1
G798	ZNF90
G799	C5orf62
G800	CAD
G801	ZWINT
G802	TYRO3
G803	VAMP7
G804	CEP290
G805	HTRA1
G806	ERCC-00025
G807	STXBP5
G808	SPG20
G809	PGM2
G810	HAS2
G811	MRPS35
G812	PHLDB2
G813	LAP3
G814	KIAA1804
G815	MRS2
G816	TDP2
G817	PIP4K2A
G818	GPATCH4
G819	LUM
G820	RIOK1
G821	FAM159B
G822	HLA-DRB1
G823	TMEM131
G824	STC1
G825	ESRP1
G826	ELMOD2
G827	VASH2
G828	SLITRK2
G829	DNAJC9
G830	ST8SIA1
G831	DAAM1
G832	MAK16
G833	TMEM87A
G834	PENK
G835	NEDD9
G836	FAM20A
G837	SH3BP5
G838	QPCT
G839	RBBP8
G840	FAM208A
G841	TMEM126B
G842	KLHL4
G843	NBPF14
G844	TSPAN13
G845	FUT8
G846	ZNF691
G847	FBXO5
G848	SH3BGRL2
G849	CD99L2
G850	IGDCC4
G851	KAL1
G852	ATP11B
G853	SHISA6
G854	TUBA4A
G855	NBPF16
G856	C8orf42
G857	CCNA2
G858	FARSB
G859	PRCP
G860	ARSE
G861	PAM
G862	CPE
G863	SEL1L
G864	ODF2
G865	DCLK1
G866	KIF2C
G867	MYCT1
G868	TRIM37
G869	MAGI3
G870	CAMK2D
G871	SEMA3A
G872	FREM1
G873	NAA25
G874	RFC4
G875	TBC1D4
G876	FZD7
G877	CDH11
G878	NEDD4
G879	NXF1
G880	ALDOC
G881	RMI1
G882	CCNB2
G883	BUB1B
G884	LRR1
G885	FAM126B
G886	HOOK1
G887	PLAU
G888	TRIM2
G889	SVEP1
G890	MAEA
G891	DRAM2
G892	TMEM47
G893	SYT1
G894	ZNF280B
G895	HRSP12
G896	CA2
G897	COL4A5
G898	ANKRD28
G899	SEPP1
G900	UBL3
G901	ERCC-00171
G902	SCO1
G903	FAM135A
G904	CDCA5
G905	BOD1
G906	HLA-DQB1
G907	CDKN3
G908	CEP192
G909	PROSER1
G910	FAM169A
G911	MAPKAPK3
G912	WLS
G913	TCN2
G914	TMEM50B
G915	POLK
G916	MGST2
G917	PLCB1
G918	STIM2
G919	WDFY1
G920	POLA1
G921	DOK4
G922	FZD6
G923	MAT2B
G924	HPRT1
G925	UTP14A
G926	TMPRSS11E
G927	LEPRE1
G928	CA14
G929	ZFYVE16
G930	TTC39B
G931	LECT1
G932	NOG
G933	CCDC112
G934	RPE
G935	ZNF92
G936	NOL11
G937	ZNF3
G938	KIF1A
G939	IFRD2
G940	TSR1
G941	TMSB15B
G942	ANKRD44
G943	ADAMTS3
G944	IFT81
G945	FLRT2
G946	CLCN4
G947	SLC39A7
G948	COL4A2
G949	HEATR1
G950	LAMB1
G951	PFKFB2
G952	PLCB4
G953	LHFP
G954	ARL4D
G955	RCHY1
G956	LTV1
G957	MND1
G958	COL4A1
G959	AARS
G960	FAM188A
G961	AK4
G962	REV3L
G963	GPR125
G964	YPEL5
G965	SH3RF1
G966	SERINC3
G967	AHNAK
G968	DPY19L1
G969	ERCC-00108
G970	FGF17
G971	ERCC-00009
G972	COX10
G973	TTK
G974	AURKB
G975	ERCC-00042
G976	COPS3
G977	SLC19A2
G978	SERPINB1
G979	CCNE2
G980	NIPSNAP1
G981	TUBE1
G982	GLIPR2
G983	PLCE1
G984	CADM1
G985	SSX2IP
G986	NDUFC2-KCTD14
G987	SAMD3
G988	ZNF93
G989	BBIP1
G990	ERCC-00046
G991	HSPA14
G992	PLS1
G993	C11orf46
G994	TNFRSF11B
G995	ERCC-00112
G996	PIP5K1B
G997	KLHL12
G998	PPP3CA
G999	TDRD7
G1000	PHLDA1
G1001	IAH1
G1002	SLC16A2
G1003	MAPRE2
G1004	LIFR
G1005	ADSS
G1006	FAM69A
G1007	CPVL
G1008	B3GNT5
G1009	IL6ST
G1010	SLC36A4
G1011	MYO5B
G1012	TXLNG
G1013	POLDIP3
G1014	SMYD5
G1015	ESCO2
G1016	HECW2
G1017	SAMD8
G1018	CHAC2
G1019	AIF1L
G1020	GGCT
G1021	ARHGAP42
G1022	ZNF518B
G1023	VWA5A
G1024	TMEM38B
G1025	PALB2
G1026	ASNS
G1027	FGD6
G1028	ACBD3
G1029	KIAA1462
G1030	PALLD
G1031	ODC1
G1032	ZFP62
G1033	CD1D
G1034	PPP1R9A
G1035	RCOR3
G1036	MICU1
G1037	ZNF30
G1038	OTUD6B
G1039	GALNT7
G1040	RAE1
G1041	MRPS30
G1042	ATP11C
G1043	DSCC1
G1044	GNG11
G1045	CDC20
G1046	CXCR7
G1047	CALB1
G1048	AGL
G1049	MALT1
G1050	PREPL
G1051	RAB31
G1052	KIAA1841
G1053	LRP12
G1054	MEX3C
G1055	LIG4
G1056	SETD7
G1057	CCDC90B
G1058	CCPG1
G1059	CEP55
G1060	MMP16
G1061	PIK3R5
G1062	ELOVL2
G1063	PSMC3IP
G1064	RFC3
G1065	FER
G1066	AADAT
G1067	EPHA1
G1068	PREX1
G1069	GRP
G1070	HECA
G1071	DNAJC16
G1072	CCDC81
G1073	GCNT1
G1074	ITGA4
G1075	BHLHB9
G1076	KIF11
G1077	TJP2
G1078	PRMT3
G1079	HPS5
G1080	PPPDE1
G1081	FASTKD3
G1082	UPF3B
G1083	PLK2
G1084	FST
G1085	ANKRD18B
G1086	CDC25C
G1087	FBN2
G1088	ANKRD13C
G1089	GABRB2
G1090	PDE4D
G1091	PPIC
G1092	SORT1
G1093	ST5
G1094	ERRFI1
G1095	STK3
G1096	ROR2
G1097	ZAP70
G1098	EMB
G1099	MPHOSPH9
G1100	PLP1
G1101	KIAA1109
G1102	NCAM1
G1103	BAG3
G1104	SIPA1L2
G1105	TNC
G1106	PTPRZ1
G1107	METTL19
G1108	TIAM1
G1109	PELI2
G1110	RFPL2
G1111	KIF13B
G1112	COL1A2
G1113	CDC7
G1114	CLDN7
G1115	WDR67
G1116	TSR2
G1117	GLDC
G1118	KIF15
G1119	CYYR1
G1120	TTN
G1121	ACTL6A
G1122	APOBEC3G
G1123	SLC7A8
G1124	EPCAM
G1125	HSD17B11
G1126	STX17
G1127	OXTR
G1128	NUDT11
G1129	CRIM1
G1130	OPTN
G1131	UNG
G1132	SLC35F1
G1133	UNC5C
G1134	TMEM57
G1135	RPA2
G1136	EDEM3
G1137	ENOPH1
G1138	GPX7
G1139	DNAJC11
G1140	TGFBR3
G1141	THYN1
G1142	SEMA5A
G1143	ACTC1
G1144	RRAGD
G1145	ZDHHC2
G1146	RTKN2
G1147	MEPE
G1148	RALB
G1149	CYB5A
G1150	MAMLD1
G1151	MAD2L1
G1152	TRIM35
G1153	BBS2
G1154	MTERF
G1155	MAP7
G1156	COBLL1
G1157	GPR108
G1158	PPIL1
G1159	CGNL1
G1160	CHEK2
G1161	EARS2
G1162	CD48
G1163	SLC29A1
G1164	FOXN2
G1165	ERCC-00071
G1166	VSIG10
G1167	INPP4A
G1168	ACOX3
G1169	TP53INP1
G1170	ERCC-00044
G1171	TOP2A
G1172	PDCD2
G1173	KLHL6
G1174	SLC39A8
G1175	NREP
G1176	DAB1
G1177	SENP7
G1178	OSBPL10
G1179	COL1A1
G1180	MIA3
G1181	GYPE
G1182	ERCC-00022
G1183	RPF2
G1184	NUSAP1
G1185	CD200
G1186	ALG6
G1187	HEG1
G1188	PAQR3
G1189	CPD
G1190	FLRT3
G1191	TTC27
G1192	ISCA1
G1193	ST8SIA4
G1194	NRP1
G1195	SLC39A11
G1196	ANKRD13A
G1197	TRAPPC8
G1198	SLC7A3
G1199	ATP2B4
G1200	LCMT1
G1201	LYAR
G1202	PRSS23
G1203	EPHA4
G1204	CEP85L
G1205	GINS2
G1206	FAM126A
G1207	CBR1
G1208	ITGAV
G1209	RHOBTB3
G1210	MFN2
G1211	PDE3B
G1212	FZD5
G1213	INO80D
G1214	RHAG
G1215	PCK2
G1216	ANKRD50
G1217	TPD52
G1218	DPH2
G1219	ZNF521
G1220	S1PR3
G1221	WDR75
G1222	DDAH1
G1223	POLB
G1224	DECR1
G1225	PPM1K
G1226	SKA3
G1227	KIF21A
G1228	CCDC6
G1229	PPAPDC1A
G1230	SDC2
G1231	ARMC4
G1232	PRIM1
G1233	EXOSC3
G1234	GPR98
G1235	C1orf9
G1236	KIAA0947
G1237	ACAD8
G1238	SEMA3E
G1239	HLA-DRB5
G1240	FAM46A
G1241	P4HA1
G1242	UTP15
G1243	VRK1
G1244	ITCH
G1245	HOMER1
G1246	MT1X
G1247	ERCC-00092
G1248	VSNL1
G1249	METAP1
G1250	CYP2S1
G1251	COG6
G1252	WNT5A
G1253	TTC4
G1254	UTP18
G1255	VANGL1
G1256	PTPRM
G1257	FTSJ3
G1258	FAM117B
G1259	SLC35A3
G1260	SSFA2
G1261	HAPLN1
G1262	PDCD4
G1263	RABGAP1L
G1264	TK1
G1265	GPR83
G1266	TFPI
G1267	HS3ST1
G1268	PRSS35
G1269	THY1
G1270	YAE1D1
G1271	GALC
G1272	KIAA0528
G1273	PGAP2
G1274	FEZ1
G1275	SPP1
G1276	UNC5D
G1277	ERCC-00111
G1278	PMP22
G1279	BMPER
G1280	CDCA2
G1281	COL5A2
G1282	NLRP2
G1283	ABCA1
G1284	MATN3
G1285	CHD9
G1286	LRRC16A
G1287	ERCC6L
G1288	RFESD
G1289	CPSF3
G1290	PNPLA8
G1291	C20orf112
G1292	SMYD2
G1293	NRP2
G1294	MRPL1
G1295	TIPIN
G1296	SLC6A15
G1297	KIAA1715
G1298	MED12L
G1299	MOB3B
G1300	TPD52L2
G1301	SERHL2
G1302	CYP26A1
G1303	FLVCR2
G1304	OAS1
G1305	LDOC1L
G1306	RASGRP3
G1307	RAD51AP1
G1308	NOP16
G1309	FNDC3B
G1310	FAM115A
G1311	C1GALT1
G1312	CYP1B1
G1313	ATG4C
G1314	SLCO2A1
G1315	CLCN3
G1316	ECI2
G1317	FAM83D
G1318	IQGAP2
G1319	SORD
G1320	GYPA
G1321	CTSK
G1322	CUL1
G1323	CLDN10
G1324	OSBPL3
G1325	TWISTNB
G1326	HIAT1
G1327	ATRNL1
G1328	AP1M2
G1329	SART3
G1330	ZNF317
G1331	DYNC2LI1
G1332	CASK
G1333	TMEM237
G1334	LIX1
G1335	NTN4
G1336	NUMB
G1337	TRIAP1
G1338	EXO1
G1339	ERCC-00060
G1340	DEPDC1B
G1341	TRUB1
G1342	PRTG
G1343	RNF138
G1344	MME
G1345	BCAS2
G1346	HS3ST3A1
G1347	PUS7
G1348	KLHL7
G1349	RAVER2
G1350	MSANTD3-TMEFF1
G1351	ENO2
G1352	MMP2
G1353	KDR
G1354	ERCC-00053
G1355	KLHL24
G1356	ITGA6
G1357	URB2
G1358	TSPAN12
G1359	FAM162A
G1360	XPO5
G1361	ERCC-00096
G1362	LRAT
G1363	KDM6A
G1364	ERCC-00113
G1365	GATM
G1366	SORL1
G1367	LRRN1
G1368	GLRX
G1369	MFAP4
G1370	PCNA
G1371	JPH1
G1372	DCAF6
G1373	EIF2C4
G1374	ERCC-00035
G1375	LRIG3
G1376	SERPINE2
G1377	TRAF5
G1378	FAT1
G1379	LEPREL1
G1380	FGF2
G1381	MAGEH1
G1382	MORC4
G1383	CCNG2
G1384	C2orf44
G1385	PTDSS1
G1386	SNX14
G1387	PRMT6
G1388	GPC3
G1389	PAK1IP1
G1390	DBF4
G1391	PRKACB
G1392	ZBTB10
G1393	LIMCH1
G1394	COLEC12
G1395	SLC43A3
G1396	FIG4
G1397	PRPS2
G1398	ERCC-00131
G1399	ZDHHC21
G1400	SVIL
G1401	GPC6
G1402	ITGA5
G1403	ENC1
G1404	CLU
G1405	BCAT2
G1406	DUSP4
G1407	ALCAM
G1408	ECHDC1
G1409	ODZ2
