G0	CTNNB1
G126	SMAD5
G127	E2F3
G128	TBX20
G129	DEK
G130	ARNT2
G131	RAD51
G132	ZNF146
G133	SIX6
G134	BARX2
G135	MAPK10
G136	HIST1H1B
G137	POU3F1
G138	GTF3C4
G139	POLR2G
G140	ID1
G141	MLLT6
G142	KHSRP
G143	ZNF8
G144	DACH1
G145	GATA6
G146	ZEB1
G147	TRIM25
G148	ZHX3
G149	JUND
G150	PATZ1
G151	APEX1
G152	DMBX1
G153	MAFG
G154	EHMT2
G155	E2F7
G156	SATB2
G157	TWIST1
G158	PPARGC1B
G159	PURA
G160	WWTR1
G161	ZNF165
G162	FUBP1
G163	ARID3A
G164	BTG2
G165	TRIP6
G166	WWP1
G167	HDGF
G168	DNAJC2
G169	RBPJ
G170	CENPK
G171	CXXC1
G172	TEAD4
G173	SOX4
G174	POLR2A
G175	RFXANK
G176	RBM14
G177	ZNF202
G178	PTMA
G179	KLF7
G180	SOX2
G181	SNAI2
G182	SP100
G183	TRERF1
G184	TFAP4
G185	RXRG
G186	KLF6
G187	ZBTB2
G188	ZNF398
G189	BCL11B
G190	TFAP2A
G191	HNRNPAB
G192	MDM4
G193	MED14
G194	DAB2
G195	SOX5
G196	POLR2K
G197	HOXB4
G198	MCM3
G199	RAI1
G200	HELZ
G201	SKIL
G202	ZFP42
G203	APBB1
G204	POLR1B
G205	GATA2
G206	NR2C1
G207	SNRPD1
G208	FOXN3
G209	NKX3-1
G210	LMX1B
G211	HMGN2
G212	BMPR1A
G213	NPM1
G214	UHRF1
G215	GATA3
G216	DNMT3A
G217	FXR1
G218	PPARA
G219	CALCOCO1
G220	HOXB7
G221	PHB2
G222	CBX3
G223	APBB2
G224	FLI1
G225	SRSF6
G226	POLR1C
G227	NONO
G228	LZTS1
G229	MXD4
G230	POU2F2
G231	UBTF
G232	NFIA
G233	MYCN
G234	ATRX
G235	SMARCD3
G236	TRAF6
G237	HNRNPD
G238	ASH2L
G239	MCM6
G240	ENO1
G241	MEF2D
G242	PHF17
G243	DNMT1
G244	ZKSCAN1
G245	RBFOX2
G246	FOXP1
G247	SFPQ
G248	TLE1
G249	ISL1
G250	CHAF1A
G251	SMAD2
G252	TRIP11
G253	MAML3
G254	SOX13
G255	TLR7
G256	TRIM28
G257	MCM7
G258	ZFPM2
G259	RBMX
G260	ZNF24
G261	HOXB3
G262	SMARCC1
G263	ZIC3
G264	GCM1
G265	RUVBL1
G266	H1F0
G267	CTBP1
G268	POLR2D
G269	SIRT1
G270	NAA15
G271	NFATC1
G272	ZNF585B
G273	CRABP2
G274	POU2F1
G275	UPF2
G276	EGR1
G277	PBXIP1
G278	ARID3B
G279	NFE2L3
G280	PLAGL1
G281	RNF19A
G282	MIF
G283	ARID5B
G284	NFIB
G285	ARID4B
G286	TCEA1
G287	ZFHX3
G288	MEIS1
G289	ZNF83
G290	PBX1
G291	STAT3
G292	HESX1
G293	ANKRD1
G294	RBBP4
G295	CCND1
G296	IRF1
G297	ALS2CR8
G298	SRSF1
G299	ASB4
G300	SALL2
G301	LMO2
G302	SMARCD1
G303	TMF1
G304	MED16
G305	CREB3L4
G306	MSX1
G307	ELL2
G308	HMGA1
G309	ETV3
G310	MCM2
G311	ID3
G312	ASB9
G313	LIMD1
G314	ZNF587
G315	FUS
G316	ZIC2
G317	SF1
G318	MEIS2
G319	BMP4
G320	GATAD2A
G321	FOXF1
G322	NFAT5
G323	BTF3
G324	ZBTB38
G325	LIN28A
G326	ASXL1
G327	POU5F1
G328	ZNF589
G329	PRIC285
G330	DPF2
G331	PDGFA
G332	ANKRD6
G333	KHDRBS2
G334	HCFC1
G335	IFI16
G336	KAT6A
G337	CRX
G338	ZNF160
G339	SPIB
G340	DEDD2
G341	HLX
G342	PAWR
G343	SOX7
G344	MYBBP1A
G345	MLL3
G346	SUPT7L
G347	TEAD1
G348	NFATC3
G349	SRSF3
G350	ZNF471
G351	ELK3
G352	HIF1A
G353	BRWD1
G354	SFMBT1
G355	U2AF1
G356	SUPT16H
G357	CBFA2T2
G358	ALYREF
G359	TFDP1
G360	CREB3L2
G361	LDB2
G362	TRIM27
G363	VHL
G364	ILF3
G365	PRDM14
G366	GATA4
G367	SRSF10
G368	SLA2
G369	E2F4
G370	DAXX
G371	KLF8
G372	RORB
G373	LMO3
G374	POLR2F
G375	EZH2
G376	BCL11A
G377	ZEB2
G378	PLAGL2
G379	TGFB1I1
G380	EOMES
G381	PER3
G382	SETBP1
G383	SNAPC4
G384	EEF1A1
G385	NCOA6
G386	YBX1
G387	ZNF488
G388	TLE3
G389	RAI14
G390	POLR3E
G391	CNBP
G392	TLR4
G393	SHOX
G394	POLR1A
G395	NFKBIA
G396	SSB
G397	TLE2
G398	TRIM33
G399	RNF14
G400	RUNX1
G401	TCF4
G402	ZRANB2
G403	POLR2H
G404	TFE3
G405	CSDE1
G406	MXI1
G407	ATF6
G408	PITX2
G409	ZNF764
