G0	MAPK11
G157	FOXO3
G158	NCOA3
G159	ZFP462
G160	NCOA6
G161	ATM
G162	RFX5
G163	ERF
G164	HIST1H2BB
G165	TGIF1
G166	PBXIP1
G167	RAD51
G168	KLF9
G169	PRDM14
G170	DDX58
G171	FOXJ2
G172	HMGA2
G173	CNOT8
G174	DAXX
G175	DR1
G176	MXD4
G177	TCF4
G178	ETS1
G179	CEBPZ
G180	CSF1
G181	ZBTB39
G182	CREB3L2
G183	JUN
G184	TCF7L2
G185	KRBA1
G186	TADA3
G187	NFIA
G188	PREB
G189	TWIST1
G190	NACC1
G191	MEIS3
G192	ELL2
G193	SOS2
G194	MIS18BP1
G195	POLR3D
G196	CALCOCO1
G197	USF1
G198	CNOT2
G199	GTF3C1
G200	NOTCH2
G201	NDN
G202	MDM2
G203	POLR1B
G204	ESRRA
G205	ASH2L
G206	KNTC1
G207	TRIP6
G208	CBX4
G209	ZEB1
G210	OVOL1
G211	ZFP296
G212	MCM7
G213	ETV1
G214	BRWD1
G215	PSIP1
G216	PCBD1
G217	H1F0
G218	ABT1
G219	ZFP219
G220	ILF3
G221	CREBZF
G222	TCF12
G223	KAT2B
G224	ORC2
G225	SOX2
G226	SFPQ
G227	SMARCAD1
G228	YBX1
G229	HDAC5
G230	PHC1
G231	NR2C1
G232	MED31
G233	MEF2C
G234	MAFK
G235	BTAF1
G236	GATA3
G237	SRSF3
G238	TAF1
G239	ATF4
G240	ZFP446
G241	ZEB2
G242	BCLAF1
G243	MLXIP
G244	RARG
G245	NFYB
G246	ZFP398
G247	TFAP4
G248	PRRX2
G249	SMARCA4
G250	BRCA2
G251	POLR1A
G252	PAX6
G253	PELP1
G254	GLI2
G255	HSF2BP
G256	NPAS2
G257	PA2G4
G258	YAF2
G259	CUX2
G260	RLIM
G261	CBX7
G262	POLR2E
G263	REST
G264	INTS12
G265	KANK2
G266	FHL2
G267	TCF7
G268	PHF20
G269	HIF1A
G270	GTF3C5
G271	ZFP42
G272	EYA1
G273	TCEA3
G274	MTF2
G275	TNFAIP3
G276	ARNT2
G277	POLR2I
G278	HSBP1
G279	TCEA1
G280	POLR1C
G281	PRDM1
G282	GRHL1
G283	PITX1
G284	PATZ1
G285	PROX1
G286	TOX3
G287	TAF6L
G288	SERTAD2
G289	NR5A2
G290	RBL1
G291	MAPK13
G292	BACH2
G293	NOTCH4
G294	KLF3
G295	DDX54
G296	PLRG1
G297	GTF2H3
G298	ATF3
G299	E2F6
G300	KLF13
G301	SIRT3
G302	NFKBIA
G303	PHB2
G304	SSB
G305	ZFP276
G306	ELF4
G307	EOMES
G308	DNAJC2
G309	MBD2
G310	AIRE
G311	TSG101
G312	SATB2
G313	TFE3
G314	PKNOX2
G315	FOXH1
G316	ASXL1
G317	BARX1
G318	NR2F6
G319	FOXJ3
G320	ZFP281
G321	HNRNPD
G322	MEF2A
G323	ZBTB38
G324	ZHX3
G325	SMAD4
G326	HIVEP2
G327	SSBP4
G328	EBF4
G329	NANOG
G330	POLR2J
G331	NSD1
G332	POU4F1
G333	EZH1
G334	CNOT7
G335	PML
G336	GLI1
G337	NONO
G338	CREB3
G339	ZFP277
G340	MCM2
G341	POLR2A
G342	MSC
G343	NFKB2
G344	EPAS1
G345	SATB1
G346	E2F1
G347	SOX4
G348	TRIM24
G349	NRF1
G350	TOP2B
G351	BTF3
G352	IRF2
G353	FOXQ1
G354	SIN3A
G355	SP1
G356	ZBTB43
G357	EWSR1
G358	ABTB1
G359	GLIS2
G360	RNF2
G361	ILF2
G362	ZMYND11
G363	RFX7
G364	HDAC10
G365	GZF1
G366	EP300
G367	TBPL1
G368	RB1
G369	CTBP1
G370	RUVBL1
G371	CIC
G372	ETV3
G373	MPHOSPH8
G374	DDB2
G375	ZFP335
G376	ETV4
G377	PIAS3
G378	CHD7
G379	NR3C1
G380	GTF2H4
G381	TFCP2L1
G382	TCOF1
G383	RELA
G384	PRDM5
G385	ZFP423
G386	GATA4
G387	TTF2
G388	NFX1
G389	ARID3B
G390	RHOX6
G391	NR1H2
G392	DCP1A
G393	TFAP2C
G394	SNAI1
G395	TRIP11
G396	KLF4
G397	SMARCB1
G398	NFIB
G399	POU4F2
G400	TBX18
G401	BMP6
G402	TRP53BP1
G403	SPEN
G404	KLF15
G405	CITED1
G406	CCND1
G407	SREBF1
G408	WWTR1
G409	MLXIPL
G410	TAF10
G411	TBL1X
G412	SMARCC2
G413	MEF2D
G414	CTNNBL1
G415	SMURF2
G416	HMGA1
G417	CNOT6L
G418	SOX15
G419	RFXAP
G420	TMF1
G421	SMAD2
G422	ARID1A
G423	HIF3A
G424	ID4
G425	IRF1
G426	PURA
G427	TCERG1
G428	PIAS1
G429	NRIP1
G430	RYBP
G431	DMRT1
G432	PLAGL2
G433	APBB1
G434	HNRNPK
G435	GTF2I
G436	NOTCH1
G437	ATF2
G438	MLLT1
G439	NFYA
G440	JUND
G441	FUBP3
G442	DNMT1
G443	BCL3
G444	BIN1
G445	NFATC3
G446	ELK4
G447	ZIC3
G448	ELF1
G449	JMJD1C
G450	CTNNBIP1
G451	EBF1
G452	ESPL1
G453	OTX2
G454	POU5F1
G455	SIX1
G456	SND1
G457	MEIS1
G458	BMI1
G459	DAB2
G460	CTCF
G461	PITX2
G462	MKX
G463	CENPB
G464	LMO4
G465	HNRNPAB
G466	KHDRBS1
G467	FOSL2
G468	ELK1
G469	ELAVL2
G470	HDGF
G471	CRAMP1L
G472	ELL3
G473	SIN3B
G474	TRRAP
G475	ZMYM2
G476	HCFC1
G477	TAX1BP3
G478	PHF1
G479	ZFPM1
G480	ZFP768
G481	SRF
G482	XBP1
G483	AIP
G484	ZBTB10
G485	BRCA1
G486	TRP53
G487	SOX17
G488	EP400
G489	KPNA2
G490	RBM14
G491	MCM3
G492	ARL6IP5
G493	GABPA
G494	ANKS1
G495	MAML3
G496	KEAP1
G497	NFATC1
G498	HNF4A
G499	ZFP91
G500	FOXO1
G501	RERE
G502	ZBTB3
G503	KLF8
G504	APEX1
G505	KLF2
G506	MYC
G507	JARID2
G508	MCM5
G509	NAA15
G510	PHF12
G511	AATF
G512	DDX5
G513	ELF2
G514	TGFB1I1
G515	TCF20
G516	ZDHHC15
G517	HDAC2
G518	HIST1H1B
G519	MYBL2
G520	ERCC8
G521	PEG3
G522	MAPK8
G523	SAP30
G524	HNF1B
G525	ETV5
G526	IRF3
G527	TRIM32
G528	PAX8
G529	ID2
G530	HES1
G531	HDAC4
G532	ATF7
G533	NFE2L1
G534	STAT5A
G535	MCM6
G536	HOPX
G537	ILK
G538	POLR2B
G539	AES
G540	RUNX3
G541	SKIL
G542	FIZ1
G543	POU6F1
G544	IKBKB
G545	PMS1
G546	PCBP2
G547	XAB2
G548	FXR1
G549	ING3
G550	MAML1
G551	POLR2K
G552	EZH2
G553	KDM5B
G554	GTF2A1L
G555	RBMX
G556	MEN1
G557	DNMT3A
G558	GATAD2B
G559	SMAD7
G560	DIDO1
G561	CNOT6
G562	LDB1
G563	RUNX1
G564	BARD1
G565	DDX20
G566	TRIM25
G567	EMX2
G568	XRCC5
G569	HDAC3
G570	FOXA2
G571	TRIM13
G572	ARNTL
G573	E2F2
G574	THRAP3
G575	RBBP4
G576	CTNNB1
G577	POU2F1
G578	BRD7
G579	FUS
G580	MED4
G581	ANKRD49
G582	TOPORS
G583	UTF1
G584	POLR1E
G585	ETV6
G586	TAF1A
G587	HDAC11
G588	AKT1
G589	SMARCA5
G590	HSPB1
G591	SIX5
G592	BAZ1A
G593	MAPK3
G594	COIL
G595	SALL4
G596	PER1
G597	IRF6
G598	TOX4
G599	STAT4
G600	VEZF1
G601	HEY2
G602	HIST1H1D
G603	MYD88
G604	MATR3
G605	TIMELESS
G606	SNAPC3
G607	CREB5
G608	NR4A1
G609	CNOT3
G610	MITF
G611	TRIB3
G612	PHF14
G613	DDB1
G614	NFIC
G615	BMP4
G616	RCOR2
G617	TAF9
G618	ECD
G619	MTA3
