#ID	Name
G0	MAPK11
G156	PAWR
G157	FOXO3
G158	NCOA3
G159	ZFP462
G160	NCOA6
G161	ATM
G162	RFX5
G163	ERF
G164	HIST1H2BB
G165	TGIF1
G166	PBXIP1
G167	RAD51
G168	KLF9
G169	PRDM14
G170	DDX58
G171	FOXJ2
G172	HMGA2
G173	CNOT8
G174	DAXX
G175	DR1
G176	MXD4
G177	TCF4
G178	ETS1
G179	CEBPZ
G180	CSF1
G181	ZBTB39
G182	CREB3L2
G183	JUN
G184	TCF7L2
G185	KRBA1
G186	TADA3
G187	NFIA
G188	PREB
G189	TWIST1
G190	NACC1
G191	MEIS3
G192	ELL2
G193	SOS2
G194	MIS18BP1
G195	POLR3D
G196	CALCOCO1
G197	USF1
G198	CNOT2
G199	GTF3C1
G200	NOTCH2
G201	NDN
G202	MDM2
G203	POLR1B
G204	ESRRA
G205	ASH2L
G206	KNTC1
G207	TRIP6
G208	CBX4
G209	ZEB1
G210	OVOL1
G211	ZFP296
G212	MCM7
G213	ETV1
G214	BRWD1
G215	PSIP1
G216	PCBD1
G217	H1F0
G218	ABT1
G219	ZFP219
G220	ILF3
G221	CREBZF
G222	TCF12
G223	KAT2B
G224	ORC2
G225	SOX2
G226	SFPQ
G227	SMARCAD1
G228	YBX1
G229	HDAC5
G230	PHC1
G231	NR2C1
G232	MED31
G233	MEF2C
G234	MAFK
G235	BTAF1
G236	GATA3
G237	SRSF3
G238	TAF1
G239	ATF4
G240	ZFP446
G241	ZEB2
G242	BCLAF1
G243	MLXIP
G244	RARG
G245	NFYB
G246	ZFP398
G247	TFAP4
G248	PRRX2
G249	SMARCA4
G250	BRCA2
G251	POLR1A
G252	PAX6
G253	PELP1
G254	GLI2
G255	HSF2BP
G256	NPAS2
G257	PA2G4
G258	YAF2
G259	CUX2
G260	RLIM
G261	CBX7
G262	POLR2E
G263	REST
G264	INTS12
G265	KANK2
G266	FHL2
G267	TCF7
G268	PHF20
G269	HIF1A
G270	GTF3C5
G271	ZFP42
G272	EYA1
G273	TCEA3
G274	MTF2
G275	TNFAIP3
G276	ARNT2
G277	POLR2I
G278	HSBP1
G279	TCEA1
G280	POLR1C
G281	PRDM1
G282	GRHL1
G283	PITX1
G284	PATZ1
G285	PROX1
G286	TOX3
G287	TAF6L
G288	SERTAD2
G289	NR5A2
G290	RBL1
G291	MAPK13
G292	BACH2
G293	NOTCH4
G294	KLF3
G295	DDX54
G296	PLRG1
G297	GTF2H3
G298	ATF3
G299	E2F6
G300	KLF13
G301	SIRT3
G302	NFKBIA
G303	PHB2
G304	SSB
G305	ZFP276
G306	ELF4
G307	EOMES
G308	DNAJC2
G309	MBD2
G310	AIRE
G311	TSG101
G312	SATB2
G313	TFE3
G314	PKNOX2
G315	FOXH1
G316	ASXL1
G317	BARX1
G318	NR2F6
G319	FOXJ3
G320	ZFP281
G321	HNRNPD
G322	MEF2A
G323	ZBTB38
G324	ZHX3
G325	SMAD4
G326	HIVEP2
G327	SSBP4
G328	EBF4
G329	NANOG
G330	POLR2J
G331	NSD1
G332	POU4F1
G333	EZH1
G334	CNOT7
G335	PML
G336	GLI1
G337	NONO
G338	CREB3
G339	ZFP277
G340	MCM2
G341	POLR2A
G342	MSC
G343	NFKB2
G344	EPAS1
G345	SATB1
G346	E2F1
G347	SOX4
G348	TRIM24
G349	NRF1
G350	TOP2B
G351	BTF3
G352	IRF2
G353	FOXQ1
G354	SIN3A
G355	SP1
G356	ZBTB43
G357	EWSR1
G358	ABTB1
G359	GLIS2
G360	RNF2
G361	ILF2
G362	ZMYND11
G363	RFX7
G364	HDAC10
G365	GZF1
G366	EP300
G367	TBPL1
G368	RB1
G369	CTBP1
G370	RUVBL1
G371	CIC
G372	ETV3
G373	MPHOSPH8
G374	DDB2
G375	ZFP335
G376	ETV4
G377	PIAS3
G378	CHD7
G379	NR3C1
G380	GTF2H4
G381	TFCP2L1
G382	TCOF1
G383	RELA
G384	PRDM5
G385	ZFP423
G386	GATA4
G387	TTF2
G388	NFX1
G389	ARID3B
G390	RHOX6
G391	NR1H2
G392	DCP1A
G393	TFAP2C
G394	SNAI1
G395	TRIP11
G396	KLF4
G397	SMARCB1
G398	NFIB
G399	POU4F2
G400	TBX18
G401	BMP6
G402	TRP53BP1
G403	SPEN
G404	KLF15
G405	CITED1
G406	CCND1
G407	SREBF1
G408	WWTR1
G409	MLXIPL
G410	TAF10
G411	TBL1X
G412	SMARCC2
G413	MEF2D
G414	CTNNBL1
G415	SMURF2
G416	HMGA1
G417	CNOT6L
G418	SOX15
G419	RFXAP
G420	TMF1
G421	SMAD2
G422	ARID1A
G423	HIF3A
G424	ID4
G425	IRF1
G426	PURA
G427	TCERG1
G428	PIAS1
G429	NRIP1
G430	RYBP
G431	DMRT1
G432	PLAGL2
G433	APBB1
G434	HNRNPK
G435	GTF2I
G436	NOTCH1
G437	ATF2
G438	MLLT1
G439	NFYA
G440	JUND
G441	FUBP3
G442	DNMT1
G443	BCL3
G444	BIN1
G445	NFATC3
G446	ELK4
G447	ZIC3
G448	ELF1
G449	JMJD1C
G450	CTNNBIP1
G451	EBF1
G452	ESPL1
G453	OTX2
G454	POU5F1
G455	SIX1
G456	SND1
G457	MEIS1
G458	BMI1
G459	DAB2
G460	CTCF
G461	PITX2
G462	MKX
G463	CENPB
G464	LMO4
G465	HNRNPAB
G466	KHDRBS1
G467	FOSL2
G468	ELK1
G469	ELAVL2
G470	HDGF
G471	CRAMP1L
G472	ELL3
G473	SIN3B
G474	TRRAP
G475	ZMYM2
G476	HCFC1
G477	TAX1BP3
G478	PHF1
G479	ZFPM1
G480	ZFP768
G481	SRF
G482	XBP1
G483	AIP
G484	ZBTB10
G485	BRCA1
G486	TRP53
G487	SOX17
G488	EP400
G489	KPNA2
G490	RBM14
G491	MCM3
G492	ARL6IP5
G493	GABPA
G494	ANKS1
G495	MAML3
G496	KEAP1
G497	NFATC1
G498	HNF4A
G499	ZFP91
G500	FOXO1
G501	RERE
G502	ZBTB3
G503	KLF8
G504	APEX1
G505	KLF2
G506	MYC
G507	JARID2
G508	MCM5
G509	NAA15
G510	PHF12
G511	AATF
G512	DDX5
G513	ELF2
G514	TGFB1I1
G515	TCF20
G516	ZDHHC15
G517	HDAC2
G518	HIST1H1B
G519	MYBL2
G520	ERCC8
G521	PEG3
G522	MAPK8
G523	SAP30
G524	HNF1B
G525	ETV5
G526	IRF3
G527	TRIM32
G528	PAX8
G529	ID2
G530	HES1
G531	HDAC4
G532	ATF7
G533	NFE2L1
G534	STAT5A
G535	MCM6
G536	HOPX
G537	ILK
G538	POLR2B
G539	AES
G540	RUNX3
G541	SKIL
G542	FIZ1
G543	POU6F1
G544	IKBKB
G545	PMS1
G546	PCBP2
G547	XAB2
G548	FXR1
G549	ING3
G550	MAML1
G551	POLR2K
G552	EZH2
G553	KDM5B
G554	GTF2A1L
G555	RBMX
G556	MEN1
G557	DNMT3A
G558	GATAD2B
G559	SMAD7
G560	DIDO1
G561	CNOT6
G562	LDB1
G563	RUNX1
G564	BARD1
G565	DDX20
G566	TRIM25
G567	EMX2
G568	XRCC5
G569	HDAC3
G570	FOXA2
G571	TRIM13
G572	ARNTL
G573	E2F2
G574	THRAP3
G575	RBBP4
G576	CTNNB1
G577	POU2F1
G578	BRD7
G579	FUS
G580	MED4
G581	ANKRD49
G582	TOPORS
G583	UTF1
G584	POLR1E
G585	ETV6
G586	TAF1A
G587	HDAC11
G588	AKT1
G589	SMARCA5
G590	HSPB1
G591	SIX5
G592	BAZ1A
G593	MAPK3
G594	COIL
G595	SALL4
G596	PER1
G597	IRF6
G598	TOX4
G599	STAT4
G600	VEZF1
G601	HEY2
G602	HIST1H1D
G603	MYD88
G604	MATR3
G605	TIMELESS
G606	SNAPC3
G607	CREB5
G608	NR4A1
G609	CNOT3
G610	MITF
G611	TRIB3
G612	PHF14
G613	DDB1
G614	NFIC
G615	BMP4
G616	RCOR2
G617	TAF9
G618	ECD
G619	MTA3
G620	GM24451
G621	SRGN
G622	MIR669B
G623	ULK1
G624	AMOT
G625	MME
G626	RAB11A
G627	RASGRP2
G628	KAT6B
G629	GM26447
G630	TENM4
G631	CCNG1
G632	LEFTY2
G633	CSRP2
G634	SLC16A1
G635	GM7329
G636	GSR
G637	FABP3
G638	NUTF2-PS2
G639	MYLPF
G640	SORD
G641	LAMC1
G642	CDC42SE2
G643	IFI30
G644	BNIP3
G645	TDH
G646	CAR2
G647	DPPA2
G648	SNORA43
G649	HMGA1B
G650	CHST15
G651	ENO1B
G652	PDIA6
G653	GM25835
G654	CTBP2
G655	SRI
G656	GM25943
G657	APOE
G658	GM26073
G659	PCOLCE
G660	PLOD3
G661	GM24494
G662	GM22072
G663	FDPS
G664	MIR3070B
G665	DPP4
G666	MT2
G667	SURF4
G668	RHOX5
G669	GM49450
G670	ATP13A3
G671	BCAT1
G672	SNORA68
G673	PLA2G1B
G674	GM25701
G675	TXNDC5
G676	ANP32A
G677	MIR669A-1
G678	MRPL23-PS1
G679	GM22620
G680	SDC4
G681	MIR1192
G682	IGFBP2
G683	RRBP1
G684	UNG
G685	SERPINH1
G686	MRAS
G687	BEND5
G688	HIST1H3H
G689	GM13597
G690	TUBA4A
G691	TUBB2B
G692	GM27326
G693	TIMP2
G694	BASP1
G695	GM24289
G696	MORC4
G697	MAN1A2
G698	FXYD3
G699	SEMA4C
G700	SEPT1
G701	GM20721
G702	PLTP
G703	SRM
G704	MIR1949
G705	GM24330
G706	CST3
G707	PDGFRA
G708	PGA5
G709	SELENOW
G710	DCXR
G711	MIR5121
G712	GRB10
G713	THBD
G714	P4HA1
G715	GM26426
G716	FXYD6
G717	F3
G718	SLC9A6
G719	HIST1H2BN
G720	RPL15-PS3
G721	PTH1R
G722	RNF157
G723	MIR466B-6
G724	HIP1
G725	GM27624
G726	CCN2
G727	PDCD4
G728	KRT42
G729	HS3ST1
G730	MIR7005
G731	JAM2
G732	GM23651
G733	TXNIP
G734	LDLRAP1
G735	DUSP9
G736	2810025M15RIK
G737	2200002D01RIK
G738	FN1
G739	MGST3
G740	SPRY2
G741	TAGLN2
G742	ZFP987
G743	NPHS1
G744	BMPER
G745	RCN3
G746	HIST1H2AF
G747	GM42429
G748	GABBR1
G749	PLAT
G750	EPS8
G751	AMOTL2
G752	CD63
G753	GM37746
G754	GM17035
G755	CEMIP
G756	PMM1
G757	GM25753
G758	SLC6A6
G759	IFITM2
G760	EIF4A-PS4
G761	ATP6V0A1
G762	RCC2
G763	UCHL1
G764	GLDC
G765	GM9385
G766	MOV10
G767	MIR669A-3
G768	LGMN
G769	SHROOM3
G770	B2M
G771	MIR669G
G772	GM24044
G773	GM9531
G774	MT-TF
G775	EPHA2
G776	OBSL1
G777	CHCHD10
G778	GABARAPL2
G779	GM28030
G780	GM24455
G781	FAM129B
G782	SNORD93
G783	ISYNA1
G784	HIST1H1A
G785	PRSS35
G786	MYO7A
G787	RIF1
G788	MARC2
G789	HSP90B1
G790	GM22091
G791	AF357399
G792	GM23268
G793	GM14519
G794	DDAH2
G795	ALPL
G796	UPP1
G797	SSR3
G798	GM24564
G799	GM25500
G800	GM10925
G801	GM25451
G802	TNS4
G803	ME1
G804	GM37404
G805	ANXA2
G806	SNORD33
G807	KHDC3
G808	RIAN
G809	LAMA1
G810	GM26287
G811	GM8355
G812	GM24201
G813	CTSA
G814	KRT8
G815	MYMX
G816	CTSZ
G817	TCL1
G818	ASNS
G819	HDLBP
G820	SFI1
G821	ALG13
G822	LEFTY1
G823	SLC25A5
G824	ASS1
G825	AMPD2
G826	HIST1H2AC
G827	SHKBP1
G828	KANK3
G829	MIR7003
G830	MANF
G831	ECT2
G832	GM14870
G833	ANXA5
G834	PARVB
G835	GM15459
G836	TNK2
G837	CUBN
G838	GM21962
G839	INSIG1
G840	SOCS2
G841	AKR1B8
G842	RRM2
G843	FRMD4A
G844	FBLIM1
G845	FAM25C
G846	P3H1
G847	GJA1
G848	GSTA4
G849	LRPAP1
G850	GM26917
G851	ITPK1
G852	SERPINE2
G853	FGF10
G854	ZFP989
G855	GM43238
G856	GM23569
G857	LAMB2
G858	SPARC
G859	SNORA74A
G860	ITGA6
G861	MIR8091
G862	TMEM144
G863	CCNB1
G864	VEGFA
G865	GM22988
G866	GM17545
G867	TXNDC12
G868	EDEM1
G869	LRP2
G870	ZFP57
G871	ZYX
G872	FGFR3
G873	PFKP
G874	PDPN
G875	FGF4
G876	IFITM3
G877	PWWP3B
G878	GM29397
G879	MYO6
G880	AQP8
G881	HMCES
G882	RANBP17
G883	ABHD5
G884	ZC3H7A
G885	SNORD32A
G886	CALU
G887	MIR3535
G888	CLCN5
G889	COL4A1
G890	VSIR
G891	GM44206
G892	GNPDA1
G893	SNORD35A
G894	TET2
G895	GDPD5
G896	HSPA5
G897	HKDC1
G898	FGF3
G899	PDK1
G900	LOXL2
G901	GM44429
G902	RBPMS2
G903	PHLDB2
G904	SNORD70
G905	CALD1
G906	GM28960
G907	IFITM1
G908	PRXL2A
G909	GM10184
G910	STARD8
G911	GJB3
G912	VILL
G913	CTH
G914	APOBEC3
G915	NOTUM
G916	P4HA2
G917	UHRF1
G918	GM26431
G919	TIMP3
G920	KDM3A
G921	MT1
G922	GM23988
G923	PLOD2
G924	GM22678
G925	HSP25-PS1
G926	SNORA26
G927	MIR466O
G928	ERP29
G929	CLDN6
G930	BEX1
G931	RPL22L1
G932	SPP1
G933	SLC5A11
G934	NRG1
G935	ARHGEF40
G936	TDGF1
G937	MIR186
G938	TSPAN9
G939	TOP2A
G940	D230025D16RIK
G941	TMEM150A
G942	NDRG4
G943	HIST1H2BF
G944	TPM4
G945	CDKN1A
G946	STARD10
G947	GM24761
G948	NSD2
G949	APP
G950	UBQLN2
G951	GM26318
G952	PTPN14
G953	CRIP2
G954	FAM234A
G955	GM26156
G956	TDGF1-PS1
G957	SNORD43
G958	PLOD1
G959	GM43558
G960	GM26060
G961	SNORD49A
G962	COMMD3
G963	SLC26A10
G964	MAGED1
G965	ADAM23
G966	CMKLR1
G967	GLUL
G968	EFEMP2
G969	TUBB6
G970	TRH
G971	FRRS1
G972	LRRK1
G973	CTSL
G974	PHLDA3
G975	RAB3IL1
G976	LAPTM5
G977	GM25316
G978	EMP2
G979	SLCO3A1
G980	IL33
G981	LNCENC1
G982	SLC7A6
G983	SNURF
G984	NUP210
G985	GNAS
G986	SNORA3
G987	DKK1
G988	ZFP979
G989	GM2399
G990	MSH6
G991	GM10718
G992	COTL1
G993	ARHGAP29
G994	MEG3
G995	RPL17-PS10
G996	GM22281
G997	CTSD
G998	AY036118
G999	TMSB4X
G1000	VIM
G1001	EPHA4
G1002	P4HB
G1003	AU018091
G1004	HIST1H2AI
G1005	IGF2
G1006	HTRA1
G1007	SPRY4
G1008	GM25057
G1009	COL4A2
G1010	GM44330
G1011	PATJ
G1012	SOAT1
G1013	GM24488
G1014	ZFYVE21
G1015	LAMA5
G1016	CALR
G1017	GM22455
G1018	MIR297A-2
G1019	MIR466B-4
G1020	DKC1
G1021	NXF7
G1022	FLRT3
G1023	CKAP4
G1024	SGK1
G1025	TPD52
G1026	BCAM
G1027	GLIPR2
G1028	P3H4
G1029	SLC7A3
G1030	GM4202
G1031	SNORA73A
G1032	LMF2
G1033	SNORA81
G1034	HIST1H2AK
G1035	GM44335
G1036	HSPH1
G1037	COBL
G1038	GM23136
G1039	ODC1
G1040	EIF4A2
G1041	GM38312
G1042	TMED2
G1043	STXBP2
G1044	KDELR3
G1045	GM10259
G1046	MIR291B
G1047	ZFAS1
G1048	PGAM1-PS2
G1049	LTBP4
G1050	GM26092
G1051	CALCOCO2
G1052	HIST1H2BK
G1053	GM22862
G1054	GPX3
G1055	HSP90AA1
G1056	MIR669J
G1057	2410141K09RIK
G1058	L1TD1
G1059	SAT1
G1060	TFRC
G1061	GM23571
G1062	ADAM19
G1063	TET1
G1064	GM23130
G1065	HSPG2
G1066	GM49347
G1067	HIST1H2BL
G1068	SNORD35B
G1069	GLMP
G1070	GASK1B
G1071	SNORD34
G1072	LY6G6E
G1073	GM24616
G1074	PODXL
G1075	GLS
G1076	FST
G1077	SLC6A8
G1078	COL27A1
G1079	EDA2R
G1080	MYH9
G1081	GM24497
G1082	MORF4L2
G1083	SNORD87
G1084	GM15181
G1085	GM14303
G1086	NDRG1
G1087	CKB
G1088	TYRO3
G1089	DPPA4
G1090	SNORD49B
G1091	GM28439
G1092	MKRN1
G1093	HIST1H4K
G1094	SLC25A4
G1095	LDHB
G1096	GM37917
G1097	UBE2C
G1098	CDC20
G1099	SPOCK1
G1100	GAS6
G1101	OPLAH
G1102	DNAJC10
G1103	KDELR2
G1104	IMPDH1
G1105	TINAGL1
G1106	ADAMTS9
G1107	GM10780
G1108	NID1
G1109	MIR7063
G1110	GM26448
G1111	GM25787
G1112	SEC24D
G1113	LAMB1
G1114	NEDD4
G1115	GM10039
G1116	GM23833
G1117	SNHG12
G1118	WDR45
G1119	KIT
