#ID	Name
G0	SRSF1
G277	HARS2
G278	SERPINA3G
G279	NARF
G280	CCNB2
G281	PRKAB1
G282	TARS
G283	RNASE6
G284	ATP6V1A
G285	LRRC14
G286	FPGS
G287	WDR4
G288	RGS2
G289	TES
G290	UBE2G2
G291	DNPEP
G292	PLXNC1
G293	ALKBH8
G294	WDR55
G295	ESAM
G296	DCAF13
G297	GRINA
G298	PPAT
G299	NUDT4
G300	SLC35A1
G301	GNPDA1
G302	GMNN
G303	EMILIN1
G304	FAM234B
G305	HAUS2
G306	TFR2
G307	IFI30
G308	MAD2L1
G309	CDC20
G310	TMX3
G311	ORC6
G312	CEPT1
G313	CDC45
G314	DHFR
G315	MTHFD1
G316	SLC25A21
G317	FKBP1A
G318	VWA5A
G319	G6PDX
G320	CLCN4
G321	PRSS50
G322	MTAP
G323	ADGRL4
G324	WDR75
G325	RHD
G326	RHOF
G327	LY6A
G328	OTUD6B
G329	HARS
G330	APOE
G331	SACM1L
G332	PFKM
G333	AW112010
G334	TBC1D15
G335	CCNB1
G336	RRM1
G337	HACD4
G338	ABCB8
G339	ANGPT1
G340	FZR1
G341	CAST
G342	2610035D17RIK
G343	ATP2A3
G344	ATG4B
G345	STT3B
G346	FTSJ3
G347	CNN2
G348	TSPO2
G349	LEPROT
G350	WARS
G351	VPS16
G352	MAPKAPK3
G353	RNF139
G354	AURKB
G355	STARD10
G356	TANGO2
G357	MEMO1
G358	FAM136A
G359	CSTF2
G360	HSD3B7
G361	TIPIN
G362	PDCL
G363	USP37
G364	ME2
G365	UROS
G366	PRMT7
G367	LRRC8C
G368	LIG1
G369	GBP2
G370	MFGE8
G371	PMPCA
G372	CAR1
G373	ERMAP
G374	APLP2
G375	MAU2
G376	COLGALT1
G377	SPRYD4
G378	SLC31A1
G379	MRPL37
G380	CMPK2
G381	PDZK1IP1
G382	UHRF1
G383	KLHL6
G384	MPL
G385	PPP2R1B
G386	PBK
G387	TSPAN14
G388	LDHB
G389	SQLE
G390	PRIM2
G391	CCDC137
G392	ANXA1
G393	GSTM5
G394	MFSD2B
G395	TACC3
G396	MYL10
G397	KPNA3
G398	PQLC3
G399	MIS12
G400	LONP1
G401	CES2G
G402	DRAM2
G403	WDR5
G404	AQP1
G405	MSH6
G406	RASA3
G407	CD82
G408	SMIM5
G409	MFSD1
G410	GATM
G411	TMEM176B
G412	CAPN7
G413	CD55
G414	RASAL3
G415	TREML2
G416	SIGIRR
G417	MMRN1
G418	SMIM1
G419	IGKC
G420	MMUT
G421	ALAD
G422	NAPSA
G423	FBXW5
G424	IARS
G425	IARS2
G426	ARHGEF6
G427	ASNS
G428	FADS1
G429	CTSE
G430	SPIRE1
G431	TBXAS1
G432	PJA2
G433	GM15915
G434	CD9
G435	TBC1D20
G436	TOP2A
G437	PIGQ
G438	IL15
G439	TMC6
G440	D10WSU102E
G441	TRIM47
G442	ELMO1
G443	MFNG
G444	TRMT11
G445	TMEM129
G446	TGM2
G447	EPDR1
G448	NUP107
G449	AK3
G450	FIGNL1
G451	TAPT1
G452	DNAJC11
G453	RAB32
G454	TK1
G455	CDCA4
G456	INCENP
G457	SAMD14
G458	DCAF11
G459	MYCT1
G460	SLC20A1
G461	MINPP1
G462	GNG11
G463	HEMGN
G464	GRAMD1A
G465	LPCAT3
G466	MT1
G467	ASB8
G468	2210016F16RIK
G469	CELA1
G470	STAP1
G471	CD1D1
G472	POLE3
G473	PRIM1
G474	ZFP639
G475	HAGH
G476	SPNS2
G477	TM7SF3
G478	DOK2
G479	ZFP62
G480	GOSR2
G481	IFI203
G482	SLC25A45
G483	SLC19A1
G484	SLC38A5
G485	GSTM1
G486	AFG3L2
G487	CERS5
G488	PQLC1
G489	CDC7
G490	PWP2
G491	METTL7A1
G492	ELAC2
G493	CHUK
G494	SDSL
G495	PRELID3B
G496	UBA3
G497	RFC4
G498	GM8995
G499	CPT1A
G500	UCKL1
G501	NEURL3
G502	GIMAP5
G503	CHP1
G504	KRT18
G505	PPIC
G506	PLCB2
G507	POGLUT1
G508	BLVRB
G509	CEP70
G510	DENND2D
G511	NAMPT
G512	AP1G2
G513	NUP93
G514	OPTN
G515	HMBS
G516	NSDHL
G517	GIMAP1
G518	CLN5
G519	CYTH3
G520	NCLN
G521	OASL2
G522	MUC13
G523	RFC5
G524	SERPINF1
G525	CD34
G526	AQP9
G527	RRM2
G528	SEPT8
G529	SPHK1
G530	PON2
G531	RHAG
G532	SPPL2B
G533	PIK3R2
G534	COA5
G535	INTS13
G536	HSDL1
G537	GLIPR2
G538	RNF115
G539	VKORC1L1
G540	RGS1
G541	RAB37
G542	PTDSS2
G543	DUSP1
G544	STOM
G545	TIMM29
G546	DECR1
G547	SERPINB1A
G548	STX2
G549	GYPC
G550	SLC43A1
G551	TPX2
G552	CDCA3
G553	CD84
G554	RBPMS
G555	UBAC1
G556	FOXRED1
G557	SCFD1
G558	EDC3
G559	NUP85
G560	ALDH18A1
G561	ZFP35
G562	1700017B05RIK
G563	PSMD9
G564	GMPR
G565	SLC43A3
G566	POLD1
G567	ZFP655
G568	VPS41
G569	DCAF4
G570	MNS1
G571	NUDT9
G572	MFSD14B
G573	CUL2
G574	WLS
G575	UBXN2B
G576	RARS
G577	CKAP2L
G578	RABIF
G579	SPC25
G580	IFI44
G581	CPT2
G582	CTTN
G583	STK25
G584	LTB
G585	ISG20
G586	KEL
G587	CRYZL2
G588	UAP1L1
G589	CTPS
G590	DUS1L
G591	IL21R
G592	NUDT19
G593	CLPX
G594	ITIH5
G595	SLC16A1
G596	PTDSS1
G597	KLHL22
G598	CISH
G599	GSKIP
G600	CENPA
G601	GOLM1
G602	ATP13A1
G603	TNFAIP2
G604	TRIM59
G605	SPC24
G606	LIMD2
G607	BAG2
G608	SDHAF2
G609	PSMF1
G610	GOLT1B
G611	CRNKL1
G612	ORC5
G613	TTLL12
G614	RCC1
G615	SPTLC1
G616	CPOX
G617	MGST3
G618	CYB5R3
G619	ENPP4
G620	AFAP1L1
G621	ANXA5
G622	PLCG2
G623	NCEH1
G624	DUSP2
G625	ASF1B
G626	SLC14A1
G627	BID
G628	EBI3
G629	PRPS2
G630	PLIN2
G631	GCNT2
G632	SLC41A3
G633	BAP1
G634	CASP3
G635	SMC2
G636	CLDN13
G637	CTSC
G638	UTP4
G639	BIRC5
G640	TFRC
G641	SLC25A38
G642	SLC30A5
G643	TCP11L2
G644	ASAH1
G645	FASTKD2
G646	HACD3
G647	TUBGCP2
G648	PKM
G649	PGLYRP2
G650	PEAR1
G651	JAK3
G652	GYPA
G653	ZFP871
G654	CAD
G655	CCNA2
G656	FECH
G657	XPNPEP1
G658	ACSS1
G659	UBR7
G660	CPQ
G661	NDE1
G662	CHMP7
G663	ARAP1
G664	VPS33B
G665	SLC11A2
G666	RTP4
G667	SLC40A1
G668	IFITM1
G669	BYSL
G670	PPOX
G671	RMND5B
G672	WDR73
G673	GM28875
G674	EXT2
G675	KIF22
G676	RNF13
G677	APEH
G678	ALDH1A1
G679	CAMK1
G680	MKI67
G681	SERPINB9
G682	SLC7A4
G683	SGPP1
G684	WDHD1
G685	TMEM109
G686	CDCA8
G687	PTGS1
G688	MT2
G689	VIM
G690	UBE2C
G691	ZFP397
G692	MOGS
G693	GDF3
G694	CDC6
G695	ANAPC2
G696	MYH10
G697	TMEM186
G698	TMEM263
G699	TYMS
G700	AURKA
G701	TMEM97
G702	DYNLT3
G703	PCP4L1
