#ID	Name
G0	TFAP4
G139	SNAI1
G140	TSHZ3
G141	HNF4A
G142	HSF2BP
G143	ATM
G144	IRF1
G145	ASH2L
G146	NR0B1
G147	ARID1A
G148	KLF8
G149	FOXQ1
G150	RBPJ
G151	TAF6
G152	YEATS4
G153	ZMYND11
G154	EBF4
G155	POU6F1
G156	GRIN1
G157	BTG1
G158	MAPK13
G159	DEK
G160	HES1
G161	SFPQ
G162	ZFP423
G163	BRPF1
G164	POLR2B
G165	KHDRBS1
G166	TGIF1
G167	UBP1
G168	AATF
G169	NFATC1
G170	NR4A1
G171	FOXP1
G172	NDN
G173	PHF1
G174	HES6
G175	TADA3
G176	HNF1B
G177	ING1
G178	ECD
G179	ILF2
G180	ARNT2
G181	ID3
G182	SND1
G183	TLE1
G184	FHL2
G185	UBTF
G186	NANOG
G187	MED12
G188	EP400
G189	PRDM5
G190	RAD51
G191	MED15
G192	EP300
G193	NRIP1
G194	MAFK
G195	ZFP768
G196	SMARCC1
G197	RFX7
G198	EZH1
G199	WBP11
G200	TAF1A
G201	LHX2
G202	FOXO1
G203	GTF2A1L
G204	PIAS3
G205	NKRF
G206	TEAD3
G207	ERCC3
G208	KDM5B
G209	NFYB
G210	PML
G211	TAF1
G212	CTCF
G213	GTF2H3
G214	PATZ1
G215	FOXJ2
G216	NFKB2
G217	MCM6
G218	RAPGEF3
G219	CALCOCO1
G220	POLR2I
G221	JARID2
G222	POLR2H
G223	ZFP462
G224	ZBTB3
G225	TIMELESS
G226	ORC2
G227	TEAD4
G228	BRWD1
G229	PHB2
G230	BMP6
G231	NOTCH1
G232	ELF2
G233	TCEA1
G234	POLR3B
G235	ATF3
G236	ID2
G237	NME2
G238	GATA3
G239	RNF14
G240	ZDHHC16
G241	BMI1
G242	MYBBP1A
G243	CHD7
G244	SSB
G245	VEZF1
G246	MAML3
G247	SRSF3
G248	PRDM1
G249	BTAF1
G250	CTNNB1
G251	MYC
G252	CTNNBL1
G253	KLF4
G254	HIST1H1B
G255	ZSCAN10
G256	ETV5
G257	KLF10
G258	NCOA3
G259	BARX1
G260	USF1
G261	SATB1
G262	TSG101
G263	TULP3
G264	ZFP398
G265	DDX20
G266	ELF3
G267	RB1
G268	PKNOX2
G269	SOX15
G270	NFYA
G271	GATA6
G272	MYD88
G273	SRSF6
G274	SMARCA5
G275	EZH2
G276	NFIC
G277	MITF
G278	CBX4
G279	HMGB2
G280	KRBA1
G281	ESRRA
G282	MAZ
G283	CDC5L
G284	NOTCH2
G285	ZFHX3
G286	NFE2L1
G287	APEX1
G288	DNMT3A
G289	STAT5A
G290	NSD1
G291	ZBTB24
G292	ASH1L
G293	TTF2
G294	SMARCA2
G295	SOX4
G296	POU4F1
G297	PHC1
G298	TOX3
G299	ZSWIM4
G300	ZFP148
G301	SALL1
G302	PROX1
G303	L3MBTL2
G304	GZF1
G305	DAZAP2
G306	PARP1
G307	HIST1H2BB
G308	CUX1
G309	GLIS2
G310	KANK2
G311	ZFP236
G312	WWTR1
G313	MCM5
G314	RUVBL1
G315	SIN3B
G316	FXR2
G317	UTF1
G318	GNRH1
G319	THRAP3
G320	NR3C1
G321	MAPK11
G322	MED4
G323	PHF20
G324	ZBTB10
G325	CRY1
G326	KLF2
G327	RBL1
G328	PDCD11
G329	HIF1A
G330	OVOL1
G331	GTF3C5
G332	CHD4
G333	SIRT3
G334	SIRT2
G335	TRIP11
G336	NFIB
G337	CRABP2
G338	SMARCAD1
G339	MLLT1
G340	XBP1
G341	PRRX2
G342	PIAS1
G343	CCND1
G344	PBX4
G345	MEF2A
G346	PAX1
G347	ZIC3
G348	KEAP1
G349	SMARCC2
G350	RLIM
G351	BRCA1
G352	CUX2
G353	PER1
G354	E2F4
G355	HMGA1
G356	TRIM25
G357	TRIM13
G358	NRF1
G359	CBX6
G360	SP1
G361	MAPK8
G362	TAF9
G363	RUVBL2
G364	ZFP446
G365	MCM3
G366	BCLAF1
G367	SMAD2
G368	YEATS2
G369	POU2F1
G370	CENPB
G371	ING3
G372	DDX58
G373	HOXD13
G374	EPAS1
G375	CBX7
G376	DMRT1
G377	RELA
G378	TAX1BP3
G379	ETV4
G380	RYBP
G381	MIS18BP1
G382	ZBTB43
G383	BCL3
G384	CBX8
G385	FOXH1
G386	ELF4
G387	ANKRD54
G388	LMO4
G389	PREB
G390	CTNNBIP1
G391	IRF2
G392	TAF10
G393	CREB5
G394	ZHX3
G395	PA2G4
G396	TFCP2L1
G397	ESPL1
G398	TBL1X
G399	IRF3
G400	TRIM24
G401	TAF5
G402	REST
G403	ID4
G404	RBMXL2
G405	ZFP275
G406	TRIM32
G407	TRRAP
G408	POLR1E
G409	ANKS1
G410	FOXO3
G411	RNF19A
G412	EYA1
G413	POLR2E
G414	EWSR1
G415	SOX2
G416	PHF12
G417	ATF6
G418	TBPL1
G419	RBM14
G420	JUN
G421	HDAC7
G422	CIC
G423	HNRNPD
G424	DAB2
G425	POLR2J
G426	IRF4
G427	BARD1
G428	NR2C1
G429	NFKBIA
G430	EOMES
G431	CNOT6L
G432	ELL2
G433	CNOT3
G434	MED21
G435	SMARCB1
G436	POLR1A
G437	ETV3
G438	MEN1
G439	YBX1
G440	AIRE
G441	HDAC10
G442	NR1H2
G443	OTX2
G444	POLR1B
G445	GTF2H4
G446	TFE3
G447	ZBTB7A
G448	RAI14
G449	TOP2B
G450	CTBP1
G451	NFXL1
G452	HMGXB3
G453	MAPK3
G454	ZBTB39
G455	COIL
G456	CELF3
G457	TRPS1
G458	GATAD2B
G459	SREBF1
G460	KPNA2
G461	BRCA2
G462	HMGXB4
G463	MLXIP
G464	TCF20
G465	SMAD7
G466	APBB1
G467	ERF
G468	SMURF2
G469	GATA4
G470	EBF1
G471	TCOF1
G472	ZFP281
G473	ILF3
G474	PLAG1
G475	ZFP219
G476	PAX8
G477	PITX2
G478	TGFB1
G479	ATF4
G480	TRP53
G481	PMS1
G482	ZFP335
G483	TCF4
G484	ELL3
G485	H1F0
G486	ELK1
G487	DAXX
G488	NAA15
G489	HDAC3
G490	GLI1
G491	PELP1
G492	KNTC1
G493	KLF6
G494	NR1D1
G495	ZFP277
G496	PITX1
G497	RFX5
G498	SNAPC3
G499	COPS2
G500	FUS
G501	PRDM14
G502	RARG
G503	MYBL2
G504	RHOX6
G505	HSBP1
G506	NR1D2
G507	BRD7
G508	ARNTL
G509	MLXIPL
G510	NFX1
G511	DDX54
G512	FIZ1
G513	POLR2K
G514	CHD5
G515	NONO
G516	ZFP296
G517	ESRRB
G518	TRIB3
G519	DDIT3
G520	MED31
G521	BMP4
G522	ZFAND3
G523	ARID5B
G524	ILK
G525	NOTCH4
G526	TRIP6
G527	NR2F6
G528	MKX
G529	ETV6
G530	FOXA2
G531	JDP2
G532	PLRG1
G533	XRCC5
G534	JUND
G535	SALL4
G536	FOXD3
G537	POLR3F
G538	MEIS1
G539	MCM7
G540	HDAC4
G541	SOS2
G542	POU5F1
G543	TFAP2C
G544	E2F2
G545	ATF7
G546	ETS1
G547	FUBP3
G548	SSBP4
G549	ELK4
G550	CREB3L2
G551	GRHL1
G552	PAPOLA
G553	ETV1
G554	STAT5B
G555	DDB2
G556	HIST1H1D
G557	ATF1
G558	TAF6L
G559	LDB1
G560	NFATC4
G561	SERTAD2
G562	RCOR2
G563	SOX7
G564	DDX5
G565	E2F6
G566	RAD54B
G567	SATB2
G568	FOXJ3
G569	POLR2A
G570	ZEB1
G571	TCF7
G572	ZFP276
G573	SMURF1
G574	SIX1
G575	RFX2
G576	E2F1
G577	CNOT2
G578	EMX2
G579	GLI2
G580	NCOA6
G581	PHF14
G582	TFEB
G583	NCOR1
G584	BTG2
G585	MBD2
G586	NR2F2
G587	GTF3C1
G588	HIF3A
G589	STAT4
G590	KLF15
G591	GBX2
G592	MTA3
G593	NFATC2IP
G594	MEIS3
G595	ZBTB38
G596	TEAD1
G597	BTBD11
G598	PLAGL2
G599	TCF12
G600	BTF3
G601	MTF2
G602	MYCN
G603	SMARCA4
G604	RNF2
G605	ABT1
G606	FXR1
G607	GABPA
G608	PAX6
G609	ARID3B
G610	POU4F2
G611	MPHOSPH8
G612	PBXIP1
G613	PSIP1
G614	POLR3D
G615	KLF3
G616	BACH2
G617	CITED1
G618	BAZ1A
G619	HIVEP2
G620	SERPINB6C
G621	TSPAN4
G622	SH3PXD2B
G623	MCFD2
G624	PDLIM1
G625	ME1
G626	ERLIN1
G627	CNDP2
G628	KRT17
G629	SLC25A4
G630	GJA1
G631	NUTF2-PS2
G632	DDX21
G633	HOOK1
G634	CALM1
G635	RNPEP
G636	PFAS
G637	EIF2S2
G638	GM12112
G639	ARHGAP29
G640	MIR297B
G641	GLUL
G642	LRRC8D
G643	OBSL1
G644	SSR3
G645	GM15181
G646	GCNT1
G647	PPIB
G648	GM26825
G649	GGTA1
G650	SMS-PS
G651	TXNDC12
G652	GHR
G653	PTPN3
G654	RBM38
G655	PRDX4
G656	MIR466B-4
G657	GM25926
G658	GGA2
G659	PHGDH
G660	BSG
G661	MIR6357
G662	GM25787
G663	SURF4
G664	GM44330
G665	ICAM1
G666	RPL15-PS3
G667	SNX2
G668	ATG16L2
G669	TTC7
G670	CTBP2
G671	HMGA1B
G672	KDM3A
G673	GFPT2
G674	FNDC3B
G675	KIT
G676	GM23302
G677	GM22626
G678	GM26448
G679	GLDC
G680	KCNG1
G681	TXNDC5
G682	FAM129B
G683	HSPA8
G684	PEG10
G685	CACHD1
G686	UBQLN2
G687	GLIPR1
G688	MAPKAPK2
G689	FHOD1
G690	MPP1
G691	ST5
G692	GM25057
G693	FBXO5
G694	CARHSP1
G695	ZFP989
G696	HIST1H2AF
G697	MIR3535
G698	GM42429
G699	GM24494
G700	DCXR
G701	GM21962
G702	VSIR
G703	SERBP1
G704	SLC1A5
G705	SLC6A8
G706	GSTA4
G707	GM28037
G708	GM26156
G709	GM22091
G710	ILDR1
G711	ACTG1
G712	TRH
G713	UBE2S
G714	ASNS
G715	RBMS1
G716	GSR
G717	NDRG4
G718	HMGCS1
G719	BEX4
G720	SLC38A2
G721	GM22281
G722	DUSP3
G723	SDCBP
G724	SNORD33
G725	PDPN
G726	SLC7A7
G727	GM44170
G728	GM37746
G729	MANF
G730	PRDX1
G731	GAA
G732	CENPV
G733	RMC1
G734	GM24330
G735	CALD1
G736	GFPT1
G737	KHDC3
G738	GM7846
G739	HSP90AA1
G740	GM26060
G741	GM44429
G742	GM25943
G743	CKAP4
G744	GDPD5
G745	INSIG1
G746	SOCS2
G747	PRSS35
G748	SNORD43
G749	ADAM23
G750	HSP25-PS1
G751	GM22988
G752	SNORA74A
G753	IMPDH1
G754	BEX1
G755	MIR7003
G756	GM13237
G757	NID1
G758	GM22072
G759	IFITM1
G760	USP9X
G761	AARS
G762	GM25735
G763	TDH
G764	GM23268
G765	CERS4
G766	SPP1
G767	ZFP961
G768	LRRK1
G769	GM6594
G770	SERPINH1
G771	CRTAP
G772	CLCN5
G773	GM49450
G774	RTN1
G775	VKORC1
G776	SLCO3A1
G777	GM25753
G778	SLC7A3
G779	GM15459
G780	LDLRAP1
G781	ALDH2
G782	GM13147
G783	SNORD34
G784	NOTUM
G785	CCNG1
G786	2410141K09RIK
G787	ATP13A3
G788	KRT19
G789	BMPER
G790	PIK3R1
G791	MRPS5
G792	PLA2G1B
G793	BNC2
G794	DNAJC3
G795	COX7A1
G796	LTBP4
G797	4930402H24RIK
G798	PRKAB1
G799	SLC25A39
G800	MIR1949
G801	GM17212
G802	SNRPN
G803	MYO7A
G804	P4HB
G805	GM4735
G806	HSPG2
G807	ZFP532
G808	ERP29
G809	TUBB2B
G810	ACTL6A
G811	ARHGEF5
G812	RRBP1
G813	ARF4
G814	GM24761
G815	GM24564
G816	TPD52
G817	GM11223
G818	OPLAH
G819	NIPSNAP1
G820	GSN
G821	GM43444
G822	TMEM9
G823	TENM4
G824	HDLBP
G825	PDE4DIP
G826	ATP6V0B
G827	CAMSAP3
G828	COPA
G829	ST3GAL6
G830	SNORA33
G831	GM2399
G832	TIMP2
G833	PTPN14
G834	PMM1
G835	AHCY
G836	GM43558
G837	ADAM15
G838	SUN2
G839	ZFP367
G840	STT3A
G841	IQSEC1
G842	ZFP57
G843	GM29397
G844	TBRG1
G845	SGK1
G846	FGF3
G847	PPP2R5A
G848	CALR
G849	WDFY1
G850	MIR186
G851	TMSB4X
G852	ANK
G853	SIDT2
G854	SHISA5
G855	GM10698
G856	UBE2C
G857	RPL22L1
G858	MYO5B
G859	IFITM2
G860	ACADM
G861	MIR669E
G862	GM45213
G863	MSH6
G864	GM49347
G865	B2M
G866	GM25701
G867	MCM10
G868	SPC25
G869	ANXA2
G870	PLK2
G871	PDIA6
G872	GM44335
G873	MSI2
G874	PLATR14
G875	CDIPT
G876	PCOLCE
G877	GM26280
G878	ASAH1
G879	PDGFRA
G880	AKR1B8
G881	SNHG3
G882	LIFR
G883	AI506816
G884	ZFP987
G885	LY6G6E
G886	AHNAK
G887	HIST1H2AG
G888	ENO1B
G889	CTSA
G890	KLB
G891	SEPT1
G892	AGPAT4
G893	GM25663
G894	SLC20A1
G895	PLAUR
G896	GM26073
G897	S100A6
G898	GM23569
G899	DANCR
G900	PLATR16
G901	CHN2
G902	SEC24D
G903	PSAP
G904	MDN1
G905	CDH1
G906	PLEKHA7
G907	FGF4
G908	DPP4
G909	D230025D16RIK
G910	ZYX
G911	LEFTY1
G912	HIST1H1A
G913	SELENOI
G914	EIF4EBP1
G915	SNORA23
G916	USP3
G917	AFF1
G918	MSANTD3
G919	GNG2
G920	EPS8L2
G921	TGM1
G922	GM25158
G923	PHLDA3
G924	GJB3
G925	TCN2
G926	PIK3AP1
G927	RPL39L
G928	BCAT1
G929	ARHGAP32
G930	SOAT1
G931	GM15421
G932	FST
G933	GM28960
G934	MIR1192
G935	NPL
G936	BCAM
G937	CRYBG2
G938	GM26387
G939	ITPK1
G940	PGA5
G941	SERPINB6A
G942	DUSP6
G943	TUBB4B
G944	TMEM59
G945	MTCL1
G946	MT-TF
G947	KDELR2
G948	HSD17B14
G949	GM24044
G950	PGAM1-PS2
G951	GABBR1
G952	PDIA5
G953	MINDY3
G954	GM14870
G955	GNS
G956	GM22455
G957	UBALD2
G958	STARD8
G959	GM7993
G960	HSPH1
G961	RDM1
G962	CUL7
G963	VEGFA
G964	MARCKS
G965	LDHB
G966	CR1L
G967	MRPL42
G968	MYO1C
G969	MCAM
G970	FAM83D
G971	ATP1B1
G972	LY6E
G973	ETL4
G974	TMEM165
G975	HS3ST1
G976	GM38312
G977	PLOD2
G978	APOBEC3
G979	IER2
G980	GM26092
G981	GM15446
G982	SPNS2
G983	COBLL1
G984	RRAS2
G985	PFKL
G986	ELOVL6
G987	MAP3K1
G988	CPM
G989	CST3
G990	FBP2
G991	GM22678
G992	GPA33
G993	PAFAH1B3
G994	GM25451
G995	1110038B12RIK
G996	SELENOW
G997	ARHGEF40
G998	PARVB
G999	CSTB
G1000	SLC25A5
G1001	GM7125
G1002	NAGK
G1003	CAR2
G1004	SNX25
G1005	SNORD35B
G1006	F2R
G1007	FBXO15
G1008	CLIC1
G1009	L1TD1
G1010	CCNB1
G1011	ZFP990
G1012	BNIP3
G1013	GM9385
G1014	P3H4
G1015	ODC1
G1016	GM10259
G1017	PARVA
G1018	GM10184
G1019	SMS
G1020	TINAGL1
G1021	STXBP2
G1022	HIST1H3H
G1023	MYH9
G1024	IGF2
G1025	GM3470
G1026	NDRG1
G1027	EDA2R
G1028	TFRC
G1029	MIR466B-6
G1030	GABARAPL1
G1031	SET
G1032	TUBB6
G1033	P4HA1
G1034	ANP32A
G1035	GM13502
G1036	ARPC1B
G1037	MAN1A2
G1038	TCF15
G1039	SERPING1
G1040	SETX
G1041	CTNNAL1
G1042	SAT1
G1043	GM17545
G1044	MRPL23-PS1
G1045	EFEMP2
G1046	COL27A1
G1047	CSRP1
G1048	JPT1
G1049	GM20721
G1050	P4HA2
G1051	VIM
G1052	GABARAPL2
G1053	SNORA3
G1054	GM10039
G1055	MIR669G
G1056	STMN1
G1057	MIR669J
G1058	CLDN6
G1059	TRIM2
G1060	BUB1B
G1061	JAM2
G1062	PLAT
G1063	ANXA5
G1064	MRAS
G1065	NOP56
G1066	LGALS3
G1067	MORF4L2
G1068	COL4A1
G1069	GOT1
G1070	KRT18
G1071	AU018091
G1072	FDPS
G1073	TXNIP
G1074	SNORD11
G1075	PDCD4
G1076	FXYD6
G1077	GM23651
G1078	ITGAV
G1079	CARMIL1
G1080	HIST1H2BL
G1081	SELENOS
G1082	GM8741
G1083	TOP2A
G1084	GM28030
G1085	GM22094
G1086	NCAPD2
G1087	TNK2
G1088	FAT1
G1089	FAM25C
G1090	RANGRF
G1091	MOV10
G1092	AKAP12
G1093	TPM4
G1094	SNORD49B
G1095	UCHL1
G1096	ALPL
G1097	GM26318
G1098	CDH6
G1099	KRT42
G1100	CFC1
G1101	IDI1
G1102	LRRC2
G1103	BEX3
G1104	MIR669A-1
G1105	CUBN
G1106	POLE4
G1107	LY75
G1108	UAP1
G1109	MANBA
G1110	FAM102A
G1111	CDC42SE2
G1112	AP1AR
G1113	LAMC1
G1114	ARHGAP1
G1115	PODXL
G1116	ZC3H7A
G1117	HABP2
G1118	FXYD3
G1119	CD63
G1120	GM16235
G1121	RPP25
G1122	AMOTL2
G1123	HIST1H4K
G1124	PLOD3
G1125	GAS6
G1126	GM24640
G1127	MIR297A-2
G1128	GM10135
G1129	2200002D01RIK
G1130	GM26083
G1131	CTSL
G1132	ZFP600
G1133	MFSD1
G1134	FNDC3A
G1135	MIR1905
G1136	GM26397
G1137	ARHGAP21
G1138	RETREG2
G1139	RFFL
G1140	GCLM
G1141	MPZL2
G1142	SNORD70
G1143	DNAJC10
G1144	COTL1
G1145	GM9531
G1146	EVA1A
G1147	NASP
G1148	LIPG
G1149	SNORA44
G1150	MFSD10
G1151	PLXNA1
G1152	SPOCK1
G1153	HIP1
G1154	GM43238
G1155	MAN1A
G1156	NUP93
G1157	PCSK6
G1158	GM10718
G1159	MAGED1
G1160	COMMD3
G1161	PROS1
G1162	SLC16A6
G1163	ZFP978
G1164	GM23571
G1165	EHD1
G1166	SNORA62
G1167	GM25835
G1168	2810025M15RIK
G1169	CDCA7
G1170	TEX264
G1171	ADGRE5
G1172	LDLR
G1173	UHRF1
G1174	POFUT2
G1175	PCOLCE2
G1176	SINHCAF
G1177	GM10780
G1178	GM27624
G1179	GM17035
G1180	GM24451
G1181	AQP3
G1182	ECPAS
G1183	COLGALT1
G1184	MIR7005
G1185	PRXL2A
G1186	GM12276
G1187	TXNDC11
G1188	MTHFD2
G1189	NSD2
G1190	NEU1
G1191	EMP2
G1192	CTH
G1193	ENAH
G1194	OAT
G1195	HMCES
G1196	ABCC5
G1197	GM45236
G1198	IFRD1
G1199	SFI1
G1200	HTRA1
G1201	BASP1
G1202	SNHG1
G1203	RANBP17
G1204	MGST3
G1205	CCND2
G1206	PDIA3
G1207	GNG10
G1208	P3H2
G1209	NUSAP1
G1210	CYP26A1
G1211	TPM1
G1212	CNN2
G1213	STARD10
G1214	HIRIP3
G1215	MIR6928
G1216	HKDC1
G1217	BAG2
G1218	GM26426
G1219	SNORA17
G1220	AQP8
G1221	ZFP979
G1222	AMOT
G1223	SRI
G1224	MIR3070B
G1225	SRM
G1226	LASP1
G1227	TCEAL9
G1228	CMKLR1
G1229	RAB3IL1
G1230	GM26420
G1231	SNURF
G1232	STX5A
G1233	GM24507
G1234	SRGN
G1235	ADAMTS9
G1236	1810032O08RIK
G1237	GM37917
G1238	MIR8091
G1239	MROH1
G1240	MFGE8
G1241	5031439G07RIK
G1242	DPPA4
G1243	HYOU1
G1244	GM13166
G1245	GM49369
G1246	GM7329
G1247	SUN1
G1248	SNORA68
G1249	LAMB1
G1250	APAF1
G1251	PTTG1IP
G1252	GASK1B
G1253	SERPINE2
G1254	SYNE2
G1255	GM10046
G1256	SEC23A
G1257	CCNB2
G1258	MYMX
G1259	TYRO3
G1260	GM23130
G1261	GM42413
G1262	TAGLN2
G1263	SFMBT2
G1264	SNORD49A
G1265	RENBP
G1266	LOXL2
G1267	ZFP991
G1268	LNCENC1
G1269	ITM2B
G1270	OSTC
G1271	RPL5
G1272	LGMN
G1273	RESF1
G1274	COBL
G1275	F3
G1276	SOD1
G1277	GM24455
G1278	PLATR10
G1279	CALCOCO2
G1280	RPN1
G1281	SLC25A22
G1282	GLS
G1283	TMEM144
G1284	AMPD2
G1285	SLC9A6
G1286	LAMP1
G1287	SPARC
G1288	ISYNA1
G1289	HSPA5
G1290	LRRC1
G1291	NXF7
G1292	MYL6
G1293	SDC4
G1294	RHPN1
G1295	LBHD1
G1296	MT2
G1297	MYLPF
G1298	GM8355
G1299	SRPRB
G1300	MME
G1301	USP28
G1302	ULK1
G1303	GM24488
G1304	GM37404
G1305	FGFR3
G1306	FZR1
G1307	GM26431
G1308	RBPMS2
G1309	APOE
G1310	GALK1
G1311	SNORA73B
G1312	LPCAT1
G1313	SHROOM3
G1314	GM13165
G1315	LEFTY2
G1316	MIR295
G1317	PLSCR1
G1318	RCC2
G1319	MDK
G1320	KRT8
G1321	APLP1
G1322	GM24201
G1323	MIR291B
G1324	PLXNB2
G1325	FABP3
G1326	CDC20
G1327	VILL
G1328	EPS8
G1329	PDIA4
G1330	GM23136
G1331	SHF
G1332	GM8203
G1333	UPP1
G1334	FGFR4
G1335	SNORA43
G1336	PSME2
G1337	GNPDA1
G1338	SEC31A
G1339	ARHGAP45
G1340	ATP6V0A1
G1341	SETD7
G1342	ITGA9
G1343	LRPAP1
G1344	IGFBP2
G1345	LAMB2
G1346	TDGF1
G1347	LAMA5
G1348	GLIPR2
G1349	RASGRP2
G1350	BCAS3
G1351	GM24497
G1352	TET2
G1353	NRG2
G1354	PATJ
G1355	RBM47
G1356	TMEM214
G1357	COL18A1
G1358	PTH1R
G1359	AKR1B3
G1360	GM26165
G1361	LIMCH1
G1362	HSP90B1
G1363	HK2
G1364	CD9
G1365	SNORA73A
G1366	HIST1H2AK
G1367	TUBA4A
G1368	GM10925
G1369	GM22635
G1370	GM44450
G1371	CCN2
G1372	GM25636
G1373	TIMP3
G1374	ECHDC2
G1375	DUSP9
G1376	GM27326
G1377	TMED9
G1378	ALG13
G1379	NRG1
G1380	TDGF1-PS1
G1381	GM25185
G1382	CCNE1
G1383	HIST1H2BN
G1384	CDKN1A
G1385	SNORD35A
G1386	WDR45
G1387	RMND5B
G1388	DENND2C
G1389	MORC4
G1390	HELLS
G1391	MKRN1
G1392	SNORD83B
G1393	SLC6A6
G1394	GM26229
G1395	MIR466F-2
G1396	GRB10
G1397	GM10221
G1398	CCND3
G1399	GM23245
G1400	ATP6V0E
G1401	IFI30
G1402	ASS1
G1403	RAB11A
G1404	GM14519
G1405	RPS4L
G1406	SQSTM1
G1407	HIST1H2BF
G1408	ASPH
G1409	RPL17-PS10
G1410	GALNT2
G1411	HIST1H2AI
G1412	RETREG1
G1413	GM28439
G1414	DDAH1
G1415	FN1
G1416	TSPAN9
G1417	RNF157
G1418	SLC5A11
G1419	SEMA4C
G1420	SLC12A4
G1421	UNG
G1422	LMF2
G1423	MYO18A
G1424	MSH2
G1425	ZFP710
G1426	KAT6B
G1427	CLN6
G1428	MIR669B
G1429	SEC61A1
G1430	SPRY2
G1431	CRIP2
G1432	MIR669F
G1433	MYO6
G1434	CLTC
G1435	PHLDB2
G1436	GM4202
G1437	KANK3
G1438	PWWP3B
G1439	RIAN
G1440	MSL3
G1441	GM38009
G1442	DAP
G1443	PIPOX
G1444	GM26917
G1445	TCAF1
G1446	SNORD32A
G1447	GPX3
G1448	PDCD6IP
G1449	GM13597
G1450	IFITM3
G1451	TCL1
G1452	HIST1H2AC
G1453	EPHA4
G1454	CTDSPL
G1455	NEDD4
G1456	FAM168A
G1457	RRM2
G1458	CALM2
G1459	GM14303
G1460	FRMD4A
G1461	CHST15
G1462	CEMIP
G1463	GM24888
G1464	PFKP
G1465	TPI1
G1466	FLRT3
G1467	SLC45A4
G1468	GM8818
G1469	GABARAP
G1470	TNS1
G1471	DCTPP1
G1472	GLMP
G1473	ZFAS1
G1474	FUT8
G1475	SLC17A9
G1476	TMEM150A
G1477	SELENOK
G1478	WDR1
G1479	MSMO1
G1480	GM24616
G1481	VAMP8
G1482	TGFBR3
G1483	MIR7063
G1484	SNORD87
G1485	GM22353
G1486	SLC16A1
G1487	GM25680
G1488	TMEM231
G1489	AY036118
G1490	CTSD
G1491	KRTCAP2
G1492	ARFGAP1
G1493	GM23988
G1494	PDGFA
G1495	SLC7A6
G1496	MT1
G1497	CHCHD10
G1498	SENP3
G1499	FOXN3
G1500	CSRP2
G1501	MIR669A-3
G1502	EIF4A-PS4
G1503	LAPTM5
G1504	RCN3
G1505	CKB
G1506	FGF10
G1507	GM26287
G1508	VANGL1
G1509	HERPUD1
G1510	MYDGF
G1511	GM25183
G1512	ADAM19
G1513	FKBP11
G1514	RIF1
G1515	AF357399
G1516	GM22862
G1517	GM25117
G1518	EDEM1
G1519	APPBP2
G1520	ABHD5
G1521	GM23946
G1522	FBLIM1
G1523	HIST1H2BK
G1524	MEG3
G1525	GM22620
G1526	RHOX5
G1527	EIF4A2
G1528	PLTP
G1529	CTSZ
G1530	GM4617
G1531	THBD
G1532	GM44206
G1533	P3H1
G1534	SNORA26
G1535	DPPA2
