G0	TFAP4
G140	TSHZ3
G141	HNF4A
G142	HSF2BP
G143	ATM
G144	IRF1
G145	ASH2L
G146	NR0B1
G147	ARID1A
G148	KLF8
G149	FOXQ1
G150	RBPJ
G151	TAF6
G152	YEATS4
G153	ZMYND11
G154	EBF4
G155	POU6F1
G156	GRIN1
G157	BTG1
G158	MAPK13
G159	DEK
G160	HES1
G161	SFPQ
G162	ZFP423
G163	BRPF1
G164	POLR2B
G165	KHDRBS1
G166	TGIF1
G167	UBP1
G168	AATF
G169	NFATC1
G170	NR4A1
G171	FOXP1
G172	NDN
G173	PHF1
G174	HES6
G175	TADA3
G176	HNF1B
G177	ING1
G178	ECD
G179	ILF2
G180	ARNT2
G181	ID3
G182	SND1
G183	TLE1
G184	FHL2
G185	UBTF
G186	NANOG
G187	MED12
G188	EP400
G189	PRDM5
G190	RAD51
G191	MED15
G192	EP300
G193	NRIP1
G194	MAFK
G195	ZFP768
G196	SMARCC1
G197	RFX7
G198	EZH1
G199	WBP11
G200	TAF1A
G201	LHX2
G202	FOXO1
G203	GTF2A1L
G204	PIAS3
G205	NKRF
G206	TEAD3
G207	ERCC3
G208	KDM5B
G209	NFYB
G210	PML
G211	TAF1
G212	CTCF
G213	GTF2H3
G214	PATZ1
G215	FOXJ2
G216	NFKB2
G217	MCM6
G218	RAPGEF3
G219	CALCOCO1
G220	POLR2I
G221	JARID2
G222	POLR2H
G223	ZFP462
G224	ZBTB3
G225	TIMELESS
G226	ORC2
G227	TEAD4
G228	BRWD1
G229	PHB2
G230	BMP6
G231	NOTCH1
G232	ELF2
G233	TCEA1
G234	POLR3B
G235	ATF3
G236	ID2
G237	NME2
G238	GATA3
G239	RNF14
G240	ZDHHC16
G241	BMI1
G242	MYBBP1A
G243	CHD7
G244	SSB
G245	VEZF1
G246	MAML3
G247	SRSF3
G248	PRDM1
G249	BTAF1
G250	CTNNB1
G251	MYC
G252	CTNNBL1
G253	KLF4
G254	HIST1H1B
G255	ZSCAN10
G256	ETV5
G257	KLF10
G258	NCOA3
G259	BARX1
G260	USF1
G261	SATB1
G262	TSG101
G263	TULP3
G264	ZFP398
G265	DDX20
G266	ELF3
G267	RB1
G268	PKNOX2
G269	SOX15
G270	NFYA
G271	GATA6
G272	MYD88
G273	SRSF6
G274	SMARCA5
G275	EZH2
G276	NFIC
G277	MITF
G278	CBX4
G279	HMGB2
G280	KRBA1
G281	ESRRA
G282	MAZ
G283	CDC5L
G284	NOTCH2
G285	ZFHX3
G286	NFE2L1
G287	APEX1
G288	DNMT3A
G289	STAT5A
G290	NSD1
G291	ZBTB24
G292	ASH1L
G293	TTF2
G294	SMARCA2
G295	SOX4
G296	POU4F1
G297	PHC1
G298	TOX3
G299	ZSWIM4
G300	ZFP148
G301	SALL1
G302	PROX1
G303	L3MBTL2
G304	GZF1
G305	DAZAP2
G306	PARP1
G307	HIST1H2BB
G308	CUX1
G309	GLIS2
G310	KANK2
G311	ZFP236
G312	WWTR1
G313	MCM5
G314	RUVBL1
G315	SIN3B
G316	FXR2
G317	UTF1
G318	GNRH1
G319	THRAP3
G320	NR3C1
G321	MAPK11
G322	MED4
G323	PHF20
G324	ZBTB10
G325	CRY1
G326	KLF2
G327	RBL1
G328	PDCD11
G329	HIF1A
G330	OVOL1
G331	GTF3C5
G332	CHD4
G333	SIRT3
G334	SIRT2
G335	TRIP11
G336	NFIB
G337	CRABP2
G338	SMARCAD1
G339	MLLT1
G340	XBP1
G341	PRRX2
G342	PIAS1
G343	CCND1
G344	PBX4
G345	MEF2A
G346	PAX1
G347	ZIC3
G348	KEAP1
G349	SMARCC2
G350	RLIM
G351	BRCA1
G352	CUX2
G353	PER1
G354	E2F4
G355	HMGA1
G356	TRIM25
G357	TRIM13
G358	NRF1
G359	CBX6
G360	SP1
G361	MAPK8
G362	TAF9
G363	RUVBL2
G364	ZFP446
G365	MCM3
G366	BCLAF1
G367	SMAD2
G368	YEATS2
G369	POU2F1
G370	CENPB
G371	ING3
G372	DDX58
G373	HOXD13
G374	EPAS1
G375	CBX7
G376	DMRT1
G377	RELA
G378	TAX1BP3
G379	ETV4
G380	RYBP
G381	MIS18BP1
G382	ZBTB43
G383	BCL3
G384	CBX8
G385	FOXH1
G386	ELF4
G387	ANKRD54
G388	LMO4
G389	PREB
G390	CTNNBIP1
G391	IRF2
G392	TAF10
G393	CREB5
G394	ZHX3
G395	PA2G4
G396	TFCP2L1
G397	ESPL1
G398	TBL1X
G399	IRF3
G400	TRIM24
G401	TAF5
G402	REST
G403	ID4
G404	RBMXL2
G405	ZFP275
G406	TRIM32
G407	TRRAP
G408	POLR1E
G409	ANKS1
G410	FOXO3
G411	RNF19A
G412	EYA1
G413	POLR2E
G414	EWSR1
G415	SOX2
G416	PHF12
G417	ATF6
G418	TBPL1
G419	RBM14
G420	JUN
G421	HDAC7
G422	CIC
G423	HNRNPD
G424	DAB2
G425	POLR2J
G426	IRF4
G427	BARD1
G428	NR2C1
G429	NFKBIA
G430	EOMES
G431	CNOT6L
G432	ELL2
G433	CNOT3
G434	MED21
G435	SMARCB1
G436	POLR1A
G437	ETV3
G438	MEN1
G439	YBX1
G440	AIRE
G441	HDAC10
G442	NR1H2
G443	OTX2
G444	POLR1B
G445	GTF2H4
G446	TFE3
G447	ZBTB7A
G448	RAI14
G449	TOP2B
G450	CTBP1
G451	NFXL1
G452	HMGXB3
G453	MAPK3
G454	ZBTB39
G455	COIL
G456	CELF3
G457	TRPS1
G458	GATAD2B
G459	SREBF1
G460	KPNA2
G461	BRCA2
G462	HMGXB4
G463	MLXIP
G464	TCF20
G465	SMAD7
G466	APBB1
G467	ERF
G468	SMURF2
G469	GATA4
G470	EBF1
G471	TCOF1
G472	ZFP281
G473	ILF3
G474	PLAG1
G475	ZFP219
G476	PAX8
G477	PITX2
G478	TGFB1
G479	ATF4
G480	TRP53
G481	PMS1
G482	ZFP335
G483	TCF4
G484	ELL3
G485	H1F0
G486	ELK1
G487	DAXX
G488	NAA15
G489	HDAC3
G490	GLI1
G491	PELP1
G492	KNTC1
G493	KLF6
G494	NR1D1
G495	ZFP277
G496	PITX1
G497	RFX5
G498	SNAPC3
G499	COPS2
G500	FUS
G501	PRDM14
G502	RARG
G503	MYBL2
G504	RHOX6
G505	HSBP1
G506	NR1D2
G507	BRD7
G508	ARNTL
G509	MLXIPL
G510	NFX1
G511	DDX54
G512	FIZ1
G513	POLR2K
G514	CHD5
G515	NONO
G516	ZFP296
G517	ESRRB
G518	TRIB3
G519	DDIT3
G520	MED31
G521	BMP4
G522	ZFAND3
G523	ARID5B
G524	ILK
G525	NOTCH4
G526	TRIP6
G527	NR2F6
G528	MKX
G529	ETV6
G530	FOXA2
G531	JDP2
G532	PLRG1
G533	XRCC5
G534	JUND
G535	SALL4
G536	FOXD3
G537	POLR3F
G538	MEIS1
G539	MCM7
G540	HDAC4
G541	SOS2
G542	POU5F1
G543	TFAP2C
G544	E2F2
G545	ATF7
G546	ETS1
G547	FUBP3
G548	SSBP4
G549	ELK4
G550	CREB3L2
G551	GRHL1
G552	PAPOLA
G553	ETV1
G554	STAT5B
G555	DDB2
G556	HIST1H1D
G557	ATF1
G558	TAF6L
G559	LDB1
G560	NFATC4
G561	SERTAD2
G562	RCOR2
G563	SOX7
G564	DDX5
G565	E2F6
G566	RAD54B
G567	SATB2
G568	FOXJ3
G569	POLR2A
G570	ZEB1
G571	TCF7
G572	ZFP276
G573	SMURF1
G574	SIX1
G575	RFX2
G576	E2F1
G577	CNOT2
G578	EMX2
G579	GLI2
G580	NCOA6
G581	PHF14
G582	TFEB
G583	NCOR1
G584	BTG2
G585	MBD2
G586	NR2F2
G587	GTF3C1
G588	HIF3A
G589	STAT4
G590	KLF15
G591	GBX2
G592	MTA3
G593	NFATC2IP
G594	MEIS3
G595	ZBTB38
G596	TEAD1
G597	BTBD11
G598	PLAGL2
G599	TCF12
G600	BTF3
G601	MTF2
G602	MYCN
G603	SMARCA4
G604	RNF2
G605	ABT1
G606	FXR1
G607	GABPA
G608	PAX6
G609	ARID3B
G610	POU4F2
G611	MPHOSPH8
G612	PBXIP1
G613	PSIP1
G614	POLR3D
G615	KLF3
G616	BACH2
G617	CITED1
G618	BAZ1A
G619	HIVEP2
