#ID	Name
G0	EPOR
G122	FOXO1
G123	NRF1
G124	TCF12
G125	SLA2
G126	GTF2F1
G127	NFKBIA
G128	NFE2
G129	CNOT7
G130	IRF1
G131	GTF2E1
G132	RELB
G133	RORA
G134	MYNN
G135	RARB
G136	ZBTB10
G137	MED16
G138	E2F4
G139	ORC2
G140	ABL1
G141	ZFP143
G142	DDX20
G143	RB1
G144	HDAC10
G145	TRIB3
G146	KLF1
G147	XAB2
G148	GTF3C3
G149	IKZF1
G150	LZTS1
G151	MCM4
G152	MCM5
G153	EGR1
G154	ERCC8
G155	ZFP36
G156	THRB
G157	ETS1
G158	PRDM16
G159	EYA2
G160	MYB
G161	NFXL1
G162	MAPK1
G163	MYCN
G164	XRCC3
G165	HCFC1
G166	TOPORS
G167	MCM2
G168	ZBTB43
G169	HDGF
G170	PPARGC1A
G171	HNF4A
G172	GTF2H1
G173	PML
G174	RAI14
G175	APBB1
G176	YBX1
G177	PRDM5
G178	CITED4
G179	MCM3
G180	LMO4
G181	PRDM4
G182	NFIA
G183	FEM1B
G184	PA2G4
G185	ELP2
G186	JUN
G187	SMARCA2
G188	RUVBL2
G189	DCP1A
G190	TEAD3
G191	SP4
G192	TLE2
G193	HMGB2
G194	BUB3
G195	IRF8
G196	ZEB2
G197	KLF3
G198	SOX18
G199	MXD3
G200	NR3C2
G201	RAD51
G202	EYA1
G203	ZKSCAN17
G204	ZDHHC6
G205	HAGH
G206	RASAL3
G207	PLXNC1
G208	CHUK
G209	RAB32
G210	TMEM176A
G211	GPR171
G212	BIRC5
G213	UBXN2B
G214	TES
G215	PRKAB1
G216	TNFAIP2
G217	TARS
G218	STAP1
G219	DCAF13
G220	APEH
G221	CLDN13
G222	SACM1L
G223	TFR2
G224	PTDSS1
G225	ME2
G226	NAMPT
G227	TCP11L2
G228	TTLL12
G229	UBA3
G230	VPS41
G231	STT3B
G232	GM8995
G233	GYPA
G234	PPIL4
G235	UTP4
G236	MKI67
G237	KPNA3
G238	ZFP62
G239	SMC2
G240	SLC25A21
G241	HAUS2
G242	HARS2
G243	EMILIN2
G244	BUB1B
G245	CRYZL2
G246	LRRC14
G247	USP37
G248	CDC20
G249	SLC20A1
G250	OASL2
G251	FAM234B
G252	WDR75
G253	WDR4
G254	VIM
G255	PFKM
G256	CENPA
G257	PQLC3
G258	FASTKD2
G259	FOXRED1
G260	CCDC137
G261	INCENP
G262	TM7SF3
G263	TBXAS1
G264	ACSS1
G265	KLHL6
G266	FADS1
G267	MMUT
G268	GSKIP
G269	GCLC
G270	TUBGCP3
G271	VWA5A
G272	BID
G273	ATP1B2
G274	TMC6
G275	ATP2A3
G276	ANXA1
G277	SMIM5
G278	WDR6
G279	CRIP2
G280	YOD1
G281	SAMD14
G282	COLGALT1
G283	TIPIN
G284	ASF1B
G285	SPIRE1
G286	VKORC1L1
G287	CELA1
G288	2610035D17RIK
G289	SMIM1
G290	GDF3
G291	SERPINF1
G292	TMEM176B
G293	NUP107
G294	SPPL2B
G295	NDE1
G296	CAPN7
G297	CISH
G298	RBPMS
G299	SLC41A3
G300	GFM1
G301	SLC19A1
G302	PLA2G12A
G303	RRM2
G304	NARFL
G305	GRINA
G306	UHRF1
G307	CDC7
G308	SERPINB9
G309	PDZK1IP1
G310	VPS33B
G311	HSD3B7
G312	ABCB4
G313	WLS
G314	ZFP871
G315	PRIM2
G316	CEPT1
G317	PIK3R2
G318	APOE
G319	ALAD
G320	LRRC8C
G321	ANXA6
G322	ENPP4
G323	TBC1D10C
G324	TNFRSF13B
G325	GBP2
G326	TBC1D20
G327	CD82
G328	RFC5
G329	STK25
G330	IFITM1
G331	ATP13A1
G332	STEAP3
G333	CTLA2A
G334	PLIN2
G335	SLC18A2
G336	HMBS
G337	ALDH1A1
G338	TRIM47
G339	OPTN
G340	SEPT8
G341	CYTH3
G342	IL21R
G343	ANXA5
G344	PCP4L1
G345	KRT18
G346	TK1
G347	CCNB2
G348	AP1G2
G349	HSDL1
G350	ELAC2
G351	CDCA3
G352	MYH10
G353	GLIPR2
G354	HEMGN
G355	PON2
G356	MTFR1
G357	AW112010
G358	IARS
G359	LIMD2
G360	PRPF4
G361	HERC4
G362	PDCL
G363	ATG12
G364	ST6GALNAC4
G365	PITPNB
G366	AURKB
G367	CD55
G368	TRIM59
G369	POLD1
G370	C1QTNF12
G371	LCP2
G372	LIG1
G373	CKAP2L
G374	RNASE6
G375	ITIH5
G376	CES2G
G377	GSTM5
G378	SPC25
G379	GM28875
G380	MIS12
G381	CYB5R3
G382	RNF115
G383	SLC31A1
G384	TRIB2
G385	FIGNL1
G386	HEBP1
G387	ANAPC2
G388	FAM136A
G389	OTUD6B
G390	NXPE2
G391	WDR55
G392	NUP93
G393	SPRYD4
G394	MAPKAPK3
G395	FTSJ3
G396	PRIM1
G397	SLC40A1
G398	ARHGEF6
G399	ZFP35
G400	AQP9
G401	STARD10
G402	PMPCA
G403	TANGO2
G404	IFI44
G405	RMND5B
G406	CNN2
G407	MTAP
G408	PPAT
G409	FKBP1A
G410	ACAA2
G411	RAB37
G412	SERPINB1A
G413	TMX3
G414	GIMAP5
G415	TGM2
G416	DHFR
G417	DRAM2
G418	CUL4A
G419	ATG4B
G420	MINPP1
G421	STOM
G422	NUDT19
G423	BAG2
G424	ANGPT1
G425	HPN
G426	NSDHL
G427	PPIC
G428	THUMPD3
G429	PIGQ
G430	TIMM29
G431	STX2
G432	PPP2R1B
G433	KIF22
G434	SQOR
G435	MAD2L1
G436	GT(ROSA)26SOR
G437	SERPINA3G
G438	DCAF4
G439	PJA2
G440	MTHFD1
G441	NAPSA
G442	DNAJC11
G443	ATL2
G444	SLC11A2
G445	PADI4
G446	LY6A
G447	SCFD1
G448	SLC14A1
G449	POLE3
G450	ALKBH8
G451	LONP1
G452	TLK1
G453	CAR1
G454	ATAD1
G455	UAP1
G456	MT1
G457	PRPS2
G458	EXT2
G459	IFI203
G460	D10WSU102E
G461	WDR73
G462	CDT1
G463	DOK2
G464	TMEM109
G465	DECR1
G466	CASP3
G467	CLPX
G468	PQLC1
G469	SDSL
G470	TSPO2
G471	GMPR
G472	FZR1
G473	APLP2
G474	CTSC
G475	METAP1
G476	PSEN2
G477	INTS13
G478	NGLY1
G479	EBI3
G480	CDCA8
G481	TUBGCP2
G482	MGST3
G483	CLCN4
G484	EPDR1
G485	GMNN
G486	COA5
G487	MPL
G488	UCKL1
G489	RASA3
G490	DYNLT3
G491	CPT2
G492	TSPAN14
G493	RNF13
G494	SLC30A5
G495	RHD
G496	CD9
G497	IARS2
G498	GRAMD1A
G499	RABIF
G500	ABCB8
G501	CAMK1
G502	MMRN1
G503	SQLE
G504	MRPL37
G505	EMILIN1
G506	NARF
G507	PGLYRP2
G508	LSP1
G509	USP10
G510	TYMS
G511	CEP70
G512	CAD
G513	DUSP2
G514	2210016F16RIK
G515	RGS2
G516	POGLUT1
G517	VPS16
G518	BAP1
G519	XPNPEP1
G520	GCNT2
G521	CTSE
G522	GOLM1
G523	GOLT1B
G524	GNPDA1
G525	TREML2
G526	PICALM
G527	PPOX
G528	CUL2
G529	LTB
G530	TXNRD2
G531	ISG20
G532	MAVS
G533	CSTF2
G534	BYSL
G535	CDC45
G536	TSPAN33
G537	CPT1A
G538	JAK3
G539	ARAP1
G540	RFESD
G541	RRM1
G542	PWP2
G543	MYL10
G544	MUC13
G545	SLC43A3
G546	ST3GAL5
G547	RCC1
G548	TMEM186
G549	HACD4
G550	KEL
G551	TMEM97
G552	CPOX
G553	ORC5
G554	MEMO1
G555	GIMAP6
G556	RANGAP1
G557	RAD51AP1
G558	CTTN
G559	ERMAP
G560	GYPC
G561	PBK
G562	MSH6
G563	GNG11
G564	MFSD14B
G565	PSMF1
G566	TMEM129
G567	RTP4
G568	WARS
G569	ZFP397
G570	ASNS
G571	CCNA2
G572	PROCR
G573	SLC16A1
G574	EDC3
G575	IFI30
G576	NUP85
G577	FBXW5
G578	LDHB
G579	WDHD1
G580	PACSIN2
G581	MFSD1
G582	PRMT7
G583	GM15915
G584	GSTM1
G585	SLC25A45
G586	PTDSS2
G587	MFSD2B
G588	FECH
G589	TAPT1
G590	KLHL22
G591	RGS1
G592	LYZ2
G593	SLC35A1
G594	NUDT4
G595	CCNE1
G596	UBE2C
G597	ARL6IP6
G598	DUSP1
G599	PRELID3B
G600	LPCAT3
G601	HARS
G602	ATP6V1A
G603	CMPK2
G604	MAU2
G605	HACD3
G606	CD84
G607	RFC4
G608	ASAH1
G609	MARS
G610	ABCF3
G611	SPTLC1
G612	MAGED1
G613	UBR7
G614	PKM
G615	SPC24
G616	IL15
G617	MFNG
G618	ESAM
G619	BLVRB
G620	MFGE8
G621	CPQ
G622	PTGS1
G623	CDCA4
G624	CD34
G625	NCEH1
G626	UBAC1
G627	MNS1
G628	TACC3
G629	PEAR1
G630	CHP1
G631	CHMP7
G632	PLCB2
G633	UBE2G2
G634	SPHK1
G635	CCNB1
G636	GOSR2
G637	RASSF5
G638	PRSS50
G639	FTSJ1
G640	CTSO
G641	SLC7A4
G642	CDC6
G643	CAST
G644	CTPS
G645	PLCG2
G646	TMEM263
G647	SPNS2
G648	DUS1L
G649	NUDT9
G650	TOP2A
G651	SGPP1
G652	ORC6
G653	AURKA
G654	GATM
G655	SLC43A1
G656	CLN5
G657	GNB4
G658	INPP5B
G659	RARS
G660	UAP1L1
G661	PSMD9
G662	ZFP655
G663	FPGS
G664	AQP1
G665	DENND2D
G666	TBC1D15
G667	ZFP639
G668	UROS
G669	ASB8
G670	TPX2
G671	SLC38A5
G672	MYCT1
G673	RHOF
G674	RNF139
G675	GIMAP1
G676	PNO1
G677	ELMO1
G678	MOGS
G679	ALDH18A1
G680	1700017B05RIK
G681	MT2
G682	DCAF11
G683	NEURL3
G684	CERS5
G685	TRMT11
G686	IGKC
G687	DNPEP
G688	NCLN
G689	AFAP1L1
G690	SDHAF2
G691	METTL7A1
G692	AK3
G693	AFG3L2
G694	G6PDX
G695	CRNKL1
G696	ADGRL4
G697	CD1D1
G698	HSPH1
G699	RHAG
G700	SLC25A38
G701	SIGIRR
G702	TFRC
G703	LEPROT
