#ID	Name
G0	TEAD2
G240	CYP2J9
G241	ANXA3
G242	AHCYL1
G243	HK3
G244	IPO9
G245	STXBP4
G246	GNG12
G247	SCARF1
G248	CD82
G249	FUCA2
G250	SORT1
G251	CD53
G252	TOR3A
G253	GM4759
G254	MYO1G
G255	ADSSL1
G256	PHF6
G257	VAV3
G258	FES
G259	COPB1
G260	VPS16
G261	PSAT1
G262	GNG11
G263	SGMS1
G264	FAR1
G265	GMIP
G266	CTC1
G267	TPM4
G268	ARL6IP6
G269	MFSD1
G270	ESAM
G271	CTSZ
G272	CNIH1
G273	TRIM35
G274	SLC35B4
G275	RPA1
G276	XAF1
G277	SELL
G278	SERPINA3G
G279	STT3B
G280	PLXNC1
G281	SELENBP1
G282	AFAP1L1
G283	NSD2
G284	GOLPH3
G285	KAT7
G286	RARS
G287	WDR4
G288	IGTP
G289	ERLIN1
G290	NCLN
G291	PLAC8
G292	CSGALNACT1
G293	TMX3
G294	CISH
G295	PNO1
G296	ALDH9A1
G297	FLT3
G298	TCP11L2
G299	SLA
G300	ADO
G301	CUL3
G302	PRMT7
G303	TMEM43
G304	DHRS3
G305	DHX33
G306	CASP12
G307	SNAP23
G308	CHRNB1
G309	FAM136A
G310	CYP2J6
G311	TOP3B
G312	MFSD14B
G313	ICAM1
G314	CNRIP1
G315	PSTPIP1
G316	LONP1
G317	CD52
G318	FLOT2
G319	LDHB
G320	MARS
G321	RPA2
G322	LONP2
G323	HACD3
G324	PLIN3
G325	ADGRG3
G326	RASA4
G327	TK1
G328	BID
G329	INO80D
G330	ZFP24
G331	GIMAP1OS
G332	SLC43A3
G333	GRINA
G334	MRPL37
G335	CD74
G336	IARS
G337	ABCB8
G338	DPP8
G339	NUP107
G340	PCMTD2
G341	EZR
G342	MOGS
G343	FAM111A
G344	CPA3
G345	MSH6
G346	MOB3C
G347	GBP3
G348	RANBP3
G349	TRIM59
G350	FIGNL1
G351	NOP2
G352	TBL3
G353	RTP4
G354	NCF1
G355	AURKB
G356	EBI3
G357	RABGGTB
G358	S100A6
G359	CLN5
G360	H2-OB
G361	SLC19A1
G362	CALCRL
G363	GT(ROSA)26SOR
G364	POLD1
G365	GSR
G366	RP2
G367	UBL4A
G368	TMEM206
G369	LIG1
G370	LAP3
G371	TARS
G372	DENND2D
G373	GBP7
G374	PRELID3B
G375	MYCT1
G376	OTULINL
G377	NEAT1
G378	MTREX
G379	FASTKD2
G380	SLC44A2
G381	ITGAL
G382	AKNA
G383	CTSL
G384	SLC28A2
G385	CLPTM1L
G386	GANAB
G387	LAPTM4B
G388	EPSTI1
G389	CD48
G390	PTGR1
G391	DNAJC5
G392	NKG7
G393	PSEN1
G394	KCTD12
G395	TMEM173
G396	ST6GALNAC4
G397	CERS4
G398	PIM2
G399	MS4A6C
G400	GMCL1
G401	ACOT9
G402	WDR55
G403	NFAM1
G404	NADK
G405	SMPDL3A
G406	POR
G407	RCSD1
G408	PHF11B
G409	METTL27
G410	XPNPEP1
G411	UHRF1
G412	CTLA2A
G413	TIMM29
G414	MSMO1
G415	GOLT1B
G416	IIGP1
G417	GIMAP1
G418	DNM1L
G419	GALNT6
G420	CCNB2
G421	PTGS1
G422	LGALS1
G423	SNX30
G424	SPNS2
G425	ACOX1
G426	POLE3
G427	BACE1
G428	APOE
G429	MGAT5
G430	ARL8B
G431	MILR1
G432	ITSN1
G433	CFP
G434	IL27RA
G435	TGM2
G436	RPRD1B
G437	EMCN
G438	F11R
G439	TCN2
G440	FOXRED1
G441	MAN2A2
G442	SLC39A6
G443	DCAF13
G444	INTS13
G445	HELLS
G446	HP
G447	RRM2
G448	UNC93B1
G449	ARHGEF18
G450	EIF1AD
G451	BC035044
G452	FTSJ3
G453	ITM2A
G454	CDC7
G455	COLGALT1
G456	CDC45
G457	MYL10
G458	RASSF4
G459	CD69
G460	CASP4
G461	CTSF
G462	DNAJC11
G463	CTSO
G464	FDFT1
G465	GMFB
G466	SESN1
G467	SETD2
G468	PTDSS1
G469	CD9
G470	PRPF4
G471	ST8SIA4
G472	PRSS57
G473	SEH1L
G474	1700017B05RIK
G475	HDC
G476	CKAP5
G477	RPS6KA3
G478	TMEM97
G479	HEXA
G480	MAD2L1
G481	MYO1F
G482	TMX4
G483	EMID1
G484	PREP
G485	TIE1
G486	MAGED1
G487	RAB44
G488	DUS1L
G489	UTP4
G490	MS4A3
G491	ITIH5
G492	SPNS3
G493	DEF8
G494	ARHGEF39
G495	PADI4
G496	INPP5B
G497	SLC30A5
G498	ZNRF2
G499	PCLAF
G500	ABCG2
G501	VSIR
G502	JPT2
G503	AP3S1
G504	ANXA1
G505	F630028O10RIK
G506	STARD7
G507	BCL2
G508	ATP8B4
G509	FCER1G
G510	MKI67
G511	PLPPR3
G512	WDR5
G513	PRPS2
G514	RGS2
G515	TNFRSF21
G516	SSH3
G517	FGFR1OP
G518	GNS
G519	PLEK
G520	CLEC12A
G521	ANXA2
G522	SCARB1
G523	USP11
G524	PRODH
G525	TYMS
G526	UBR7
G527	FRRS1
G528	CCDC50
G529	TYROBP
G530	RAB37
G531	IFI44
G532	CTLA2B
G533	SERPINB9
G534	G6PDX
G535	NDRG1
G536	B230219D22RIK
G537	UMPS
G538	GLB1
G539	RPP40
G540	PAK1
G541	IGHM
G542	MPO
G543	AGPS
G544	TES
G545	ZFP451
G546	NAMPT
G547	ATP6AP2
G548	TBC1D10C
G549	TESPA1
G550	SNAP47
G551	TM7SF3
G552	UBE2L6
G553	SAMD9L
G554	MORC3
G555	TXNDC11
G556	TRP53I11
G557	ALAS1
G558	PRKCH
G559	MTMR6
G560	CSAD
G561	CCL4
G562	GCNT2
G563	NUDT19
G564	PROCR
G565	NDE1
G566	GRIA3
G567	PEAR1
G568	DHFR
G569	CDT1
G570	CCL9
G571	LCP2
G572	2610035D17RIK
G573	VPS35
G574	ARID5A
G575	MFNG
G576	CDCA4
G577	DOK2
G578	NCEH1
G579	GMNN
G580	MTFR1
G581	SHMT1
G582	PTTG1IP
G583	USP37
G584	BC005561
G585	MLKL
G586	MPL
G587	CAD
G588	TUBGCP2
G589	PANX1
G590	PFKP
G591	ZFP35
G592	FCGR3
G593	CYBC1
G594	MAPKAPK3
G595	GRK3
G596	NCAPD2
G597	IRGM2
G598	IL12A
G599	PDZK1IP1
G600	SH2D5
G601	TRPC6
G602	CHORDC1
G603	CSF3R
G604	RCC1
G605	GPR160
G606	ATP11C
G607	SLC18A2
G608	PARP8
G609	RGCC
G610	ELMO2
G611	CDC6
G612	METTL7A1
G613	UBA7
G614	PRIM2
G615	GIMAP5
G616	PGLYRP2
G617	DNAJC10
G618	TBXAS1
G619	AKAP8L
G620	TMEM229B
G621	GUSB
G622	KPNA3
G623	TIPIN
G624	KRT18
G625	TCIRG1
G626	FAM91A1
G627	SDF2L1
G628	EPB41L4B
G629	GIMAP6
G630	MAP4K2
G631	TUBGCP3
