#ID	Name
G0	BRWD1
G302	ABTB1
G303	NFIA
G304	CIC
G305	JUN
G306	SP8
G307	PHF2
G308	COPS2
G309	BTAF1
G310	TSHZ3
G311	ILK
G312	CEBPZ
G313	ZFP446
G314	ZBTB3
G315	TCF20
G316	SAP30
G317	ZFP275
G318	HEXIM1
G319	VEZF1
G320	DMRT1
G321	MXD4
G322	CTNNBL1
G323	KAT2B
G324	BRD7
G325	RBMXL2
G326	HIST1H1B
G327	AKT1
G328	MCM5
G329	ETV1
G330	ZEB1
G331	ZFP219
G332	NFATC3
G333	MEF2A
G334	BMP6
G335	TIMELESS
G336	ZSCAN10
G337	RFXAP
G338	TFAP2C
G339	ARL6IP5
G340	POU4F2
G341	HNRNPAB
G342	ZFP398
G343	POLR3B
G344	NR0B1
G345	HMGXB3
G346	NRF1
G347	PAWR
G348	HES1
G349	MEF2D
G350	MCM3
G351	FXR2
G352	PHF12
G353	POLR1E
G354	ZEB2
G355	TFE3
G356	CNOT7
G357	SOS2
G358	SIN3A
G359	HIF3A
G360	PATZ1
G361	HDAC1
G362	PREB
G363	RERE
G364	OTX2
G365	CTNNBIP1
G366	POLR2A
G367	TGIF1
G368	CSF1
G369	KEAP1
G370	FOSL2
G371	ESRRA
G372	RFX7
G373	NME2
G374	HSF2
G375	TBX3
G376	SMURF1
G377	XAB2
G378	TAF1A
G379	LMO4
G380	CRABP2
G381	EPAS1
G382	SMAD2
G383	TBL1X
G384	PML
G385	HNF4A
G386	FOXJ3
G387	SMAD3
G388	MAML3
G389	TULP3
G390	TFAP4
G391	ZBTB32
G392	GTF2A1L
G393	BCL3
G394	PCBP2
G395	SMARCA5
G396	TRP53BP1
G397	ELL3
G398	ZBTB24
G399	SALL4
G400	DIDO1
G401	PHC1
G402	ARID3B
G403	NFKB2
G404	RNF2
G405	HDAC2
G406	DNMT1
G407	EWSR1
G408	TOPORS
G409	FOXJ2
G410	HNF1B
G411	PSIP1
G412	MEIS1
G413	IRF6
G414	ZFP335
G415	SRRT
G416	TBPL1
G417	NFIB
G418	SMAD7
G419	HOXD13
G420	HIVEP2
G421	BACH2
G422	MBD2
G423	GLI2
G424	CBX6
G425	SMARCAD1
G426	TCF7L2
G427	SIRT2
G428	ING3
G429	REST
G430	SP1
G431	MDM2
G432	PHF14
G433	NCOA3
G434	CENPB
G435	RBMX
G436	ERF
G437	RAPGEF3
G438	TTF2
G439	SRSF1
G440	PDCD11
G441	KLF9
G442	NCOR1
G443	GLI1
G444	GRHL1
G445	SOX17
G446	TAF1
G447	ZMYM2
G448	KLF8
G449	USF1
G450	MTA3
G451	YEATS4
G452	RELA
G453	DAXX
G454	MYC
G455	PEG3
G456	HEY2
G457	FHL2
G458	SRF
G459	POLR1C
G460	NR2F2
G461	SMARCD1
G462	TAF9
G463	POLR3D
G464	ESRRB
G465	HNRNPD
G466	HDAC10
G467	HDAC7
G468	KLF10
G469	IRF2
G470	TRIP6
G471	NRIP1
G472	POLR2H
G473	PELP1
G474	CNOT6L
G475	ZBTB20
G476	PLAG1
G477	NR2F6
G478	ZFP148
G479	PRDM1
G480	TOX3
G481	RB1
G482	ATF5
G483	BRCA1
G484	ZFPM1
G485	DTX1
G486	GATA3
G487	PHB2
G488	KLF15
G489	POU2F1
G490	TRIM13
G491	MYD88
G492	RBFOX2
G493	THRAP3
G494	AIRE
G495	POU6F1
G496	CUX2
G497	PER1
G498	ANKRD49
G499	BTF3
G500	EZH2
G501	MAZ
G502	EBF1
G503	TFEB
G504	IRF3
G505	STAT5A
G506	SIRT1
G507	JUND
G508	IRF1
G509	ZSWIM4
G510	CNOT3
G511	FOXA2
G512	PRDM5
G513	TBX18
G514	E2F4
G515	TRRAP
G516	POLR2K
G517	MAPK11
G518	TMF1
G519	MED21
G520	ETV4
G521	DCP1A
G522	EP400
G523	NR1D1
G524	MITF
G525	BRCA2
G526	SMARCA2
G527	DR1
G528	HDAC11
G529	HDAC5
G530	HIF1A
G531	RNF14
G532	APEX1
G533	NR2C1
G534	PLRG1
G535	XRCC6
G536	SIX1
G537	ZFP592
G538	TAF10
G539	FOXH1
G540	ARNT2
G541	POLR2J
G542	GBX2
G543	DDX58
G544	BAZ1A
G545	POLR1B
G546	CUX1
G547	ETV5
G548	GATA6
G549	SFPQ
G550	CREB5
G551	ATF6
G552	ELF3
G553	MLLT1
G554	HDGF
G555	NOTCH4
G556	ID2
G557	SRSF6
G558	POLR2B
G559	SMAD4
G560	GTF2H3
G561	FOXD3
G562	MYCN
G563	GTF3C5
G564	TOP2B
G565	ZFP462
G566	CBX4
G567	PAX8
G568	TRIM28
G569	GTF2H4
G570	KRBA1
G571	TCOF1
G572	HMGA2
G573	MCM4
G574	NR3C1
G575	ZFP296
G576	NOTCH1
G577	IKBKB
G578	ZFP91
G579	ETV6
G580	FXR1
G581	GTF2I
G582	PBXIP1
G583	ARNTL
G584	E2F6
G585	DDIT3
G586	GRIN1
G587	FUS
G588	ZDHHC15
G589	TOX4
G590	ELF2
G591	ZBTB38
G592	DNAJC2
G593	ATM
G594	ERCC8
G595	RYBP
G596	PAX6
G597	MAPK13
G598	ATF1
G599	MEF2C
G600	XRCC5
G601	YBX1
G602	ATF7
G603	NFX1
G604	TAF6
G605	SMARCC2
G606	POLR1A
G607	ERCC3
G608	HES6
G609	ATF3
G610	HIST1H2BB
G611	NFIL3
G612	PITX1
G613	NFXL1
G614	GATA4
G615	BTBD11
G616	UTF1
G617	SKIL
G618	MEIS3
G619	HMGB2
G620	SUN1
G621	SGK1
G622	TUBB4B
G623	MFSD1
G624	GM14519
G625	SPNS2
G626	HIST1H2BN
G627	PRPS2
G628	COL27A1
G629	ARHGEF40
G630	PLXNA1
G631	UBE2C
G632	GM21962
G633	RAB3IL1
G634	GM22455
G635	MIR6928
G636	CTDSPL
G637	FZR1
G638	GM8355
G639	ABHD5
G640	PLXNB2
G641	DANCR
G642	HIST1H1A
G643	MIR5121
G644	LY6E
G645	CDIPT
G646	GM7993
G647	COBLL1
G648	GPA33
G649	MSMO1
G650	AGPAT4
G651	SPRY2
G652	GM22678
G653	SOAT1
G654	GM15421
G655	CCNB2
G656	HSP25-PS1
G657	GM49450
G658	MRPS5
G659	EIF4A-PS4
G660	ZFYVE21
G661	GM23497
G662	SLC20A1
G663	FDPS
G664	GM25316
G665	FBXO5
G666	GRB10
G667	TIMP3
G668	KANK3
G669	ACTG1
G670	COX7A1
G671	BASP1
G672	PMM1
G673	SERPINB6A
G674	LRRC8D
G675	MIR669J
G676	GM42429
G677	SORD
G678	GM25735
G679	RCN3
G680	FXYD3
G681	COMMD3
G682	FXYD6
G683	SDC4
G684	RRM2
G685	ODC1
G686	TUBB2B
G687	F2R
G688	SENP3
G689	GNG2
G690	LMF2
G691	SNORA43
G692	HIST1H2AI
G693	GM45236
G694	EPS8
G695	FKBP11
G696	GM25451
G697	GM26060
G698	GM10046
G699	GM9531
G700	FGF10
G701	SNURF
G702	NSD2
G703	FAT1
G704	GGA2
G705	DKK1
G706	MCM10
G707	MIR295
G708	STMN1
G709	PLATR16
G710	ZFP980
G711	TSPAN4
G712	ATP6V0B
G713	ASS1
G714	FGFR3
G715	EMP2
G716	1810032O08RIK
G717	RETREG1
G718	SEMA4C
G719	GM10184
G720	SNORD17
G721	SEC61A1
G722	JPT1
G723	GM23946
G724	GM25500
G725	LAMC1
G726	GM11223
G727	GSN
G728	GM24507
G729	CHN2
G730	HIST1H2BF
G731	GM45105
G732	ERP29
G733	GM25943
G734	PHLDA3
G735	NSMAF
G736	GM10780
G737	LOXL2
G738	SEC24D
G739	CLN6
G740	JAM2
G741	PARVA
G742	SMS-PS
G743	HIST1H2AF
G744	MIR297B
G745	PDLIM1
G746	FUT8
G747	BCAM
G748	NPL
G749	UBALD2
G750	GALNT2
G751	CFC1
G752	CCNB1
G753	HS3ST1
G754	LDLR
G755	HERPUD1
G756	MORF4L2
G757	SLC25A22
G758	SH3PXD2B
G759	GM25787
G760	SNORD49B
G761	PRDX4
G762	HIST1H2BK
G763	AMPD2
G764	SNORD93
G765	GM24888
G766	RMND5B
G767	ZFP532
G768	GM17212
G769	COLGALT1
G770	DNAJC10
G771	SNORA17
G772	ZFP367
G773	GM43558
G774	SAT1
G775	SNHG3
G776	PARVB
G777	FHOD1
G778	SPRY4
G779	PCOLCE2
G780	GM23569
G781	MAPKAPK2
G782	TMED9
G783	NASP
G784	SRM
G785	GM44206
G786	DPPA2
G787	GM15446
G788	GM17545
G789	RANBP17
G790	NDRG1
G791	SEC23A
G792	TPD52
G793	GM29397
G794	HIST1H2BL
G795	GM26318
G796	SLC1A5
G797	STAG3
G798	GM8203
G799	GM12112
G800	BEX1
G801	NUSAP1
G802	GM24564
G803	NXF7
G804	LBHD1
G805	MIR7063
G806	LTBP4
G807	SEC31A
G808	GNAS
G809	GM23245
G810	SLCO3A1
G811	OAT
G812	UBE2S
G813	ANK
G814	GM8818
G815	PDIA4
G816	RPN1
G817	KRT19
G818	AQP8
G819	SDCBP
G820	OBSL1
G821	F3
G822	HSD17B14
G823	CCND3
G824	HSP90B1
G825	SNORD33
G826	COL4A2
G827	CKAP4
G828	ARHGAP29
G829	MARC2
G830	BSG
G831	GM9385
G832	KRT18
G833	GM10135
G834	PCOLCE
G835	HDLBP
G836	ABCC5
G837	B2M
G838	MYO5B
G839	GM22094
G840	SEPT1
G841	MYO18A
G842	MOV10
G843	LY6G6E
G844	CDH6
G845	MIR7003
G846	CTSA
G847	PGA5
G848	CTBP2
G849	MANBA
G850	DDX21
G851	GM23268
G852	AARS
G853	DNAJC3
G854	GM4202
G855	LASP1
G856	GM6594
G857	CPM
G858	SOD1
G859	GM45213
G860	GM26229
G861	AHNAK
G862	ERLIN1
G863	TMED2
G864	CLDN6
G865	GM26420
G866	GM2399
G867	PFAS
G868	CACHD1
G869	CALU
G870	PDCD4
G871	MIR8091
G872	MT1
G873	GLIPR1
G874	PIK3AP1
G875	SPP1
G876	RDM1
G877	RPL15-PS3
G878	GNPTAB
G879	LRRC2
G880	SLC7A3
G881	MSL3
G882	SET
G883	MYO6
G884	BCAT1
G885	AKR1B3
G886	P4HB
G887	MROH1
G888	MYLPF
G889	ATP1B1
G890	GSR
G891	LAPTM5
G892	GM12276
G893	GM26447
G894	IFITM1
G895	MANF
G896	SETD7
G897	GM26426
G898	P4HA2
G899	RPL17-PS10
G900	1110038B12RIK
G901	RANGRF
G902	TPM1
G903	PLSCR1
G904	DUSP6
G905	MEG3
G906	MIR7005
G907	SQSTM1
G908	MDK
G909	AMOTL2
G910	SURF4
G911	SLC38A2
G912	GM26092
G913	VEGFA
G914	ITM2B
G915	SLC17A9
G916	GM13237
G917	HIST1H2AC
G918	MSI2
G919	SIDT2
G920	SELENOS
G921	VANGL1
G922	PRSS35
G923	GM24044
G924	GM25117
G925	SNORA62
G926	SNRPN
G927	LGALS3
G928	XAF1
G929	PDIA3
G930	ST5
G931	GOT1
G932	SLC26A10
G933	GM7329
G934	TRIM2
G935	APAF1
G936	FBLIM1
G937	GM10039
G938	ISYNA1
G939	PIPOX
G940	SLC25A4
G941	DDAH2
G942	ARHGAP21
G943	MIR669E
G944	GM23578
G945	AI506816
G946	NKTR
G947	RPP25
G948	WDFY1
G949	DUSP9
G950	COL4A1
G951	MYO1C
G952	CTSZ
G953	NEDD4
G954	SERPINH1
G955	SNORA3
G956	2410141K09RIK
G957	EIF2S2
G958	FRRS1
G959	PWWP3B
G960	MIR1905
G961	HKDC1
G962	ZFP600
G963	FGF3
G964	HIST1H2AG
G965	GM44335
G966	IGF2
G967	GM15181
G968	OSTC
G969	ATP13A3
G970	FAM102A
G971	ALG13
G972	RRBP1
G973	MGST3
G974	GPRC5C
G975	GM24640
G976	GM10221
G977	TMEM231
G978	LAMB2
G979	SNORD83B
G980	TGM1
G981	SLC35F5
G982	BNC2
G983	ZFP710
G984	TFRC
G985	GM26397
G986	PITPNC1
G987	ZFAS1
G988	GM22635
G989	TDH
G990	TNS4
G991	TUBB6
G992	SNORA68
G993	ACTL6A
G994	GM24488
G995	PDCD6IP
G996	NUP93
G997	GM38009
G998	SFI1
G999	TDGF1
G1000	GM27624
G1001	HSPG2
G1002	GAA
G1003	IQSEC1
G1004	SNORD43
G1005	GM10182
G1006	ACADM
G1007	SNORA81
G1008	SNORD11
G1009	DAP
G1010	PHGDH
G1011	PTPN3
G1012	TCAF1
G1013	KAT6B
G1014	SLC6A8
G1015	PODXL
G1016	ZFP979
G1017	BEX3
G1018	QDPR
G1019	MRAS
G1020	PGAM1-PS2
G1021	LAMP1
G1022	MIR1192
G1023	MIR297A-2
G1024	CARHSP1
G1025	GM23130
G1026	GM10698
G1027	SHISA5
G1028	GM22626
G1029	HMGA1B
G1030	PLK2
G1031	CST3
G1032	FLRT3
G1033	KHDC3
G1034	BUB1B
G1035	GM44170
G1036	GM10259
G1037	RBM38
G1038	GM25183
G1039	CD63
G1040	TCF15
G1041	CAR4
G1042	GALK1
G1043	ZFP961
G1044	DUSP3
G1045	FBP2
G1046	SNHG1
G1047	MIR6394
G1048	SNHG12
G1049	RNPEPL1
G1050	MRPL23-PS1
G1051	CDKN1A
G1052	APPBP2
G1053	GM28960
G1054	PLAUR
G1055	BEX4
G1056	STARD10
G1057	ATG16L2
G1058	VILL
G1059	GM23302
G1060	LAD1
G1061	SNORA74A
G1062	GSTA4
G1063	IMPDH1
G1064	FAM129B
G1065	GM23136
G1066	SETX
G1067	LEFTY1
G1068	PPP2R5A
G1069	COBL
G1070	FNDC3B
G1071	RRAS2
G1072	TMEM150A
G1073	GM14303
G1074	GM24330
G1075	ITGAV
G1076	ZFP57
G1077	CUBN
G1078	LRP2
G1079	MIR669B
G1080	ARPC1B
G1081	TUBA4A
G1082	GM26431
G1083	GM43238
G1084	GM23833
G1085	LEFTY2
G1086	SYNE2
G1087	TMSB4X
G1088	NEU1
G1089	HK2
G1090	DENND2C
G1091	CERS4
G1092	EPHA4
G1093	HMGCS1
G1094	CR1L
G1095	PAFAH1B3
G1096	ZYX
G1097	MIR3070B
G1098	CKB
G1099	AKR1B8
G1100	RASGRP2
G1101	GM25926
G1102	ARHGAP1
G1103	GM25636
G1104	GM37746
G1105	PDGFRA
G1106	NOTUM
G1107	GNG10
G1108	IER2
G1109	RNPEP
G1110	GGTA1
G1111	ADAMTS9
G1112	EDA2R
G1113	UAP1
G1114	CALD1
G1115	GM13502
G1116	CLCN5
G1117	SLC6A6
G1118	IFITM2
G1119	TINAGL1
G1120	RPS4L
G1121	CD9
G1122	ME1
G1123	AQP3
G1124	SLC7A6
G1125	HABP2
G1126	ZFP989
G1127	PHLDB2
G1128	MKRN1
G1129	RFFL
G1130	GM10718
G1131	ANXA5
G1132	TCEAL9
G1133	ETL4
G1134	ENO1B
G1135	GM23988
G1136	BMPER
G1137	PDIA5
G1138	MSANTD3
G1139	GHR
G1140	CLTC
G1141	CALR
G1142	AU018091
G1143	KLB
G1144	GM26287
G1145	BNIP3
G1146	GM24494
G1147	FGF4
G1148	PFKP
G1149	ADAM23
G1150	PLA2G1B
G1151	USP3
G1152	MAN1A
G1153	GM44330
G1154	GM24455
G1155	MIR1949
G1156	GNS
G1157	ASAH1
G1158	APLP1
G1159	GM37404
G1160	NAGK
G1161	ELOVL6
G1162	GPX3
G1163	PTTG1IP
G1164	TPI1
G1165	PSME2
G1166	CRIP2
G1167	FRMD4A
G1168	FABP3
G1169	MPP1
G1170	PCNA
G1171	MIR28B
G1172	MIR466B-6
G1173	KRT42
G1174	UCHL1
G1175	LGMN
G1176	SNORA73B
G1177	PRDX1
G1178	SNORD35B
G1179	ZFP978
G1180	DCTPP1
G1181	PGD
G1182	2810025M15RIK
G1183	WDR45
G1184	MIR186
G1185	NOP56
G1186	GM10925
G1187	GM24451
G1188	GM44450
G1189	PATJ
G1190	MIR669A-3
G1191	2200002D01RIK
G1192	TXNDC12
G1193	CRYBG2
G1194	GM26387
G1195	LY75
G1196	TSPAN9
G1197	AFF1
G1198	CHST15
G1199	GASK1B
G1200	RHPN1
G1201	MARCKS
G1202	GABARAPL1
G1203	PXDN
G1204	NUP210
G1205	PLOD1
G1206	ANP32A
G1207	SNORD49A
G1208	VCAN
G1209	EIF4EBP1
G1210	GLUL
G1211	VKORC1
G1212	TNS1
G1213	FAM168A
G1214	RHOX5
G1215	DCXR
G1216	TMEM165
G1217	CSTB
G1218	GM4735
G1219	MIR6357
G1220	NDRG4
G1221	POFUT2
G1222	RETREG2
G1223	ALPL
G1224	TMEM214
G1225	TNK2
G1226	GM25185
G1227	MYDGF
G1228	RBM47
G1229	CNN2
G1230	GM25680
G1231	PNP
G1232	SELENOK
G1233	BEND5
G1234	GM22620
G1235	SNORA44
G1236	KIT
G1237	CMKLR1
G1238	MYH9
G1239	GM43444
G1240	GCNT1
G1241	SDF2L1
G1242	GAS6
G1243	CEMIP
G1244	MINDY3
G1245	PTH1R
G1246	ARHGAP45
G1247	MIR466O
G1248	MIR466B-4
G1249	LRRK1
G1250	SERPING1
G1251	SNORA26
G1252	SELENOW
G1253	MAN1A2
G1254	GM25753
G1255	GM25701
G1256	SUN2
G1257	GM22091
G1258	REV1
G1259	CTH
G1260	P4HA1
G1261	MIR669F
G1262	ECPAS
G1263	MCFD2
G1264	HIP1
G1265	SLC25A39
G1266	LNCENC1
G1267	SSR3
G1268	CCNE1
G1269	STX5A
G1270	ST3GAL6
G1271	INSIG1
G1272	TIMP2
G1273	HSPH1
G1274	SLC7A7
G1275	EHD1
G1276	LAMA1
G1277	SOCS2
G1278	HIST1H2AK
G1279	ITPK1
G1280	UHRF1
G1281	HIST1H4K
G1282	HIRIP3
G1283	RNF157
G1284	FAM234A
G1285	MIR669A-1
G1286	GM7846
G1287	PLAT
G1288	COTL1
G1289	PLATR14
G1290	MYMX
G1291	SERPINE2
G1292	SRI
G1293	PFKL
G1294	PPIB
G1295	ULK1
G1296	MIR3535
G1297	RPL5
G1298	ARHGAP32
G1299	GDPD5
G1300	LDHB
G1301	GM24616
G1302	GM49347
G1303	APOBEC3
G1304	CYBA
G1305	PDE4DIP
G1306	TOP2A
G1307	MIR466F-2
G1308	IFITM3
G1309	EDEM1
G1310	TGFBR3
G1311	SLC25A5
G1312	AF357399
G1313	CALM1
G1314	GM24497
G1315	RTN1
G1316	GABARAPL2
G1317	NID1
G1318	PLTP
G1319	FBXO15
G1320	CTSD
G1321	ASNS
G1322	UNG
G1323	SELENOI
G1324	HSPA8
G1325	TCN2
G1326	L1TD1
G1327	SNORD87
G1328	RPS6KA6
G1329	CDC42SE2
G1330	SPC25
G1331	SNORA73A
G1332	LAMP2
G1333	SNX1
G1334	GM22353
G1335	TET1
G1336	ZC3H7A
G1337	BAG2
G1338	PLOD2
G1339	HTRA1
G1340	CARMIL1
G1341	GM37917
G1342	MFGE8
G1343	NIPSNAP1
G1344	GM23571
G1345	APOE
G1346	4930402H24RIK
G1347	AHCY
G1348	RESF1
G1349	PLATR10
G1350	STXBP2
G1351	RPL22L1
G1352	KRTCAP2
G1353	RRP1B
G1354	VIM
G1355	GM26156
G1356	PDK1
G1357	KRT17
G1358	ARF4
G1359	MPZL2
G1360	ECT2
G1361	GM26917
G1362	GM26165
G1363	HYOU1
G1364	GM49369
G1365	MIR669G
G1366	MYL6
G1367	SNORD32A
G1368	LRPAP1
G1369	IDI1
G1370	ADAM19
G1371	RPL39L
G1372	LPCAT1
G1373	P3H1
G1374	CDH1
G1375	ZFP987
G1376	GM38312
G1377	GM22281
G1378	GM26083
G1379	CTSL
G1380	CRTAP
G1381	SLC7A5
G1382	HIST1H3H
G1383	GM25835
G1384	SRGN
G1385	GM7125
G1386	LIFR
G1387	PIK3R1
G1388	MSH6
G1389	AY036118
G1390	GM22072
G1391	CCN2
G1392	TCL1
G1393	TEX264
G1394	FAHD2A
G1395	HELLS
G1396	GM25057
G1397	FOXN3
G1398	ATP6V0E
G1399	ZFP990
G1400	KRT8
G1401	TAGLN2
G1402	AP1AR
G1403	EVA1A
G1404	MYO7A
G1405	GCLM
G1406	PDPN
G1407	ADGRE5
G1408	LIPG
G1409	TYRO3
G1410	FAM83D
G1411	CAR2
G1412	SNORD35A
G1413	KDELR2
G1414	CHCHD10
G1415	ITGA6
G1416	MT-TF
G1417	DPP4
G1418	RBPMS2
G1419	KDM3A
G1420	PDIA6
G1421	SHKBP1
G1422	CRYAB
G1423	ITGA9
G1424	HMCES
G1425	MCAM
G1426	ALDH2
G1427	SMS
G1428	EPS8L2
G1429	SNX2
G1430	5031439G07RIK
G1431	VSIR
G1432	CLIC1
G1433	LAMA5
G1434	SRPRB
G1435	GLS
G1436	MTCL1
G1437	DPPA4
G1438	PEG10
G1439	PTPN14
G1440	MSH2
G1441	NCAPD2
G1442	FN1
G1443	FAM25C
G1444	KCNG1
G1445	TXNDC5
G1446	SPARC
G1447	GABBR1
G1448	NUTF2-PS2
G1449	EFEMP2
G1450	IGFBP2
G1451	ANXA2
G1452	GM44429
G1453	RAB11A
G1454	NPHS1
G1455	SNORA33
G1456	GM16235
G1457	ECHDC2
G1458	GM26825
G1459	SUSD2
G1460	OPLAH
G1461	MORC4
G1462	SNORD34
G1463	FNDC3A
G1464	GM8741
G1465	TMEM59
G1466	STARD8
G1467	CALCOCO2
G1468	GM24201
G1469	COL18A1
G1470	AMFR
G1471	GM43110
G1472	LIMCH1
G1473	SLC9A6
G1474	MDN1
G1475	STT3A
G1476	SLC12A4
G1477	HSP90AA1
G1478	LDLRAP1
G1479	IL33
G1480	RIAN
G1481	GNPDA1
G1482	GM26448
G1483	PROS1
G1484	SERPINB6C
G1485	GM24761
G1486	EIF4A2
G1487	SHROOM3
G1488	GM17035
G1489	P3H2
G1490	GM26073
G1491	RBMS1
G1492	SINHCAF
G1493	CAMSAP3
G1494	RCC2
G1495	CNDP2
G1496	GM13147
G1497	GM13597
G1498	GM3470
G1499	PRXL2A
G1500	TPM4
G1501	GABARAP
G1502	PRKAB1
G1503	GLIPR2
G1504	TDGF1-PS1
G1505	MME
G1506	RIF1
G1507	GM24289
G1508	SNORD70
G1509	SLC5A11
G1510	MAGED1
G1511	KDELR3
G1512	CCND2
G1513	PLEKHA7
G1514	MAP3K1
G1515	FST
G1516	MFSD10
G1517	THBD
G1518	POLE4
G1519	GORASP2
G1520	GM42413
G1521	P3H4
G1522	CDC20
G1523	PLOD3
G1524	SNORA23
G1525	UPP1
G1526	AMOT
G1527	IFI30
G1528	GRAMD1A
G1529	AKAP12
G1530	GJB3
G1531	SERBP1
G1532	ADAM15
G1533	SLC16A6
G1534	IFRD1
G1535	WDR1
