#ID	Name
G0	SMAD2
G772	ERCC-00042
G773	FAM89A
G774	GXYLT1
G775	FZD6
G776	NCAM1
G777	KIF22
G778	ACSS3
G779	NOC3L
G780	IFRD2
G781	POLQ
G782	CYP2S1
G783	SLCO2A1
G784	ESCO2
G785	POLK
G786	ERRFI1
G787	TMEM131
G788	ZNF518B
G789	SLC6A15
G790	ST8SIA1
G791	ERCC-00022
G792	RAD50
G793	NUP35
G794	ANXA3
G795	SCG3
G796	SSFA2
G797	CER1
G798	LGALSL
G799	DDHD2
G800	SDC2
G801	NUDT11
G802	PNRC1
G803	CCKBR
G804	AARS
G805	ECI2
G806	COL4A2
G807	AADAT
G808	TMEM237
G809	ARFGAP3
G810	PNPLA8
G811	MCCC1
G812	MORC4
G813	CLDN7
G814	BCAR3
G815	KIAA1841
G816	MTERF
G817	COL3A1
G818	NIP7
G819	ZNF521
G820	ARRB1
G821	RPL17-C18ORF32
G822	COL4A6
G823	C5orf42
G824	RND3
G825	PLS1
G826	NEK7
G827	PDE4D
G828	NECAP2
G829	SORL1
G830	CTSK
G831	SPG20
G832	PRKACB
G833	OTUD6B
G834	ERCC-00003
G835	CDCA2
G836	RPP40
G837	TNFRSF11B
G838	TMOD1
G839	TIMM8A
G840	SEMA3A
G841	PAK1IP1
G842	P4HA1
G843	PALLD
G844	PLAU
G845	ZAP70
G846	COLEC12
G847	KIF2C
G848	NBEAL1
G849	ZFP36L2
G850	RAB31
G851	MYOF
G852	BOD1
G853	WDFY1
G854	NUSAP1
G855	ERCC-00096
G856	STX12
G857	PALB2
G858	DOK4
G859	CDC6
G860	NCAPG
G861	TSR1
G862	TWISTNB
G863	ERLEC1
G864	C12orf23
G865	FAM46A
G866	VANGL1
G867	SNUPN
G868	RNF13
G869	PUS7
G870	MAP3K2
G871	ERCC-00108
G872	CCDC81
G873	C3orf14
G874	PREX1
G875	HS3ST3A1
G876	MCC
G877	MME
G878	FLRT2
G879	GPM6B
G880	TRAF5
G881	MALT1
G882	GEMIN4
G883	SH3PXD2A
G884	SVEP1
G885	TSPAN12
G886	FTSJ3
G887	PCDH7
G888	PROSER1
G889	SRGAP1
G890	FREM1
G891	TK1
G892	METTL1
G893	CALCOCO2
G894	LAMB1
G895	RHOBTB3
G896	STIM2
G897	BBS4
G898	RGS5
G899	DUSP10
G900	NOP2
G901	TMEM177
G902	POLA1
G903	EPCAM
G904	LPGAT1
G905	CDC14B
G906	BCAT2
G907	DKK3
G908	TPD52L2
G909	CEP85L
G910	UNC5C
G911	ALCAM
G912	SNX16
G913	CDCA5
G914	MYO5B
G915	ERCC-00035
G916	ALPK2
G917	FGF17
G918	KLHL4
G919	MFAP4
G920	ZNF93
G921	ANKRD26
G922	ACTL6A
G923	PPT2
G924	FASTKD3
G925	RTKN2
G926	SCO1
G927	DPYSL3
G928	EPB41L3
G929	SAMD3
G930	KIAA0947
G931	VASH2
G932	GPSM2
G933	RCHY1
G934	COL4A1
G935	PMP22
G936	DSE
G937	GGCT
G938	GPATCH4
G939	RBM12
G940	RGPD2
G941	NAP1L3
G942	UTP15
G943	GTF2H2D
G944	PGAP1
G945	GATM
G946	CEP290
G947	RPE
G948	CDKN3
G949	DNA2
G950	ENC1
G951	ITGAV
G952	AKAP1
G953	GALNT7
G954	SH2B3
G955	NUCB2
G956	APLNR
G957	PROM1
G958	UBL3
G959	FN1
G960	LECT1
G961	PDPN
G962	CLSTN2
G963	KDELR3
G964	UBL7
G965	VAMP7
G966	CCPG1
G967	METAP1
G968	HAS2
G969	PLP1
G970	ERCC-00171
G971	ERCC6L
G972	SH3BGRL
G973	SPRED2
G974	PPM1H
G975	KDM6A
G976	PIP4K2A
G977	SLC39A11
G978	FNDC3B
G979	LPIN1
G980	CDC7
G981	CBR1
G982	COL1A1
G983	BUB1B
G984	GLRX
G985	SLC39A14
G986	ESRP1
G987	CSPP1
G988	ECHDC1
G989	SLC19A2
G990	COMMD3-BMI1
G991	TTC4
G992	QPCT
G993	RPA2
G994	ATP11B
G995	SPPL2A
G996	SFRP1
G997	PRPS2
G998	PAQR3
G999	HS3ST1
G1000	CPE
G1001	TRPA1
G1002	COX10
G1003	FRMD4B
G1004	NXF1
G1005	SH3BP4
G1006	ZCCHC11
G1007	PAM
G1008	RBM47
G1009	IAH1
G1010	ABCA1
G1011	FLVCR2
G1012	GINS2
G1013	PHLDB2
G1014	FUT8
G1015	NAV2
G1016	ERCC-00004
G1017	GABRB2
G1018	DPY19L1
G1019	ODZ2
G1020	BEX2
G1021	CALB1
G1022	ASS1
G1023	LCMT1
G1024	SH3BGRL2
G1025	COL5A2
G1026	NAT10
G1027	MAGEH1
G1028	S100A10
G1029	SH3RF1
G1030	FIG4
G1031	DSCAM
G1032	SPRY2
G1033	SERPINB6
G1034	POLR3G
G1035	ADSS
G1036	AHNAK
G1037	HTRA1
G1038	BNIP3
G1039	FER
G1040	TGFBR3
G1041	PLCB4
G1042	PHLDA1
G1043	AHSA2
G1044	NBPF10
G1045	VEZT
G1046	TMLHE
G1047	TYRO3
G1048	SART3
G1049	CCDC112
G1050	LTA4H
G1051	TMEM57
G1052	MAN1A1
G1053	SERHL2
G1054	TTC27
G1055	CCNB2
G1056	IPO4
G1057	RASGRP3
G1058	PREPL
G1059	ERCC-00044
G1060	SEMA6D
G1061	ST3GAL6
G1062	NBPF16
G1063	CAP2
G1064	XRN1
G1065	PCDH10
G1066	MXRA5
G1067	FBN2
G1068	UTP18
G1069	DECR1
G1070	CCNA2
G1071	PDLIM3
G1072	SVIL
G1073	DDAH1
G1074	ANKRD50
G1075	DNAJC9
G1076	FAT1
G1077	NREP
G1078	NPFFR2
G1079	CD99L2
G1080	CASK
G1081	SNX14
G1082	USP1
G1083	DYNC1I1
G1084	MIB1
G1085	ZFP62
G1086	DOCK1
G1087	MATN3
G1088	FAM208A
G1089	MRPS30
G1090	GULP1
G1091	ST8SIA4
G1092	CNKSR3
G1093	ARL4D
G1094	C5orf62
G1095	KIAA0494
G1096	ROR2
G1097	TMEM87B
G1098	HSPA14
G1099	FAM120AOS
G1100	TMEM38B
G1101	ELMO1
G1102	BEND3
G1103	RBM24
G1104	UNG
G1105	TCN2
G1106	WDR67
G1107	SLC35F1
G1108	CD9
G1109	MPP6
G1110	CDH2
G1111	ACTC1
G1112	LGR4
G1113	JPH1
G1114	ARSE
G1115	BET1
G1116	ELMOD2
G1117	DLC1
G1118	DAAM1
G1119	REV3L
G1120	C18orf21
G1121	APOBEC3G
G1122	ENO2
G1123	HSD17B11
G1124	NBPF15
G1125	LTBP1
G1126	F3
G1127	SHISA6
G1128	HLA-DQB1
G1129	SLC36A4
G1130	C2orf44
G1131	MAP4K3
G1132	RIPPLY1
G1133	NTN4
G1134	NXT2
G1135	CPVL
G1136	FLRT3
G1137	TMSB15B
G1138	DLGAP5
G1139	CD48
G1140	EHD3
G1141	BBIP1
G1142	ERCC-00130
G1143	KIF13B
G1144	AKAP2
G1145	FST
G1146	SSX2IP
G1147	PGM2
G1148	DEPDC1B
G1149	PPPDE1
G1150	CDK6
G1151	NUP54
G1152	ALDH2
G1153	TRIM37
G1154	ERCC-00060
G1155	PDE3B
G1156	TMEM87A
G1157	KLHL7
G1158	CAMK2D
G1159	LBH
G1160	COG6
G1161	FBXO36
G1162	ARHGAP42
G1163	PLXNA2
G1164	NRP2
G1165	ERCC-00131
G1166	ACBD6
G1167	PPP3CA
G1168	SERINC3
G1169	LRAT
G1170	PAIP2B
G1171	TUBA4A
G1172	PODXL
G1173	ITPR2
G1174	FAM83D
G1175	POLDIP3
G1176	KRCC1
G1177	ALG6
G1178	MMP16
G1179	LYAR
G1180	FAM115A
G1181	INPP4A
G1182	GEMIN6
G1183	CYP26A1
G1184	DMXL2
G1185	GPR83
G1186	OSBPL10
G1187	MOB3B
G1188	IL6ST
G1189	NLGN4X
G1190	CDC20
G1191	RSPO3
G1192	APOBEC3C
G1193	CA14
G1194	DYNC2LI1
G1195	RMI1
G1196	SETD7
G1197	GRP
G1198	DUSP4
G1199	SLC39A8
G1200	SIPA1L2
G1201	TADA1
G1202	TTC39B
G1203	ERCC-00162
G1204	C1GALT1
G1205	ERBB4
G1206	CD1D
G1207	POLR2M
G1208	SGCE
G1209	LTV1
G1210	ZFYVE16
G1211	SLC29A1
G1212	UNC5D
G1213	DCAF6
G1214	DNAJC11
G1215	KIF1A
G1216	CEP112
G1217	HPS5
G1218	ITCH
G1219	RNF170
G1220	NIPSNAP3A
G1221	NDC80
G1222	C1orf9
G1223	GPC4
G1224	MMP2
G1225	HLA-DRB1
G1226	SLC46A3
G1227	FAM188A
G1228	GLIPR2
G1229	RCOR3
G1230	FAM135A
G1231	COPS3
G1232	ZBTB10
G1233	BBS2
G1234	PENK
G1235	PTDSS1
G1236	ERCC-00053
G1237	EMB
G1238	KLHL12
G1239	STT3B
G1240	ZNF90
G1241	HRSP12
G1242	SMYD2
G1243	ENOPH1
G1244	TRIM2
G1245	MAGI3
G1246	CLGN
G1247	FYTTD1
G1248	ATRNL1
G1249	AP1M2
G1250	PJA2
G1251	SAMD8
G1252	SEMA5A
G1253	TPD52
G1254	TMEM47
G1255	LRRN1
G1256	PABPC4L
G1257	AK4
G1258	MYCT1
G1259	PHLPP1
G1260	C20orf112
G1261	TMEM64
G1262	MRPS9
G1263	MICU1
G1264	ANGPT2
G1265	ODC1
G1266	KIAA1804
G1267	GCNT1
G1268	HECA
G1269	TDP2
G1270	POP5
G1271	STXBP5
G1272	ZNF317
G1273	MIA3
G1274	TXLNG
G1275	PRSS35
G1276	ERCC-00043
G1277	TRDN
G1278	RFC4
G1279	TRUB1
G1280	GCNT2
G1281	VSIG10
G1282	PAK1
G1283	S1PR3
G1284	VWA5A
G1285	EIF2C4
G1286	SMYD5
G1287	ERCC-00112
G1288	FBXO28
G1289	RBMS3
G1290	COL4A5
G1291	CLCN3
G1292	ZNF92
G1293	LIFR
G1294	NUFIP1
G1295	SYNE2
G1296	TIMM21
G1297	ACOX3
G1298	PCDH17
G1299	SLC43A3
G1300	GLMN
G1301	RPF2
G1302	NUAK1
G1303	DPH2
G1304	TRIAP1
G1305	CD200
G1306	DCLK1
G1307	FAM69A
G1308	DBF4
G1309	PRCP
G1310	TMPRSS11E
G1311	NUMB
G1312	RFC5
G1313	ANKRD44
G1314	TRAPPC8
G1315	ZWILCH
G1316	THAP9
G1317	OXTR
G1318	ERCC-00092
G1319	TIMP3
G1320	CA12
G1321	LIMCH1
G1322	RABGAP1L
G1323	ST5
G1324	EARS2
G1325	PLEKHA6
G1326	ZNF512
G1327	PRICKLE1
G1328	METTL13
G1329	FARSB
G1330	SERPINB1
G1331	STK38L
G1332	ANKRD28
G1333	ERCC-00062
G1334	WDR35
G1335	TAOK3
G1336	KIAA1715
G1337	RIOK1
G1338	HAPLN1
G1339	TDRD7
G1340	LRIG3
G1341	SLITRK2
G1342	DKK1
G1343	VPS54
G1344	ITGB3BP
G1345	DKK4
G1346	CASD1
G1347	KAL1
G1348	TOP2A
G1349	CCDC6
G1350	YAE1D1
G1351	OPTN
G1352	COL5A1
G1353	KIAA1462
G1354	C4orf46
G1355	LRR1
G1356	ITGA6
G1357	ZNF3
G1358	RNF24
G1359	ADAMTS3
G1360	PTPRM
G1361	CCNG2
G1362	GABRB3
G1363	HEATR1
G1364	CCDC141
G1365	NLRP2
G1366	MRPL1
G1367	BMPER
G1368	KIF11
G1369	ERCC-00025
G1370	MAD2L1
G1371	ERCC-00165
G1372	GPR125
G1373	CPSF3
G1374	FOXN2
G1375	MED12L
G1376	GPR108
G1377	MBIP
G1378	ERCC-00095
G1379	DOK6
G1380	MT1X
G1381	LRP12
G1382	DTL
G1383	PLCB1
G1384	C11orf46
G1385	BAMBI
G1386	OSBPL3
G1387	POLB
G1388	CUL1
G1389	YTHDF3
G1390	SPP1
G1391	CDCA8
G1392	TGFBR1
G1393	FAM64A
G1394	GPX7
G1395	SFRP2
G1396	PPM1K
G1397	ACBD3
G1398	ADD2
G1399	CCNE2
G1400	MSANTD3-TMEFF1
G1401	KLHL24
G1402	ERCC-00113
G1403	ANKMY2
G1404	ANKRD13A
G1405	LEPREL1
G1406	CAPN2
G1407	WNT5A
G1408	USP44
G1409	CEP55
