#ID	Name
G0	TLR4
G217	PSMG2
G218	ARL11
G219	TIFAB
G220	KCTD20
G221	HK3
G222	NSUN2
G223	THADA
G224	GP9
G225	TINAGL1
G226	TPX2
G227	ALAS1
G228	RETREG1
G229	DCAF13
G230	MOB3C
G231	NUP88
G232	HDGFL3
G233	GNG12
G234	CEP55
G235	S100A6
G236	GARS
G237	SNHG5
G238	STX3
G239	MLKL
G240	PRIM2
G241	NOL9
G242	PRMT7
G243	ATP6AP1
G244	CD63
G245	PDE4D
G246	IGFBP4
G247	CS
G248	ADORA2A
G249	IFI209
G250	DNAJC5
G251	GANAB
G252	TOP3B
G253	FBXW11
G254	DUT
G255	PIM2
G256	TBC1D9B
G257	TMEM206
G258	IL27RA
G259	MFSD1
G260	GATM
G261	CDC20
G262	ERGIC1
G263	SERPINB6A
G264	ARHGEF18
G265	SARAF
G266	FES
G267	SIRPA
G268	9430015G10RIK
G269	EMB
G270	CYP4V3
G271	ODC1
G272	CDK18
G273	PECAM1
G274	ACSS1
G275	ADAM17
G276	LY6A
G277	BIRC5
G278	MARS
G279	TSPOAP1
G280	CKAP2L
G281	PLXDC2
G282	CENPE
G283	ZNRF2
G284	OTUD4
G285	SULT1A1
G286	MNS1
G287	TRIM30D
G288	SORL1
G289	REXO2
G290	MSH6
G291	JPT2
G292	RPA1
G293	MFNG
G294	SNAP47
G295	USP11
G296	TGFBR1
G297	SORT1
G298	CD300A
G299	CTPS
G300	FASTKD2
G301	PDZK1IP1
G302	WDR4
G303	CENPO
G304	ARRDC4
G305	TECPR1
G306	PRTN3
G307	GGTA1
G308	ATP13A1
G309	CDKN1A
G310	EZR
G311	ACOX3
G312	ABCB8
G313	CST7
G314	SLCO3A1
G315	RBPMS
G316	FAM102B
G317	ADGRG3
G318	SLA
G319	CSGALNACT1
G320	CENPF
G321	PTPN7
G322	CD34
G323	GALNS
G324	SMC2
G325	FUT7
G326	PDE4B
G327	H2-OB
G328	GLIPR2
G329	PRODH
G330	SLC28A2
G331	GUSB
G332	STT3B
G333	SLC25A38
G334	PHF6
G335	PSAT1
G336	MCM10
G337	TIMP2
G338	TNFAIP2
G339	ACSS2
G340	FAM189B
G341	DHX33
G342	HJURP
G343	GMCL1
G344	TRMT6
G345	NCAPH
G346	PLAA
G347	ZFP35
G348	TRIM59
G349	ELAC2
G350	GFM1
G351	PITPNC1
G352	EIF2B1
G353	VAV3
G354	MIS12
G355	FRRS1
G356	SLC44A2
G357	NAPRT
G358	UMPS
G359	NEDD1
G360	PRKCH
G361	GMNN
G362	RPP40
G363	PSMD9
G364	CHCHD10
G365	FGL2
G366	CD82
G367	MAGED2
G368	CLEC12A
G369	ZC3H7A
G370	PPAT
G371	MTREX
G372	ARMT1
G373	CREBRF
G374	LONP1
G375	HAT1
G376	PWP2
G377	PYGM
G378	LDHB
G379	HMBS
G380	PSME4
G381	DUS1L
G382	PRPS2
G383	NUBP2
G384	KAT7
G385	MGAT1
G386	ENPP5
G387	CYC1
G388	DUSP1
G389	MTOR
G390	PSME3
G391	DPP8
G392	SPCS3
G393	NUDT4
G394	CCNF
G395	MTUS1
G396	SSH3
G397	PROCR
G398	NCEH1
G399	METTL27
G400	KPNA1
G401	RANBP3
G402	ABCG3
G403	GM20559
G404	OAS3
G405	NFAM1
G406	CTSF
G407	FOXRED1
G408	5430427O19RIK
G409	CYFIP2
G410	TNFRSF21
G411	CCNB2
G412	ATP8B4
G413	UHRF1
G414	IGSF6
G415	TMEM33
G416	STT3A
G417	USP14
G418	FLOT2
G419	ISG20
G420	WDR43
G421	LY86
G422	GRIA3
G423	SELENOP
G424	LHCGR
G425	PEAR1
G426	SLC35A4
G427	KCNQ1OT1
G428	MAD2L1
G429	PSMC2
G430	MCOLN2
G431	MGAT5
G432	AFAP1L1
G433	GMIP
G434	DNM1L
G435	MRPL20
G436	GIMAP1
G437	NOP2
G438	ATAD2
G439	NKG7
G440	SLC30A5
G441	1700017B05RIK
G442	API5
G443	SRM
G444	RCSD1
G445	TM6SF1
G446	NUS1
G447	F11R
G448	ORC6
G449	FARSB
G450	GNL3
G451	BACE1
G452	EIF3B
G453	RHOF
G454	PLPPR3
G455	D1ERTD622E
G456	CRISPLD1
G457	CDCA8
G458	PNCK
G459	SH3BGRL
G460	CCL9
G461	FASTKD3
G462	NAA50
G463	UBAC1
G464	VPS35
G465	CD274
G466	TXNDC11
G467	TMEM154
G468	WDHD1
G469	RAD51AP1
G470	SYTL1
G471	H2-DMA
G472	LGALS1
G473	MPZL1
G474	UBA7
G475	MUC13
G476	CAPG
G477	SMPD4
G478	EML4
G479	AP1S2
G480	SLC19A1
G481	IIGP1
G482	GABBR1
G483	KRT18
G484	FAM171A1
G485	CAMK2D
G486	MS4A6C
G487	TMEM50B
G488	GEM
G489	CDT1
G490	NASP
G491	SF3B3
G492	GM4759
G493	TSPAN14
G494	COL4A1
G495	ARL8B
G496	RARS
G497	ITPR1
G498	TRIM47
G499	SUPV3L1
G500	MOGS
G501	NDC80
G502	MPL
G503	CERK
G504	NDUFV1
G505	MS4A3
G506	CERS4
G507	ZMIZ1
G508	SLC2A3
G509	LMAN2L
G510	EMID1
G511	B3GNT5
G512	SZT2
G513	TGM2
G514	CCDC137
G515	ZFP322A
G516	ISYNA1
G517	PGLYRP2
G518	NDRG1
G519	DEF8
G520	NDE1
G521	ANXA2
G522	MAPKAPK3
G523	ABITRAM
G524	IL17RA
G525	TEX10
G526	NAPSA
G527	CYB5R1
G528	MR1
G529	ZFP451
G530	LYN
G531	DCK
G532	NCAPG
G533	HACD3
G534	VKORC1L1
G535	CNN3
G536	MBNL3
G537	HARS
G538	MPO
G539	RAB44
G540	HMGB3
G541	GOLT1B
G542	POR
G543	CD52
G544	SPIDR
G545	CSE1L
G546	SLPI
G547	PARP8
G548	RCC1
G549	PIK3R1
G550	PHF5A
G551	OASL2
G552	TYMS
G553	CDCA4
G554	RANGAP1
G555	MICU1
G556	AURKB
G557	PTPRS
G558	LPCAT2
G559	NRROS
G560	CENPL
G561	ANXA1
G562	TUBA4A
G563	FCER1G
G564	CBX5
G565	SLC35E1
G566	PREP
G567	LCP2
G568	2610035D17RIK
G569	OSTM1
G570	PLXNC1
G571	PKIB
G572	RAB31
G573	SESN1
G574	SPNS2
G575	TBXAS1
G576	IARS
G577	TNIP3
G578	OSBPL1A
G579	LONP2
G580	CERS6
G581	BYSL
G582	SOCS2
G583	ARFGEF2
G584	SPTBN1
G585	PIK3IP1
G586	CALCRL
G587	UBA2
G588	WDR5
G589	NWD1
G590	PLA2G15
G591	PLA2G12A
G592	VAV1
G593	GLB1
G594	JCHAIN
G595	RTEL1
G596	HELLS
G597	ARHGAP15
G598	LTB
G599	GPD1L
G600	POLD1
G601	NCLN
G602	H2-AA
G603	TIMM50
G604	SLC39A6
G605	CSF1R
G606	PRKCD
G607	NCAPD2
G608	RPAP1
G609	ABHD17B
G610	TEC
G611	STAG2
G612	PPP1R15A
G613	TBC1D10C
G614	RGS19
G615	GBP3
G616	RFC5
G617	CFP
G618	CTLA2A
G619	ST6GALNAC4
G620	FIGNL1
G621	SLC29A1
G622	AHCYL1
G623	TNPO1
G624	TESPA1
G625	CAD
G626	IGKC
G627	COL4A2
G628	IPO9
G629	FLT3
G630	SVIP
G631	LY9
G632	SPC24
G633	MAN2A2
G634	MTMR6
G635	TES
G636	FAM91A1
G637	ASF1B
G638	SGPP1
G639	G6PDX
G640	NADK
G641	RNF38
G642	PCLAF
G643	SH2D5
G644	CIP2A
G645	NOLC1
G646	NUF2
G647	SGMS1
G648	KIF13A
G649	ARID2
G650	MTMR4
G651	PTCD3
G652	BPIFC
G653	NECAP2
G654	PRC1
G655	LRRC8B
G656	GOLPH3
G657	GM8113
G658	PLD3
G659	FCGR2B
G660	AP3S1
G661	HSPA1A
G662	RGS1
G663	TRIM35
G664	SCARF1
G665	CTTN
G666	CSTF2
G667	VPS16
G668	BC005561
G669	ENG
G670	PRSS57
G671	SELENBP1
G672	CDCA7
G673	GUCY1A1
G674	MTR
G675	CD63-PS
G676	NAV1
G677	CUL3
G678	ITGAL
G679	XPNPEP1
G680	ATAD1
G681	TK1
G682	ABCB10
G683	SERPINB9
G684	CTSZ
G685	ELANE
G686	SLBP
G687	TUBGCP3
G688	TRIM16
G689	PCMTD1
G690	USP42
G691	PFKFB3
G692	SETD2
G693	RABGGTB
G694	GM4951
G695	RGCC
G696	MIEF1
G697	CAND2
G698	TAB1
G699	MAGED1
G700	UBL4A
G701	SEC24D
G702	LAP3
G703	POLE
G704	MTHFD1
G705	PPID
G706	SMPDL3A
G707	SLC20A1
G708	CLPTM1L
G709	ALDOC
G710	MC5R
G711	CIPC
G712	IL21R
G713	ZFP945
G714	GPR65
G715	CASP1
G716	F13A1
G717	CD69
G718	F2R
G719	TXNIP
G720	RPN1
G721	TCIRG1
G722	TFRC
G723	CD44
G724	ICAM1
G725	EFTUD2
G726	GBP2
G727	GM11346
G728	ABCG2
G729	BC035044
G730	NUDCD1
G731	ZFP422
G732	HYOU1
G733	IARS2
G734	ETF1
G735	SERPINB6B
G736	MYO1F
G737	DDX1
G738	CLTC
G739	PTGS1
G740	MTFR1
G741	CDKN1C
G742	ADSSL1
G743	GIMAP6
G744	SLC18A2
G745	METAP1
G746	CASP12
G747	INO80D
G748	RFC4
G749	PRPF4
G750	SPPL2B
G751	MFSD10
G752	CTSL
G753	IFRD2
G754	IFITM1
G755	ZHX1
G756	IL6ST
G757	ANXA5
G758	DHFR
G759	VSIR
G760	ALDH18A1
G761	TUBGCP2
G762	RPA2
G763	AKNA
G764	INTS8
G765	PTGR1
G766	DNTT
G767	SCARB1
G768	PPM1G
G769	OTUD6B
G770	TACC3
G771	ARCN1
G772	C030034L19RIK
G773	THEMIS2
G774	IDH3A
G775	NARS
G776	CD48
G777	ART4
G778	GT(ROSA)26SOR
G779	AI506816
G780	SAMD9L
G781	RASSF4
G782	PRIM1
G783	ADA
G784	SLC26A2
G785	PADI4
G786	ZFAND5
G787	UNC93B1
G788	TIPIN
G789	NUP107
G790	ESAM
G791	NEAT1
G792	GOLIM4
G793	MSMO1
G794	4833439L19RIK
G795	GK
G796	HUS1
G797	FAM76B
G798	LAPTM4B
G799	ACOX1
G800	CD93
G801	EPRS
G802	PPP1R9A
G803	TYROBP
G804	AURKA
G805	ARHGEF39
G806	CKS2
G807	FBXO5
G808	RP2
G809	CENPA
G810	INTS13
G811	NDRG2
G812	METTL7A1
G813	HP
G814	EAF1
G815	TCN2
G816	EIF4ENIF1
G817	TMEM176A
G818	ARID5A
G819	UPP1
G820	GIMAP8
G821	MORC3
G822	TM7SF3
G823	SLC22A3
G824	GCLC
G825	UAP1
G826	FEM1A
G827	KIF20B
G828	CSF2RB
G829	SHMT1
G830	INPP5B
G831	LY6C2
G832	TGTP2
G833	RTP4
G834	SYNJ1
G835	STIP1
G836	NCF1
G837	PNO1
G838	DHRS3
G839	LRRC59
G840	VIPR2
G841	ZFP24
G842	TMEM229B
G843	RGS18
G844	PRR5
G845	SELL
G846	NMD3
G847	STOM
G848	JAM3
G849	ZFP367
G850	SHISA8
G851	MPI
G852	YPEL3
G853	CHORDC1
G854	PCMTD2
G855	CD9
G856	SUSD3
G857	CDCA5
G858	FTX
G859	PBK
G860	B230219D22RIK
G861	PFKP
G862	MRPL37
G863	CDK6
G864	BUB1
G865	PTTG1IP
G866	NUDT19
G867	CDC6
G868	NPTN
G869	GNG2
G870	TIMM29
G871	EPSTI1
G872	CYP2J6
G873	ANKRD44
G874	DDX60
G875	HNRNPLL
G876	AZIN1
G877	TIE1
G878	CDCA3
G879	STRAP
G880	CCR2
G881	RRM1
G882	MYCT1
G883	NUP93
G884	LSP1
G885	MFSD14B
G886	BDH2
G887	STXBP4
G888	CYP2J9
G889	CLEC4E
G890	ZFP53
G891	MTO1
G892	PIDD1
G893	RIN3
G894	EEF1E1
G895	TNFRSF13C
G896	TRIM30B
G897	TOP2A
G898	UBASH3A
G899	GM5111
G900	CKS1B
G901	SLC43A3
G902	FCGRT
G903	OTULINL
G904	ABCE1
G905	CSAD
G906	TOR3A
G907	ATG12
G908	RPRD1B
G909	EBI3
G910	FLNA
G911	ADO
G912	BTK
G913	TCP11L2
G914	NUAK2
G915	FGGY
G916	TFR2
G917	COLGALT1
G918	GMFB
G919	SDC4
G920	ELOVL5
G921	IFI203
G922	IFI30
G923	FTSJ3
G924	DTL
G925	CYBC1
G926	APLP2
G927	PLIN3
G928	CPA3
G929	RACGAP1
G930	ITM2A
G931	KCTD12
G932	PRKCQ
G933	TOMM70A
G934	MCPT8
G935	PDIA4
G936	GRK3
G937	UBE2C
G938	MYL10
G939	SPNS3
G940	UTP4
G941	ATP11C
G942	NEURL3
G943	FAM136A
G944	TENT5A
G945	OSBPL8
G946	FSTL1
G947	F630028O10RIK
G948	9530082P21RIK
G949	MAP4K2
G950	MINDY3
G951	GLRX5
G952	GYS1
G953	MYO1G
G954	NUP85
G955	KIF11
G956	FUCA2
G957	CD74
G958	XAF1
G959	SLC7A4
G960	HID1
G961	RAD21
G962	CCNE2
G963	SLFN2
G964	TSC22D1
G965	EMILIN1
G966	ATP10A
G967	FCHO2
G968	ADSL
G969	DENND1C
G970	CTSO
G971	KPNA3
G972	FCGR3
G973	STARD7
G974	DOCK10
G975	EPB41L4B
G976	TRMT11
G977	H2AFX
G978	CCNB1
G979	PSTPIP1
G980	MTCH2
G981	DNAJC10
G982	ATRN
G983	ADGRL4
G984	RNF122
G985	TMX4
G986	RCOR1
G987	CSGALNACT2
G988	RASA4
G989	SNAP23
G990	PPP1CB
G991	MEMO1
G992	WDR55
G993	GM1966
G994	MIR17HG
G995	IL12A
G996	PLEKHO2
G997	GBP7
G998	POLA2
G999	TMEM173
G1000	HERPUD1
G1001	SERPINA3G
G1002	NAMPT
G1003	RAB37
G1004	NPLOC4
G1005	TEK
G1006	SLC25A46
G1007	HDC
G1008	GSR
G1009	CDC45
G1010	DOCK11
G1011	SIGLECG
G1012	HSPA4
G1013	GALNT6
G1014	CHRNB1
G1015	UBE2L6
G1016	CSF3R
G1017	TTLL12
G1018	RMND5A
G1019	BCL2
G1020	CNRIP1
G1021	PRELID3B
G1022	ACLY
G1023	EFCC1
G1024	ABL2
G1025	IMMT
G1026	MMRN1
G1027	SYK
G1028	COQ8A
G1029	APOE
G1030	DNAJC9
G1031	POLE3
G1032	SLCO4A1
G1033	PLEK
G1034	RGS2
G1035	PHKB
G1036	IFI27L2A
G1037	CTC1
G1038	GIMAP5
G1039	SNRNP200
G1040	CD68
G1041	PAK1
G1042	ITIH5
G1043	NUSAP1
G1044	AI504432
G1045	EIF1AD
G1046	CLN5
G1047	USP10
G1048	CKAP2
G1049	TSPAN2
G1050	SGCE
G1051	FLNB
G1052	ROBO4
G1053	TMEM37
G1054	ACOT9
G1055	TMX3
G1056	KCNK5
G1057	CTLA2B
G1058	SEH1L
G1059	C1RL
G1060	RAB38
G1061	DDX21
G1062	ACAA2
G1063	HSPH1
G1064	SGO1
G1065	TRPC6
G1066	EIF2S1
G1067	ERLIN1
G1068	ADK
G1069	TFG
G1070	TBC1D2B
G1071	MAMDC2
G1072	DDX39
G1073	NDC1
G1074	SLC37A1
G1075	TPM4
G1076	OBSL1
G1077	TSPAN3
G1078	MTMR1
G1079	TRAP1
G1080	PHF11B
G1081	LAX1
G1082	THSD1
G1083	SLC31A1
G1084	TGTP1
G1085	CISH
G1086	IRGM2
G1087	NCAPG2
G1088	PTPRE
G1089	FARSA
G1090	KNSTRN
G1091	MDN1
G1092	CASP4
G1093	DLST
G1094	KIF17
G1095	GM20342
G1096	AKAP8L
G1097	SHCBP1
G1098	PIK3R2
G1099	SNX30
G1100	CCNA2
G1101	PATL1
G1102	ANGPT1
G1103	FAM111A
G1104	YBX3
G1105	SERP1
G1106	TBL3
G1107	UBR7
G1108	MILR1
G1109	ITCH
G1110	EMCN
G1111	BUB1B
G1112	HASPIN
G1113	RRM2
G1114	PSMD1
G1115	NDUFA10
G1116	PLXNA4OS1
G1117	CDK1
G1118	NEIL3
G1119	GPR160
G1120	ITSN1
G1121	RPTOR
G1122	COPB1
G1123	PANX1
G1124	CCL4
G1125	OBSCN
G1126	FDFT1
G1127	ATP6AP2
G1128	LACTB
G1129	BID
G1130	CDC7
G1131	PARVG
