#ID	Name
G0	RBL2
G185	CBX3
G186	NFKBIB
G187	TCF7L2
G188	RDBP
G189	NR4A1
G190	POLR1D
G191	MTA2
G192	NSD1
G193	LDB1
G194	MATR3
G195	STAT3
G196	H1F0
G197	HNRNPK
G198	CNOT6
G199	PAPOLA
G200	DDB1
G201	MYST2
G202	CREM
G203	UPF1
G204	MED21
G205	ZFP148
G206	ASH1L
G207	KDM5A
G208	MKL2
G209	CEBPA
G210	TAF9
G211	RBPJ
G212	REL
G213	POLR2E
G214	NONO
G215	CSDA
G216	HMGB2
G217	CHD4
G218	AES
G219	MAPK14
G220	VDR
G221	BTG1
G222	SUPT16H
G223	MAPK1
G224	MCM3
G225	CCRN4L
G226	IRF2
G227	CDC5L
G228	AEBP2
G229	DOT1L
G230	CHD7
G231	GATAD2A
G232	YBX1
G233	BAZ1A
G234	ILK
G235	TBPL1
G236	RBM39
G237	JMJD1C
G238	RBBP4
G239	UBP1
G240	ILF3
G241	GTF2I
G242	DEK
G243	TCF12
G244	CTNNB1
G245	CTBP1
G246	TAF12
G247	CNOT8
G248	MAPK3
G249	PARP1
G250	EHMT1
G251	DAB2
G252	POLR2K
G253	MCM4
G254	TOX4
G255	ELF1
G256	MED27
G257	DAZAP2
G258	ATF3
G259	TOB1
G260	DDX5
G261	RAD51
G262	ZFP36
G263	SMARCE1
G264	DENND4A
G265	TRPS1
G266	CBFB
G267	TCEA1
G268	SRSF2
G269	YEATS4
G270	NCOA3
G271	WBP11
G272	GTF2A2
G273	EGR2
G274	CENPB
G275	USF2
G276	NFAT5
G277	AKT1
G278	KHDRBS1
G279	ZFP410
G280	AHR
G281	RELA
G282	UBTF
G283	PER1
G284	MDM2
G285	ZFP91
G286	SRRM1
G287	IRF1
G288	CHD1
G289	XBP1
G290	NAP1L4
G291	TARBP2
G292	LASS5
G293	TSG101
G294	BHLHE40
G295	SIN3B
G296	SRSF5
G297	HMG20A
G298	NCOR2
G299	POLR2B
G300	RNPS1
G301	HIST1H1C
G302	KDM2B
G303	POLR2H
G304	SRSF3
G305	EIF5B
G306	EZH2
G307	TCEB1
G308	SIRT7
G309	KLF6
G310	MCM7
G311	BACH1
G312	MED15
G313	UBE2K
G314	SSB
G315	HBP1
G316	HOPX
G317	TNF
G318	NFKBIA
G319	CREB3
G320	MCM5
G321	IL1B
G322	CLEC4E
G323	DBI
G324	CLEC4B1
G325	SQSTM1
G326	3110003A17RIK
G327	GNG5
G328	ARL8B
G329	LAMP2
G330	TUBA1B
G331	SH3BGRL3
G332	HN1
G333	CD81
G334	GYG
G335	OAZ1
G336	TLR2
G337	TMBIM4
G338	CLEC4D
G339	USMG5
G340	S100A1
G341	TSPO
G342	PPIB
G343	RGS1
G344	RPL23A
G345	FCER1G
G346	ATP5F1
G347	RPL23
G348	GABARAP
G349	GLIPR1
G350	BCAP31
G351	CYBB
G352	RPLP0
G353	NDUFA7
G354	CCL6
G355	CTSD
G356	CD302
G357	CCL3
G358	RPS15
G359	H2-DMB1
G360	SLFN2
G361	TRF
G362	NDUFA12
G363	1500032L24RIK
G364	ANXA3
G365	APRT
G366	RPL7
G367	MMP12
G368	UBA52
G369	RPL26
G370	TNFSF9
G371	COX5A
G372	SRGN
G373	GNGT2
G374	CAPNS1
G375	CSTB
G376	PRDX5
G377	IL1A
G378	HINT1
G379	ACTR2
G380	UQCRQ
G381	S100A4
G382	CDC42
G383	NAA20
G384	RAB32
G385	TAGLN2
G386	PSMD14
G387	GM15450
G388	NDUFB7
G389	BOLA2
G390	H2AFV
G391	CCL4
G392	SDC4
G393	CD9
G394	SEC11A
G395	ATP6AP2
G396	LITAF
G397	ANXA1
G398	CFP
G399	EMP3
G400	LILRB4
G401	RPL12
G402	HSPA8
G403	SH3BGRL
G404	ATPIF1
G405	FAM96A
G406	CXCL16
G407	FXYD5
G408	TYROBP
G409	TMEM50A
G410	HPRT
G411	HIST1H2BC
G412	HMGB1
G413	PDPN
G414	LPL
G415	SNX2
G416	ERH
G417	NDUFA4
G418	RPL19
G419	ATP5G3
G420	RPL17
G421	RPL18A
G422	RPL36AL
G423	RPL13
G424	ATP5B
G425	LDHA
G426	CD14
G427	RPL27
G428	ATP6V0D2
G429	CLEC4N
G430	DAD1
G431	BCL2A1A
G432	M6PR
G433	RPL41
G434	RBM3
G435	UQCR10
G436	PGAM1
G437	6720456B07RIK
G438	LY86
G439	ATP5E
G440	CD53
G441	RNH1
G442	TPT1P
G443	RPL9
G444	HBXIP
G445	BCL2A1B
G446	S100A11
G447	CCDC72
G448	ATP6V0B
G449	ATP5G2
G450	MDH2
G451	C1QB
G452	RPL5
G453	PSMA4
G454	EAR2
G455	FTL1
G456	LGALS1
G457	HEXA
G458	RPL8
G459	1600029D21RIK
G460	NPM1
G461	GM2A
G462	FTH1
G463	AKR1A4
G464	CD48
G465	RPL28
G466	KRTCAP2
G467	PSMB2
G468	SEPW1
G469	TECR
G470	CRIP1
G471	EEF1A1
G472	NDUFS5
G473	HMGN2
G474	IFITM2
G475	IDH1
G476	LCP1
G477	MGL2
G478	COX8A
G479	IFI27L2A
G480	MRPL20
G481	RNF149
G482	CTSB
G483	PSMA7
G484	AP2M1
G485	COX7A2
G486	FCF1
G487	RPS26
G488	SEC61B
G489	PLIN2
G490	TNIP3
G491	CALM2
G492	RPL39
G493	TMEM49
G494	DQ539915
G495	ARF4
G496	COMMD3
G497	RPS12
G498	RAP1B
G499	NDUFA1
G500	RPL4
G501	YWHAE
G502	PSMA1
G503	SEC11C
G504	SLC25A5
G505	CAPG
G506	RPL14
G507	TXN1
G508	NDUFA6
G509	TANK
G510	IL1RN
G511	FABP4
G512	CLAST2
G513	AK185681
G514	TM7SF4
G515	GRN
G516	SLAMF7
G517	LYZ2
G518	LSP1
G519	CD63
G520	ARHGDIB
G521	RPL32
G522	ATP6V1G1
G523	SDHB
G524	MYEOV2
G525	H2-D1
G526	AF251705
G527	NDUFB6
G528	NDUFB8
G529	RPS16
G530	DYNLRB1
G531	PTGES3
G532	PLEK
G533	LY6E
G534	RPL35A
G535	PSME1
G536	MRFAP1
G537	CXCL1
G538	PSMB3
G539	VPS29
G540	H2-AA
G541	RPL38
G542	ZYX
G543	GPNMB
G544	MYL12B
G545	CD52
G546	BC028528
G547	UBC
G548	RPS27
G549	NACA
G550	RPS9
G551	SELK
G552	PCNA
G553	PRR13
G554	MCA32
G555	PKM2
G556	ABCG1
G557	SSR3
G558	PSME2
G559	CHCHD2
G560	CD200R4
G561	NDUFB11
G562	S100A6
G563	TMSB4X
G564	FIS1
G565	LIPA
G566	CCL9
G567	SLIRP
G568	RASSF4
G569	1810027O10RIK
G570	ATP6V1F
G571	ATP5G1
G572	PCNP
G573	B2M
G574	SLAMF9
G575	CYB5
G576	RPS13
G577	NAPSA
G578	SDHD
G579	IL1R2
G580	NDUFV3
G581	VPS28
G582	COX5B
G583	AA467197
G584	DPEP2
G585	RPL34
G586	2310016C08RIK
G587	POLDIP3
G588	SSR2
G589	FCGR2B
G590	GM10653
G591	CHMP2A
G592	ATP5J
G593	SDCBP
G594	TUBB5
G595	IL2RG
G596	CD74
G597	VDAC3
G598	RPSA
G599	CKS1B
G600	UBE2L6
G601	CRIPT
G602	COX7A2L
G603	CALR
G604	TBCA
G605	VAMP8
G606	1810006K21RIK
G607	OSTC
G608	RPS3A
G609	PPIA
G610	DYNC1LI1
G611	RPL24
G612	PSMA3
G613	H2-T23
G614	RPL36A
G615	ITGB2
G616	PRELID1
G617	GPX1
G618	ACTB
G619	D8ERTD738E
G620	SPP1
G621	CD200R1
G622	FAU
G623	EIF3I
G624	GM11428
G625	TWF1
G626	SHFM1
G627	SSR4
G628	PGK1
G629	RPS3
G630	CHMP5
G631	PSMB1
G632	HSP90AB1
G633	BLVRB
G634	TRAPPC2L
G635	TMEM14C
G636	DNAJC15
G637	RPS10
G638	CTSC
G639	RPL7A
G640	EEF1G
G641	HSP90B1
G642	SRP14
G643	S100A10
G644	CAPZA2
G645	ATP6V1E1
G646	CTSL
G647	CISH
G648	RPS18
G649	NDUFB10
G650	SP100
G651	SEPT2
G652	MAP1LC3B
G653	ETFB
G654	P2RY14
G655	DUSP1
G656	LAPTM5
G657	ATP5L
G658	MT1
G659	NEDD8
G660	CD68
G661	COX6A1
G662	1100001G20RIK
G663	RPLP1
G664	CHI3L3
G665	RPS19
G666	H3F3B
G667	CCL17
G668	NDUFS6
G669	RPL10A
G670	RPS7
G671	PFN1
G672	TIMM23
G673	RPS20
G674	RPS14
G675	RPS6
G676	CCRL2
G677	SLC25A3
G678	TNFAIP2
G679	MARCKS
G680	CFL1
G681	SBDS
G682	NDUFA2
G683	PFDN5
G684	H3F3A
G685	RPS27L
G686	EAR11
G687	CD83
G688	NAMPT
G689	PRDX2
G690	PSMA2
G691	RPLP2
G692	ENO1
G693	TALDO1
G694	PSMB8
G695	4933434E20RIK
G696	RPL11
G697	ATP6V0C
G698	CANX
G699	MYL6
G700	COX6B1
G701	TRIM30A
G702	ANXA4
G703	ANXA2
G704	GSTM1
G705	RPS27A
G706	PSMB6
G707	ASS1
G708	TPM3
G709	COX6C
G710	RPS25
G711	MIF
G712	PLAUR
G713	SOD1
G714	SUMO1
G715	VIM
G716	GDI2
G717	ITM2B
G718	ALDOA
G719	CXCL2
G720	H2-DMA
G721	OST4
G722	TPM4
G723	GPX4
G724	POMP
G725	MRPL33
G726	RPS8
G727	RPL30
G728	NAAA
G729	EIF3E
G730	GLRX
G731	UQCRH
G732	ATP5H
G733	UQCRB
G734	ARPC2
G735	NDUFC1
G736	COPE1
G737	PRDX1
G738	PSMB5
G739	CTSS
G740	RPL3
G741	PLP2
G742	H2-EB1
G743	RPS29
G744	SUMO2
G745	IFITM3
G746	GNB2L1
G747	PPP1CA
G748	UBB
G749	SGK1
G750	H2-K1
G751	CD24A
G752	CTSZ
G753	RPL10
G754	ATP6V0E
G755	PTP4A1
G756	SEP15
G757	EIF3K
G758	MGST1
G759	PTMA
G760	SNRPG
G761	2010107E04RIK
G762	MRPL42
G763	RPL35
G764	CLEC7A
G765	LYZ1
G766	EIF5A
G767	DSTN
G768	CDKN1A
G769	LGALS9
G770	RPS28
G771	BCL2A1D
G772	5033414D02RIK
G773	STMN1
G774	SAT1
G775	RPS17
G776	RPS5
G777	ARPC5
G778	CD36
G779	HSPA5
G780	RPL37A
G781	TPT1
G782	RPS11
G783	FABP5
G784	ATOX1
G785	NDUFB9
G786	ATP5J2
G787	FCGR3
G788	PSMA5
G789	YWHAZ
G790	PLD3
G791	COX4I1
G792	SNRPE
G793	ATP5C1
G794	CST3
G795	LAMP1
G796	LGALS3
G797	UQCR11
G798	MS4A6D
G799	ALOX5AP
G800	BANF1
G801	H2-AB1
G802	COX7C
G803	CYBA
G804	PSMA6
G805	MRPS21
G806	ESD
G807	ATP5O
G808	VDAC2
G809	NDUFB4
G810	MALAT1
G811	FAM195B
G812	BRP44L
G813	ACTG1
G814	ANXA5
G815	PLA2G7
G816	PTP4A2
G817	MRPS18C
G818	TREX1
G819	RPL36
G820	CTSH
