#ID	Name
G0	CTBP1
G337	ATPIF1
G338	CXCL2
G339	TMEM49
G340	AF251705
G341	HIST1H2BC
G342	BCL2A1A
G343	RPS29
G344	MGL2
G345	TMEM50A
G346	CD9
G347	PFN1
G348	HSP90AB1
G349	S100A6
G350	EMP3
G351	CTSS
G352	CCL4
G353	USMG5
G354	NDUFA7
G355	UBE2L6
G356	RPL11
G357	PSMA7
G358	MGST1
G359	CFP
G360	PRDX1
G361	CCRL2
G362	PRELID1
G363	SNRPE
G364	SDHD
G365	PTMA
G366	TM7SF4
G367	GDI2
G368	RPS10
G369	RPS18
G370	NDUFB9
G371	VPS29
G372	NACA
G373	TANK
G374	NDUFA1
G375	TLR2
G376	PTP4A2
G377	AKR1A4
G378	PSMD14
G379	GNG5
G380	CD24A
G381	RPS16
G382	RPL7A
G383	CDKN1A
G384	VDAC3
G385	HPRT
G386	FCER1G
G387	CTSZ
G388	CXCL1
G389	FIS1
G390	EIF3E
G391	BC028528
G392	RPS5
G393	RPS28
G394	RPS9
G395	RNF149
G396	BLVRB
G397	ARPC2
G398	RPS27A
G399	TNFAIP2
G400	HN1
G401	LITAF
G402	OAZ1
G403	MYEOV2
G404	CDC42
G405	SDHB
G406	RPL26
G407	RPL30
G408	SEPT2
G409	RNH1
G410	RPL23A
G411	MRFAP1
G412	TSPO
G413	CAPZA2
G414	TPT1
G415	SHFM1
G416	NAPSA
G417	MRPS21
G418	DYNLRB1
G419	PSMA4
G420	CD83
G421	LPL
G422	PPP1CA
G423	RPL28
G424	MRPS18C
G425	RPS20
G426	RGS1
G427	RASSF4
G428	SQSTM1
G429	PCNA
G430	SNX2
G431	B2M
G432	CCL6
G433	NDUFS6
G434	PKM2
G435	NDUFB7
G436	TAGLN2
G437	CRIPT
G438	PLD3
G439	TUBA1B
G440	CD63
G441	LGALS1
G442	ATP5L
G443	TNFSF9
G444	CALM2
G445	RPS6
G446	PLIN2
G447	H2-EB1
G448	RAP1B
G449	SH3BGRL
G450	PRDX5
G451	RPS25
G452	SGK1
G453	S100A4
G454	MRPL20
G455	ASS1
G456	NDUFC1
G457	NPM1
G458	TRAPPC2L
G459	SNRPG
G460	GPNMB
G461	CSTB
G462	NEDD8
G463	RPL27
G464	LAMP2
G465	TBCA
G466	ANXA3
G467	LILRB4
G468	RPL12
G469	ITGB2
G470	CD36
G471	FXYD5
G472	ATP5J2
G473	MT1
G474	GRN
G475	VAMP8
G476	MRPL33
G477	FCGR3
G478	IL1RN
G479	PTGES3
G480	RPL3
G481	ATOX1
G482	HMGB1
G483	SPP1
G484	HSPA5
G485	H2-DMA
G486	NDUFB6
G487	PSME2
G488	RPS15
G489	IL1A
G490	NAA20
G491	PSMB3
G492	COX5B
G493	SSR3
G494	GM11428
G495	CCL3
G496	COMMD3
G497	DUSP1
G498	1810027O10RIK
G499	RPS3A
G500	RPL9
G501	C1QB
G502	ATP5F1
G503	ARL8B
G504	NDUFA6
G505	2310016C08RIK
G506	COX6C
G507	ZYX
G508	GPX1
G509	LIPA
G510	ACTR2
G511	ATP6V0D2
G512	ATP5C1
G513	PPIA
G514	SEPW1
G515	ATP5J
G516	OSTC
G517	3110003A17RIK
G518	PRDX2
G519	IL2RG
G520	COX6B1
G521	SEC11A
G522	PSMB2
G523	BRP44L
G524	CD48
G525	RPL7
G526	1500032L24RIK
G527	LDHA
G528	RPL36AL
G529	NDUFV3
G530	CD81
G531	HEXA
G532	ATP6V0E
G533	COX7A2L
G534	GSTM1
G535	CLAST2
G536	CTSH
G537	ATP6V0B
G538	CTSL
G539	RPL41
G540	RPL13
G541	ATP6V0C
G542	COX5A
G543	CYBB
G544	H2-T23
G545	UQCRQ
G546	ETFB
G547	TECR
G548	LGALS3
G549	CLEC4N
G550	CLEC7A
G551	IL1B
G552	UQCR10
G553	RPL8
G554	RPL19
G555	NAAA
G556	MALAT1
G557	DBI
G558	UBA52
G559	UBB
G560	CD52
G561	BOLA2
G562	RPL34
G563	RPL37A
G564	RPL36A
G565	ERH
G566	ATP5O
G567	GM2A
G568	TWF1
G569	ANXA4
G570	SELK
G571	PGK1
G572	S100A10
G573	H2-K1
G574	ESD
G575	MARCKS
G576	ARF4
G577	CD68
G578	CTSB
G579	TREX1
G580	GM15450
G581	CLEC4B1
G582	RPLP1
G583	ANXA1
G584	NDUFB11
G585	TMSB4X
G586	ACTG1
G587	MRPL42
G588	CCL17
G589	RPL32
G590	ABCG1
G591	PLP2
G592	RPLP2
G593	HSPA8
G594	SSR2
G595	CTSD
G596	ANXA5
G597	CCL9
G598	MS4A6D
G599	GYG
G600	SRGN
G601	ARPC5
G602	5033414D02RIK
G603	RPL24
G604	CRIP1
G605	TRIM30A
G606	PPIB
G607	COX7A2
G608	PGAM1
G609	FCF1
G610	PSMA6
G611	GLRX
G612	SEP15
G613	VDAC2
G614	MDH2
G615	ATP5H
G616	SH3BGRL3
G617	1600029D21RIK
G618	TPM4
G619	FTH1
G620	HINT1
G621	COX4I1
G622	CHI3L3
G623	NDUFS5
G624	VPS28
G625	MCA32
G626	SLFN2
G627	UQCRB
G628	FAM195B
G629	RPS12
G630	MIF
G631	CHMP5
G632	SBDS
G633	SEC11C
G634	RPL38
G635	GNB2L1
G636	KRTCAP2
G637	SOD1
G638	AK185681
G639	YWHAZ
G640	TIMM23
G641	PSMB8
G642	HMGN2
G643	BCL2A1B
G644	H2-AB1
G645	RPLP0
G646	SLAMF7
G647	BANF1
G648	TMEM14C
G649	RAB32
G650	LY6E
G651	CST3
G652	PRR13
G653	ALDOA
G654	CD302
G655	IFITM3
G656	H3F3B
G657	NDUFB10
G658	CYBA
G659	SP100
G660	SDC4
G661	ATP5E
G662	MMP12
G663	CD14
G664	H3F3A
G665	M6PR
G666	VIM
G667	TPT1P
G668	SEC61B
G669	LYZ2
G670	LAPTM5
G671	PSMB1
G672	ARHGDIB
G673	DAD1
G674	RPL23
G675	RPL35
G676	D8ERTD738E
G677	IFITM2
G678	RPL17
G679	EIF5A
G680	PSMA2
G681	NDUFA12
G682	EEF1G
G683	POLDIP3
G684	EAR2
G685	DPEP2
G686	SLC25A3
G687	CTSC
G688	BCL2A1D
G689	AA467197
G690	FAU
G691	DSTN
G692	STMN1
G693	CAPNS1
G694	S100A11
G695	RPS26
G696	ACTB
G697	DYNC1LI1
G698	CHMP2A
G699	SLIRP
G700	H2-AA
G701	TYROBP
G702	TXN1
G703	LCP1
G704	TPM3
G705	1810006K21RIK
G706	FTL1
G707	SLC25A5
G708	S100A1
G709	TALDO1
G710	RPL5
G711	ATP5B
G712	CD74
G713	POMP
G714	IDH1
G715	RPS27
G716	PTP4A1
G717	RPS13
G718	FABP5
G719	CD200R1
G720	YWHAE
G721	SLAMF9
G722	MYL6
G723	ATP6V1F
G724	1100001G20RIK
G725	PSMB6
G726	TRF
G727	UBC
G728	COX6A1
G729	TMBIM4
G730	RPL10
G731	PSMB5
G732	PFDN5
G733	ATP6AP2
G734	RPL4
G735	COPE1
G736	IL1R2
G737	2010107E04RIK
G738	LGALS9
G739	ATP5G2
G740	ALOX5AP
G741	RPS11
G742	COX8A
G743	SAT1
G744	RPS17
G745	FAM96A
G746	LYZ1
G747	6720456B07RIK
G748	RPS19
G749	AP2M1
G750	EIF3I
G751	IFI27L2A
G752	NDUFB8
G753	CXCL16
G754	HBXIP
G755	CLEC4D
G756	CD53
G757	LSP1
G758	CFL1
G759	ENO1
G760	PLA2G7
G761	RPL36
G762	DNAJC15
G763	H2-DMB1
G764	MAP1LC3B
G765	RPS8
G766	COX7C
G767	CISH
G768	PSMA3
G769	RBM3
G770	EAR11
G771	ANXA2
G772	UQCR11
G773	H2AFV
G774	CAPG
G775	RPL14
G776	CD200R4
G777	CALR
G778	H2-D1
G779	GABARAP
G780	PCNP
G781	TUBB5
G782	DQ539915
G783	ITM2B
G784	4933434E20RIK
G785	PSMA1
G786	CKS1B
G787	RPS27L
G788	GPX4
G789	ATP6V1G1
G790	FCGR2B
G791	NDUFB4
G792	UQCRH
G793	ATP5G3
G794	LY86
G795	RPL18A
G796	LAMP1
G797	FABP4
G798	P2RY14
G799	RPS7
G800	PSME1
G801	CANX
G802	RPL10A
G803	GNGT2
G804	NDUFA4
G805	RPS3
G806	BCAP31
G807	NAMPT
G808	CCDC72
G809	RPL35A
G810	NDUFA2
G811	SDCBP
G812	GM10653
G813	RPSA
G814	RPL39
G815	EIF3K
G816	PDPN
G817	CYB5
G818	HSP90B1
G819	TNIP3
G820	ATP5G1
