#ID	Name
G0	RB1
G626	ELMO2
G627	MRPL20
G628	SLC22A3
G629	PLIN3
G630	ADGRL4
G631	CDCA5
G632	CAND2
G633	PIK3R1
G634	KNSTRN
G635	HYOU1
G636	UQCRFS1
G637	SAMD9L
G638	SLC29A1
G639	MPO
G640	METAP1
G641	SEH1L
G642	NPLOC4
G643	CD274
G644	PRMT5
G645	RAP1B
G646	GMCL1
G647	KPNA1
G648	CASP12
G649	CLTC
G650	TPM4
G651	SYNJ1
G652	DUSP1
G653	SLA
G654	TXNDC11
G655	POLA2
G656	NSD2
G657	AFAP1L1
G658	YBX3
G659	ZFP322A
G660	CNIH1
G661	TYMS
G662	CHORDC1
G663	COL4A1
G664	EMID1
G665	TSC22D1
G666	IGTP
G667	PRIM2
G668	SMPDL3A
G669	SLC25A46
G670	KIF20B
G671	NCAPH
G672	ZFP24
G673	PSMD1
G674	BID
G675	TBC1D5
G676	SNRNP200
G677	MILR1
G678	HACD4
G679	TRMT11
G680	RGCC
G681	POLE3
G682	HARS
G683	CISH
G684	CERK
G685	FCGR2B
G686	NEURL3
G687	SPNS3
G688	PPP1R9A
G689	CDCA8
G690	PPAT
G691	GM5111
G692	PTGS1
G693	STXBP4
G694	LONP2
G695	SFXN1
G696	MFSD1
G697	ATRN
G698	C030034L19RIK
G699	HERPUD1
G700	PSMC2
G701	EPSTI1
G702	TOR3A
G703	NADK
G704	TMEM229B
G705	ZC3H7A
G706	ST8SIA4
G707	LRRC8B
G708	ZFP35
G709	9530068E07RIK
G710	GMFB
G711	ATP6AP1
G712	ACLY
G713	FUCA2
G714	ZFP367
G715	ARMT1
G716	CRISPLD1
G717	MPI
G718	PLA2G15
G719	MOB3C
G720	FLNA
G721	PNO1
G722	INPP5B
G723	STT3B
G724	CTTN
G725	PUS7
G726	PRR5
G727	BCAP29
G728	PFKP
G729	TMEM173
G730	PCMTD2
G731	CTPS
G732	GRK3
G733	NEDD1
G734	HK3
G735	GARS
G736	CDC20
G737	MTMR1
G738	DOCK11
G739	SORL1
G740	LTB
G741	CYP2J6
G742	LAX1
G743	TCN2
G744	XPNPEP1
G745	G6PDX
G746	WDR55
G747	FAM91A1
G748	MYO1G
G749	IFRD2
G750	PSTPIP1
G751	MAPKAPK3
G752	EIF2B1
G753	OSBPL8
G754	ISG20
G755	APLP2
G756	CCR2
G757	SGMS1
G758	TUBGCP3
G759	GEM
G760	RIN3
G761	FCGR3
G762	MAMDC2
G763	GNG2
G764	RTP4
G765	GIMAP5
G766	NUAK2
G767	UHRF1
G768	PHKB
G769	MMRN1
G770	ANXA2
G771	UBASH3A
G772	MOGS
G773	OBSL1
G774	SLC19A1
G775	FASTKD2
G776	TMEM97
G777	SZT2
G778	USP42
G779	SVIP
G780	ABITRAM
G781	TES
G782	GM4759
G783	IMMT
G784	SLC20A1
G785	ART4
G786	LCP2
G787	FGFR1OP
G788	AKNA
G789	SERPINB6A
G790	ALAS1
G791	UBE2C
G792	TSPAN2
G793	ERLIN1
G794	SULT1A1
G795	SPCS3
G796	RGS2
G797	MLKL
G798	BPIFC
G799	EPB41L4B
G800	MFNG
G801	RAB38
G802	MIEF1
G803	SERP1
G804	SNAP47
G805	DTL
G806	MCOLN2
G807	KIF13A
G808	GMIP
G809	SORT1
G810	IL6ST
G811	MAGED2
G812	NUDT4
G813	OASL2
G814	TMEM154
G815	CYP2J9
G816	NUF2
G817	GM11346
G818	ADO
G819	PDE4B
G820	ZHX1
G821	ADORA2A
G822	PRKCH
G823	SPIDR
G824	CSTF2
G825	CCDC137
G826	CCNA2
G827	CTC1
G828	GPD1L
G829	TRP53I11
G830	TBC1D2B
G831	KPNA3
G832	OTUD4
G833	TOMM40
G834	NUP107
G835	APOE
G836	DLST
G837	DHRS3
G838	TSPOAP1
G839	SYTL1
G840	SOCS2
G841	CYB5R1
G842	NCAPD2
G843	GANAB
G844	TK1
G845	SPPL2B
G846	CLEC12A
G847	NCF1
G848	UBL4A
G849	ATAD1
G850	AP1S2
G851	PIK3IP1
G852	NDRG1
G853	CHCHD10
G854	MYO1F
G855	POR
G856	PCLAF
G857	MORC3
G858	TFR2
G859	MC5R
G860	TNFAIP2
G861	MYL10
G862	NDRG2
G863	CD69
G864	GFM1
G865	LIG1
G866	MYO5A
G867	CLPTM1L
G868	CAPG
G869	RNF38
G870	CDC6
G871	MS4A6C
G872	ATP11C
G873	SGO1
G874	FLT3
G875	SMC2
G876	ACSS2
G877	IFI44
G878	ATP1B3
G879	PREP
G880	MYCT1
G881	MTUS1
G882	FCER1G
G883	LACTB
G884	ARL6IP6
G885	9430015G10RIK
G886	NASP
G887	IFI209
G888	FTSJ3
G889	LYN
G890	GM8113
G891	GBP7
G892	TUBA4A
G893	ACOX1
G894	EIF1AD
G895	PSMG2
G896	RPTOR
G897	POLE
G898	TIMP2
G899	IDH1
G900	ISYNA1
G901	NRROS
G902	GATM
G903	TECPR1
G904	RANBP3
G905	FARSA
G906	HMBS
G907	PTDSS1
G908	SEC23IP
G909	RBPMS
G910	DDX21
G911	FIGNL1
G912	LAPTM4B
G913	RETREG1
G914	AI504432
G915	GPR65
G916	BACE1
G917	SESN1
G918	NWD1
G919	CCNB2
G920	PTPRS
G921	PTPRE
G922	ERGIC1
G923	INCENP
G924	4833439L19RIK
G925	VKORC1L1
G926	PHF5A
G927	SLCO3A1
G928	SNAP23
G929	NUP155
G930	SLC25A38
G931	TBXAS1
G932	SPNS2
G933	CSGALNACT2
G934	HJURP
G935	CTSZ
G936	CSE1L
G937	KIF11
G938	PRC1
G939	NECAP2
G940	TINAGL1
G941	DDX1
G942	CALCRL
G943	RASA4
G944	VPS16
G945	FCHO2
G946	IL21R
G947	FAM189B
G948	EFCC1
G949	H2-Q6
G950	EML4
G951	ZMIZ1
G952	NSUN2
G953	CDK6
G954	GPR160
G955	2610035D17RIK
G956	USP10
G957	PSME3
G958	GABBR1
G959	ZFP53
G960	TMEM37
G961	ESAM
G962	MKI67
G963	IARS2
G964	MBNL3
G965	MINDY3
G966	TMEM33
G967	HDGFL3
G968	CLEC4E
G969	SLC26A2
G970	GBP3
G971	GNG11
G972	ACOT9
G973	SPTBN1
G974	ACOX3
G975	STX3
G976	ARFGEF2
G977	CDC7
G978	PAK1
G979	NDUFV1
G980	LMAN2L
G981	TBC1D9B
G982	VAV1
G983	VPS35
G984	EBI3
G985	PRKCD
G986	FLNB
G987	IFITM1
G988	CD34
G989	PYGM
G990	GNG12
G991	NPTN
G992	ABCE1
G993	METTL7A1
G994	KRT18
G995	ROBO4
G996	F2R
G997	SEC24D
G998	CCL4
G999	SLC30A5
G1000	LY6A
G1001	CNRIP1
G1002	DUS1L
G1003	SERPINA3G
G1004	RFC5
G1005	FTX
G1006	CKS1B
G1007	PANX1
G1008	SELL
G1009	ZFP451
G1010	TRIM30B
G1011	ZFAND5
G1012	PSME4
G1013	NFAM1
G1014	QARS
G1015	TIMM29
G1016	ANXA1
G1017	LAP3
G1018	LY86
G1019	PDZK1IP1
G1020	IGSF6
G1021	PECAM1
G1022	KCTD20
G1023	NUDT19
G1024	TNFRSF13C
G1025	TIE1
G1026	KCNQ1OT1
G1027	ARHGEF39
G1028	HAAO
G1029	BC035044
G1030	ALDOC
G1031	PDIA4
G1032	ELOVL5
G1033	CDT1
G1034	IRGM2
G1035	ADAM17
G1036	TGTP2
G1037	UBE2L6
G1038	ITCH
G1039	CTSG
G1040	TIMM50
G1041	DPP8
G1042	RPS6KA3
G1043	RPRD1B
G1044	ADSL
G1045	SLC39A6
G1046	PHF6
G1047	USP14
G1048	RPN1
G1049	INTS13
G1050	GNL3
G1051	MR1
G1052	SLC35B4
G1053	SLC37A1
G1054	HASPIN
G1055	OSGIN1
G1056	NDC80
G1057	PTTG1IP
G1058	F13A1
G1059	SPC24
G1060	IFI30
G1061	PRPS2
G1062	KCNK5
G1063	HMGB3
G1064	MPZL1
G1065	PSMD9
G1066	HAT1
G1067	RABGGTB
G1068	PIK3R2
G1069	ECT2
G1070	TMEM43
G1071	ALDH9A1
G1072	HSPH1
G1073	NCAPG2
G1074	NDUFA10
G1075	PRSS57
G1076	FCGRT
G1077	PSMD6
G1078	GCLC
G1079	TAB1
G1080	LPCAT2
G1081	MEMO1
G1082	F11R
G1083	MSMO1
G1084	TBC1D10C
G1085	MARS
G1086	SLC7A4
G1087	RAD51AP1
G1088	TFRC
G1089	FAM136A
G1090	NUSAP1
G1091	9530082P21RIK
G1092	MIR99AHG
G1093	CSGALNACT1
G1094	PRPF4
G1095	1700017B05RIK
G1096	STIP1
G1097	ITSN1
G1098	LY6C2
G1099	DOCK10
G1100	PITPNC1
G1101	NDUFS1
G1102	SARAF
G1103	CS
G1104	CYC1
G1105	STARD7
G1106	CASP4
G1107	MGAT1
G1108	EAF1
G1109	H2-AA
G1110	TIPIN
G1111	CD74
G1112	THEMIS2
G1113	GSR
G1114	SNHG5
G1115	H2AFX
G1116	SLFN2
G1117	SGCE
G1118	MFSD10
G1119	SLC18A2
G1120	CYP4V3
G1121	KIF17
G1122	STOM
G1123	SLC28A2
G1124	CD244A
G1125	PLD3
G1126	CKAP2L
G1127	JPT1
G1128	PIP4K2A
G1129	ATP6AP2
G1130	SETD2
G1131	YPEL3
