#ID	Name
G0	SRSF1
G381	NDUFA12
G382	TM7SF4
G383	POMP
G384	NPM1
G385	PSMB2
G386	CLEC4B1
G387	GRN
G388	RPL4
G389	FABP4
G390	ANXA5
G391	IL2RG
G392	RPL18A
G393	IL1R2
G394	H3F3B
G395	MIF
G396	TNFSF9
G397	CTSH
G398	RPS27
G399	BRP44L
G400	PSMB3
G401	CHMP2A
G402	CD302
G403	BOLA2
G404	SEC11A
G405	SLC25A3
G406	TBCA
G407	PLIN2
G408	NDUFB10
G409	CD200R4
G410	FAU
G411	ENO1
G412	HMGN2
G413	EIF3I
G414	RPL35
G415	ARPC5
G416	PFN1
G417	TREX1
G418	ZYX
G419	CLAST2
G420	UBC
G421	SSR4
G422	TPT1P
G423	NAA20
G424	RPS13
G425	YWHAE
G426	LSP1
G427	PKM2
G428	PDPN
G429	1810027O10RIK
G430	MRPS21
G431	TRAPPC2L
G432	ATP5H
G433	H2-D1
G434	PSMA2
G435	GNG5
G436	S100A4
G437	RPL36AL
G438	CFL1
G439	RPL28
G440	ANXA1
G441	S100A1
G442	LAMP1
G443	COMMD3
G444	KRTCAP2
G445	COX8A
G446	CCL17
G447	UQCR10
G448	PSMA6
G449	RPSA
G450	VPS29
G451	CTSB
G452	ATOX1
G453	GM15450
G454	AK185681
G455	ARPC2
G456	RPS10
G457	COX4I1
G458	RPS9
G459	GLRX
G460	TNFAIP2
G461	RPL11
G462	CLEC4N
G463	1600029D21RIK
G464	PRDX5
G465	PSMB5
G466	BLVRB
G467	ATP5G3
G468	COX7A2
G469	RPL26
G470	LILRB4
G471	RPL19
G472	EMP3
G473	GLIPR1
G474	COX6C
G475	SEC11C
G476	UQCRH
G477	TXN1
G478	RPS29
G479	PTMA
G480	SUMO2
G481	HMGB1
G482	CD81
G483	CRIP1
G484	NDUFA4
G485	CANX
G486	CALM2
G487	RPL7A
G488	CRIPT
G489	EAR2
G490	TYROBP
G491	CD83
G492	LY6E
G493	RPL27
G494	GPNMB
G495	HEXA
G496	PRELID1
G497	S100A10
G498	CXCL2
G499	MYL6
G500	PLA2G7
G501	HPRT
G502	SH3BGRL3
G503	RPL9
G504	SLAMF9
G505	COX7A2L
G506	H2-EB1
G507	SSR2
G508	UQCRQ
G509	HSP90AB1
G510	ARL8B
G511	RPS27L
G512	TRIM30A
G513	GM2A
G514	COX6B1
G515	3110003A17RIK
G516	IDH1
G517	ITGB2
G518	RPL8
G519	ERH
G520	RPL17
G521	DAD1
G522	LY86
G523	RPLP0
G524	HIST1H2BC
G525	SLC25A5
G526	LGALS1
G527	TSPO
G528	NDUFV3
G529	CXCL16
G530	LCP1
G531	COX7C
G532	EIF3E
G533	ATP5G2
G534	IL1B
G535	EIF5A
G536	HBXIP
G537	ATP5F1
G538	RPL13
G539	PRR13
G540	GNB2L1
G541	ATP5B
G542	SNX2
G543	RPS28
G544	RPS25
G545	RPL14
G546	LAPTM5
G547	PGK1
G548	AKR1A4
G549	H2-T23
G550	P2RY14
G551	H2-DMB1
G552	MRPL42
G553	PPP1CA
G554	COX5B
G555	TMEM14C
G556	CISH
G557	AP2M1
G558	GPX1
G559	PCNP
G560	PLEK
G561	H2-AB1
G562	H2AFV
G563	GABARAP
G564	ASS1
G565	HN1
G566	RPS19
G567	TAGLN2
G568	RPS20
G569	CTSS
G570	S100A11
G571	RPS7
G572	ATP6V0B
G573	PLAUR
G574	ACTR2
G575	SBDS
G576	SQSTM1
G577	COX5A
G578	YWHAZ
G579	SRP14
G580	RPL41
G581	TECR
G582	SDHB
G583	CD68
G584	CSTB
G585	RPS6
G586	RPL7
G587	RPL35A
G588	PSME2
G589	FCF1
G590	TRF
G591	VAMP8
G592	1500032L24RIK
G593	DYNLRB1
G594	RAP1B
G595	FTL1
G596	MCA32
G597	LGALS9
G598	LIPA
G599	ATP6V0D2
G600	EAR11
G601	MAP1LC3B
G602	NDUFA7
G603	RGS1
G604	RPL37A
G605	RPS3A
G606	RPS26
G607	ALOX5AP
G608	COPE1
G609	MARCKS
G610	ATP6AP2
G611	PSMD14
G612	PLD3
G613	MDH2
G614	SRGN
G615	DSTN
G616	RPL32
G617	TMSB4X
G618	ACTG1
G619	EEF1A1
G620	CD200R1
G621	FXYD5
G622	VPS28
G623	ARF4
G624	MGL2
G625	OAZ1
G626	BCL2A1A
G627	D8ERTD738E
G628	GYG
G629	ATP5O
G630	RNH1
G631	ATP5J
G632	ATP6V0C
G633	VDAC3
G634	SOD1
G635	UQCRB
G636	SLFN2
G637	RPL10
G638	BC028528
G639	GM11428
G640	HSPA8
G641	RPL23A
G642	SEPT2
G643	CTSC
G644	LYZ2
G645	RPS8
G646	SELK
G647	ABCG1
G648	TPM3
G649	H2-K1
G650	B2M
G651	NDUFS6
G652	POLDIP3
G653	SEPW1
G654	H2-AA
G655	ITM2B
G656	CD36
G657	RPL34
G658	PTP4A2
G659	S100A6
G660	TNIP3
G661	OSTC
G662	CD24A
G663	OST4
G664	5033414D02RIK
G665	RPL3
G666	DBI
G667	CLEC4E
G668	LITAF
G669	PSMA7
G670	RPS16
G671	CYBB
G672	RPLP1
G673	LPL
G674	RPL30
G675	NDUFS5
G676	UBB
G677	CCDC72
G678	CD63
G679	MRPL20
G680	NAPSA
G681	CAPZA2
G682	GNGT2
G683	CALR
G684	ATP6V0E
G685	RAB32
G686	ANXA3
G687	RPL10A
G688	APRT
G689	CD9
G690	CAPNS1
G691	NAAA
G692	TANK
G693	RPS12
G694	PPIA
G695	FAM195B
G696	M6PR
G697	H3F3A
G698	SLIRP
G699	IFI27L2A
G700	ANXA4
G701	CD74
G702	RBM3
G703	SEP15
G704	ARHGDIB
G705	MMP12
G706	DNAJC15
G707	NDUFB4
G708	CCL4
G709	FTH1
G710	UBA52
G711	ATP6V1F
G712	SP100
G713	CAPG
G714	PSMB6
G715	RPS17
G716	CYB5
G717	TLR2
G718	SNRPG
G719	PTGES3
G720	ATPIF1
G721	FAM96A
G722	SH3BGRL
G723	TPT1
G724	TWF1
G725	MYEOV2
G726	CST3
G727	SEC61B
G728	ETFB
G729	PSMA5
G730	CD53
G731	IFITM3
G732	PSMB8
G733	PFDN5
G734	RPL36
G735	CKS1B
G736	PSME1
G737	1100001G20RIK
G738	TMBIM4
G739	RPL12
G740	FABP5
G741	NDUFA1
G742	4933434E20RIK
G743	SLAMF7
G744	CCL9
G745	IFITM2
G746	ATP5L
G747	CLEC4D
G748	CLEC7A
G749	DPEP2
G750	PPIB
G751	FCGR3
G752	MT1
G753	CD48
G754	2310016C08RIK
G755	DUSP1
G756	FCGR2B
G757	UQCR11
G758	CHCHD2
G759	TIMM23
G760	RPS27A
G761	TUBA1B
G762	PCNA
G763	CDKN1A
G764	RPS18
G765	NDUFB7
G766	NDUFA2
G767	PRDX2
G768	RPL38
G769	CFP
G770	RPL36A
G771	RPS15
G772	NDUFB11
G773	CCL6
G774	1810006K21RIK
G775	DQ539915
G776	SDC4
G777	CD14
G778	ATP6V1E1
G779	LGALS3
G780	TALDO1
G781	RASSF4
G782	EEF1G
G783	LYZ1
G784	NDUFC1
G785	H2-DMA
G786	SDHD
G787	RPL39
G788	GPX4
G789	HSPA5
G790	NDUFB9
G791	TMEM49
G792	LAMP2
G793	RNF149
G794	CDC42
G795	SHFM1
G796	CCL3
G797	BCL2A1B
G798	HSP90B1
G799	PRDX1
G800	RPS11
G801	TMEM50A
G802	2010107E04RIK
G803	TPM4
G804	CD52
G805	FCER1G
G806	IL1A
G807	AF251705
G808	6720456B07RIK
G809	CHMP5
G810	CYBA
G811	BCL2A1D
G812	NDUFB8
G813	RPLP2
G814	RPL24
G815	RPS14
G816	GDI2
G817	MRPL33
G818	SSR3
G819	NACA
G820	PSMB1
