#ID	Name
G0	IRF1
G374	4833439L19RIK
G375	CNN2
G376	NUDCD3
G377	OPTN
G378	NCEH1
G379	APLP2
G380	HACD4
G381	HERC4
G382	NEAT1
G383	CES2G
G384	EFTUD2
G385	TMEM129
G386	TRIB2
G387	HELLS
G388	GM4759
G389	H2-DMB1
G390	UBA7
G391	LIG1
G392	UHRF1
G393	GM28875
G394	MED22
G395	TBL3
G396	UROS
G397	COLGALT1
G398	FAAP100
G399	FAM76B
G400	PRKAB1
G401	SGPP1
G402	PPOX
G403	PSEN2
G404	HMBS
G405	TUBGCP2
G406	ZFP24
G407	DIS3L2
G408	ASB8
G409	STX12
G410	FNTA
G411	METTL8
G412	GRINA
G413	TRIM59
G414	ABCF3
G415	NCAPH
G416	SNAP23
G417	RGS2
G418	MINPP1
G419	ASNS
G420	MTFR1
G421	PLD3
G422	FAR1
G423	NCAPG2
G424	PGM1
G425	UCKL1
G426	SLC30A6
G427	KIF22
G428	NCAPD2
G429	AMPD3
G430	SELENBP1
G431	ATP13A1
G432	GOLM1
G433	PLCB2
G434	PMPCA
G435	MAU2
G436	D1ERTD622E
G437	SPTLC1
G438	VKORC1L1
G439	TMEM64
G440	COPS8
G441	FARSB
G442	ASAH1
G443	RAB32
G444	CENPA
G445	DCAF13
G446	IFI203
G447	ARHGAP15
G448	DCTD
G449	GCLC
G450	NCLN
G451	ELAC2
G452	ACAA2
G453	ASF1B
G454	WARS
G455	CDCA8
G456	FIGNL1
G457	NUP88
G458	ARHGEF18
G459	SAMD14
G460	CRBN
G461	TIMM29
G462	LDAH
G463	RASSF5
G464	PREP
G465	WDR45B
G466	ATAD1
G467	EDC3
G468	DPH6
G469	PAFAH1B2
G470	B3GALNT2
G471	UMPS
G472	NADK
G473	NUP107
G474	GFM1
G475	SSX2IP
G476	EPDR1
G477	FTSJ3
G478	PKLR
G479	TMX3
G480	ARL8B
G481	FCHSD2
G482	PBK
G483	TMEM186
G484	EIF2B1
G485	RPP40
G486	D230025D16RIK
G487	ZYX
G488	PLEC
G489	CHP1
G490	EZR
G491	CYP20A1
G492	TACC3
G493	TMEM173
G494	PIP4K2A
G495	BCAP29
G496	CDC45
G497	NEDD1
G498	HSDL1
G499	CPQ
G500	CAST
G501	PGLYRP2
G502	EXOC2
G503	NT5DC1
G504	CRIP2
G505	CLPTM1L
G506	OASL2
G507	DNAJC5
G508	LAPTM4B
G509	CACFD1
G510	TYK2
G511	NECAP2
G512	CD1D1
G513	CD34
G514	SLC30A5
G515	CYTH4
G516	GEMIN5
G517	NDRG1
G518	AK3
G519	PDZK1IP1
G520	BC005561
G521	DYNLT3
G522	JAK3
G523	LDHB
G524	PTGS1
G525	FLOT2
G526	TLK1
G527	PITRM1
G528	CD84
G529	TAB1
G530	METAP1
G531	SLC18A2
G532	DDX1
G533	PTDSS2
G534	PRKAA1
G535	RMND5A
G536	GUSB
G537	ATP1B2
G538	DCAF4
G539	CYB5R1
G540	ALG9
G541	MAPKAPK3
G542	LYZ2
G543	PRIM2
G544	RASAL3
G545	PDE4B
G546	GPKOW
G547	YOD1
G548	KIF20B
G549	MAGED1
G550	LRRFIP1
G551	FAM45A
G552	NUBP2
G553	COG7
G554	PLAC8
G555	PAK1
G556	UGCG
G557	INTS8
G558	UBE2C
G559	ARMC8
G560	ZFP961
G561	CDK19
G562	PACSIN2
G563	RFC4
G564	ACSS2
G565	GYPA
G566	ELMO1
G567	CDC20
G568	CYTIP
G569	P2RX4
G570	C1QTNF12
G571	PICALM
G572	JPT2
G573	LMNA
G574	TOM1L1
G575	CCNF
G576	GNG11
G577	USP4
G578	STAP1
G579	TMEM177
G580	CPT2
G581	IFI30
G582	CSGALNACT2
G583	SMIM1
G584	BUB1B
G585	CYB5R3
G586	KIDINS220
G587	9430015G10RIK
G588	TMEM185A
G589	GNAI3
G590	PRKCH
G591	FECH
G592	ADGRL4
G593	TMEM176B
G594	CCNE1
G595	FKBP1A
G596	CTPS
G597	CNOT10
G598	NUSAP1
G599	CASP1
G600	RABIF
G601	RASA3
G602	TES
G603	HEATR5A
G604	SETD2
G605	YBX3
G606	MMUT
G607	VILL
G608	GRAMD1A
G609	UROD
G610	CNIH1
G611	KPNA3
G612	SERPINB1A
G613	HEMGN
G614	TMEM263
G615	RTP4
G616	ITGA6
G617	PSMD5
G618	ZFP871
G619	ARMT1
G620	AAR2
G621	NSD2
G622	CKS1B
G623	AP1G2
G624	CALCRL
G625	CD82
G626	FZR1
G627	CUL4A
G628	CD63
G629	ANKLE1
G630	D10WSU102E
G631	ATAD2
G632	CELA1
G633	ATL2
G634	SEC23IP
G635	ITFG1
G636	NASP
G637	SVIP
G638	NXPE2
G639	NET1
G640	ICA1
G641	TIE1
G642	TMEM206
G643	HARS2
G644	PLA2G12A
G645	MTHFD1
G646	AHCYL1
G647	AQP9
G648	PROCR
G649	MFSD1
G650	GOLPH3
G651	SNX10
G652	RFC5
G653	MTREX
G654	VAV1
G655	UBE2G2
G656	MOGS
G657	TMX1
G658	TFG
G659	FASTKD2
G660	IGHM
G661	ZFP322A
G662	MBOAT2
G663	ANAPC4
G664	1700006J14RIK
G665	UBA5
G666	PUS7
G667	LIMD2
G668	NUDT4
G669	GSR
G670	PRKCQ
G671	CLIC4
G672	PPP6C
G673	PSAT1
G674	GSTM5
G675	TMEM97
G676	GT(ROSA)26SOR
G677	PSTPIP1
G678	CTTN
G679	ADD2
G680	OTUD6B
G681	GANAB
G682	SLC39A9
G683	RGS1
G684	PKM
G685	MTMR6
G686	TMEM68
G687	CDT1
G688	PIDD1
G689	PTPN12
G690	SLC43A3
G691	SCARF1
G692	NUP85
G693	SUPT7L
G694	ERMAP
G695	RGS19
G696	NSMAF
G697	CHORDC1
G698	HPCAL1
G699	CLN5
G700	UAP1
G701	LSP1
G702	COPG1
G703	RNF213
G704	ZFP655
G705	PRKAR2B
G706	TCP11L2
G707	PSEN1
G708	GIMAP6
G709	ADAMTS10
G710	TOP2A
G711	HUS1
G712	COPB2
G713	USF3
G714	MKI67
G715	ANXA4
G716	MIEF1
G717	ABCB10
G718	DNAJC11
G719	ACSS1
G720	VPS41
G721	RFESD
G722	WDR73
G723	TMUB2
G724	SCFD1
G725	PLAA
G726	BAG2
G727	RNASEL
G728	SNRNP200
G729	WDR4
G730	ICE1
G731	NAPSA
G732	GPR171
G733	TASP1
G734	CD55
G735	TMEM164
G736	RHOT1
G737	PADI4
G738	DRAM2
G739	CORO1A
G740	STOM
G741	FBXO5
G742	GOSR2
G743	CKAP5
G744	VPS33A
G745	RGCC
G746	PJA2
G747	IFRD2
G748	UBR7
G749	SELENOP
G750	PFKM
G751	CALU
G752	UBL4A
G753	CASP3
G754	MIS12
G755	ACAP1
G756	SEPT6
G757	GYPC
G758	NAMPT
G759	CASP2
G760	HNRNPLL
G761	ADGRG3
G762	HEBP1
G763	KLHL24
G764	ANXA2
G765	TBC1D10C
G766	VPS11
G767	TPP1
G768	EXOC3
G769	CCNA2
G770	TRIM30A
G771	CTSE
G772	AW112010
G773	STK25
G774	QARS
G775	9030619P08RIK
G776	ANAPC2
G777	RNF141
G778	CENPO
G779	CEP70
G780	SERPINA3G
G781	ZFP367
G782	STARD10
G783	ZMYM3
G784	MTO1
G785	EPSTI1
G786	TMC6
G787	MEMO1
G788	KLHL23
G789	CHCHD10
G790	CCDC137
G791	ODC1
G792	USP25
G793	VWA5A
G794	NEURL3
G795	PRELID3B
G796	CPOX
G797	TM7SF3
G798	SGPL1
G799	PCP4L1
G800	KLHL6
G801	TGM2
G802	MFSD14B
G803	STX17
G804	L2HGDH
G805	PCYT1A
G806	SQLE
G807	GYG
G808	OSTM1
G809	CARHSP1
G810	PPIC
G811	DNPEP
G812	MORC3
G813	CRYZL2
G814	BUB1
G815	EIF1AD
G816	ENPP4
G817	EIF4ENIF1
G818	CTLA2A
G819	ZFP397
G820	CPT1A
G821	NDEL1
G822	LAP3
G823	PLCG2
G824	GSS
G825	PHACTR2
G826	GM19590
G827	NDOR1
G828	CTSC
G829	TIPIN
G830	SLC35A1
G831	TRMT2A
G832	RPRD1B
G833	FPGS
G834	SDHAF2
G835	GALK2
G836	INKA1
G837	CCNE2
G838	HARS
G839	TBC1D15
G840	IARS
G841	GM8995
G842	ENDOD1
G843	TIMM50
G844	MNDAL
G845	CLDN13
G846	BLVRB
G847	ABHD16A
G848	KNSTRN
G849	SDSL
G850	MAN1A
G851	FEM1A
G852	CSTF2
G853	CHAMP1
G854	UBXN2B
G855	TMEM109
G856	AFG3L2
G857	SLC19A1
G858	COA5
G859	LY6A
G860	BIRC5
G861	RAB37
G862	TFR2
G863	PPP2R1B
G864	BCLAF3
G865	CRK
G866	IPO9
G867	PWWP3A
G868	FBXW5
G869	ALAD
G870	FGFR1OP
G871	NPTN
G872	CENPF
G873	RNF145
G874	TSPO2
G875	STARD7
G876	SLC6A6
G877	RHAG
G878	DNM1L
G879	SASH3
G880	MARCH6
G881	GM15915
G882	CHMP3
G883	MTAP
G884	AQP1
G885	LONP1
G886	FES
G887	USP37
G888	VPS16
G889	PRC1
G890	UTP4
G891	GBP2
G892	TENT5A
G893	SP100
G894	GMCL1
G895	IDH3A
G896	CAR1
G897	ORC6
G898	DOK2
G899	CASP4
G900	TANGO2
G901	POT1A
G902	PQLC1
G903	TBC1D2B
G904	UBA3
G905	GMPR
G906	DUSP1
G907	DDHD2
G908	NAA35
G909	MRPL37
G910	DHFR
G911	ANGPT1
G912	MSH6
G913	EMILIN2
G914	GARS
G915	EMB
G916	GM2A
G917	NUP93
G918	ZFP62
G919	SLC25A45
G920	CAD
G921	B230219D22RIK
G922	GOLT1B
G923	DNAJC10
G924	SLC43A1
G925	DUS1L
G926	SMIM15
G927	ZFP451
G928	2210016F16RIK
G929	GSKIP
G930	LYRM4
G931	CKAP2L
G932	NSDHL
G933	STXBP1
G934	CYTH3
G935	EMILIN1
G936	CDC6
G937	RPA1
G938	NUDT19
G939	THUMPD3
G940	CRNKL1
G941	NPLOC4
G942	CLPX
G943	ESYT2
G944	TAPT1
G945	ATP7B
G946	ERLIN1
G947	ATP11C
G948	POLD1
G949	GATM
G950	MARS
G951	SMIM5
G952	GNPDA1
G953	PPM1H
G954	ERLIN2
G955	PEAR1
G956	RNF115
G957	ZFP35
G958	RHOF
G959	MUC13
G960	EBI3
G961	TVP23B
G962	NUP155
G963	NEK9
G964	RAB31
G965	PCCA
G966	FUCA2
G967	TREML2
G968	DPP8
G969	HPN
G970	SUN1
G971	ZFP266
G972	PPIL4
G973	TUBGCP5
G974	2610301B20RIK
G975	ITIH5
G976	DOCK2
G977	MBTPS1
G978	TERF2IP
G979	CDC7
G980	ZFP930
G981	TOLLIP
G982	SERPINB6B
G983	DENND2D
G984	PLIN2
G985	ADO
G986	PLXNC1
G987	TCIRG1
G988	UBASH3A
G989	MYL10
G990	IFITM1
G991	LPCAT3
G992	PRIM1
G993	ALG11
G994	LPCAT1
G995	MRM1
G996	SPHK1
G997	LRRC14
G998	ARAP1
G999	CERS4
G1000	SLC20A1
G1001	RCSD1
G1002	ANKFY1
G1003	SPC24
G1004	NOL9
G1005	NDE1
G1006	ADK
G1007	CENPE
G1008	TTLL12
G1009	IFI44
G1010	DUSP2
G1011	STX2
G1012	CAMK1
G1013	CMPK2
G1014	CCNB2
G1015	SACM1L
G1016	C330018D20RIK
G1017	TXNRD2
G1018	TMEM176A
G1019	DCK
G1020	CKAP2
G1021	LMBRD1
G1022	ALDH18A1
G1023	ATP2A3
G1024	RNF139
G1025	TNFAIP2
G1026	RANGAP1
G1027	KIF11
G1028	PNO1
G1029	PDCL
G1030	CDK1
G1031	RPA2
G1032	WDR5
G1033	TPX2
G1034	PDK3
G1035	HMMR
G1036	APOE
G1037	RAD21
G1038	NDUFV1
G1039	WDR75
G1040	MARCH5
G1041	POLA2
G1042	MFNG
G1043	ATP6AP2
G1044	USP8
G1045	SERPINF1
G1046	NCAPG
G1047	FADS1
G1048	AP3S1
G1049	CUL2
G1050	OAT
G1051	SLC41A3
G1052	HAUS2
G1053	NOP2
G1054	ATP6AP1
G1055	IFT140
G1056	CTSO
G1057	METAP1D
G1058	TCN2
G1059	MT2
G1060	ST8SIA4
G1061	RANBP3
G1062	YPEL3
G1063	MNS1
G1064	ILVBL
G1065	TOR3A
G1066	WDR36
G1067	APEH
G1068	MAP4K2
G1069	PCYT2
G1070	PIK3R2
G1071	MFSD2B
G1072	TRMT11
G1073	NAA50
G1074	INPP1
G1075	MT1
G1076	KLHL22
G1077	SPNS2
G1078	ALKBH8
G1079	CD74
G1080	SLC22A3
G1081	PWP2
G1082	MARCH8
G1083	LANCL2
G1084	ORC5
G1085	NUDT9
G1086	CSAD
G1087	SGO1
G1088	ABCB8
G1089	GORASP1
G1090	ETF1
G1091	NIT1
G1092	SPC25
G1093	ISG20
G1094	CAPN7
G1095	RDH11
G1096	ABI1
G1097	SLC31A1
G1098	METTL7A1
G1099	RABGGTB
G1100	SHCBP1
G1101	UBR1
G1102	SPIRE1
G1103	HEXA
G1104	SPPL2B
G1105	PITPNB
G1106	CD63-PS
G1107	IGKC
G1108	RHD
G1109	GCNT2
G1110	GSTM1
G1111	ATG16L1
G1112	PLPPR3
G1113	CLCN4
G1114	CIPC
G1115	CHUK
G1116	INPP5B
G1117	GMNN
G1118	GNA13
G1119	CHMP7
G1120	CUL3
G1121	TSPAN3
G1122	MYCT1
G1123	SLC29A1
G1124	DCAF11
G1125	ACOX1
G1126	SERPINB9
G1127	CDCA4
G1128	GMFB
G1129	NAGA
G1130	USP10
G1131	DPH2
G1132	SLC25A38
G1133	TUBGCP3
G1134	DHX33
G1135	XPR1
G1136	CENPL
G1137	VAMP3
G1138	LTB
G1139	SLC25A46
G1140	GDF3
G1141	TBXAS1
G1142	RRM1
G1143	ALDH9A1
G1144	MCM10
G1145	P2RY14
G1146	ISYNA1
G1147	METTL27
G1148	URB2
G1149	WDHD1
G1150	SLC7A4
G1151	ESAM
G1152	PRPS1
G1153	SCRN3
G1154	XK
G1155	GPSM2
G1156	CDCA3
G1157	SLC44A2
G1158	NELFB
G1159	ANXA5
G1160	PTDSS1
G1161	ATG12
G1162	HSPA4L
G1163	PSMD6
G1164	COG6
G1165	STXBP3
G1166	TBC1D20
G1167	CEPT1
G1168	AFAP1L1
G1169	SLC39A10
G1170	FAM136A
G1171	SPRYD4
G1172	CISH
G1173	ARL6IP6
G1174	MCTP1
G1175	2610035D17RIK
G1176	LRRC8C
G1177	DECR1
G1178	GNB4
G1179	RARS
G1180	GRN
G1181	BAP1
G1182	STT3B
G1183	PQLC3
G1184	CTNNA1
G1185	DLST
G1186	IL27RA
G1187	IL21R
G1188	SLC40A1
G1189	G6PDX
G1190	SKAP2
G1191	PHETA2
G1192	LPIN2
G1193	XPNPEP1
G1194	SLC11A2
G1195	PCLAF
G1196	SLC14A1
G1197	ABCB4
G1198	TBCD
G1199	UNC93B1
G1200	THUMPD1
G1201	ANK
G1202	CNP
G1203	PLIN3
