#ID	Name
G0	CNOT6L
G441	TPD52
G442	ATP5O
G443	NDUFAB1
G444	RPL36A
G445	S100A10
G446	ATP6V0C
G447	STXBP3A
G448	SPCS1
G449	TMEM128
G450	PSMA2
G451	TXN2
G452	DBI
G453	GNG10
G454	LDHA
G455	2700060E02RIK
G456	HNRNPC
G457	CD164
G458	ARL8B
G459	MGST1
G460	TXNDC17
G461	IAH1
G462	PSMA1
G463	KRTCAP2
G464	ARL6IP1
G465	S100A13
G466	ATP5L
G467	BLVRA
G468	NHP2
G469	EIF3M
G470	PLIN2
G471	RPS19
G472	ECE2
G473	LSP1
G474	DYNLRB1
G475	GSTO1
G476	RPL41
G477	SEPT11
G478	ERP29
G479	PRELID1
G480	RPS27
G481	CD74
G482	MRPL36
G483	FCGR3
G484	SARNP
G485	PRKCD
G486	NDUFS6
G487	KLK1B11
G488	TNFRSF1B
G489	SNRNP25
G490	SLC25A4
G491	TPM3
G492	NDUFA2
G493	B2M
G494	TMED3
G495	PLEK
G496	POLDIP3
G497	RPL23
G498	AURKAIP1
G499	CYBB
G500	RPLP1
G501	FKBP2
G502	SDHD
G503	TMEM37
G504	ATP5G2
G505	COX5A
G506	HAT1
G507	VPS29
G508	CTSA
G509	SDHB
G510	RPS6
G511	TCP1
G512	MRPL52
G513	MRPS18C
G514	RPS11
G515	HSP90AA1
G516	RPL34
G517	SOD1
G518	NDUFB2
G519	SEC11C
G520	IFI30
G521	TPT1P
G522	CISH
G523	CLAST2
G524	SNRPG
G525	DNAJC8
G526	PIN4
G527	RPS25
G528	CD200R4
G529	MRPS33
G530	1810009A15RIK
G531	SUMO1
G532	CD81
G533	TMEM59
G534	0610031J06RIK
G535	FCF1
G536	PTPRC
G537	NCF1
G538	S100A6
G539	EIF1AX
G540	SELK
G541	ATP5A1
G542	GNB1
G543	DYNC1LI1
G544	TMBIM6
G545	VDAC2
G546	RPL27A
G547	HMOX2
G548	RPL11
G549	MRPL18
G550	NDUFA8
G551	DNAJC15
G552	RPL4
G553	CYBA
G554	TSPO
G555	MRPL30
G556	SIRPA
G557	ITGB2
G558	RPL7
G559	EIF3K
G560	MALAT1
G561	PRDX4
G562	ALAS1
G563	SRI
G564	MTHFS
G565	HMGB1
G566	POMP
G567	CCL9
G568	EVI2A
G569	1810033B17RIK
G570	APLP2
G571	HSD17B10
G572	CLEC7A
G573	1810013D10RIK
G574	CXCL2
G575	MRPL23
G576	LXN
G577	NDUFV2
G578	PPP1CA
G579	SKAP2
G580	COX5B
G581	IL1R2
G582	TRAM1
G583	NDUFS3
G584	ETFA
G585	FTH1
G586	GM6635
G587	RILPL2
G588	CCL3
G589	CDK2AP2
G590	RPL35
G591	MRC1
G592	TOMM22
G593	PSMB2
G594	TBCA
G595	ECH1
G596	MORF4L1
G597	BC056474
G598	GPNMB
G599	PSMB10
G600	BANF1
G601	SNRPD2
G602	GSTM1
G603	HSP90AB1
G604	RPS7
G605	CTSH
G606	EIF3E
G607	CACYBP
G608	TBRG1
G609	PRDX1
G610	TUBA1C
G611	MDH2
G612	MS4A6D
G613	CNDP2
G614	PSAP
G615	LRPAP1
G616	SHISA5
G617	PECI
G618	MSN
G619	LAMP2
G620	CD36
G621	RPS16
G622	ATP5C1
G623	RPL7A
G624	BZW1
G625	PTGES3
G626	NDUFA4
G627	AF251705
G628	AI413582
G629	SAMHD1
G630	RPL32
G631	UQCRC1
G632	UQCR11
G633	PDZD11
G634	CXCL16
G635	RPL28
G636	SOD2
G637	TNIP3
G638	TMEM49
G639	TPT1
G640	NINJ1
G641	ATP1B3
G642	LILRB4
G643	HSPA5
G644	CKS1B
G645	FTL2
G646	UQCRB
G647	TMSB4X
G648	TOMM5
G649	SHFM1
G650	ARF4
G651	CIB1
G652	FXYD5
G653	DNAJC19
G654	ANXA4
G655	PLAUR
G656	IQGAP1
G657	ATP6V0E
G658	ENO1
G659	RPS27L
G660	CORO1B
G661	COMMD6
G662	RHOA
G663	AK008866
G664	FCGR2B
G665	RPL5
G666	IDH3B
G667	FDPS
G668	TSPAN31
G669	SF3B5
G670	SRA1
G671	RPL38
G672	INSL6
G673	ACLY
G674	TANK
G675	SP100
G676	LAMP1
G677	CD52
G678	2310016M24RIK
G679	PLA2G7
G680	RPSA
G681	PGK1
G682	GM11428
G683	CCDC109B
G684	MRPL55
G685	AP2S1
G686	PGD
G687	MAPKSP1
G688	LILRB3
G689	TNFAIP2
G690	TFEC
G691	BLVRB
G692	IDH1
G693	2900010M23RIK
G694	NCK1
G695	RPS12
G696	LAPTM5
G697	H3F3A
G698	PSMD14
G699	TRIM30A
G700	ITGAX
G701	DNASE1L1
G702	POLD4
G703	CALM1
G704	ATP6V0B
G705	GGH
G706	ANXA1
G707	WDR1
G708	GBP6
G709	SDCBP
G710	CCDC72
G711	SLC39A1
G712	COX7A2
G713	MTPN
G714	NHP2L1
G715	CD9
G716	PSMA5
G717	SGK1
G718	SSU72
G719	PSMC4
G720	SLC25A5
G721	SSR4
G722	NRAS
G723	TMBIM4
G724	ACTR2
G725	RPS3A
G726	CRIPT
G727	0610009D07RIK
G728	SPAG7
G729	NDUFB6
G730	EEF1B2
G731	CCT3
G732	RAB8B
G733	2310016C08RIK
G734	ESD
G735	SNX10
G736	IER3
G737	IFI27L2A
G738	PRR13
G739	CLIC1
G740	RNASEK
G741	MRPL14
G742	MKIAA4114
G743	LYZ1
G744	CREG1
G745	PSMB1
G746	BRP44L
G747	BOLA2
G748	PLK2
G749	SLC35B1
G750	NDUFB8
G751	NEDD8
G752	ERGIC3
G753	AK185681
G754	COMMD3
G755	ERH
G756	RGS1
G757	COMMD1
G758	PDHB
G759	GSTP1
G760	MGST3
G761	AA467197
G762	CTSS
G763	CD300LF
G764	IL1A
G765	MRPS16
G766	LIPA
G767	MAP1LC3B
G768	ATP5B
G769	ELOVL1
G770	FCRLS
G771	PTP4A2
G772	NDUFB5
G773	NAP1L1
G774	GM2382
G775	ACTB
G776	CD84
G777	CCNL1
G778	CHI3L3
G779	TUBA1B
G780	HK2
G781	DAP
G782	FAM32A
G783	SSR2
G784	TCF25
G785	CASP1
G786	DPY30
G787	CST3
G788	ATP6V1C1
G789	GM2A
G790	PLBD1
G791	DPM2
G792	MED10
G793	CD53
G794	PRDX3
G795	VPS25
G796	PTTG1IP
G797	TALDO1
G798	TYROBP
G799	SIRPB1B
G800	MMP12
G801	ACOT13
G802	RPL37A
G803	ANXA3
G804	PDCD10
G805	HBXIP
G806	3110003A17RIK
G807	1110002B05RIK
G808	2810417H13RIK
G809	SEPT7
G810	SNX3
G811	MRPL54
G812	CALR
G813	LGALS3BP
G814	TMSB10
G815	ALDOC
G816	NPM1
G817	STARD3NL
G818	CCR2
G819	NDUFA13
G820	RPS13
G821	IFITM2
G822	H2-AB1
G823	PSMB5
G824	DENR
G825	NACA
G826	NDUFS7
G827	CCL17
G828	TMEM147
G829	BC028528
G830	RNF7
G831	RPL35A
G832	NAPSA
G833	FABP4
G834	MPEG1
G835	LSM7
G836	TREX1
G837	CAPG
G838	CNBP
G839	GPX1
G840	H47
G841	UBA52
G842	CFP
G843	DERP6
G844	ACOT7
G845	PGAM1
G846	NAAA
G847	ZBTB8OS
G848	SKP1A
G849	SDHC
G850	EIF4E
G851	LGALS9
G852	RENBP
G853	RPLP0
G854	TBXAS1
G855	PFN1
G856	1500003O03RIK
G857	NDUFA7
G858	CKLF
G859	SNRPE
G860	IL1B
G861	GUSB
G862	SLC7A11
G863	TAPBP
G864	1810046J19RIK
G865	GRCC10
G866	BLOC1S1
G867	CCT8
G868	HN1
G869	LYZ2
G870	RPL10A
G871	MEA1
G872	YWHAH
G873	ZFAND6
G874	RPL13A-PS1
G875	CD63
G876	TIMM10
G877	COPZ1
G878	NDUFB9
G879	NDUFC2
G880	PMP22
G881	CTSD
G882	VAPA
G883	MBNL1
G884	BUD31
G885	TMEM208
G886	H3F3B
G887	TXN1
G888	GM10653
G889	NPTN
G890	MRPS36
G891	PLD3
G892	SH3BGRL3
G893	TRAPPC2L
G894	QDPR
G895	CORO1A
G896	HEXA
G897	GOLT1B
G898	TFG
G899	TWF1
G900	NDUFA10
G901	PRDX6
G902	NDUFB11
G903	RPL8
G904	AP2M1
G905	2900073G15RIK
G906	1500032L24RIK
G907	ABCG1
G908	RPS18
G909	PRPF40A
G910	RASSF4
G911	HMGN2
G912	FABP5
G913	DPEP2
G914	CFL1
G915	EIF3H
G916	RPS29
G917	PSMC5
G918	NCF4
G919	GMFG
G920	DYNLL1
G921	ZYX
G922	CHMP2A
G923	CSTB
G924	NDUFV3
G925	PNP
G926	NPC2
G927	CCL4
G928	HPCAL1
G929	ARPC2
G930	ASAH1
G931	SEPW1
G932	ATP5K
G933	SEC61G
G934	SON
G935	PFDN5
G936	ATP5E
G937	PSMD7
G938	NDUFB3
G939	NDUFB10
G940	FAM162A
G941	HERPUD1
G942	CCL6
G943	MARCKS
G944	CNIH
G945	RNF181
G946	MRPL33
G947	VIM
G948	LEPROT
G949	EIF4A1
G950	FIS1
G951	EAR11
G952	PSMB6
G953	EIF1
G954	LAT2
G955	COX7B
G956	EEF1G
G957	STRA13
G958	NDUFS5
G959	MRPL42
G960	ATP5H
G961	PSMB3
G962	SERINC1
G963	RNASET2A
G964	CD68
G965	NDUFA5
G966	F10
G967	SQSTM1
G968	SDF2
G969	PSMA6
G970	GNGT2
G971	MT1
G972	NDUFB7
G973	CHMP5
G974	SBDS
G975	CTSZ
G976	COX6A1
G977	DOK2
G978	RPL12
G979	S100A4
G980	DQ539915
G981	DHRS3
G982	PSMA4
G983	BCL2A1B
G984	2510006D16RIK
G985	CSNK2B
G986	DNAJB6
G987	UBE2L6
G988	RPS15
G989	RPL26
G990	YWHAQ
G991	HSD17B12
G992	PEBP1
G993	ARF1
G994	ATP6V1D
G995	SLAMF9
G996	EMB
G997	CHURC1
G998	SLC15A3
G999	CTNNA1
G1000	RPL9
G1001	ACTG1
G1002	VPS28
G1003	CLEC4D
G1004	ETFB
G1005	TMEM219
G1006	CAPZB
G1007	SRGN
G1008	MRPL20
G1009	ATPIF1
G1010	DPYSL2
G1011	PILRA
G1012	SLFN2
G1013	BIRC5
G1014	LY86
G1015	NXF1
G1016	ACTR3
G1017	UQCRFS1
G1018	TIMM8B
G1019	FCER1G
G1020	N6AMT2
G1021	PSMC3
G1022	CTSC
G1023	RPL14
G1024	PSMA3
G1025	CLTA
G1026	CDKN1A
G1027	CXCL1
G1028	LGALS1
G1029	TPM4
G1030	RAB7
G1031	FAM96A
G1032	AKR1A4
G1033	TPI1
G1034	C1QB
G1035	TAGLN2
G1036	COX6B1
G1037	MGL2
G1038	RSU1
G1039	AK042010
G1040	HNRNPA2B1
G1041	SEPT2
G1042	SPP1
G1043	COPE1
G1044	PSMC6
G1045	AK204443
G1046	H2-AA
G1047	TMED2
G1048	RPS3
G1049	APRT
G1050	ATP5J
G1051	ATP5G1
G1052	UCP2
G1053	M6PR
G1054	CWC15
G1055	TNFSF9
G1056	BCL2A1A
G1057	YWHAZ
G1058	GRN
G1059	GABARAP
G1060	AK2
G1061	LSMD1
G1062	TCIRG1
G1063	REXO2
G1064	SLC2A6
G1065	RAB32
G1066	CCT5
G1067	2410015M20RIK
G1068	PARL
G1069	SSR3
G1070	TMEM14C
G1071	HSP90B1
G1072	GM15450
G1073	SUCLG1
G1074	LSM3
G1075	YWHAE
G1076	RPS20
G1077	IL1RN
G1078	RPL30
G1079	PLD4
G1080	SSNA1
G1081	SLC38A6
G1082	OSTF1
G1083	3230401D17RIK
G1084	LCP1
G1085	PKM2
G1086	PDPN
G1087	ANXA2
G1088	MYEOV2
G1089	RAB1
G1090	RPL36
G1091	HINT1
G1092	DSTN
G1093	SEC61B
G1094	HIST1H2BC
G1095	CALM2
G1096	SSR1
G1097	AK177731
G1098	PDCD5
G1099	GADD45B
G1100	H2-EB1
G1101	RPS28
G1102	CTSB
G1103	RPL39
G1104	D8ERTD738E
G1105	RPL3
G1106	H2-DMB1
G1107	CYTIP
G1108	ATP6V1G1
G1109	RNASE6
G1110	UBB
G1111	SLC3A2
G1112	TMEM179B
G1113	CYB5
G1114	GPX4
G1115	COX7A2L
G1116	CCRL2
G1117	CTSL
G1118	DAD1
G1119	CUTA
G1120	5033414D02RIK
G1121	EEF1A1
G1122	YPEL5
G1123	RANBP1
G1124	ZWINT
G1125	CHCHD2
G1126	H2-DMA
G1127	RPS17
G1128	PPP2R5C
G1129	CAPNS1
G1130	TECR
G1131	ATP6V1F
G1132	MALT1
G1133	1810006K21RIK
G1134	HNRNPF
G1135	S100A11
G1136	PPIA
G1137	ATP6AP2
G1138	UBE2D3
G1139	EIF5A
G1140	SAR1B
G1141	HPRT
G1142	TIMM17A
G1143	OSTC
G1144	IMMT
G1145	RAC2
G1146	NSMCE2
G1147	SLAMF7
G1148	2900064A13RIK
G1149	UFC1
G1150	SLIRP
G1151	CHCHD1
G1152	FAM195B
G1153	CD200R1
G1154	RAP1B
G1155	CCT4
G1156	LITAF
G1157	RPS27A
G1158	PTP4A1
G1159	ATP5D
G1160	ARPC5
G1161	1100001G20RIK
G1162	PTS
G1163	PPIB
G1164	H2-D1
G1165	PSMB8
G1166	NDUFC1
G1167	ITM2B
G1168	CLK1
G1169	CLEC4E
G1170	PSENEN
G1171	GNG5
G1172	NME1
G1173	SUGT1
G1174	RGS10
G1175	PTMA
G1176	SNAP23
G1177	RPLP2
G1178	NDUFA12
G1179	ATOX1
G1180	PSME1
G1181	ATP6V1B2
G1182	CD24A
G1183	LGMN
G1184	P4HB
G1185	2310003F16RIK
G1186	GLT25D1
G1187	COX4I1
G1188	TSPAN3
G1189	RPL23A
G1190	SEP15
G1191	PDIA6
G1192	P2RY14
G1193	CCT2
G1194	IFRD1
G1195	TREM2
G1196	AK172428
G1197	GOLGA7
G1198	ANXA5
G1199	MRPL27
G1200	GUK1
G1201	BIRC6
G1202	S100A1
G1203	USMG5
G1204	NDUFB4
G1205	UQCR10
G1206	RPL27
G1207	TM7SF4
G1208	NAMPT
G1209	MORF4L2
G1210	CLEC4A2
G1211	MSR1
G1212	D17WSU104E
G1213	RPS10
G1214	BCAP31
G1215	NDUFA1
G1216	ASS1
G1217	1810037I17RIK
G1218	TMEM85
G1219	PSMD8
G1220	RNH1
G1221	SDC4
G1222	NAA20
G1223	ACTN1
G1224	RPL22L1
G1225	PGAP2
G1226	CLIC4
G1227	GLIPR1
G1228	1110004F10RIK
G1229	AXL
G1230	IFITM3
G1231	SNX6
G1232	PDIA3
G1233	CAPZA1
G1234	LY6E
G1235	EMP3
G1236	IL7R
G1237	PSMC1
G1238	RPL18A
G1239	PSME2
G1240	RPS14
G1241	TRA2B
G1242	RBM7
G1243	STMN1
G1244	MIF
G1245	CLEC4B1
G1246	HIGD2A
G1247	CLEC4N
G1248	PABPC1
G1249	NAGA
G1250	CD83
G1251	RBM3
G1252	SC4MOL
G1253	DUSP1
G1254	APOA1BP
G1255	CCDC53
G1256	PSMB7
G1257	TBCB
G1258	ATP6V0D1
G1259	COX6C
G1260	PTPN2
G1261	PARK7
G1262	H2-T23
G1263	UBC
G1264	RPL10
G1265	RPS26
G1266	AKR1B3
G1267	HSPA8
G1268	2400001E08RIK
G1269	BST2
G1270	PSMA7
G1271	LGALS3
G1272	EIF3I
G1273	SNX5
G1274	MRPS18A
G1275	CLDND1
G1276	IGSF6
G1277	RPL24
G1278	PSMB4
G1279	MYL6
G1280	CRIP1
G1281	LRRC33
G1282	TUBB6
G1283	CCDC56
G1284	COMMD4
G1285	RPS9
G1286	CAPZA2
G1287	COX17
G1288	SAT1
G1289	ALDOA
G1290	2010107E04RIK
G1291	SRP19
G1292	COPS6
G1293	CD47
G1294	OAZ1
G1295	1810027O10RIK
G1296	MYL12B
G1297	GABARAPL2
G1298	TRAPPC1
G1299	RPS21
G1300	IDH3G
G1301	GPR137B-PS
G1302	CD274
G1303	CD302
G1304	4933434E20RIK
G1305	6720456B07RIK
G1306	GLRX
G1307	GAS5
G1308	CCDC12
G1309	FKBP1A
G1310	UQCRH
G1311	SNX2
G1312	CFDP1
G1313	SIDT2
G1314	RPL17
G1315	RPL21
G1316	PSMB9
G1317	ALOX5AP
G1318	RPL15
G1319	RPL37
G1320	AIF1
