#ID	Name
G0	RUNX1T1
G151	MN1
G152	NKG7
G153	TUBB4B
G154	OBSL1
G155	TBXAS1
G156	SELPLG
G157	EFNA1
G158	ITGAM
G159	GOLM1
G160	SPC24
G161	PRR5
G162	PLEK
G163	ITGAL
G164	GRAMD1A
G165	CORO7
G166	GIMAP3
G167	GUCY1A1
G168	N4BP3
G169	ME2
G170	ARHGEF39
G171	AMPD2
G172	IFI206
G173	SLC16A10
G174	CCDC112
G175	PRSS57
G176	RAG2
G177	ITSN1
G178	TRPC6
G179	ITGB7
G180	LY9
G181	C230085N15RIK
G182	COQ8A
G183	SOCS2
G184	TMEM37
G185	ARPP21
G186	PLPPR3
G187	AFF3
G188	CREG1
G189	GIMAP4
G190	LDHD
G191	FCRL1
G192	PPCDC
G193	CISH
G194	SLC22A3
G195	DENND2D
G196	EBI3
G197	FLNA
G198	RAMP1
G199	FAM110C
G200	PLSCR4
G201	FUT8
G202	AFDN
G203	KLHL4
G204	IFI213
G205	IL1R1
G206	CD69
G207	PF4
G208	IL18RAP
G209	EPSTI1
G210	TIPIN
G211	CIPC
G212	F11R
G213	TTC39B
G214	PPP1R15A
G215	TGM2
G216	SELENOP
G217	RNF38
G218	ARRDC4
G219	RBPMS
G220	NUDT19
G221	NT5C3
G222	OTUB2
G223	CD244A
G224	MPZL1
G225	TBC1D5
G226	SERP1
G227	SELL
G228	PECAM1
G229	ART4
G230	EMB
G231	ITGA6
G232	ITGB5
G233	DOCK11
G234	IGHM
G235	JPT1
G236	GM20342
G237	SERPINA3F
G238	SLC16A11
G239	CERS4
G240	PEAR1
G241	UAP1L1
G242	MAN1A
G243	ARHGEF18
G244	UPP1
G245	UBA7
G246	GSTT1
G247	KIF17
G248	SLFN2
G249	E430014B02RIK
G250	5430427O19RIK
G251	ACAP1
G252	ALDH1A1
G253	GIMAP1
G254	FGD5
G255	POLA2
G256	CFP
G257	GIMAP5
G258	DPP4
G259	CD44
G260	DOK2
G261	CCNG2
G262	GBP9
G263	BCL2
G264	RGS19
G265	ANGPT1
G266	PRIM1
G267	LAX1
G268	TRIM16
G269	H2-Q6
G270	OSGIN1
G271	PRPS2
G272	ZMIZ1
G273	CTTN
G274	SPNS3
G275	IGHV1-77
G276	CPXM1
G277	CAPG
G278	NSMF
G279	ST8SIA4
G280	DEF8
G281	SLAMF1
G282	ARHGAP18
G283	TYROBP
G284	NEAT1
G285	UBASH3A
G286	NAV1
G287	UNC93B1
G288	HID1
G289	SLC2A3
G290	ICA1
G291	TRAF1
G292	ENPP5
G293	SNAP47
G294	GPR171
G295	D630039A03RIK
G296	SP100
G297	FAM171A1
G298	TMEM206
G299	RFTN1
G300	ADSSL1
G301	TRIM47
G302	PYGL
G303	IRAK3
G304	RHOH
G305	LTB
G306	SERPINB6A
G307	DTL
G308	TES
G309	LRRC8C
G310	SIGLECG
G311	KRT18
G312	2810468N07RIK
G313	BTLA
G314	NCEH1
G315	TNFAIP2
G316	ANKRD33B
G317	ANXA2
G318	TINAGL1
G319	KCNK5
G320	GSTM1
G321	VAV3
G322	MYO5A
G323	IL18BP
G324	PAG1
G325	CD74
G326	KAZALD1
G327	GM4951
G328	SDSL
G329	SERPINA3G
G330	MAGED1
G331	TM6SF1
G332	WLS
G333	CAV2
G334	VAMP1
G335	2610307P16RIK
G336	TSPAN2
G337	ZNRF2
G338	RANBP1
G339	SLC29A1
G340	ABCG3
G341	GM4759
G342	P2RY14
G343	SDC1
G344	FRMD6
G345	SSH2
G346	SGMS1
G347	SULT1A1
G348	EMP1
G349	NWD1
G350	LAG3
G351	PLIN3
G352	GM45837
G353	FADS1
G354	ZFP367
G355	CTSF
G356	CDK18
G357	TMEM268
G358	GBP4
G359	CTSH
G360	9030619P08RIK
G361	ARHGAP15
G362	FKBP9
G363	SLC9A9
G364	TLR7
G365	HACD4
G366	COL4A1
G367	FUT7
G368	CRIP1
G369	PKN3
G370	HAAO
G371	CD63
G372	NEURL3
G373	BC035044
G374	SLC26A11
G375	JAM3
G376	LACTB
G377	TPM4
G378	AC174780.1
G379	TRIM59
G380	FDFT1
G381	RP2
G382	RASSF2
G383	ATP8B4
G384	VLDLR
G385	TMEM246
G386	CD48
G387	LHCGR
G388	GBP2
G389	NCAPD2
G390	PDE1B
G391	CTSS
G392	DYNLL1
G393	NHP2
G394	4833407H14RIK
G395	PARP8
G396	MYCT1
G397	SERPINF1
G398	TRPV2
G399	CTSB
G400	S100A6
G401	NCF1
G402	ITPR2
G403	CAMK1D
G404	TEK
G405	MAMDC2
G406	RNASE6
G407	MMRN1
G408	LSP1
G409	GIMAP8
G410	CSF3R
G411	ROBO4
G412	JCHAIN
G413	GIMAP1OS
G414	GM5111
G415	ESAM
G416	RAB38
G417	PARVG
G418	GAS2L3
G419	ANKRD44
G420	SLC18A2
G421	C130089K02RIK
G422	SLC39A6
G423	ZFP422
G424	SLBP
G425	PRUNE2
G426	PAQR5
G427	F630028O10RIK
G428	UBE2L6
G429	CADPS2
G430	CDK17
G431	ABCG2
G432	METTL7A1
G433	GM10384
G434	CDKN1C
G435	PDZK1IP1
G436	MYLK
G437	RAB27B
G438	SYTL1
G439	HSD3B7
G440	TMEM14C
G441	TIE1
G442	CCR7
G443	DOCK10
G444	LGALS1
G445	PTGS1
G446	GPR65
G447	CCT2
G448	MPO
G449	PAFAH2
G450	CTNNAL1
G451	PLAC8
G452	F2R
G453	KBTBD11
G454	ZFP62
G455	CSGALNACT1
G456	GMNN
G457	CD34
G458	IFI209
G459	SLA
G460	MPL
G461	CD93
G462	CTSG
G463	GGT5
G464	CD53
G465	BPIFC
G466	TFR2
G467	CTSW
G468	ITM2A
G469	DDX4
G470	WFDC2
G471	GNG11
G472	ADGRG3
G473	PLXDC2
G474	CTSL
G475	9530082P21RIK
G476	SH2D5
G477	RNF125
G478	SSTR2
G479	TAPT1
G480	CASP12
G481	CCL3
G482	ENG
G483	TMEM123
G484	C1RL
G485	CDK19
G486	GNG2
G487	BGN
G488	H2-DMA
G489	OTULINL
G490	FCGRT
G491	MOGS
G492	BLNK
G493	DNTT
G494	IFI27L2A
G495	EVI2A
G496	PRNP
G497	GDF3
G498	CKS1B
G499	TMEM173
G500	OAS2
G501	GM2A
G502	WFDC18
G503	IPCEF1
G504	CPQ
G505	ARL11
G506	APP
G507	IL10RA
G508	SLC18A1
G509	VAMP5
G510	CD33
G511	PKIB
G512	SYK
G513	IL17RA
G514	ARID5A
G515	AI504432
G516	PTP4A3
G517	TBXA2R
G518	SLC39A13
G519	WFDC17
G520	LGMN
G521	ARHGAP27
G522	RASA4
G523	COL4A2
G524	MILR1
G525	GM11346
G526	TNS2
G527	MGAT1
G528	TXNIP
G529	SCARF1
G530	MCTP2
G531	SAMSN1
G532	TSPAN3
G533	GGTA1
G534	OBSCN
G535	CDT1
G536	IL12A
G537	CCL9
G538	PIRB
G539	PGRMC1
G540	P2RX1
G541	ABHD17B
G542	VEGFC
G543	APOE
G544	IGFBP4
G545	IGHV1-82
G546	CD52
G547	AP1S2
G548	RHOF
G549	RRAS
G550	PROCR
G551	IGHV1-81
G552	CD9
G553	C030034L19RIK
G554	TOP2A
G555	KCTD12
G556	MKI67
G557	SMPDL3A
G558	UHRF1
G559	CHRNB1
