#ID,TF,index
0,172,344
270,122,332
271,332,158
272,158,332
273,332,361
274,361,332
275,332,115
276,115,332
277,332,304
278,304,332
279,332,233
280,233,332
281,332,108
282,108,332
283,332,306
284,306,332
285,332,817
286,332,120
287,120,332
288,332,78
289,78,332
290,332,403
291,403,332
292,332,142
293,142,332
294,332,141
295,141,332
296,332,188
297,188,332
298,332,173
299,173,332
300,332,324
301,324,332
302,332,146
303,146,332
304,332,82
305,82,332
306,332,285
307,285,332
308,332,749
309,332,211
310,211,332
311,332,275
312,275,332
313,332,101
314,101,332
315,332,288
316,288,332
317,332,130
318,130,332
319,332,355
320,355,332
321,332,248
322,248,332
323,332,132
324,132,332
325,332,199
326,199,332
327,332,60
328,60,332
329,332,296
330,296,332
331,332,200
332,200,332
333,332,408
334,408,332
335,332,136
336,136,332
337,332,180
338,180,332
339,332,249
340,249,332
341,332,400
342,400,332
343,332,20
344,20,332
345,332,314
346,314,332
347,332,228
348,228,332
349,332,347
350,347,332
351,332,128
352,128,332
353,332,654
354,332,370
355,370,332
356,332,333
357,333,332
358,332,247
359,247,332
360,332,148
361,148,332
362,32,168
363,168,32
364,32,114
365,114,32
366,32,119
367,119,32
368,32,300
369,300,32
370,32,532
371,32,342
372,342,32
373,32,149
374,149,32
375,32,584
376,32,438
377,32,593
378,32,494
379,32,316
380,316,32
381,32,189
382,189,32
383,32,607
384,32,380
385,380,32
386,32,165
387,165,32
388,32,579
389,38,155
390,155,38
391,68,869
392,158,523
393,375,523
394,125,523
395,307,523
396,367,523
397,205,523
398,246,523
399,79,379
400,379,79
401,79,289
402,289,79
403,79,274
404,274,79
405,79,115
406,115,79
407,79,409
408,409,79
409,79,265
410,265,79
411,79,102
412,102,79
413,79,237
414,237,79
415,79,561
416,79,417
417,79,535
418,79,149
419,149,79
420,79,337
421,337,79
422,79,197
423,197,79
424,79,85
425,85,79
426,79,21
427,21,79
428,79,0
429,0,79
430,79,373
431,373,79
432,79,399
433,399,79
434,79,218
435,218,79
436,79,194
437,194,79
438,79,10
439,10,79
440,79,831
441,79,64
442,64,79
443,79,189
444,189,79
445,79,9
446,9,79
447,79,384
448,384,79
449,79,343
450,343,79
451,79,355
452,355,79
453,79,110
454,110,79
455,79,261
456,261,79
457,79,753
458,79,380
459,380,79
460,79,450
461,79,55
462,55,79
463,79,351
464,351,79
465,79,190
466,190,79
467,79,347
468,347,79
469,79,360
470,360,79
471,267,736
472,13,736
473,313,736
474,141,232
475,232,141
476,141,107
477,107,141
478,141,785
479,141,281
480,281,141
481,141,300
482,300,141
483,141,173
484,173,141
485,141,746
486,141,101
487,101,141
488,141,14
489,14,141
490,141,109
491,109,141
492,141,859
493,141,129
494,129,141
495,141,382
496,382,141
497,141,352
498,352,141
499,141,149
500,149,141
501,141,126
502,126,141
503,141,122
504,122,141
505,141,404
506,404,141
507,141,292
508,292,141
509,141,399
510,399,141
511,141,99
512,99,141
513,141,142
514,142,141
515,141,9
516,9,141
517,141,253
518,253,141
519,141,315
520,315,141
521,141,336
522,336,141
523,141,355
524,355,141
525,141,321
526,321,141
527,141,366
528,366,141
529,141,60
530,60,141
531,141,380
532,380,141
533,141,106
534,106,141
535,141,296
536,296,141
537,141,190
538,190,141
539,141,338
540,338,141
541,141,148
542,148,141
543,194,486
544,10,486
545,95,330
546,330,95
547,95,14
548,14,95
549,95,126
550,126,95
551,95,144
552,144,95
553,95,99
554,99,95
555,95,355
556,355,95
557,323,150
558,150,323
559,323,135
560,135,323
561,258,63
562,63,258
563,258,114
564,114,258
565,258,104
566,104,258
567,258,833
568,258,399
569,399,258
570,258,67
571,67,258
572,258,64
573,64,258
574,258,365
575,365,258
576,258,94
577,94,258
578,258,384
579,384,258
580,258,800
581,258,6
582,6,258
583,258,55
584,55,258
585,258,351
586,351,258
587,258,383
588,383,258
589,258,148
590,148,258
591,10,852
592,189,852
593,205,458
594,205,158
595,158,205
596,205,375
597,375,205
598,205,125
599,125,205
600,205,669
601,205,504
602,205,823
603,205,307
604,307,205
605,205,367
606,367,205
607,205,828
608,205,483
609,205,246
610,246,205
611,225,487
612,408,348
613,348,408
614,408,122
615,122,408
616,408,115
617,115,408
618,408,233
619,233,408
620,408,78
621,78,408
622,408,142
623,142,408
624,408,101
625,101,408
626,408,22
627,22,408
628,408,60
629,60,408
630,408,296
631,296,408
632,408,400
633,400,408
634,408,247
635,247,408
636,408,148
637,148,408
638,100,194
639,194,100
640,100,343
641,343,100
642,24,90
643,90,24
644,24,33
645,33,24
646,24,306
647,306,24
648,24,173
649,173,24
650,24,199
651,199,24
652,24,345
653,345,24
654,337,50
655,50,337
656,337,179
657,179,337
658,337,570
659,337,281
660,281,337
661,337,104
662,104,337
663,337,248
664,248,337
665,337,149
666,149,337
667,337,0
668,0,337
669,337,399
670,399,337
671,337,250
672,250,337
673,337,189
674,189,337
675,337,135
676,135,337
677,337,118
678,118,337
679,337,311
680,311,337
681,337,380
682,380,337
683,337,190
684,190,337
685,337,347
686,347,337
687,337,421
688,54,399
689,399,54
690,54,61
691,61,54
692,6,461
693,365,114
694,114,365
695,365,281
696,281,365
697,365,87
698,87,365
699,365,584
700,365,438
701,365,399
702,399,365
703,365,67
704,67,365
705,365,9
706,9,365
707,365,355
708,355,365
709,365,321
710,321,365
711,365,380
712,380,365
713,365,317
714,317,365
715,365,190
716,190,365
717,370,289
718,289,370
719,370,595
720,370,108
721,108,370
722,370,120
723,120,370
724,370,285
725,285,370
726,370,275
727,275,370
728,370,101
729,101,370
730,370,41
731,41,370
732,370,130
733,130,370
734,370,128
735,128,370
736,370,333
737,333,370
738,370,122
739,122,370
740,370,361
741,361,370
742,370,879
743,370,403
744,403,370
745,370,142
746,142,370
747,370,82
748,82,370
749,370,288
750,288,370
751,370,132
752,132,370
753,370,60
754,60,370
755,370,296
756,296,370
757,370,136
758,136,370
759,370,20
760,20,370
761,370,148
762,148,370
763,281,399
764,399,281
765,281,250
766,250,281
767,281,300
768,300,281
769,281,392
770,392,281
771,281,189
772,189,281
773,281,9
774,9,281
775,281,118
776,118,281
777,281,377
778,377,281
779,281,355
780,355,281
781,281,248
782,248,281
783,281,110
784,110,281
785,281,380
786,380,281
787,281,106
788,106,281
789,281,190
790,190,281
791,281,149
792,149,281
793,281,584
794,281,347
795,347,281
796,281,421
797,281,438
798,281,85
799,85,281
800,69,399
801,399,69
802,69,110
803,110,69
804,69,149
805,149,69
806,69,219
807,219,69
808,104,571
809,104,179
810,179,104
811,104,570
812,104,399
813,399,104
814,104,64
815,64,104
816,104,195
817,195,104
818,104,61
819,61,104
820,104,191
821,191,104
822,104,384
823,384,104
824,104,474
825,104,244
826,244,104
827,104,380
828,380,104
829,104,290
830,290,104
831,104,487
832,104,148
833,148,104
834,104,628
835,292,150
836,150,292
837,292,685
838,292,888
839,292,688
840,292,182
841,182,292
842,292,300
843,300,292
844,292,532
845,292,342
846,342,292
847,292,602
848,292,14
849,14,292
850,292,278
851,278,292
852,292,535
853,292,129
854,129,292
855,292,149
856,149,292
857,292,126
858,126,292
859,292,284
860,284,292
861,292,438
862,292,527
863,292,593
864,292,897
865,292,373
866,373,292
867,292,144
868,144,292
869,292,546
870,292,410
871,292,9
872,9,292
873,292,3
874,3,292
875,292,336
876,336,292
877,292,355
878,355,292
879,292,110
880,110,292
881,292,607
882,292,366
883,366,292
884,292,611
885,292,380
886,380,292
887,292,165
888,165,292
889,292,700
890,292,715
891,292,681
892,292,579
893,292,49
894,49,292
895,313,737
896,237,737
897,210,737
898,266,737
899,360,737
900,267,567
901,313,567
902,21,567
903,91,567
904,13,567
905,210,567
906,213,567
907,266,567
908,347,567
909,201,567
910,174,817
911,174,59
912,59,174
913,174,442
914,174,317
915,317,174
916,331,371
917,371,331
918,50,6
919,6,50
920,371,301
921,301,371
922,371,269
923,269,371
924,371,563
925,371,378
926,378,371
927,371,283
928,283,371
929,371,29
930,29,371
931,371,177
932,177,371
933,371,399
934,399,371
935,371,194
936,194,371
937,371,372
938,372,371
939,371,9
940,9,371
941,371,291
942,291,371
943,371,220
944,220,371
945,371,302
946,302,371
947,371,257
948,257,371
949,307,425
950,21,411
951,267,411
952,13,411
953,313,411
954,213,411
955,266,411
956,201,411
957,136,289
958,289,136
959,136,122
960,122,136
961,136,361
962,361,136
963,136,234
964,234,136
965,136,108
966,108,136
967,136,120
968,120,136
969,136,403
970,403,136
971,136,142
972,142,136
973,136,82
974,82,136
975,136,285
976,285,136
977,136,275
978,275,136
979,136,101
980,101,136
981,136,288
982,288,136
983,136,41
984,41,136
985,136,130
986,130,136
987,136,132
988,132,136
989,136,60
990,60,136
991,136,296
992,296,136
993,136,254
994,254,136
995,136,20
996,20,136
997,136,128
998,128,136
999,136,333
1000,333,136
1001,136,148
1002,148,136
1003,64,409
1004,409,64
1005,64,102
1006,102,64
1007,64,229
1008,229,64
1009,64,384
1010,384,64
1011,64,261
1012,261,64
1013,64,302
1014,302,64
1015,64,148
1016,148,64
1017,272,175
1018,175,272
1019,272,114
1020,114,272
1021,272,728
1022,272,5
1023,5,272
1024,272,463
1025,272,10
1026,10,272
1027,272,318
1028,318,272
1029,272,747
1030,272,435
1031,272,699
1032,272,831
1033,272,692
1034,272,525
1035,272,383
1036,383,272
1037,272,369
1038,369,272
1039,272,566
1040,272,340
1041,340,272
1042,272,396
1043,396,272
1044,272,148
1045,148,272
1046,276,407
1047,407,276
1048,276,183
1049,183,276
1050,276,380
1051,380,276
1052,276,848
1053,276,683
1054,3,546
1055,284,546
1056,253,832
1057,274,664
1058,399,664
1059,189,664
1060,231,664
1061,380,664
1062,167,778
1063,379,218
1064,218,379
1065,379,10
1066,10,379
1067,379,196
1068,196,379
1069,379,831
1070,379,171
1071,171,379
1072,379,211
1073,211,379
1074,379,672
1075,379,110
1076,110,379
1077,379,149
1078,149,379
1079,379,219
1080,219,379
1081,379,85
1082,85,379
1083,129,265
1084,265,129
1085,129,345
1086,345,129
1087,129,144
1088,144,129
1089,129,99
1090,99,129
1091,129,9
1092,9,129
1093,129,355
1094,355,129
1095,81,83
1096,83,81
1097,81,409
1098,409,81
1099,81,785
1100,81,265
1101,265,81
1102,81,122
1103,122,81
1104,81,354
1105,354,81
1106,81,49
1107,49,81
1108,210,21
1109,21,210
1110,210,91
1111,91,210
1112,210,267
1113,267,210
1114,210,619
1115,210,632
1116,210,720
1117,210,725
1118,210,568
1119,210,585
1120,210,758
1121,210,871
1122,210,833
1123,210,728
1124,210,706
1125,210,417
1126,210,783
1127,210,608
1128,210,792
1129,210,898
1130,210,213
1131,213,210
1132,210,266
1133,266,210
1134,210,691
1135,210,797
1136,333,161
1137,161,333
1138,333,289
1139,289,333
1140,333,26
1141,26,333
1142,333,595
1143,333,234
1144,234,333
1145,333,108
1146,108,333
1147,333,120
1148,120,333
1149,333,11
1150,11,333
1151,333,285
1152,285,333
1153,333,275
1154,275,333
1155,333,101
1156,101,333
1157,333,41
1158,41,333
1159,333,130
1160,130,333
1161,333,39
1162,39,333
1163,333,254
1164,254,333
1165,333,128
1166,128,333
1167,333,122
1168,122,333
1169,333,361
1170,361,333
1171,333,879
1172,333,403
1173,403,333
1174,333,328
1175,328,333
1176,333,142
1177,142,333
1178,333,82
1179,82,333
1180,333,84
1181,84,333
1182,333,288
1183,288,333
1184,333,132
1185,132,333
1186,333,60
1187,60,333
1188,333,296
1189,296,333
1190,333,45
1191,45,333
1192,333,20
1193,20,333
1194,333,224
1195,224,333
1196,333,148
1197,148,333
1198,393,13
1199,13,393
1200,393,758
1201,393,351
1202,351,393
1203,9,232
1204,232,9
1205,9,107
1206,107,9
1207,9,300
1208,300,9
1209,9,173
1210,173,9
1211,9,746
1212,9,442
1213,9,14
1214,14,9
1215,9,109
1216,109,9
1217,9,87
1218,87,9
1219,9,859
1220,9,382
1221,382,9
1222,9,352
1223,352,9
1224,9,149
1225,149,9
1226,9,126
1227,126,9
1228,9,30
1229,30,9
1230,9,47
1231,47,9
1232,9,404
1233,404,9
1234,9,304
1235,304,9
1236,9,399
1237,399,9
1238,9,99
1239,99,9
1240,9,253
1241,253,9
1242,9,377
1243,377,9
1244,9,336
1245,336,9
1246,9,355
1247,355,9
1248,9,321
1249,321,9
1250,9,380
1251,380,9
1252,9,106
1253,106,9
1254,9,317
1255,317,9
1256,9,347
1257,347,9
1258,9,338
1259,338,9
1260,267,585
1261,313,585
1262,21,585
1263,13,585
1264,213,585
1265,266,585
1266,158,669
1267,375,669
1268,125,669
1269,307,669
1270,367,669
1271,180,669
1272,246,669
1273,399,564
1274,175,463
1275,114,463
1276,369,463
1277,340,463
1278,396,463
1279,21,632
1280,91,632
1281,267,632
1282,13,632
1283,302,632
1284,213,632
1285,266,632
1286,201,632
1287,21,786
1288,267,786
1289,13,786
1290,313,786
1291,213,786
1292,266,786
1293,266,767
1294,266,267
1295,267,266
1296,266,774
1297,266,725
1298,266,568
1299,266,313
1300,313,266
1301,266,728
1302,266,706
1303,266,417
1304,266,783
1305,266,509
1306,266,898
1307,266,691
1308,266,797
1309,266,462
1310,266,21
1311,21,266
1312,266,720
1313,266,13
1314,13,266
1315,266,758
1316,266,871
1317,266,753
1318,266,302
1319,302,266
1320,266,829
1321,266,213
1322,213,266
1323,266,201
1324,201,266
1325,266,654
1326,300,114
1327,114,300
1328,300,147
1329,147,300
1330,300,173
1331,173,300
1332,300,342
1333,342,300
1334,300,248
1335,248,300
1336,300,259
1337,259,300
1338,300,87
1339,87,300
1340,300,149
1341,149,300
1342,300,284
1343,284,300
1344,300,197
1345,197,300
1346,300,438
1347,300,85
1348,85,300
1349,300,593
1350,300,316
1351,316,300
1352,300,399
1353,399,300
1354,300,194
1355,194,300
1356,300,831
1357,300,392
1358,392,300
1359,300,253
1360,253,300
1361,300,167
1362,167,300
1363,300,3
1364,3,300
1365,300,260
1366,260,300
1367,300,355
1368,355,300
1369,300,251
1370,251,300
1371,300,366
1372,366,300
1373,300,380
1374,380,300
1375,300,165
1376,165,300
1377,300,317
1378,317,300
1379,300,699
1380,300,190
1381,190,300
1382,300,249
1383,249,300
1384,300,224
1385,224,300
1386,300,338
1387,338,300
1388,102,409
1389,409,102
1390,102,126
1391,126,102
1392,102,229
1393,229,102
1394,102,716
1395,102,59
1396,59,102
1397,102,322
1398,322,102
1399,102,384
1400,384,102
1401,102,261
1402,261,102
1403,102,249
1404,249,102
1405,102,334
1406,334,102
1407,316,843
1408,189,843
1409,42,321
1410,321,42
1411,42,338
1412,338,42
1413,390,487
1414,343,767
1415,343,237
1416,237,343
1417,343,561
1418,343,248
1419,248,343
1420,343,417
1421,343,194
1422,194,343
1423,343,282
1424,282,343
1425,343,106
1426,106,343
1427,343,450
1428,343,347
1429,347,343
1430,343,360
1431,360,343
1432,185,108
1433,108,185
1434,185,73
1435,73,185
1436,185,153
1437,153,185
1438,185,130
1439,130,185
1440,185,686
1441,227,652
1442,409,895
1443,189,895
1444,380,895
1445,242,399
1446,399,242
1447,399,442
1448,189,442
1449,317,442
1450,125,158
1451,158,125
1452,125,504
1453,125,823
1454,125,471
1455,125,904
1456,125,367
1457,367,125
1458,125,101
1459,101,125
1460,125,483
1461,125,246
1462,246,125
1463,125,15
1464,15,125
1465,125,458
1466,125,122
1467,122,125
1468,125,375
1469,375,125
1470,125,62
1471,62,125
1472,125,307
1473,307,125
1474,125,142
1475,142,125
1476,125,188
1477,188,125
1478,125,60
1479,60,125
1480,125,296
1481,296,125
1482,125,180
1483,180,125
1484,274,785
1485,149,785
1486,399,785
1487,189,785
1488,336,785
1489,231,785
1490,380,785
1491,49,785
1492,267,767
1493,267,774
1494,267,725
1495,267,313
1496,313,267
1497,267,483
1498,267,728
1499,267,417
1500,267,509
1501,267,898
1502,267,691
1503,267,462
1504,267,21
1505,21,267
1506,267,720
1507,267,13
1508,13,267
1509,267,758
1510,267,753
1511,267,302
1512,302,267
1513,267,106
1514,106,267
1515,267,829
1516,267,213
1517,213,267
1518,267,654
1519,209,301
1520,301,209
1521,209,248
1522,248,209
1523,209,352
1524,352,209
1525,209,106
1526,106,209
1527,209,224
1528,224,209
1529,149,535
1530,316,535
1531,189,535
1532,6,535
1533,110,535
1534,380,535
1535,190,535
1536,380,179
1537,179,380
1538,380,274
1539,274,380
1540,380,193
1541,193,380
1542,380,115
1543,115,380
1544,380,119
1545,119,380
1546,380,265
1547,265,380
1548,380,859
1549,380,149
1550,149,380
1551,380,584
1552,380,621
1553,380,320
1554,320,380
1555,380,399
1556,399,380
1557,380,270
1558,270,380
1559,380,189
1560,189,380
1561,380,253
1562,253,380
1563,380,191
1564,191,380
1565,380,355
1566,355,380
1567,380,106
1568,106,380
1569,380,351
1570,351,380
1571,380,317
1572,317,380
1573,380,347
1574,347,380
1575,380,383
1576,383,380
1577,250,409
1578,409,250
1579,250,248
1580,248,250
1581,250,85
1582,85,250
1583,250,399
1584,399,250
1585,250,118
1586,118,250
1587,250,6
1588,6,250
1589,250,190
1590,190,250
1591,250,347
1592,347,250
1593,250,421
1594,261,399
1595,399,261
1596,261,297
1597,297,261
1598,261,377
1599,377,261
1600,261,384
1601,384,261
1602,261,248
1603,248,261
1604,261,106
1605,106,261
1606,261,204
1607,204,261
1608,261,352
1609,352,261
1610,261,206
1611,206,261
1612,261,347
1613,347,261
1614,261,201
1615,201,261
1616,261,421
1617,361,879
1618,108,879
1619,82,879
1620,130,879
1621,244,879
1622,132,879
1623,206,879
1624,20,879
1625,73,686
1626,82,686
1627,153,686
1628,198,686
1629,13,767
1630,13,619
1631,13,774
1632,13,725
1633,13,568
1634,13,313
1635,313,13
1636,13,728
1637,13,706
1638,13,417
1639,13,783
1640,13,509
1641,13,898
1642,13,691
1643,13,797
1644,13,462
1645,13,21
1646,21,13
1647,13,720
1648,13,758
1649,13,828
1650,13,753
1651,13,302
1652,302,13
1653,13,106
1654,106,13
1655,13,450
1656,13,829
1657,13,213
1658,213,13
1659,13,201
1660,201,13
1661,13,654
1662,274,897
1663,110,171
1664,171,110
1665,110,295
1666,295,110
1667,110,149
1668,149,110
1669,110,219
1670,219,110
1671,110,85
1672,85,110
1673,110,368
1674,368,110
1675,110,27
1676,27,110
1677,110,218
1678,218,110
1679,110,196
1680,196,110
1681,110,211
1682,211,110
1683,110,394
1684,394,110
1685,110,336
1686,336,110
1687,110,80
1688,80,110
1689,110,321
1690,321,110
1691,110,184
1692,184,110
1693,110,700
1694,110,190
1695,190,110
1696,189,274
1697,274,189
1698,189,522
1699,189,859
1700,189,149
1701,149,189
1702,189,896
1703,189,438
1704,189,440
1705,189,316
1706,316,189
1707,189,437
1708,189,399
1709,399,189
1710,189,3
1711,3,189
1712,189,231
1713,231,189
1714,189,517
1715,189,55
1716,55,189
1717,189,351
1718,351,189
1719,189,317
1720,317,189
1721,189,190
1722,190,189
1723,233,122
1724,122,233
1725,233,78
1726,78,233
1727,233,142
1728,142,233
1729,233,188
1730,188,233
1731,233,101
1732,101,233
1733,233,60
1734,60,233
1735,233,296
1736,296,233
1737,233,228
1738,228,233
1739,233,148
1740,148,233
1741,392,635
1742,98,604
1743,409,450
1744,271,450
1745,149,450
1746,197,450
1747,399,450
1748,194,450
1749,351,450
1750,399,598
1751,111,399
1752,399,111
1753,149,896
1754,193,488
1755,168,295
1756,295,168
1757,149,671
1758,99,330
1759,330,99
1760,99,265
1761,265,99
1762,99,386
1763,386,99
1764,99,126
1765,126,99
1766,99,309
1767,309,99
1768,99,336
1769,336,99
1770,99,355
1771,355,99
1772,99,49
1773,49,99
1774,399,658
1775,399,767
1776,399,77
1777,77,399
1778,399,289
1779,289,399
1780,399,274
1781,274,399
1782,399,193
1783,193,399
1784,399,874
1785,399,422
1786,399,812
1787,399,76
1788,76,399
1789,399,301
1790,301,399
1791,399,685
1792,399,271
1793,271,399
1794,399,120
1795,120,399
1796,399,119
1797,119,399
1798,399,92
1799,92,399
1800,399,795
1801,399,230
1802,230,399
1803,399,313
1804,313,399
1805,399,357
1806,357,399
1807,399,244
1808,244,399
1809,399,248
1810,248,399
1811,399,728
1812,399,417
1813,399,509
1814,399,87
1815,87,399
1816,399,859
1817,399,149
1818,149,399
1819,399,691
1820,399,30
1821,30,399
1822,399,320
1823,320,399
1824,399,683
1825,399,197
1826,197,399
1827,399,246
1828,246,399
1829,399,47
1830,47,399
1831,399,51
1832,51,399
1833,399,0
1834,0,399
1835,399,287
1836,287,399
1837,399,112
1838,112,399
1839,399,37
1840,37,399
1841,399,194
1842,194,399
1843,399,10
1844,10,399
1845,399,720
1846,399,392
1847,392,399
1848,399,52
1849,52,399
1850,399,324
1851,324,399
1852,399,749
1853,399,758
1854,399,118
1855,118,399
1856,399,315
1857,315,399
1858,399,377
1859,377,399
1860,399,384
1861,384,399
1862,399,355
1863,355,399
1864,399,6
1865,6,399
1866,399,326
1867,326,399
1868,399,753
1869,399,123
1870,123,399
1871,399,106
1872,106,399
1873,399,608
1874,399,517
1875,399,55
1876,55,399
1877,399,351
1878,351,399
1879,399,848
1880,399,325
1881,325,399
1882,399,190
1883,190,399
1884,399,206
1885,206,399
1886,399,347
1887,347,399
1888,399,383
1889,383,399
1890,399,724
1891,399,421
1892,399,654
1893,399,360
1894,360,399
1895,124,149
1896,149,124
1897,124,135
1898,135,124
1899,124,321
1900,321,124
1901,124,391
1902,391,124
1903,124,534
1904,409,908
1905,181,908
1906,135,908
1907,364,519
1908,90,402
1909,402,90
1910,90,122
1911,122,90
1912,90,156
1913,156,90
1914,90,304
1915,304,90
1916,90,78
1917,78,90
1918,90,142
1919,142,90
1920,90,173
1921,173,90
1922,90,749
1923,90,211
1924,211,90
1925,90,101
1926,101,90
1927,90,248
1928,248,90
1929,90,199
1930,199,90
1931,90,60
1932,60,90
1933,90,296
1934,296,90
1935,90,200
1936,200,90
1937,90,249
1938,249,90
1939,90,345
1940,345,90
1941,90,347
1942,347,90
1943,90,148
1944,148,90
1945,6,855
1946,142,348
1947,348,142
1948,142,402
1949,402,142
1950,142,289
1951,289,142
1952,142,122
1953,122,142
1954,142,158
1955,158,142
1956,142,361
1957,361,142
1958,142,115
1959,115,142
1960,142,304
1961,304,142
1962,142,108
1963,108,142
1964,142,306
1965,306,142
1966,142,817
1967,142,120
1968,120,142
1969,142,78
1970,78,142
1971,142,403
1972,403,142
1973,142,188
1974,188,142
1975,142,173
1976,173,142
1977,142,324
1978,324,142
1979,142,146
1980,146,142
1981,142,82
1982,82,142
1983,142,285
1984,285,142
1985,142,749
1986,142,211
1987,211,142
1988,142,275
1989,275,142
1990,142,101
1991,101,142
1992,142,288
1993,288,142
1994,142,130
1995,130,142
1996,142,355
1997,355,142
1998,142,248
1999,248,142
2000,142,132
2001,132,142
2002,142,199
2003,199,142
2004,142,60
2005,60,142
2006,142,296
2007,296,142
2008,142,200
2009,200,142
2010,142,180
2011,180,142
2012,142,249
2013,249,142
2014,142,400
2015,400,142
2016,142,20
2017,20,142
2018,142,314
2019,314,142
2020,142,228
2021,228,142
2022,142,347
2023,347,142
2024,142,128
2025,128,142
2026,142,654
2027,142,247
2028,247,142
2029,142,148
2030,148,142
2031,318,5
2032,5,318
2033,318,10
2034,10,318
2035,318,630
2036,318,383
2037,383,318
2038,271,417
2039,313,417
2040,248,417
2041,197,417
2042,21,417
2043,194,417
2044,10,417
2045,18,417
2046,167,417
2047,80,417
2048,213,417
2049,347,417
2050,201,417
2051,21,608
2052,206,608
2053,175,525
2054,5,525
2055,304,525
2056,383,525
2057,369,525
2058,234,289
2059,289,234
2060,234,120
2061,120,234
2062,234,84
2063,84,234
2064,234,41
2065,41,234
2066,234,248
2067,248,234
2068,234,254
2069,254,234
2070,234,45
2071,45,234
2072,234,128
2073,128,234
2074,338,173
2075,173,338
2076,338,352
2077,352,338
2078,338,253
2079,253,338
2080,338,355
2081,355,338
2082,274,521
2083,165,812
2084,47,795
2085,47,355
2086,355,47
2087,47,347
2088,347,47
2089,149,476
2090,353,128
2091,128,353
2092,274,710
2093,103,161
2094,161,103
2095,103,297
2096,297,103
2097,219,368
2098,368,219
2099,219,218
2100,218,219
2101,219,196
2102,196,219
2103,219,171
2104,171,219
2105,219,211
2106,211,219
2107,219,394
2108,394,219
2109,219,336
2110,336,219
2111,219,80
2112,80,219
2113,219,184
2114,184,219
2115,219,149
2116,149,219
2117,219,85
2118,85,219
2119,175,435
2120,114,435
2121,396,435
2122,369,435
2123,340,435
2124,149,703
2125,232,355
2126,355,232
2127,313,691
2128,21,691
2129,91,691
2130,10,691
2131,18,691
2132,167,691
2133,213,691
2134,347,691
2135,201,691
2136,313,898
2137,248,898
2138,21,898
