#ID	Name
G0	BTG2
G133	SPIB
G134	PURA
G135	NFATC1
G136	FUS
G137	SATB1
G138	MYBL2
G139	ELK3
G140	SFMBT1
G141	NANOG
G142	POLR2D
G143	ANKRD6
G144	SHOX2
G145	REL
G146	MED14
G147	FOXH1
G148	POLR2A
G149	CTNNB1
G150	HAND2
G151	HMGN2
G152	SUPT16H
G153	UPF1
G154	SOS2
G155	RAX2
G156	LMX1B
G157	APBB1
G158	POLR1B
G159	MXD4
G160	ZNF8
G161	U2AF1
G162	NFIC
G163	AIP
G164	LHX1
G165	SMAD5
G166	ETV4
G167	TRIM33
G168	ZFHX3
G169	CXXC1
G170	PHF17
G171	TLE2
G172	NFE2L3
G173	PBX1
G174	GRHL2
G175	ASB9
G176	ZNF83
G177	ZKSCAN1
G178	CNBP
G179	STAT2
G180	POLR1C
G181	TLR7
G182	FOXF1
G183	PER3
G184	TEAD1
G185	SMG6
G186	ZNF24
G187	PLAGL2
G188	GTF2H2
G189	EGF
G190	SNAI2
G191	TLR4
G192	POLR3E
G193	TRAF6
G194	TFDP1
G195	TRIM22
G196	TLE3
G197	E2F4
G198	PARN
G199	HOXB4
G200	HOXB2
G201	UHRF1
G202	BARX2
G203	SATB2
G204	SALL3
G205	CEBPZ
G206	NPM1
G207	RAI14
G208	CREB3L2
G209	ARID4B
G210	ESPL1
G211	ASH2L
G212	HCFC1
G213	MCM3
G214	PHF21A
G215	PRIC285
G216	SHOX
G217	SP110
G218	TLE1
G219	TCF7L1
G220	ZNF160
G221	BRWD1
G222	ARNT2
G223	CNTRL
G224	SAP18
G225	ENO1
G226	ARID5B
G227	TRIP11
G228	TCEA1
G229	DPF2
G230	HMGA1
G231	PDGFA
G232	ZIC3
G233	AFF4
G234	NONO
G235	MLLT6
G236	HOPX
G237	MAML3
G238	LMO3
G239	ZNF488
G240	BCL11B
G241	APEX1
G242	ARID3A
G243	JMJD1C
G244	SP100
G245	NFAT5
G246	MYBBP1A
G247	SNAPC4
G248	RBBP4
G249	NCOA6
G250	MECOM
G251	SKIL
G252	BTF3
G253	LIN28A
G254	ILF3
G255	LZTS1
G256	SOX5
G257	ZNF587
G258	NR3C1
G259	WWTR1
G260	MYOCD
G261	DNMT3A
G262	APBB2
G263	KLF8
G264	SALL2
G265	GATA3
G266	MCM4
G267	MCM6
G268	PTMA
G269	ZNF398
G270	CUX1
G271	E2F7
G272	VHL
G273	FUBP1
G274	SRC
G275	ELAVL2
G276	BHLHE40
G277	FLI1
G278	MSX1
G279	ALS2CR8
G280	HDGF
G281	SNAI1
G282	TFE3
G283	ZNF585B
G284	BMPR1A
G285	SF1
G286	AEBP1
G287	XRCC6
G288	SRSF10
G289	YBX1
G290	TRIM25
G291	ZNF202
G292	BMP4
G293	NR2C1
G294	MCM5
G295	PITX2
G296	POLR2K
G297	ASXL1
G298	TRIM27
G299	TFAP2A
G300	SMAD2
G301	ATRX
G302	CHAF1A
G303	AIRE
G304	WDR5
G305	FOXK1
G306	HOXB3
G307	PDCD11
G308	ZNF239
G309	ZFPM2
G310	ANKZF1
G311	NFATC3
G312	RXRG
G313	RAD51
G314	RBFOX2
G315	KLF5
G316	DAB2
G317	ZEB1
G318	LIMD1
G319	TRERF1
G320	PRDM1
G321	TCF4
G322	PPARA
G323	HAND1
G324	TAF1L
G325	DACH1
G326	PLAGL1
G327	BCL11A
G328	KHSRP
G329	ZNF165
G330	TBX20
G331	ZNF764
G332	POLR2I
G333	SRSF1
G334	ANKRD1
G335	FOXJ1
G336	SOX17
G337	EGR1
G338	PRDM14
G339	RUVBL2
G340	RNF14
G341	SIRT1
G342	SMAD6
G343	E2F3
G344	MAFF
G345	MEIS2
G346	ZIC2
G347	EZH2
G348	SNAPC3
G349	BCLAF1
G350	MAFG
G351	AR
G352	DNMT3B
G353	KHDRBS2
G354	LDB2
G355	SOX2
G356	MIF
G357	NFKBIB
G358	ZNF107
G359	MXI1
G360	RBPJ
G361	SRSF3
G362	AES
G363	POU3F1
G364	TMF1
G365	TWIST1
G366	EOMES
G367	DDX54
G368	SOX13
G369	ASB4
G370	SRSF6
G371	TRIM28
G372	ZNF471
G373	ID1
G374	DEDD2
G375	PA2G4
G376	CDCA7L
G377	EHMT2
G378	CBX3
G379	APC
G380	STAT3
G381	PAWR
G382	NR0B1
G383	HIF1A
G384	SMARCD1
G385	TFAP4
G386	SOX7
G387	ZNF146
G388	ID3
G389	DMBX1
G390	SLA2
G391	HDAC9
G392	PARP1
G393	KAT7
G394	TEAD4
G395	EEF1A1
G396	RNF19A
G397	SUPT7L
G398	ZNF219
G399	TP53
G400	POU2F2
G401	ESRRG
G402	RARG
G403	HNRNPD
G404	ZFP42
G405	TRIP13
G406	PBXIP1
G407	RORB
G408	ELL2
G409	RUNX1
G410	MIA3
G411	GINS2
G412	GYPB
G413	MAN1A1
G414	PRMT6
G415	RGPD2
G416	PLOD2
G417	CCNA2
G418	SLC19A2
G419	UNC5D
G420	GATM
G421	PHC1
G422	RBBP8
G423	KIAA1324L
G424	WDFY1
G425	NOL11
G426	GNG11
G427	FAM69A
G428	DNAJB14
G429	NDUFC2-KCTD14
G430	HOMER1
G431	GLIPR2
G432	GYPE
G433	SLC39A11
G434	APOBEC3G
G435	SH3RF1
G436	SEMA3E
G437	SNX18
G438	FN1
G439	TMEM131
G440	PLAU
G441	MTERF
G442	EPCAM
G443	ECI2
G444	S1PR3
G445	ANKRD13C
G446	DEPDC1B
G447	PREPL
G448	DDHD2
G449	KDELR3
G450	CDK6
G451	GPR83
G452	DDAH1
G453	MAGI3
G454	KLHL12
G455	ZBTB10
G456	ERCC-00002
G457	DKK4
G458	UTP15
G459	CCDC138
G460	DAAM1
G461	DUSP4
G462	CDC7
G463	RNF138
G464	FAM46A
G465	CLGN
G466	SYNE2
G467	SSFA2
G468	CD9
G469	AKAP2
G470	CALB1
G471	TTC27
G472	LEPREL1
G473	SEMA3A
G474	TRIM2
G475	PLSCR4
G476	FER
G477	STK3
G478	ZNF521
G479	FEZ1
G480	TMSB15B
G481	KLHL24
G482	ERCC-00003
G483	NOC3L
G484	TIMM8A
G485	STT3B
G486	FBXO5
G487	HLA-DRB1
G488	PELI2
G489	APOBEC3C
G490	RIN2
G491	SNX14
G492	RTKN2
G493	KRCC1
G494	LUM
G495	TMEM47
G496	C11orf82
G497	LIMCH1
G498	SENP7
G499	CAP2
G500	PRICKLE1
G501	AGL
G502	ITPR2
G503	ROR2
G504	TRUB1
G505	TADA1
G506	CPVL
G507	MYCT1
G508	CDCA2
G509	EXO1
G510	THAP9
G511	CASD1
G512	NUCB2
G513	MAP4K3
G514	PLXNA2
G515	GABRB3
G516	COL4A6
G517	ERBB4
G518	ANGPT2
G519	VPS54
G520	BCAR3
G521	ABLIM1
G522	ITGA6
G523	UTP18
G524	MPHOSPH9
G525	COMMD10
G526	VPS13C
G527	BMPER
G528	LPIN1
G529	PIK3R5
G530	FLRT3
G531	AGPAT5
G532	BAMBI
G533	NIPSNAP3A
G534	CAMK2D
G535	WNT5A
G536	KIAA1804
G537	ITGA5
G538	PPP1R9A
G539	ERCC-00044
G540	HPRT1
G541	CNKSR3
G542	RFPL2
G543	SH3BGRL2
G544	RPE
G545	TIPARP
G546	FST
G547	CCDC141
G548	MRS2
G549	POLR3G
G550	ERCC-00004
G551	SPPL2A
G552	RSPO3
G553	RHAG
G554	YPEL5
G555	RAVER2
G556	ERCC-00062
G557	DUSP10
G558	HTRA1
G559	ERCC-00095
G560	SKA3
G561	MAMLD1
G562	UNC5C
G563	ZNF30
G564	NUAK1
G565	SLC39A8
G566	GLMN
G567	NCAPG
G568	CDCA8
G569	ERCC-00092
G570	OAS1
G571	NCAM1
G572	RRN3
G573	TDRD7
G574	ERCC-00053
G575	OXTR
G576	LGALSL
G577	PLP1
G578	CLDN10
G579	LTBP1
G580	PMP22
G581	NLGN4X
G582	ERCC-00046
G583	PNPLA8
G584	VIM
G585	KIF23
G586	ANKRD28
G587	LRRCC1
G588	MALT1
G589	MYOF
G590	SFRP2
G591	KIAA0528
G592	LPGAT1
G593	ZFYVE16
G594	DLC1
G595	NUP35
G596	PPM1H
G597	MLF1IP
G598	TIMP3
G599	ASNS
G600	PPT2
G601	MMP16
G602	MEPE
G603	RGS5
G604	MCCC1
G605	GLRX
G606	SFRP1
G607	FBN1
G608	PLK2
G609	ANKRD50
G610	NRP1
G611	PRSS23
G612	TMOD1
G613	CD48
G614	PDE3B
G615	MRPS30
G616	ELOVL2
G617	TBC1D4
G618	ISCA1
G619	KIF15
G620	PTPRZ1
G621	IL6ST
G622	COL1A2
G623	GTF2H2D
G624	RPL17-C18ORF32
G625	DCLK1
G626	MSANTD3-TMEFF1
G627	PRTG
G628	HLA-DQB1
G629	SNX16
G630	RHOBTB3
G631	MAP3K2
G632	NDC80
G633	CD200
G634	DCAF6
G635	POLB
G636	INSIG2
G637	ERCC-00113
G638	NAP1L3
G639	LECT1
G640	PHLDB2
G641	ELMOD2
G642	FARSB
G643	ANKMY2
G644	KAL1
G645	ACTC1
G646	PCDH10
G647	SAMD3
G648	ENC1
G649	FAM117B
G650	OTUD6B
G651	ARHGAP29
G652	ARFGAP3
G653	FBXO34
G654	RFC3
G655	CCDC80
G656	ALCAM
G657	GRPR
G658	DNA2
G659	IGDCC4
G660	GPC6
G661	VWA5A
G662	ERCC-00060
G663	ZNF518B
G664	PDGFRA
G665	CHL1
G666	ERCC-00171
G667	C3orf14
G668	ADAMTS3
G669	WDR12
G670	RIPPLY1
G671	CDH11
G672	FZD5
G673	COL5A1
G674	ACOX3
G675	AMIGO2
G676	TPD52
G677	SIPA1L2
G678	ATP2B4
G679	ANKRD26
G680	CCDC82
G681	PENK
G682	TTN
G683	BLM
G684	ST8SIA4
G685	SPP1
G686	XRN1
G687	ALPK2
G688	MATN3
G689	ZDHHC21
G690	MRPL1
G691	BUB1B
G692	LRR1
G693	RIOK1
G694	TRDN
G695	ST3GAL6
G696	ASS1
G697	B3GNT5
G698	GLDC
G699	NEDD4
G700	DKK1
G701	ERCC-00112
G702	ERCC-00136
G703	CA2
G704	PRPS2
G705	NT5DC3
G706	NUSAP1
G707	QPCT
G708	MRPS35
G709	ARHGAP28
G710	EPHA4
G711	LGR4
G712	TJP2
G713	SERPINE2
G714	DYNC2LI1
G715	CER1
G716	ABCA1
G717	NUDT11
G718	ERCC-00165
G719	DECR1
G720	TTK
G721	GABRB2
G722	RRAS2
G723	MFAP4
G724	BNIP3
G725	WDHD1
G726	NEDD9
G727	ERCC-00025
G728	CDC20
G729	CYP1B1
G730	STK17B
G731	LIPG
G732	SERHL2
G733	ERCC-00043
G734	RND3
G735	DNAAF2
G736	RAD51AP1
G737	DLGAP5
G738	AK4
G739	STIM2
G740	ITM2A
G741	ERCC-00108
G742	CRHBP
G743	ERCC-00076
G744	FAM89A
G745	C4orf46
G746	THY1
G747	MEX3C
G748	TFPI
G749	KDM6A
G750	PRSS35
G751	MCC
G752	ELMO1
G753	CHEK2
G754	FAM188A
G755	DPYSL3
G756	HEG1
G757	MBIP
G758	PLK1
G759	CA14
G760	USP44
G761	KIF21A
G762	BAG3
G763	PHLDA1
G764	FREM1
G765	FAM135A
G766	PFKFB2
G767	CCNE2
G768	ERCC-00130
G769	HAS2
G770	CBR1
G771	EPB41L3
G772	EMB
G773	FBXO28
G774	DTL
G775	SORL1
G776	ARL4D
G777	KLHL6
G778	SEMA6A
G779	PDLIM3
G780	CCKBR
G781	SULF2
G782	NXT2
G783	ESCO2
G784	SYNC
G785	KDR
G786	TIPIN
G787	ARL4A
G788	NRP2
G789	ERCC-00111
G790	CEP85L
G791	APLNR
G792	ERCC6L
G793	REV3L
G794	TRAPPC8
G795	PMAIP1
G796	ERCC-00131
G797	DSCC1
G798	NTS
G799	CPE
G800	PRKACB
G801	STC1
G802	COBLL1
G803	AMN1
G804	COL4A1
G805	FLRT2
G806	SEMA6D
G807	PIP4K2A
G808	HRSP12
G809	ERCC-00145
G810	SLC46A3
G811	ERCC-00009
G812	PDCD4
G813	SLCO2A1
G814	SLC36A4
G815	KLHL4
G816	HAPLN1
G817	ESRP1
G818	ZNF512
G819	LRAT
G820	SH3BGRL
G821	GAD1
G822	CLDN11
G823	WDR3
G824	ERCC-00074
G825	ERCC-00096
G826	WDR35
G827	DPH2
G828	TEX10
G829	PRIM1
G830	TTC39B
G831	CUL1
G832	ZCCHC11
G833	DYNC1I1
G834	ALG6
G835	ANXA3
G836	PTGR1
G837	RAB31
G838	VASH2
G839	ATG4C
G840	C12orf23
G841	SLC6A15
G842	JPH1
G843	VAMP7
G844	ZNF280B
G845	CCDC81
G846	RFESD
G847	MME
G848	RMI1
G849	CEP290
G850	SEMA5A
G851	PLCB4
G852	ODC1
G853	STK38L
G854	TMEM64
G855	RALB
G856	PPAPDC1A
G857	B4GALT4
G858	TSPAN12
G859	PROM1
G860	LRIG3
G861	SLC35A3
G862	SLITRK2
G863	KIAA1109
G864	WLS
G865	ATP11B
G866	RPP40
G867	ERCC-00042
G868	COLEC12
G869	CYP26A1
G870	ERCC-00022
G871	CEP55
G872	TNFRSF11B
G873	CCPG1
G874	TP53INP1
G875	GPSM2
G876	PALLD
G877	GCA
G878	PPPDE1
G879	NUP54
G880	TDP2
G881	ARHGAP42
G882	SLC35F1
G883	TGFBR3
G884	MBOAT1
G885	GYPA
G886	ZNF516
G887	C11orf46
G888	GPC3
G889	PGM2
G890	COL5A2
G891	TMEM38B
G892	PAM
G893	MANEA
G894	BTBD10
G895	LIFR
G896	LGR5
G897	TNC
G898	CCNB2
G899	FASTKD3
G900	KLHL28
G901	ST8SIA1
G902	DRAM2
G903	KIAA1467
G904	TFB2M
G905	PCDH7
G906	GDAP1
G907	HSD17B11
G908	CTSK
G909	RNF13
