G0	BTG2
G134	PURA
G135	NFATC1
G136	FUS
G137	SATB1
G138	MYBL2
G139	ELK3
G140	SFMBT1
G141	NANOG
G142	POLR2D
G143	ANKRD6
G144	SHOX2
G145	REL
G146	MED14
G147	FOXH1
G148	POLR2A
G149	CTNNB1
G150	HAND2
G151	HMGN2
G152	SUPT16H
G153	UPF1
G154	SOS2
G155	RAX2
G156	LMX1B
G157	APBB1
G158	POLR1B
G159	MXD4
G160	ZNF8
G161	U2AF1
G162	NFIC
G163	AIP
G164	LHX1
G165	SMAD5
G166	ETV4
G167	TRIM33
G168	ZFHX3
G169	CXXC1
G170	PHF17
G171	TLE2
G172	NFE2L3
G173	PBX1
G174	GRHL2
G175	ASB9
G176	ZNF83
G177	ZKSCAN1
G178	CNBP
G179	STAT2
G180	POLR1C
G181	TLR7
G182	FOXF1
G183	PER3
G184	TEAD1
G185	SMG6
G186	ZNF24
G187	PLAGL2
G188	GTF2H2
G189	EGF
G190	SNAI2
G191	TLR4
G192	POLR3E
G193	TRAF6
G194	TFDP1
G195	TRIM22
G196	TLE3
G197	E2F4
G198	PARN
G199	HOXB4
G200	HOXB2
G201	UHRF1
G202	BARX2
G203	SATB2
G204	SALL3
G205	CEBPZ
G206	NPM1
G207	RAI14
G208	CREB3L2
G209	ARID4B
G210	ESPL1
G211	ASH2L
G212	HCFC1
G213	MCM3
G214	PHF21A
G215	PRIC285
G216	SHOX
G217	SP110
G218	TLE1
G219	TCF7L1
G220	ZNF160
G221	BRWD1
G222	ARNT2
G223	CNTRL
G224	SAP18
G225	ENO1
G226	ARID5B
G227	TRIP11
G228	TCEA1
G229	DPF2
G230	HMGA1
G231	PDGFA
G232	ZIC3
G233	AFF4
G234	NONO
G235	MLLT6
G236	HOPX
G237	MAML3
G238	LMO3
G239	ZNF488
G240	BCL11B
G241	APEX1
G242	ARID3A
G243	JMJD1C
G244	SP100
G245	NFAT5
G246	MYBBP1A
G247	SNAPC4
G248	RBBP4
G249	NCOA6
G250	MECOM
G251	SKIL
G252	BTF3
G253	LIN28A
G254	ILF3
G255	LZTS1
G256	SOX5
G257	ZNF587
G258	NR3C1
G259	WWTR1
G260	MYOCD
G261	DNMT3A
G262	APBB2
G263	KLF8
G264	SALL2
G265	GATA3
G266	MCM4
G267	MCM6
G268	PTMA
G269	ZNF398
G270	CUX1
G271	E2F7
G272	VHL
G273	FUBP1
G274	SRC
G275	ELAVL2
G276	BHLHE40
G277	FLI1
G278	MSX1
G279	ALS2CR8
G280	HDGF
G281	SNAI1
G282	TFE3
G283	ZNF585B
G284	BMPR1A
G285	SF1
G286	AEBP1
G287	XRCC6
G288	SRSF10
G289	YBX1
G290	TRIM25
G291	ZNF202
G292	BMP4
G293	NR2C1
G294	MCM5
G295	PITX2
G296	POLR2K
G297	ASXL1
G298	TRIM27
G299	TFAP2A
G300	SMAD2
G301	ATRX
G302	CHAF1A
G303	AIRE
G304	WDR5
G305	FOXK1
G306	HOXB3
G307	PDCD11
G308	ZNF239
G309	ZFPM2
G310	ANKZF1
G311	NFATC3
G312	RXRG
G313	RAD51
G314	RBFOX2
G315	KLF5
G316	DAB2
G317	ZEB1
G318	LIMD1
G319	TRERF1
G320	PRDM1
G321	TCF4
G322	PPARA
G323	HAND1
G324	TAF1L
G325	DACH1
G326	PLAGL1
G327	BCL11A
G328	KHSRP
G329	ZNF165
G330	TBX20
G331	ZNF764
G332	POLR2I
G333	SRSF1
G334	ANKRD1
G335	FOXJ1
G336	SOX17
G337	EGR1
G338	PRDM14
G339	RUVBL2
G340	RNF14
G341	SIRT1
G342	SMAD6
G343	E2F3
G344	MAFF
G345	MEIS2
G346	ZIC2
G347	EZH2
G348	SNAPC3
G349	BCLAF1
G350	MAFG
G351	AR
G352	DNMT3B
G353	KHDRBS2
G354	LDB2
G355	SOX2
G356	MIF
G357	NFKBIB
G358	ZNF107
G359	MXI1
G360	RBPJ
G361	SRSF3
G362	AES
G363	POU3F1
G364	TMF1
G365	TWIST1
G366	EOMES
G367	DDX54
G368	SOX13
G369	ASB4
G370	SRSF6
G371	TRIM28
G372	ZNF471
G373	ID1
G374	DEDD2
G375	PA2G4
G376	CDCA7L
G377	EHMT2
G378	CBX3
G379	APC
G380	STAT3
G381	PAWR
G382	NR0B1
G383	HIF1A
G384	SMARCD1
G385	TFAP4
G386	SOX7
G387	ZNF146
G388	ID3
G389	DMBX1
G390	SLA2
G391	HDAC9
G392	PARP1
G393	KAT7
G394	TEAD4
G395	EEF1A1
G396	RNF19A
G397	SUPT7L
G398	ZNF219
G399	TP53
G400	POU2F2
G401	ESRRG
G402	RARG
G403	HNRNPD
G404	ZFP42
G405	TRIP13
G406	PBXIP1
G407	RORB
G408	ELL2
G409	RUNX1
