#ID	Name
G0	ZNF83
G410	SLC39A11
G411	C4orf46
G412	FAM46A
G413	ERCC-00022
G414	PIP4K2A
G415	ARHGAP28
G416	FAM89A
G417	PENK
G418	COBLL1
G419	GABRB3
G420	DDHD2
G421	CHL1
G422	TDRD7
G423	DCAF6
G424	SH3BGRL2
G425	STK17B
G426	LGR5
G427	DNAJB14
G428	SLCO2A1
G429	CAP2
G430	POLR3G
G431	ITGA5
G432	PLK2
G433	ABCA1
G434	LIFR
G435	RTKN2
G436	KIAA0528
G437	NRP2
G438	MAMLD1
G439	TNFRSF11B
G440	PLK1
G441	CYP26A1
G442	TFB2M
G443	ITGA6
G444	COL5A2
G445	ERCC-00113
G446	MYOF
G447	VAMP7
G448	AMN1
G449	DUSP10
G450	TMEM64
G451	ERCC-00171
G452	ERCC-00044
G453	RND3
G454	BCAR3
G455	SYNC
G456	GTF2H2D
G457	NTS
G458	MIA3
G459	ALG6
G460	B4GALT4
G461	GYPB
G462	PRIM1
G463	SENP7
G464	SLC36A4
G465	EMB
G466	ERCC-00136
G467	ZNF521
G468	NEDD4
G469	CDC7
G470	TGFBR3
G471	FAM69A
G472	CEP290
G473	MTERF
G474	ENC1
G475	OXTR
G476	PRKACB
G477	MBOAT1
G478	MAGI3
G479	CPVL
G480	CEP85L
G481	PLAU
G482	SLITRK2
G483	MYCT1
G484	RFPL2
G485	ERCC-00004
G486	DYNC2LI1
G487	SLC35F1
G488	PDLIM3
G489	ZNF280B
G490	SEMA3A
G491	UNC5C
G492	PNPLA8
G493	NEDD9
G494	GPR83
G495	MFAP4
G496	GABRB2
G497	ROR2
G498	WLS
G499	ASS1
G500	HLA-DQB1
G501	NOL11
G502	SPP1
G503	IL6ST
G504	SLC39A8
G505	MATN3
G506	SYNE2
G507	TRAPPC8
G508	GATM
G509	PLSCR4
G510	APLNR
G511	QPCT
G512	MCC
G513	FBXO5
G514	CDK6
G515	CRHBP
G516	ELOVL2
G517	OTUD6B
G518	RIN2
G519	PRMT6
G520	OAS1
G521	CD200
G522	GINS2
G523	FBXO34
G524	STK38L
G525	RPP40
G526	IGDCC4
G527	TMEM47
G528	ERCC-00165
G529	ERCC-00074
G530	NUP35
G531	CALB1
G532	KDR
G533	DEPDC1B
G534	PIK3R5
G535	CEP55
G536	PPPDE1
G537	FARSB
G538	GPC3
G539	KIF23
G540	KLHL4
G541	CCNE2
G542	ERCC-00131
G543	RRN3
G544	MAP4K3
G545	PRTG
G546	PPP1R9A
G547	TIPIN
G548	ERCC-00002
G549	STK3
G550	SLC6A15
G551	PLOD2
G552	RBBP8
G553	CUL1
G554	ERCC-00076
G555	FN1
G556	MALT1
G557	CCNA2
G558	SKA3
G559	SIPA1L2
G560	ANXA3
G561	SFRP1
G562	NUCB2
G563	CPE
G564	MEX3C
G565	PELI2
G566	TTC39B
G567	HTRA1
G568	TFPI
G569	ARHGAP42
G570	SERPINE2
G571	APOBEC3C
G572	NUSAP1
G573	ERCC-00095
G574	GLMN
G575	HLA-DRB1
G576	TPD52
G577	BAMBI
G578	ITPR2
G579	LTBP1
G580	MLF1IP
G581	ADAMTS3
G582	ST8SIA4
G583	RPL17-C18ORF32
G584	ERCC-00096
G585	KIF15
G586	DKK1
G587	CLDN10
G588	CCPG1
G589	COMMD10
G590	CTSK
G591	SEMA3E
G592	CER1
G593	VASH2
G594	KLHL24
G595	CDCA8
G596	PMAIP1
G597	RFC3
G598	EXO1
G599	SLC35A3
G600	ANKRD28
G601	RGPD2
G602	PCDH10
G603	SAMD3
G604	INSIG2
G605	NDUFC2-KCTD14
G606	GRPR
G607	KIAA1467
G608	TIMP3
G609	CDC20
G610	C11orf46
G611	TP53INP1
G612	MPHOSPH9
G613	ATP2B4
G614	PHLDA1
G615	KLHL6
G616	VPS13C
G617	ACOX3
G618	GPC6
G619	MRPS35
G620	APOBEC3G
G621	CLGN
G622	PLCB4
G623	STC1
G624	DNA2
G625	NRP1
G626	TJP2
G627	KLHL28
G628	BNIP3
G629	WDHD1
G630	ELMO1
G631	DRAM2
G632	RIOK1
G633	CD9
G634	CD48
G635	ERCC6L
G636	ECI2
G637	ZNF30
G638	ESRP1
G639	KIF21A
G640	KRCC1
G641	RNF13
G642	TMSB15B
G643	POLB
G644	ZNF518B
G645	HEG1
G646	FBXO28
G647	THY1
G648	ODC1
G649	RSPO3
G650	HAPLN1
G651	UTP15
G652	DLC1
G653	SH3BGRL
G654	ARL4A
G655	LECT1
G656	NUDT11
G657	ZBTB10
G658	AMIGO2
G659	ERCC-00046
G660	VPS54
G661	SH3RF1
G662	PALLD
G663	CCKBR
G664	PDCD4
G665	DPH2
G666	LIMCH1
G667	ARFGAP3
G668	LRIG3
G669	SLC19A2
G670	WDR3
G671	UNC5D
G672	TRDN
G673	ERCC-00053
G674	VWA5A
G675	SNX14
G676	ERBB4
G677	AKAP2
G678	FASTKD3
G679	RAVER2
G680	FREM1
G681	PPAPDC1A
G682	GLDC
G683	WDFY1
G684	NT5DC3
G685	LEPREL1
G686	KLHL12
G687	PRPS2
G688	REV3L
G689	PHLDB2
G690	MANEA
G691	ANKMY2
G692	ERCC-00009
G693	CDCA2
G694	STT3B
G695	ATG4C
G696	SERHL2
G697	EPHA4
G698	KIAA1109
G699	RPE
G700	LGR4
G701	TIMM8A
G702	ERCC-00060
G703	STIM2
G704	CAMK2D
G705	GNG11
G706	ZNF516
G707	ZCCHC11
G708	PRSS35
G709	MAN1A1
G710	MME
G711	MBIP
G712	TMEM131
G713	RALB
G714	MSANTD3-TMEFF1
G715	ABLIM1
G716	PDE3B
G717	CBR1
G718	FAM117B
G719	PLXNA2
G720	WDR35
G721	CCDC80
G722	ACTC1
G723	JPH1
G724	CCDC81
G725	SNX18
G726	THAP9
G727	MAP3K2
G728	TSPAN12
G729	HSD17B11
G730	B3GNT5
G731	BAG3
G732	NOC3L
G733	HPRT1
G734	NXT2
G735	CCDC82
G736	PTGR1
G737	NLGN4X
G738	LUM
G739	DUSP4
G740	NCAPG
G741	CCDC141
G742	ANGPT2
G743	COLEC12
G744	PAM
G745	COL4A6
G746	HRSP12
G747	NDC80
G748	GYPE
G749	NUAK1
G750	KAL1
G751	KIAA1804
G752	CNKSR3
G753	FER
G754	KIAA1324L
G755	SEMA5A
G756	FBN1
G757	HAS2
G758	ITM2A
G759	ERCC-00145
G760	ERCC-00043
G761	AK4
G762	SNX16
G763	TNC
G764	CCDC138
G765	NAP1L3
G766	C12orf23
G767	BMPER
G768	DDAH1
G769	RHAG
G770	BLM
G771	USP44
G772	FST
G773	MRPS30
G774	RAD51AP1
G775	LRAT
G776	CLDN11
G777	RAB31
G778	TMEM38B
G779	LPIN1
G780	PPM1H
G781	MMP16
G782	GCA
G783	PHC1
G784	WDR12
G785	TTN
G786	GYPA
G787	ST8SIA1
G788	GLRX
G789	ERCC-00092
G790	ZNF512
G791	LPGAT1
G792	PGM2
G793	TTK
G794	PPT2
G795	DKK4
G796	TADA1
G797	KDM6A
G798	ANKRD50
G799	ERCC-00130
G800	ARHGAP29
G801	YPEL5
G802	BUB1B
G803	HOMER1
G804	COL4A1
G805	FLRT2
G806	SEMA6D
G807	AGPAT5
G808	FLRT3
G809	C3orf14
G810	CA14
G811	PDGFRA
G812	PROM1
G813	UTP18
G814	MEPE
G815	ZFYVE16
G816	PRSS23
G817	ERCC-00112
G818	DPYSL3
G819	FZD5
G820	SSFA2
G821	SPPL2A
G822	CYP1B1
G823	TRUB1
G824	ZDHHC21
G825	ARL4D
G826	PTPRZ1
G827	TEX10
G828	RRAS2
G829	DAAM1
G830	ALCAM
G831	ASNS
G832	PCDH7
G833	ERCC-00062
G834	DYNC1I1
G835	MCCC1
G836	KDELR3
G837	EPCAM
G838	TRIM2
G839	SEMA6A
G840	EPB41L3
G841	RMI1
G842	RNF138
G843	ST3GAL6
G844	ALPK2
G845	MRS2
G846	CASD1
G847	RFESD
G848	TBC1D4
G849	CCNB2
G850	SORL1
G851	RIPPLY1
G852	ANKRD13C
G853	LGALSL
G854	RGS5
G855	TDP2
G856	COL1A2
G857	GDAP1
G858	C11orf82
G859	TIPARP
G860	PMP22
G861	GLIPR2
G862	DNAAF2
G863	DTL
G864	S1PR3
G865	NUP54
G866	LRR1
G867	FAM135A
G868	ISCA1
G869	PRICKLE1
G870	COL5A1
G871	ERCC-00111
G872	GAD1
G873	SFRP2
G874	AGL
G875	GPSM2
G876	ELMOD2
G877	TMOD1
G878	SULF2
G879	LRRCC1
G880	SLC46A3
G881	BTBD10
G882	ATP11B
G883	PREPL
G884	WNT5A
G885	ESCO2
G886	ANKRD26
G887	DLGAP5
G888	CA2
G889	ERCC-00042
G890	XRN1
G891	ERCC-00025
G892	PLP1
G893	FEZ1
G894	NCAM1
G895	DSCC1
G896	DECR1
G897	DCLK1
G898	TTC27
G899	CHEK2
G900	ERCC-00108
G901	VIM
G902	FAM188A
G903	CDH11
G904	NIPSNAP3A
G905	PFKFB2
G906	LIPG
G907	ERCC-00003
G908	RHOBTB3
G909	MRPL1
