#ID	Name
G0	CNOT7
G173	MCM5
G174	XRCC5
G175	HCFC1
G176	ZFP275
G177	MYB
G178	MAPK1
G179	GATA1
G180	GTF2F1
G181	RNF19A
G182	CBX7
G183	TEAD3
G184	HMGB2
G185	POLR2B
G186	BATF2
G187	SALL2
G188	DDX20
G189	PML
G190	RUNX2
G191	MYNN
G192	ORC2
G193	TLR4
G194	E2F6
G195	SNRPB
G196	NFATC2
G197	IKZF1
G198	MXD3
G199	RUVBL2
G200	POLR3F
G201	GLIS2
G202	REL
G203	H1F0
G204	CDK19
G205	NXPE2
G206	EMILIN1
G207	ORC6
G208	ETF1
G209	NGLY1
G210	ZFP655
G211	CCNB1
G212	SP100
G213	ARHGAP15
G214	H2-DMB1
G215	ERLIN2
G216	CD93
G217	INKA1
G218	ZFP945
G219	WDR4
G220	MFNG
G221	NSMAF
G222	ITSN1
G223	PCYT1A
G224	UMPS
G225	PSTPIP1
G226	MNDAL
G227	GM8995
G228	USP4
G229	TRIM30A
G230	STEAP3
G231	CKAP5
G232	INCENP
G233	STARD7
G234	CHAMP1
G235	VAV1
G236	IFT140
G237	SNRNP200
G238	PRKAA1
G239	SCARF1
G240	PLAC8
G241	NCAPG
G242	ABCD3
G243	TBCD
G244	VPS33B
G245	PNO1
G246	AP1G2
G247	RARS
G248	RHD
G249	VIM
G250	KRT18
G251	APLP2
G252	PHACTR2
G253	RGS19
G254	NUP155
G255	PLIN2
G256	PKM
G257	FNTA
G258	UBR7
G259	NEDD1
G260	PGM1
G261	IGKC
G262	ELAC2
G263	GPKOW
G264	RASSF5
G265	ACSS1
G266	CNN2
G267	LPCAT3
G268	TVP23B
G269	ZFP397
G270	NECAP2
G271	VPS41
G272	GEMIN5
G273	EDC3
G274	DDX1
G275	CAD
G276	GRN
G277	TBC1D20
G278	KIF20B
G279	VPS16
G280	COPB1
G281	CCNG1
G282	PSMD9
G283	TIFA
G284	ANK
G285	KAT7
G286	C330018D20RIK
G287	PFKM
G288	CD9
G289	MCM10
G290	NUDCD1
G291	TMEM177
G292	CMPK2
G293	CACFD1
G294	CRIP2
G295	GCNT2
G296	USP10
G297	SCRN3
G298	ABCF3
G299	TBC1D10C
G300	PDK3
G301	AQP9
G302	CRYZL2
G303	MARCH5
G304	RPA2
G305	GCLC
G306	CD82
G307	ADAMTS10
G308	KDM6A
G309	UBA5
G310	CDC7
G311	SLC7A4
G312	PLBD2
G313	ARL6IP6
G314	LTB
G315	RASA3
G316	EPDR1
G317	ABHD16A
G318	SCARB1
G319	AI506816
G320	COPG1
G321	PTPN12
G322	TMEM129
G323	FAM45A
G324	FUCA2
G325	POT1A
G326	CDCA3
G327	CCNF
G328	EZR
G329	TLK1
G330	MFN2
G331	VPS33A
G332	UNK
G333	TPP1
G334	SLC40A1
G335	AK3
G336	CLPTM1L
G337	FAAP100
G338	VPS35
G339	NASP
G340	WDR5
G341	IFI44
G342	LCP1
G343	TMEM56
G344	SNCA
G345	UBE2G2
G346	MYCT1
G347	CDCA8
G348	MIOS
G349	HMBS
G350	BAP1
G351	HARS2
G352	NDC1
G353	PSMD6
G354	NUP88
G355	SLC19A1
G356	BLVRB
G357	ILVBL
G358	CTLA2A
G359	D230025D16RIK
G360	DENND1C
G361	FAM91A1
G362	GM2A
G363	ENPP4
G364	BAG2
G365	TBC1D2B
G366	PRKCQ
G367	ANXA1
G368	CENPE
G369	LZTR1
G370	HSPA4L
G371	PPAT
G372	GATM
G373	METTL27
G374	TUBGCP5
G375	PWP2
G376	NUDT19
G377	LSP1
G378	MAGED1
G379	SLC25A21
G380	PTCD3
G381	MARCH6
G382	SGO1
G383	MED22
G384	YPEL3
G385	SLC25A46
G386	GSTM1
G387	TMEM97
G388	NPLOC4
G389	GPR171
G390	HERC4
G391	PLIN3
G392	CD1D1
G393	PQLC3
G394	NPTN
G395	DOK2
G396	TWSG1
G397	GMFB
G398	PRPF4
G399	IPO9
G400	LIMD2
G401	ALAD
G402	UBA3
G403	ARMT1
G404	EIF2B1
G405	NDOR1
G406	PLCB2
G407	NOP2
G408	PCCA
G409	ERLIN1
G410	CCNB2
G411	TXNRD2
G412	FTSJ3
G413	CORO1A
G414	DUSP1
G415	NUP107
G416	CD34
G417	CLIC4
G418	TMEM109
G419	PSEN2
G420	UAP1L1
G421	PTGS1
G422	FLOT2
G423	SQOR
G424	TIMM50
G425	UROD
G426	B230219D22RIK
G427	GOSR2
G428	MAU2
G429	RDH11
G430	AFG3L2
G431	CD63-PS
G432	UROS
G433	MBTPS1
G434	GNG11
G435	CEPT1
G436	STK25
G437	MAP4K2
G438	MYO1G
G439	SPC25
G440	CLDN13
G441	WDR36
G442	CD55
G443	SPC24
G444	MTMR6
G445	PADI4
G446	CTSO
G447	CYB5R3
G448	ZFP266
G449	SNAP23
G450	MGST3
G451	EMB
G452	NAA50
G453	CTPS
G454	ADGRL4
G455	SPNS2
G456	CD48
G457	ATP6V1A
G458	SEH1L
G459	NUBP2
G460	GNA13
G461	ALKBH8
G462	KPNA3
G463	PRKAR2B
G464	ASNS
G465	DDHD2
G466	USF3
G467	PITRM1
G468	NDUFV1
G469	UBE2C
G470	CPT2
G471	ACAP1
G472	TSPAN3
G473	BIRC5
G474	TES
G475	EPS15
G476	YOD1
G477	LAPTM4B
G478	PROCR
G479	ADD2
G480	FAM136A
G481	TNFAIP8
G482	CYTH4
G483	TOLLIP
G484	ATP1B2
G485	UCKL1
G486	SLC11A2
G487	NDE1
G488	PSMD5
G489	UBAC1
G490	SEC23IP
G491	AURKB
G492	GMPR
G493	RNF145
G494	GM28875
G495	CRNKL1
G496	G6PDX
G497	SUPT7L
G498	NUF2
G499	KNSTRN
G500	PRELID3B
G501	GSTM5
G502	BCLAF3
G503	CKAP2
G504	SERPINA3G
G505	AURKA
G506	NCAPH
G507	SLC35A1
G508	MAVS
G509	PSMF1
G510	GOLT1B
G511	DCAF4
G512	RRM2
G513	TMX1
G514	WDR73
G515	TRMT6
G516	ABI1
G517	GNPDA1
G518	BC005561
G519	PWWP3A
G520	CYP20A1
G521	RHAG
G522	TOP2A
G523	LYRM4
G524	MFGE8
G525	NIF3L1
G526	ATG16L1
G527	INTS8
G528	OTUD6B
G529	MINPP1
G530	ATP2A3
G531	EIF1AD
G532	TMC6
G533	AP3S1
G534	SHCBP1
G535	DENND2D
G536	WDR6
G537	VWA5A
G538	IL27RA
G539	MTHFD1
G540	DPP8
G541	CDC20
G542	RTP4
G543	IDH3A
G544	DUS1L
G545	BCAP29
G546	DCAF13
G547	ZFP35
G548	1700017B05RIK
G549	PAK1
G550	ZFP672
G551	2610035D17RIK
G552	ATG12
G553	GM4759
G554	TIMM29
G555	COPB2
G556	RNASE6
G557	KLHL22
G558	PLEC
G559	FEM1A
G560	XK
G561	CPQ
G562	SPTLC1
G563	EXOC2
G564	IFITM1
G565	TSPAN33
G566	IFRD2
G567	ADGRG3
G568	SERPINB6B
G569	PTDSS1
G570	DUSP2
G571	ODC1
G572	SEPT6
G573	PDE4B
G574	RBPMS
G575	ZFP322A
G576	STAP1
G577	HPCAL1
G578	CCDC137
G579	D10WSU102E
G580	INPP1
G581	PIDD1
G582	COA5
G583	MTREX
G584	PACS1
G585	CYTH3
G586	CHORDC1
G587	ATAD2
G588	TRPV2
G589	NUDCD3
G590	SGPL1
G591	EFTUD2
G592	GLIPR2
G593	TMEM206
G594	NCLN
G595	PACSIN2
G596	GANAB
G597	ERMAP
G598	TBXAS1
G599	SELENOP
G600	CDT1
G601	RPA1
G602	SLC43A1
G603	CHMP7
G604	FTSJ1
G605	CERS4
G606	ZFP62
G607	SPHK1
G608	CCNA2
G609	CKAP2L
G610	ZFP367
G611	OASL2
G612	TMEM185A
G613	RCSD1
G614	CISH
G615	DCAF11
G616	FPGS
G617	METTL7A1
G618	VILL
G619	SNX10
G620	HACD3
G621	TIPIN
G622	CASP4
G623	RAB37
G624	GPR180
G625	SMIM5
G626	SKAP2
G627	FAM168B
G628	SACM1L
G629	KLHL24
G630	SLC41A3
G631	FES
G632	PPIL4
G633	ABCG2
G634	SLC22A3
G635	ZFP24
G636	BTRC
G637	SQLE
G638	ATP11C
G639	GYG
G640	JPT2
G641	SERPINB9
G642	WDR55
G643	DRAM2
G644	RASAL3
G645	PREP
G646	HEATR5A
G647	DLST
G648	ATP6AP1
G649	EMILIN2
G650	RNF115
G651	PRC1
G652	CTSC
G653	PON2
G654	ASAH1
G655	WARS
G656	FBXW5
G657	CEP70
G658	TM7SF3
G659	AQP1
G660	RHOT1
G661	TRMT2A
G662	NAA35
G663	CDC45
G664	PCYT2
G665	PHETA2
G666	CAR1
G667	RRM1
G668	PQLC1
G669	FAM234B
G670	ZFP639
G671	HAUS2
G672	WDR45B
G673	HELLS
G674	NOLC1
G675	TMEM263
G676	TK1
G677	SLC38A5
G678	EPSTI1
G679	TCIRG1
G680	ANXA2
G681	NAGA
G682	NDRG1
G683	CDC6
G684	STXBP4
G685	PLAA
G686	DCK
G687	NEK9
G688	RNF141
G689	TRIM47
G690	STARD10
G691	TANGO2
G692	PEAR1
G693	CTTN
G694	UGCG
G695	CASP1
G696	CD84
G697	GNAI3
G698	CNP
G699	LMBRD1
G700	ABCB8
G701	RNASEL
G702	ALDH9A1
G703	MTFR1
G704	RGS2
G705	P2RX4
G706	GIMAP1
G707	TRIB2
G708	HEXA
G709	FECH
G710	HARS
G711	SCFD1
G712	LDHB
G713	TPX2
G714	STX2
G715	NCAPG2
G716	MFSD1
G717	CUL3
G718	GIMAP6
G719	SDHAF2
G720	TASP1
G721	PRSS50
G722	NEAT1
G723	KLHL23
G724	NARFL
G725	MYO1D
G726	SAMD14
G727	SLC39A9
G728	CENPF
G729	KIF11
G730	TIE1
G731	TYK2
G732	MKI67
G733	LEPROT
G734	CHCHD10
G735	CYTIP
G736	TMUB2
G737	CLPX
G738	THUMPD1
G739	CYB5R1
G740	TAB1
G741	LMNA
G742	CERS5
G743	C1QTNF12
G744	TUBGCP2
G745	ANKRD27
G746	GT(ROSA)26SOR
G747	FAR1
G748	SLC30A6
G749	ANGPT1
G750	GUSB
G751	ENDOD1
G752	ST3GAL5
G753	KIDINS220
G754	KLHL6
G755	AFAP1L1
G756	ATP6AP2
G757	PIK3C3
G758	ARHGAP4
G759	ACOX1
G760	MRM1
G761	RNF139
G762	LLGL1
G763	ANKLE1
G764	POLA2
G765	CENPL
G766	GRAMD1A
G767	GYPA
G768	PRIM2
G769	LPCAT1
G770	ABCB4
G771	SMIM15
G772	PIGQ
G773	CCNE2
G774	CNOT10
G775	MORC3
G776	MSH6
G777	SLC18A2
G778	SMC2
G779	XPR1
G780	ADO
G781	POLD1
G782	SUN1
G783	CIPC
G784	COG7
G785	DNPEP
G786	NCAPD2
G787	LRRFIP1
G788	TERF2IP
G789	SELENBP1
G790	UBAP1
G791	SLC6A6
G792	HEBP1
G793	ASB8
G794	GOLPH3
G795	TFR2
G796	RNF13
G797	DNAJC11
G798	PRKCH
G799	RGCC
G800	APOE
G801	ISG20
G802	UBASH3A
G803	ALG11
G804	ABITRAM
G805	HIST1H2BC
G806	GSS
G807	GMCL1
G808	ESAM
G809	LDAH
G810	ANKFY1
G811	PAFAH1B2
G812	AP5M1
G813	TNFRSF13B
G814	TENT5A
G815	MYL10
G816	PRIM1
G817	BUB1B
G818	SLC43A3
G819	LRRC14
G820	FAM76B
G821	ST8SIA4
G822	ADSSL1
G823	PUS7
G824	CAMK1
G825	PIP4K2A
G826	STX17
G827	ITIH5
G828	ZYX
G829	IFI30
G830	NAMPT
G831	PRPS2
G832	CDCA5
G833	ZKSCAN3
G834	DTL
G835	GSKIP
G836	SGTA
G837	SVIP
G838	NSDHL
G839	SPPL2B
G840	MARS
G841	DNAJC5
G842	WLS
G843	COQ8A
G844	SETD2
G845	SLC14A1
G846	COLGALT1
G847	NUP85
G848	MNS1
G849	FBXO5
G850	DHFR
G851	GIMAP5
G852	ICE1
G853	ISYNA1
G854	PLCG2
G855	TREML2
G856	UBA7
G857	RANGAP1
G858	HNRNPLL
G859	RPRD1B
G860	DNAJC10
G861	COPS8
G862	RFESD
G863	SERPINF1
G864	TCP11L2
G865	SESN1
G866	MBOAT2
G867	RCC1
G868	IL15
G869	COL5A1
G870	NAE1
G871	MAN2A2
G872	PPP6C
G873	CALCRL
G874	ORC5
G875	PPIC
G876	CENPA
G877	METAP1
G878	CRBN
G879	PBK
G880	TMEM68
G881	APEH
G882	F11R
G883	AP1B1
G884	RHOF
G885	PRKAB1
G886	ST6GALNAC4
G887	ITGA6
G888	CSTF2
G889	BTK
G890	PDZK1IP1
G891	ATG4B
G892	CHP1
G893	MTAP
G894	HSDL1
G895	PPOX
G896	PLPPR3
G897	PCLAF
G898	ALDH1A1
G899	ANXA6
G900	CASP2
G901	RAB31
G902	PHAX
G903	KEL
G904	ACAA2
G905	HUS1
G906	NDEL1
G907	DOCK2
G908	ASF1B
G909	JAK3
G910	MEMO1
G911	ACSS2
G912	SDSL
G913	ZFP930
G914	POLE3
G915	CSGALNACT2
G916	TFG
G917	WDHD1
G918	SASH3
G919	HACD4
G920	TMEM168
G921	IARS
G922	IARS2
G923	ARAP1
G924	PKLR
G925	HMMR
G926	MAD2L1
G927	PJA2
G928	ZFP451
G929	MTO1
G930	TOM1L1
G931	RMND5A
G932	UBXN2B
G933	PSEN1
G934	ATL2
G935	ST3GAL6
G936	CES2G
G937	TMEM64
G938	TACC3
G939	RFC4
G940	CKS1B
G941	CARHSP1
G942	L2HGDH
G943	FZR1
G944	BYSL
G945	ATP13A1
G946	DCTD
G947	MYH10
G948	SGPP1
G949	MIS12
G950	ARHGEF6
G951	PLK1
G952	MAN1A
G953	CASP3
G954	CCNE1
G955	USP37
G956	NOL9
G957	RNF213
G958	TSPO2
G959	SIGIRR
G960	GMNN
G961	IFI203
G962	PRPS1
G963	EIF4ENIF1
G964	PICALM
G965	MUC13
G966	ANAPC4
G967	HEMGN
G968	PTDSS2
G969	URB2
G970	NIT1
G971	FGFR1OP
G972	UNC93B1
G973	AMPD3
G974	GARS
G975	RANBP3
G976	SLA
G977	MRPL37
G978	INPP5B
G979	WDR75
G980	SLC16A1
G981	GORASP1
G982	THUMPD3
G983	AW112010
G984	ALDH18A1
G985	UBL4A
G986	BUB1
G987	ICA1
G988	ANXA4
G989	NET1
G990	TMEM176A
G991	CD74
G992	FIGNL1
G993	PIK3R2
G994	DYNLT3
G995	ABCB10
G996	MT2
G997	ESYT2
G998	CD63
G999	STXBP3
G1000	AHCYL1
G1001	SSX2IP
G1002	HSD3B7
G1003	STOM
G1004	VPS11
G1005	GM15915
G1006	TARS
G1007	TMEM173
G1008	SLC30A5
G1009	ADK
G1010	LAP3
G1011	ANXA5
G1012	NCEH1
G1013	CLN5
G1014	USP8
G1015	ZMYM3
G1016	DIS3L2
G1017	LANCL2
G1018	METTL8
G1019	DHX33
G1020	TRIM59
G1021	GOLM1
G1022	FADS1
G1023	DNM1L
G1024	IL21R
G1025	GSR
G1026	FARSB
G1027	MCTP1
G1028	SLC39A10
G1029	ZFP871
G1030	PIK3IP1
G1031	TAPT1
G1032	NAPSA
G1033	OSTM1
G1034	CRK
G1035	PPM1H
G1036	PLD3
G1037	RABGGTB
G1038	HSPH1
G1039	VPS26C
G1040	LY6A
G1041	AAR2
G1042	ATP7B
G1043	NSD2
G1044	MT1
G1045	UAP1
G1046	TOR3A
G1047	NARF
G1048	TUBGCP3
G1049	PITPNB
G1050	FKBP1A
G1051	TGM2
G1052	CHMP3
G1053	RABIF
G1054	CAPN7
G1055	IGHM
G1056	SPTBN1
G1057	TTLL12
G1058	BID
G1059	MAPKAPK3
G1060	SEPT8
G1061	LRRC8C
G1062	GNB4
G1063	ARMC8
G1064	IPO4
G1065	VKORC1L1
G1066	DECR1
G1067	TMEM176B
G1068	1700006J14RIK
G1069	MPL
G1070	EXT2
G1071	NEURL3
G1072	TNFAIP2
G1073	2210016F16RIK
G1074	EBI3
G1075	CUL2
G1076	SLC44A2
G1077	MFSD2B
G1078	NUP93
G1079	ME2
G1080	TBC1D15
G1081	GFM1
G1082	STX12
G1083	GRINA
G1084	CSAD
G1085	ALG9
G1086	UBR1
G1087	CENPO
G1088	TMX3
G1089	NELFB
G1090	NADK
G1091	PGLYRP2
G1092	CTLA2B
G1093	NUSAP1
G1094	ELMO1
G1095	CALU
G1096	SLC31A1
G1097	ITFG1
G1098	GALK2
G1099	RAD51AP1
G1100	RAD21
G1101	PMPCA
G1102	OAT
G1103	GDF3
G1104	PCP4L1
G1105	SERPINB1A
G1106	VAMP3
G1107	RFC5
G1108	PDCL
G1109	B3GALNT2
G1110	ZFP961
G1111	9430015G10RIK
G1112	GBP2
G1113	WDSUB1
G1114	RCOR1
G1115	PSAT1
G1116	LCP2
G1117	COG6
G1118	SLC25A38
G1119	LONP1
G1120	GYPC
G1121	MIEF1
G1122	4833439L19RIK
G1123	H2-OB
G1124	D1ERTD622E
G1125	SPRYD4
G1126	TMEM164
G1127	ELOVL1
G1128	PLXNC1
G1129	LIG1
G1130	DPH2
G1131	9030619P08RIK
G1132	RPAP1
G1133	CPOX
G1134	CDCA4
G1135	MFSD14B
G1136	SPPL2A
G1137	RGS1
G1138	POGLUT1
G1139	INTS13
G1140	CNIH1
G1141	CUL4A
G1142	CELA1
G1143	CAST
G1144	TCN2
G1145	TFRC
G1146	CHUK
G1147	GM19590
G1148	CPT1A
G1149	PLA2G12A
G1150	USP25
G1151	QARS
G1152	ARHGEF18
G1153	PRMT7
G1154	2610301B20RIK
G1155	RMND5B
G1156	KIF22
G1157	NUDT4
G1158	TYMS
G1159	FASTKD2
G1160	SPIRE1
G1161	CDK1
G1162	PPP2R1B
G1163	YBX3
G1164	STXBP1
G1165	ANAPC2
G1166	HAGH
G1167	NT5DC1
G1168	PLEK
G1169	FCHSD2
G1170	EXOC3
G1171	MARCH8
G1172	DPH6
G1173	MMRN1
G1174	FOXRED1
G1175	RAB32
G1176	TSPAN14
G1177	STT3B
G1178	TRMT11
G1179	ARL8B
G1180	SLC29A1
G1181	MMUT
G1182	NUDT9
G1183	TMEM186
G1184	ATAD1
G1185	GPSM2
G1186	CLCN4
G1187	LPIN2
G1188	OPTN
G1189	MOGS
G1190	CTSE
G1191	CTNNA1
G1192	HPN
G1193	SLC25A45
G1194	UHRF1
G1195	P2RY14
G1196	METAP1D
G1197	SMIM1
G1198	RPP40
G1199	LYZ2
G1200	SLC20A1
G1201	TBL3
G1202	XPNPEP1
G1203	UTP4
