#ID	Name
G0	ZNF589
G231	HMGN1
G232	MAFF
G233	FOXH1
G234	EOMES
G235	EYA3
G236	ZNF232
G237	SRSF1
G238	THRAP3
G239	GTF2H3
G240	PAPOLA
G241	ZBTB16
G242	MCM5
G243	ZFP42
G244	TIMELESS
G245	XBP1
G246	POLR2B
G247	PDLIM7
G248	FOSB
G249	HNF4A
G250	ADNP
G251	NUPR1
G252	ZNF160
G253	TCF25
G254	FOXM1
G255	NR2F6
G256	RAD54B
G257	SMARCD2
G258	EED
G259	DNMT1
G260	HMGA1
G261	LIN28A
G262	TRERF1
G263	BMP2
G264	TAF1A
G265	ZHX1
G266	CSDE1
G267	CENPK
G268	TCF3
G269	TCF4
G270	CXXC1
G271	DEK
G272	MYC
G273	ANKRD1
G274	PMS1
G275	GATAD2B
G276	EHMT1
G277	ZFP64
G278	SMARCA5
G279	RBM39
G280	MED21
G281	NEIL2
G282	NR1I3
G283	H1F0
G284	SUB1
G285	NPM1
G286	ILF2
G287	CDCA7L
G288	HIST1H1E
G289	ZNF208
G290	MAPK1
G291	PA2G4
G292	KNTC1
G293	FUBP1
G294	CEBPA
G295	ZNF101
G296	HDAC2
G297	PDCD11
G298	ZNF397
G299	DPF2
G300	BRIP1
G301	ZNF398
G302	CREB3L4
G303	BCL11A
G304	MAZ
G305	DDX54
G306	POU2F1
G307	SRSF6
G308	AHR
G309	TADA3
G310	DDX20
G311	ILF3
G312	MED30
G313	EGF
G314	ZNF33A
G315	ZIC2
G316	GTF2F2
G317	RFX6
G318	ZFP36
G319	SRSF3
G320	FHL2
G321	RUVBL1
G322	KLF5
G323	DAXX
G324	JMJD1C
G325	BRCA1
G326	NR5A2
G327	TRIP13
G328	BPTF
G329	PIAS2
G330	IVNS1ABP
G331	DNMT3A
G332	HMGN3
G333	ZNRD1
G334	ZSCAN21
G335	ZNF107
G336	DDB2
G337	BTF3
G338	EWSR1
G339	SIRT2
G340	CBX3
G341	EIF5B
G342	PREB
G343	GTF3C5
G344	BTG1
G345	PITX2
G346	SMAD5
G347	HIPK2
G348	SRSF2
G349	NME2
G350	NR2F2
G351	RUVBL2
G352	RAD51
G353	FXR1
G354	PARP1
G355	SOX11
G356	SRSF10
G357	KDM4C
G358	ZNF766
G359	RNPS1
G360	AATF
G361	RBPJ
G362	BMPR1A
G363	GATA5
G364	KHDRBS1
G365	ING1
G366	MLXIPL
G367	ZRANB2
G368	SEC14L2
G369	MYCN
G370	TARDBP
G371	ASCC3
G372	ZNF91
G373	TEAD2
G374	PRDM14
G375	FOXA1
G376	COPS2
G377	TAF6
G378	POLR1E
G379	JUND
G380	SRF
G381	GEMIN2
G382	SALL3
G383	ZNF239
G384	GTF3C4
G385	MAF
G386	U2AF1
G387	SMAD2
G388	GTF2I
G389	TRIM25
G390	DNAJC2
G391	TOP2B
G392	TAF1B
G393	PIAS3
G394	ENO1
G395	EGFR
G396	SCD5
G397	TTF2
G398	CHD8
G399	POLR3E
G400	HIST1H1C
G401	CHAF1A
G402	REST
G403	DAB2
G404	PBX1
G405	ZNF675
G406	ELF1
G407	BRCA2
G408	WDR5
G409	RFXANK
G410	RNF2
G411	MED20
G412	NANOG
G413	HCFC1
G414	MEF2C
G415	NR3C1
G416	THRB
G417	POLR2L
G418	ZNF202
G419	CNBP
G420	TAF7
G421	MTF2
G422	ORC2
G423	SMAD3
G424	CCND1
G425	ZNF354A
G426	TCERG1
G427	TAF5
G428	PAX6
G429	POU5F1
G430	DOT1L
G431	ZNF638
G432	ETV5
G433	ZIC3
G434	CEBPD
G435	RARG
G436	TEAD4
G437	ECD
G438	APEX1
G439	MED4
G440	ZNF146
G441	ZNF670
G442	UHRF1
G443	XRCC5
G444	AFF4
G445	RAI14
G446	NCOA1
G447	HNRNPK
G448	HAUS1
G449	TAGLN
G450	RSU1
G451	UTP18
G452	ANAPC7
G453	POLB
G454	PAK1IP1
G455	CAPG
G456	FANCB
G457	CMC1
G458	PON2
G459	TIPIN
G460	ALG8
G461	ACOX2
G462	RAMP1
G463	KNG1
G464	GSTK1
G465	CCNB1
G466	ANAPC4
G467	FGG
G468	P4HA2
G469	UCP2
G470	ACTC1
G471	SMOX
G472	NDUFAF7
G473	CHEK2
G474	APOB
G475	MMS22L
G476	WDYHV1
G477	HPN
G478	CETN3
G479	SHMT2
G480	FUCA1
G481	NUDT15
G482	BLVRA
G483	IFITM3
G484	MST1
G485	COMMD3
G486	BLM
G487	PSAT1
G488	DCLRE1C
G489	YAE1D1
G490	CACYBP
G491	TMEM177
G492	EPHX2
G493	SDAD1
G494	RGN
G495	MEP1A
G496	DDC
G497	SGK1
G498	CDK4
G499	GATM
G500	TIMM21
G501	BST2
G502	DROSHA
G503	EFTUD2
G504	SFRP1
G505	SCGB3A2
G506	ACY1
G507	MGST2
G508	CTPS1
G509	IMP4
G510	CPSF3
G511	CCL2
G512	GALM
G513	MTERF3
G514	RFC2
G515	DTWD1
G516	GMPS
G517	ASL
G518	CDK5RAP1
G519	RAD51AP1
G520	KIF20B
G521	SPINK1
G522	AGTRAP
G523	SIL1
G524	PARPBP
G525	PUS7L
G526	ARG2
G527	B4GALT3
G528	PIH1D1
G529	PLA2G12B
G530	C11orf74
G531	NUP37
G532	MSH2
G533	PIGH
G534	KLHL7
G535	BPHL
G536	GSTA2
G537	AXL
G538	ARL6IP6
G539	IFITM2
G540	OAZ2
G541	HP
G542	S100A6
G543	MTHFD1
G544	PLK1
G545	ALB
G546	PLIN2
G547	ITGB3BP
G548	SLC7A6
G549	ALG6
G550	RRM1
G551	DPH5
G552	CDKN3
G553	NCAPG
G554	FLRT3
G555	SLC25A20
G556	ZNF770
G557	GEMIN8
G558	APOC3
G559	RFC4
G560	SCN7A
G561	SLN
G562	MTHFD2
G563	FGA
G564	GSN
G565	CRYZL1
G566	KNSTRN
G567	PCNA
G568	ISY1
G569	ANG
G570	TIMM9
G571	PRAP1
G572	MFAP2
G573	DERA
G574	ANLN
G575	ZNF561
G576	ITGB5
G577	UCHL1
G578	FEN1
G579	SGOL1
G580	PHF5A
G581	IFITM1
G582	SLC7A7
G583	CUBN
G584	PRIM1
G585	HLA.DRB5
G586	ACADSB
G587	GPC3
G588	ASNS
G589	IQCB1
G590	ECHDC2
G591	GPM6B
G592	MORN2
G593	ZFAND2A
G594	BUB1B
G595	THOC1
G596	COQ3
G597	THYN1
G598	PDZK1
G599	BCS1L
G600	TFF1
G601	ZWILCH
G602	C9orf72
G603	ITLN2
G604	MUSTN1
G605	CNOT10
G606	LRR1
G607	C11orf1
G608	CENPW
G609	SUPV3L1
G610	FGB
G611	C12orf45
G612	LGALS2
G613	NVL
G614	SULT1A2
G615	DSN1
G616	FANCD2
G617	RRM2
G618	CCDC82
G619	DKC1
G620	FMO5
G621	NUP54
G622	ASNSD1
G623	WFDC2
G624	PRKCE
G625	RAB25
G626	APOA4
G627	NEK2
G628	SMC4
G629	NIP7
G630	SLC51A
G631	PLCD1
G632	DPH6
G633	TNNI3
G634	AFP
G635	CRAT
G636	UGP2
G637	TBRG4
G638	SEPP1
G639	C1GALT1
G640	AKR1D1
G641	LITAF
G642	INMT
G643	WDR74
G644	DCAF13
G645	FAM64A
G646	ITIH4
G647	NDUFAF5
G648	SEMA3E
G649	GGCT
G650	RBP4
G651	APOC4.APOC2
G652	SPP1
G653	C12orf10
G654	LAMC1
G655	NEDD1
G656	AKR1B1
G657	HAT1
G658	ARSE
G659	VCAN
G660	CCS
G661	ASPH
G662	CYP3A5
G663	FABP1
G664	DDX39A
G665	CTSE
G666	RAB28
G667	OCIAD2
G668	MAP1B
G669	TDGF1
G670	STMN1
G671	TM4SF4
G672	LMO7
G673	PEMT
G674	TOP2A
G675	KIAA0101
G676	NPRL2
G677	UMPS
G678	ALDH1A1
G679	ESRG
G680	CTSC
G681	EXOSC9
G682	RBP2
G683	NUSAP1
G684	PPFIBP2
G685	AASS
G686	RNASE4
G687	CENPF
G688	PPT1
G689	ECT2
G690	ACAD11
G691	HMMR
G692	MTTP
G693	IL6ST
G694	EXOSC3
G695	UTRN
G696	ODF2L
G697	DPYSL2
G698	SF3B3
G699	DDIT4
G700	PDGFRA
G701	CUEDC2
G702	GPN3
G703	C17orf75
G704	ZFYVE21
G705	KIFAP3
G706	WDHD1
G707	PRC1
G708	TNNT1
G709	LCP1
G710	DNAH14
G711	FBL
G712	IL32
G713	CIDEB
G714	HMGCS2
G715	ANPEP
G716	COMMD10
G717	SH3BGRL
G718	DDAH1
G719	ASUN
G720	MRPS27
G721	HNRNPH2
G722	WDR43
G723	ASGR1
G724	CBR1
G725	FAM13A
G726	GSTA1
G727	HPRT1
G728	DECR1
G729	NNAT
G730	HSD17B11
G731	LCMT1
G732	ANP32E
G733	AMBP
G734	GMNN
G735	CAMK2D
G736	CENPN
G737	PHGDH
G738	ACOT7
G739	EBNA1BP2
G740	RHOBTB3
G741	ADSL
G742	DEPDC7
G743	RNF138
G744	ATP1B3
G745	LEFTY2
G746	PRPS2
G747	APOC2
G748	NUDT1
G749	AGT
G750	HGD
G751	DPPA4
G752	APOA2
G753	CA2
G754	CENPU
G755	ACAA1
G756	MTAP
G757	DPAGT1
G758	G2E3
G759	MT1X
G760	UQCC1
G761	HMGN4
G762	CENPE
G763	DPCD
G764	HELLS
G765	NUP93
G766	FANCI
G767	MTUS1
G768	GNPNAT1
G769	ATL2
G770	SLC7A3
G771	LGALS1
G772	TFPI
G773	CDC20
G774	ALDH9A1
G775	MAD2L1
G776	SERPINB1
G777	MRPL1
G778	ATG5
G779	USP7
G780	UBE2C
G781	BUB1
G782	USP44
G783	NUP88
G784	THY1
G785	VTN
G786	MTMR2
G787	NUP85
G788	TPX2
G789	UGT2B11
G790	ICA1
G791	NOL10
G792	C3orf14
G793	TDP2
G794	S100A16
G795	TFRC
G796	RNASE1
G797	CKAP2
G798	IQGAP2
G799	RAD51C
G800	APOA1
G801	HERPUD1
G802	TATDN3
G803	ISG15
G804	BIRC5
G805	FXYD5
G806	PPIL1
G807	FKBP11
G808	F2RL1
G809	STC1
G810	MLF1
G811	GULP1
G812	LGALS3
G813	ZNF93
G814	WDR54
G815	ACADVL
G816	TMEM37
G817	MPC1
G818	QTRTD1
G819	HIBCH
G820	XPO5
G821	LEAP2
G822	TMEM69
G823	GYG1
G824	EEF1E1
G825	TSFM
G826	NODAL
G827	TERF1
G828	FLRT2
G829	MPHOSPH9
G830	CEP70
G831	VRK1
G832	CHEK1
G833	SEC11C
G834	FASTKD2
G835	HPX
G836	PAFAH1B3
G837	TF
G838	ICE2
G839	QPCT
G840	CER1
G841	PRMT5
G842	BBS9
G843	CKS1B
G844	AIMP2
G845	PMAIP1
G846	AURKA
G847	SHISA2
G848	TEX10
G849	VPS72
G850	CUTC
G851	CD9
G852	LAMB1
G853	WDR12
G854	KDELR3
G855	G6PC3
G856	RNASEH2A
G857	MELK
G858	FAM151A
G859	MEST
G860	NUF2
G861	SULF2
G862	PEF1
G863	SKA3
G864	SLC38A2
G865	ATIC
G866	AMZ2
G867	CKS2
G868	PIM2
G869	NIF3L1
G870	WIPI1
G871	SLC38A1
G872	PSMG1
G873	CDK1
G874	DNASE1
G875	GRPR
G876	DLGAP5
G877	AURKB
G878	DNPEP
G879	KIF22
G880	MTFP1
G881	C19orf48
G882	PPP1R7
G883	UBE2T
G884	NDUFAF4
G885	TPD52L1
G886	PYGL
G887	BSCL2
G888	SAAL1
G889	HMGCL
G890	APOC1
G891	ZDHHC4
G892	ATG4C
G893	UBL7
G894	NUP35
G895	SPTLC3
G896	APEH
G897	STX8
G898	GLIPR2
G899	BZW2
G900	S100A14
G901	TK1
G902	KPNA2
G903	CCNB2
G904	TMEM120A
G905	TTR
G906	YARS
G907	L1TD1
G908	DGAT1
G909	CAPN12
G910	POP5
G911	ANXA3
G912	TTC39C
G913	TMEM150C
G914	SERPIND1
G915	FANCL
G916	F10
G917	BRIX1
G918	ANXA4
G919	EFNA1
G920	FAM114A1
G921	MT1G
G922	ERBB4
G923	AHSG
G924	ZWINT
G925	SLC35D2
G926	RAB34
G927	DUT
G928	GNRH2
G929	TPM2
G930	DCTPP1
G931	KIF23
G932	NT5DC2
G933	LAPTM4B
G934	GALK1
G935	NOP16
G936	F3
G937	HSPE1.MOB4
G938	WARS
G939	GMPR2
G940	TUBB6
G941	ACTL6A
G942	TRIM59
G943	DPEP1
G944	CDCA3
G945	ORC4
G946	LAMB2
G947	SCAPER
