G0	ZNF589
G232	MAFF
G233	FOXH1
G234	EOMES
G235	EYA3
G236	ZNF232
G237	SRSF1
G238	THRAP3
G239	GTF2H3
G240	PAPOLA
G241	ZBTB16
G242	MCM5
G243	ZFP42
G244	TIMELESS
G245	XBP1
G246	POLR2B
G247	PDLIM7
G248	FOSB
G249	HNF4A
G250	ADNP
G251	NUPR1
G252	ZNF160
G253	TCF25
G254	FOXM1
G255	NR2F6
G256	RAD54B
G257	SMARCD2
G258	EED
G259	DNMT1
G260	HMGA1
G261	LIN28A
G262	TRERF1
G263	BMP2
G264	TAF1A
G265	ZHX1
G266	CSDE1
G267	CENPK
G268	TCF3
G269	TCF4
G270	CXXC1
G271	DEK
G272	MYC
G273	ANKRD1
G274	PMS1
G275	GATAD2B
G276	EHMT1
G277	ZFP64
G278	SMARCA5
G279	RBM39
G280	MED21
G281	NEIL2
G282	NR1I3
G283	H1F0
G284	SUB1
G285	NPM1
G286	ILF2
G287	CDCA7L
G288	HIST1H1E
G289	ZNF208
G290	MAPK1
G291	PA2G4
G292	KNTC1
G293	FUBP1
G294	CEBPA
G295	ZNF101
G296	HDAC2
G297	PDCD11
G298	ZNF397
G299	DPF2
G300	BRIP1
G301	ZNF398
G302	CREB3L4
G303	BCL11A
G304	MAZ
G305	DDX54
G306	POU2F1
G307	SRSF6
G308	AHR
G309	TADA3
G310	DDX20
G311	ILF3
G312	MED30
G313	EGF
G314	ZNF33A
G315	ZIC2
G316	GTF2F2
G317	RFX6
G318	ZFP36
G319	SRSF3
G320	FHL2
G321	RUVBL1
G322	KLF5
G323	DAXX
G324	JMJD1C
G325	BRCA1
G326	NR5A2
G327	TRIP13
G328	BPTF
G329	PIAS2
G330	IVNS1ABP
G331	DNMT3A
G332	HMGN3
G333	ZNRD1
G334	ZSCAN21
G335	ZNF107
G336	DDB2
G337	BTF3
G338	EWSR1
G339	SIRT2
G340	CBX3
G341	EIF5B
G342	PREB
G343	GTF3C5
G344	BTG1
G345	PITX2
G346	SMAD5
G347	HIPK2
G348	SRSF2
G349	NME2
G350	NR2F2
G351	RUVBL2
G352	RAD51
G353	FXR1
G354	PARP1
G355	SOX11
G356	SRSF10
G357	KDM4C
G358	ZNF766
G359	RNPS1
G360	AATF
G361	RBPJ
G362	BMPR1A
G363	GATA5
G364	KHDRBS1
G365	ING1
G366	MLXIPL
G367	ZRANB2
G368	SEC14L2
G369	MYCN
G370	TARDBP
G371	ASCC3
G372	ZNF91
G373	TEAD2
G374	PRDM14
G375	FOXA1
G376	COPS2
G377	TAF6
G378	POLR1E
G379	JUND
G380	SRF
G381	GEMIN2
G382	SALL3
G383	ZNF239
G384	GTF3C4
G385	MAF
G386	U2AF1
G387	SMAD2
G388	GTF2I
G389	TRIM25
G390	DNAJC2
G391	TOP2B
G392	TAF1B
G393	PIAS3
G394	ENO1
G395	EGFR
G396	SCD5
G397	TTF2
G398	CHD8
G399	POLR3E
G400	HIST1H1C
G401	CHAF1A
G402	REST
G403	DAB2
G404	PBX1
G405	ZNF675
G406	ELF1
G407	BRCA2
G408	WDR5
G409	RFXANK
G410	RNF2
G411	MED20
G412	NANOG
G413	HCFC1
G414	MEF2C
G415	NR3C1
G416	THRB
G417	POLR2L
G418	ZNF202
G419	CNBP
G420	TAF7
G421	MTF2
G422	ORC2
G423	SMAD3
G424	CCND1
G425	ZNF354A
G426	TCERG1
G427	TAF5
G428	PAX6
G429	POU5F1
G430	DOT1L
G431	ZNF638
G432	ETV5
G433	ZIC3
G434	CEBPD
G435	RARG
G436	TEAD4
G437	ECD
G438	APEX1
G439	MED4
G440	ZNF146
G441	ZNF670
G442	UHRF1
G443	XRCC5
G444	AFF4
G445	RAI14
G446	NCOA1
G447	HNRNPK
