#ID	Name
G0	WDR5
G178	STAT3
G179	NCOA6
G180	THRB
G181	PRDM5
G182	RELB
G183	IRF6
G184	ABTB1
G185	NFIA
G186	BTG2
G187	ZZZ3
G188	BATF2
G189	MYNN
G190	TSHZ3
G191	KLF3
G192	MYCN
G193	VHL
G194	ZBTB10
G195	ZKSCAN17
G196	ZFP592
G197	POLR2B
G198	GFI1
G199	RAD21
G200	GTF2H1
G201	TCF19
G202	HNF4A
G203	ORC2
G204	ELL2
G205	NRF1
G206	ZSCAN21
G207	ABL1
G208	ZFP110
G209	MTFR1
G210	CD93
G211	JAK3
G212	GSTM5
G213	MTHFD1
G214	ZFP451
G215	CASP1
G216	ALDH9A1
G217	TLK1
G218	UBA3
G219	ELAC2
G220	TES
G221	TOP2A
G222	GM28875
G223	ZFP930
G224	DNM1L
G225	SMIM15
G226	VIM
G227	9030619P08RIK
G228	WDR36
G229	SNAP23
G230	PDK3
G231	SCRN3
G232	GANAB
G233	SLC18A2
G234	CACFD1
G235	ZFP945
G236	ZFP672
G237	GNAI3
G238	SEPT6
G239	NSD2
G240	KRT18
G241	FZR1
G242	MED22
G243	GMPR
G244	TFG
G245	DIS3L2
G246	PWWP3A
G247	STXBP3
G248	VPS26C
G249	TOM1L1
G250	KPNA3
G251	DDHD2
G252	EIF1AD
G253	KAT7
G254	UBXN2B
G255	CDCA5
G256	UROS
G257	ERLIN2
G258	H2-OB
G259	OSTM1
G260	RNASE6
G261	D1ERTD622E
G262	FAM91A1
G263	COPB1
G264	NUSAP1
G265	VPS33B
G266	LRRC14
G267	ABI1
G268	ASB8
G269	RGS1
G270	PPIC
G271	CYB5R3
G272	CYB5R1
G273	UBE2C
G274	PREP
G275	ARMC8
G276	HEXA
G277	GLIPR2
G278	USP37
G279	SPPL2B
G280	CD9
G281	ST6GALNAC4
G282	SPC24
G283	USF3
G284	PBK
G285	ANKFY1
G286	SUPT7L
G287	DNAJC5
G288	UNK
G289	BAG2
G290	MFNG
G291	APEH
G292	SLC39A9
G293	MYO1G
G294	TBC1D2B
G295	PLAC8
G296	AP1B1
G297	FBXW5
G298	MSH6
G299	SLC6A6
G300	TMEM97
G301	MFSD14B
G302	POLE3
G303	MARCH5
G304	TBL3
G305	QARS
G306	LY6A
G307	HAGH
G308	BYSL
G309	SGTA
G310	COL5A1
G311	METTL8
G312	RNF213
G313	NEURL3
G314	ANAPC4
G315	ABCD3
G316	DHX33
G317	FECH
G318	RNF141
G319	SPTBN1
G320	CD34
G321	MFSD2B
G322	CERS4
G323	MNDAL
G324	MIEF1
G325	PSMD6
G326	SIGIRR
G327	CLDN13
G328	ABCG2
G329	KIF11
G330	SPPL2A
G331	F11R
G332	RARS
G333	TMC6
G334	TFRC
G335	STXBP4
G336	TNFAIP2
G337	WDR75
G338	GARS
G339	SERPINB1A
G340	COPB2
G341	B230219D22RIK
G342	SQOR
G343	ADGRL4
G344	WDR73
G345	NCLN
G346	PSEN1
G347	CAD
G348	LRRFIP1
G349	SPIRE1
G350	OAT
G351	MARS
G352	TBCD
G353	PRKAR2B
G354	MIS12
G355	PTDSS2
G356	WDR45B
G357	SLC25A45
G358	SPC25
G359	ZFP24
G360	HMMR
G361	GMCL1
G362	RFC5
G363	SLC31A1
G364	NXPE2
G365	NPLOC4
G366	MAN2A2
G367	GSS
G368	HEBP1
G369	AURKB
G370	SDHAF2
G371	KIF20B
G372	GOSR2
G373	AQP1
G374	AURKA
G375	PPM1H
G376	TMEM186
G377	PITPNB
G378	DCAF11
G379	NUDT4
G380	SKAP2
G381	TIE1
G382	SLC43A1
G383	CHCHD10
G384	MCTP1
G385	COPS8
G386	MYCT1
G387	IL21R
G388	BCAP29
G389	TCIRG1
G390	CDK1
G391	MINPP1
G392	SCARB1
G393	ICE1
G394	LCP1
G395	COPG1
G396	BTRC
G397	NELFB
G398	RBPMS
G399	USP10
G400	VPS35
G401	PIDD1
G402	CDC20
G403	IGHM
G404	GM19590
G405	MFN2
G406	TRMT2A
G407	TMEM176B
G408	CCNE2
G409	PPP6C
G410	NDEL1
G411	FASTKD2
G412	MYH10
G413	TYMS
G414	SLC16A1
G415	ANXA5
G416	CHUK
G417	PUS7
G418	NUP107
G419	INTS13
G420	FAR1
G421	DPP8
G422	TMEM206
G423	RHAG
G424	NARF
G425	EPSTI1
G426	ERLIN1
G427	BC005561
G428	FTSJ3
G429	LPIN2
G430	SLC7A4
G431	CTNNA1
G432	GALK2
G433	FBXO5
G434	RMND5A
G435	INPP1
G436	GNA13
G437	DUS1L
G438	EXOC2
G439	MKI67
G440	IFRD2
G441	HEATR5A
G442	GOLM1
G443	EIF2B1
G444	SLA
G445	SPRYD4
G446	CCNG1
G447	SEPT8
G448	JPT2
G449	LAPTM4B
G450	CUL3
G451	PTDSS1
G452	SLC20A1
G453	SMC2
G454	MNS1
G455	CTSC
G456	PJA2
G457	SACM1L
G458	NDC1
G459	CD74
G460	EIF4ENIF1
G461	CRIP2
G462	HARS
G463	SNRNP200
G464	CCNE1
G465	STXBP1
G466	GIMAP1
G467	TMEM68
G468	HARS2
G469	PTPN12
G470	CIPC
G471	MBTPS1
G472	NEDD1
G473	CDC45
G474	RASA3
G475	PKLR
G476	ASNS
G477	MFGE8
G478	UBR7
G479	PWP2
G480	TUBGCP2
G481	CAPN7
G482	GMFB
G483	PRELID3B
G484	CYTIP
G485	NDUFV1
G486	DENND1C
G487	PNO1
G488	CTPS
G489	SAMD14
G490	ATAD2
G491	GM2A
G492	INKA1
G493	CYTH3
G494	GEMIN5
G495	SMIM1
G496	PPIL4
G497	EMILIN2
G498	TPP1
G499	XK
G500	CDCA4
G501	TRIM47
G502	THUMPD1
G503	ATP6AP2
G504	TENT5A
G505	VPS11
G506	TUBGCP3
G507	PCCA
G508	RTP4
G509	ATP6V1A
G510	ZFP961
G511	TMEM177
G512	TMEM64
G513	TSPAN14
G514	ESAM
G515	EPS15
G516	ZFP322A
G517	ELMO1
G518	ASF1B
G519	ADO
G520	CDCA3
G521	PRPF4
G522	CES2G
G523	IFI30
G524	TNFRSF13B
G525	KLHL23
G526	CASP4
G527	ORC5
G528	TMEM168
G529	PAFAH1B2
G530	UTP4
G531	CCNF
G532	ADAMTS10
G533	AI506816
G534	NAA50
G535	CASP3
G536	RAD51AP1
G537	ADGRG3
G538	CENPO
G539	HERC4
G540	UBA5
G541	NOLC1
G542	YOD1
G543	ZFP871
G544	HEMGN
G545	VKORC1L1
G546	TRIM59
G547	MTAP
G548	EXT2
G549	MRPL37
G550	CPQ
G551	IFI203
G552	CEPT1
G553	ENPP4
G554	B3GALNT2
G555	LPCAT1
G556	USP25
G557	NUP88
G558	LRRC8C
G559	WDR55
G560	PRKAB1
G561	SGPP1
G562	CLPTM1L
G563	RASSF5
G564	CNIH1
G565	NOL9
G566	1700006J14RIK
G567	DUSP2
G568	TARS
G569	SLC14A1
G570	HIST1H2BC
G571	SQLE
G572	IARS2
G573	TIMM50
G574	NGLY1
G575	TMX3
G576	VPS16
G577	ST8SIA4
G578	IL27RA
G579	TSPO2
G580	CD63
G581	PLAA
G582	GSR
G583	IFITM1
G584	NIT1
G585	GCLC
G586	L2HGDH
G587	INTS8
G588	PICALM
G589	SUN1
G590	GSTM1
G591	GPKOW
G592	LSP1
G593	CHP1
G594	EMILIN1
G595	STT3B
G596	ADD2
G597	4833439L19RIK
G598	DCK
G599	PLEK
G600	SHCBP1
G601	MBOAT2
G602	ATP7B
G603	SLC41A3
G604	ACAP1
G605	PSMD5
G606	LDAH
G607	LYZ2
G608	NT5DC1
G609	SLC22A3
G610	NEK9
G611	SERPINA3G
G612	ODC1
G613	TBXAS1
G614	ST3GAL6
G615	SPNS2
G616	RMND5B
G617	HACD3
G618	GM8995
G619	SLC11A2
G620	LMBRD1
G621	GPSM2
G622	STX12
G623	IPO4
G624	TMEM173
G625	ACOX1
G626	NAA35
G627	CYTH4
G628	NUBP2
G629	PSEN2
G630	IFT140
G631	ACAA2
G632	CTSE
G633	CYP20A1
G634	MIOS
G635	CHORDC1
G636	LYRM4
G637	CTLA2A
G638	GORASP1
G639	WLS
G640	CKAP2L
G641	NUDCD1
G642	TASP1
G643	AP1G2
G644	RPP40
G645	LZTR1
G646	IGKC
G647	ISG20
G648	TCN2
G649	CKS1B
G650	ATP1B2
G651	CLN5
G652	BLVRB
G653	SLC30A5
G654	MARCH8
G655	RPAP1
G656	TM7SF3
G657	MYL10
G658	KLHL6
G659	FIGNL1
G660	VPS33A
G661	2610035D17RIK
G662	EXOC3
G663	UMPS
G664	ARHGAP15
G665	TAPT1
G666	ATP6AP1
G667	COG6
G668	SMIM5
G669	HPN
G670	ABCB4
G671	SESN1
G672	IARS
G673	ARL6IP6
G674	IDH3A
G675	ABCF3
G676	POLD1
G677	CLIC4
G678	FAAP100
G679	CLPX
G680	CNN2
G681	PLPPR3
G682	ABITRAM
G683	SLC25A21
G684	ETF1
G685	PGM1
G686	TOLLIP
G687	ARHGEF18
G688	ZFP639
G689	ALDH1A1
G690	RFESD
G691	TWSG1
G692	UBR1
G693	TMEM109
G694	PLCB2
G695	FAM234B
G696	ATP2A3
G697	SLC43A3
G698	PQLC3
G699	CAR1
G700	CMPK2
G701	ERMAP
G702	PIK3C3
G703	XPNPEP1
G704	RAB31
G705	RHOT1
G706	CKAP2
G707	TMUB2
G708	CPT2
G709	MRM1
G710	MFSD1
G711	C1QTNF12
G712	AW112010
G713	NPTN
G714	LIG1
G715	POLA2
G716	SELENOP
G717	RNF115
G718	DRAM2
G719	GRINA
G720	TCP11L2
G721	AFAP1L1
G722	VPS41
G723	CSAD
G724	XPR1
G725	SSX2IP
G726	DECR1
G727	VWA5A
G728	NOP2
G729	SGO1
G730	ICA1
G731	ST3GAL5
G732	DHFR
G733	PCLAF
G734	RASAL3
G735	CCNB1
G736	HACD4
G737	GMNN
G738	YPEL3
G739	CTSO
G740	ATAD1
G741	ARHGAP4
G742	KLHL24
G743	CSGALNACT2
G744	EFTUD2
G745	TOR3A
G746	ZFP266
G747	NSMAF
G748	PRKCH
G749	AK3
G750	STX2
G751	WARS
G752	VAMP3
G753	DENND2D
G754	KIF22
G755	ANXA4
G756	EPDR1
G757	CERS5
G758	ITSN1
G759	FEM1A
G760	FCHSD2
G761	PFKM
G762	UBL4A
G763	WDR6
G764	NAGA
G765	HELLS
G766	SERPINB6B
G767	ABCB8
G768	NDRG1
G769	CAST
G770	SLC44A2
G771	IPO9
G772	PDCL
G773	PLCG2
G774	NAE1
G775	NDE1
G776	PSTPIP1
G777	COA5
G778	ABHD16A
G779	HMBS
G780	PCYT2
G781	TMEM164
G782	TRPV2
G783	TERF2IP
G784	RHD
G785	DYNLT3
G786	FGFR1OP
G787	PAK1
G788	EBI3
G789	TSPAN33
G790	RCSD1
G791	PHAX
G792	PRKCQ
G793	BID
G794	D10WSU102E
G795	ME2
G796	FKBP1A
G797	PITRM1
G798	NSDHL
G799	LTB
G800	ATG12
G801	NAPSA
G802	UBE2G2
G803	ATP11C
G804	TK1
G805	NDOR1
G806	SCFD1
G807	LEPROT
G808	MYO1D
G809	PEAR1
G810	SELENBP1
G811	GPR171
G812	SERPINF1
G813	CENPL
G814	AQP9
G815	ACSS1
G816	PLK1
G817	KLHL22
G818	SEC23IP
G819	VILL
G820	CALCRL
G821	USP8
G822	GBP2
G823	TREML2
G824	SNCA
G825	PLA2G12A
G826	CSTF2
G827	PACS1
G828	GYG
G829	NUDT19
G830	ISYNA1
G831	CARHSP1
G832	FPGS
G833	DOK2
G834	TANGO2
G835	RGS2
G836	ALDH18A1
G837	TXNRD2
G838	SEH1L
G839	FOXRED1
G840	PGLYRP2
G841	MAP4K2
G842	PHACTR2
G843	GRN
G844	PKM
G845	FNTA
G846	ATG16L1
G847	NEAT1
G848	TGM2
G849	GOLPH3
G850	FADS1
G851	AAR2
G852	CHMP3
G853	MTO1
G854	SLC25A38
G855	PDE4B
G856	ATL2
G857	UAP1L1
G858	CEP70
G859	NCAPG
G860	ALG9
G861	NCAPD2
G862	RNF13
G863	SLC29A1
G864	ACSS2
G865	CDCA8
G866	NASP
G867	PLD3
G868	MT1
G869	CLCN4
G870	CNP
G871	ORC6
G872	PRKAA1
G873	MAD2L1
G874	WDHD1
G875	RAB37
G876	NADK
G877	MGST3
G878	H2-DMB1
G879	TNFAIP8
G880	PLXNC1
G881	CD1D1
G882	UROD
G883	CHMP7
G884	FLOT2
G885	COG7
G886	DDX1
G887	STX17
G888	ANXA2
G889	PLIN2
G890	ATG4B
G891	NIF3L1
G892	UAP1
G893	NCEH1
G894	HUS1
G895	UBAP1
G896	ESYT2
G897	TRIM30A
G898	PRPS1
G899	PQLC1
G900	UNC93B1
G901	PLBD2
G902	SVIP
G903	LANCL2
G904	WDSUB1
G905	RAB32
G906	YBX3
G907	KEL
G908	PIGQ
G909	NET1
G910	STAP1
G911	TMEM263
G912	TBC1D10C
G913	NAMPT
G914	MOGS
G915	OASL2
G916	RFC4
G917	ZMYM3
G918	LLGL1
G919	PRIM1
G920	RCC1
G921	MTREX
G922	CDC6
G923	CORO1A
G924	AFG3L2
G925	ZFP655
G926	NCAPH
G927	MMRN1
G928	UHRF1
G929	KNSTRN
G930	2210016F16RIK
G931	LMNA
G932	TRMT11
G933	SNX10
G934	APLP2
G935	UBAC1
G936	RDH11
G937	ADK
G938	TYK2
G939	CD84
G940	CELA1
G941	NCAPG2
G942	WDR4
G943	HAUS2
G944	CAMK1
G945	GATM
G946	RNF139
G947	GYPC
G948	RGCC
G949	NUP93
G950	2610301B20RIK
G951	METTL7A1
G952	UBA7
G953	CUL2
G954	DPH6
G955	NUDCD3
G956	ITGA6
G957	SLC39A10
G958	GNG11
G959	ANGPT1
G960	STARD10
G961	C330018D20RIK
G962	SCARF1
G963	MAU2
G964	CRK
G965	MTMR6
G966	BTK
G967	AP3S1
G968	PSAT1
G969	HSPH1
G970	PTCD3
G971	RNF145
G972	VAV1
G973	CCDC137
G974	IL15
G975	CPOX
G976	DOCK2
G977	CDK19
G978	MAVS
G979	SLC19A1
G980	SASH3
G981	PIK3IP1
G982	ANK
G983	MAN1A
G984	MORC3
G985	CALU
G986	GPR180
G987	METAP1
G988	ARAP1
G989	GDF3
G990	PLEC
G991	GSKIP
G992	EZR
G993	RABGGTB
G994	HSPA4L
G995	DCTD
G996	PSMF1
G997	FUCA2
G998	AP5M1
G999	BAP1
G1000	METAP1D
G1001	ELOVL1
G1002	FES
G1003	ARMT1
G1004	FARSB
G1005	P2RY14
G1006	HSDL1
G1007	ENDOD1
G1008	OTUD6B
G1009	CRYZL2
G1010	LDHB
G1011	DUSP1
G1012	APOE
G1013	TIFA
G1014	PPP2R1B
G1015	MAGED1
G1016	GM4759
G1017	SLC38A5
G1018	TAB1
G1019	DLST
G1020	ANXA6
G1021	ANAPC2
G1022	GIMAP6
G1023	STARD7
G1024	PRIM2
G1025	ABCB10
G1026	ALG11
G1027	EDC3
G1028	STK25
G1029	OPTN
G1030	TBC1D20
G1031	AMPD3
G1032	PROCR
G1033	PPOX
G1034	ANKRD27
G1035	SLC40A1
G1036	SDSL
G1037	CISH
G1038	CKAP5
G1039	CDT1
G1040	HNRNPLL
G1041	RGS19
G1042	DCAF13
G1043	TMX1
G1044	SLC25A46
G1045	SP100
G1046	ADSSL1
G1047	PTGS1
G1048	POGLUT1
G1049	LCP2
G1050	SLC35A1
G1051	NUP155
G1052	KIDINS220
G1053	PRSS50
G1054	RANBP3
G1055	FAM76B
G1056	MMUT
G1057	DNAJC11
G1058	UBASH3A
G1059	SERPINB9
G1060	TSPAN3
G1061	TRIB2
G1062	PCP4L1
G1063	URB2
G1064	PADI4
G1065	USP4
G1066	GNB4
G1067	ZYX
G1068	GCNT2
G1069	ALKBH8
G1070	9430015G10RIK
G1071	ANXA1
G1072	GNPDA1
G1073	ZFP35
G1074	CD82
G1075	EMB
G1076	TMEM185A
G1077	PIP4K2A
G1078	THUMPD3
G1079	PSMD9
G1080	NARFL
G1081	POT1A
G1082	PMPCA
G1083	GUSB
G1084	DCAF4
G1085	PLIN3
G1086	PCYT1A
G1087	GM15915
G1088	TMEM56
G1089	CENPE
G1090	BUB1
G1091	TIPIN
G1092	DNAJC10
G1093	HPCAL1
G1094	GIMAP5
G1095	GT(ROSA)26SOR
G1096	CRNKL1
G1097	FAM45A
G1098	NUDT9
G1099	INCENP
G1100	PACSIN2
G1101	LONP1
G1102	TVP23B
G1103	ZFP367
G1104	PRC1
G1105	TFR2
G1106	CPT1A
G1107	SPTLC1
G1108	GYPA
G1109	CCNB2
G1110	UGCG
G1111	ZKSCAN3
G1112	COQ8A
G1113	FAM168B
G1114	CENPF
G1115	BCLAF3
G1116	TMEM129
G1117	MUC13
G1118	NUP85
G1119	MCM10
G1120	ARHGEF6
G1121	G6PDX
G1122	ZFP397
G1123	GOLT1B
G1124	CASP2
G1125	CUL4A
G1126	ARL8B
G1127	LAP3
G1128	TACC3
G1129	CD55
G1130	COLGALT1
G1131	LIMD2
G1132	RNASEL
G1133	CCNA2
G1134	TPX2
G1135	CRBN
G1136	MT2
G1137	AHCYL1
G1138	CDC7
G1139	INPP5B
G1140	ATP13A1
G1141	SGPL1
G1142	UCKL1
G1143	1700017B05RIK
G1144	ITFG1
G1145	BIRC5
G1146	DTL
G1147	TTLL12
G1148	FTSJ1
G1149	DPH2
G1150	RPRD1B
G1151	IFI44
G1152	MARCH6
G1153	SLC30A6
G1154	STEAP3
G1155	PPAT
G1156	RANGAP1
G1157	PON2
G1158	HSD3B7
G1159	RHOF
G1160	LPCAT3
G1161	PRMT7
G1162	GFM1
G1163	MAPKAPK3
G1164	CTLA2B
G1165	D230025D16RIK
G1166	CNOT10
G1167	PHETA2
G1168	DNPEP
G1169	TBC1D15
G1170	PIK3R2
G1171	CD63-PS
G1172	P2RX4
G1173	SPHK1
G1174	ILVBL
G1175	ITIH5
G1176	PDZK1IP1
G1177	RRM1
G1178	TIMM29
G1179	ALAD
G1180	CENPA
G1181	TRMT6
G1182	ASAH1
G1183	TUBGCP5
G1184	MPL
G1185	BUB1B
G1186	GRAMD1A
G1187	RCOR1
G1188	RABIF
G1189	PRPS2
G1190	MEMO1
G1191	NECAP2
G1192	RRM2
G1193	CD48
G1194	ZFP62
G1195	CTTN
G1196	TMEM176A
G1197	FAM136A
G1198	ANKLE1
G1199	CHAMP1
G1200	NUF2
G1201	SETD2
G1202	STOM
G1203	METTL27
