#ID	Name
G0	STAT1
G257	DNMT3A
G258	TAF12
G259	HHEX
G260	APEX1
G261	IVNS1ABP
G262	AHR
G263	RFC1
G264	SMAD4
G265	SMARCE1
G266	SRRM1
G267	ATF2
G268	AES
G269	POLR2C
G270	SRSF2
G271	SIRT2
G272	RBPJ
G273	SERTAD2
G274	TLR4
G275	MBD2
G276	TOB1
G277	ZMYM2
G278	STAT6
G279	WBP11
G280	SKI
G281	CCRN4L
G282	CREBBP
G283	ARID1B
G284	TAF7
G285	MITF
G286	SIN3B
G287	GTF2B
G288	HMGB2
G289	TCEA1
G290	SUMO2
G291	MLL3
G292	MCM5
G293	WHSC1L1
G294	CENPB
G295	ZFP36
G296	TAF6
G297	DPF2
G298	ASH1L
G299	MDM2
G300	DENND4A
G301	NR4A1
G302	TCERG1
G303	ZFX
G304	TARDBP
G305	TOP2B
G306	CREM
G307	IRF5
G308	DAZAP2
G309	NCOR2
G310	NFKBIB
G311	TAF9
G312	CHD1
G313	NOTCH2
G314	CNOT6
G315	ILF3
G316	CTCFL
G317	TSG101
G318	VDR
G319	SUPT6H
G320	HNRNPAB
G321	MED21
G322	COPS2
G323	CYBA
G324	ATP5L
G325	GPR171
G326	LYZ1
G327	CD274
G328	NHP2
G329	SNX10
G330	GAS5
G331	EVI2A
G332	CALM2
G333	MT2
G334	H2-EB1
G335	CORO1A
G336	SDF2
G337	IAH1
G338	LGALS9
G339	ALAS1
G340	SELK
G341	EIF4A1
G342	CKS1B
G343	SNRNP25
G344	TIMM23
G345	NDUFB7
G346	PMP22
G347	ENO1
G348	RPS14
G349	MGST3
G350	ATP5J
G351	PTP4A1
G352	COX5A
G353	AK202494
G354	IL1R2
G355	GBP6
G356	FCGR2B
G357	IQGAP1
G358	TXN1
G359	RPL38
G360	ECE2
G361	TECR
G362	CDKN1A
G363	RPL11
G364	SHISA5
G365	SBDS
G366	SLC35B1
G367	MRC1
G368	PSMA2
G369	CACYBP
G370	SNAP23
G371	NINJ1
G372	GM15450
G373	EAR2
G374	NAA20
G375	PSMB3
G376	TYROBP
G377	SPP1
G378	SF3B5
G379	SSR4
G380	RPL23
G381	ATP6AP2
G382	MRPS16
G383	CD164
G384	BC028528
G385	NPM1
G386	LGMN
G387	MYL6
G388	LY86
G389	SEC11C
G390	MDH2
G391	CNIH
G392	ANXA4
G393	PTGES3
G394	RPS26
G395	CCL17
G396	MRPL23
G397	AK2
G398	RPS21
G399	INSL6
G400	GOLT1B
G401	RPS20
G402	GABARAP
G403	ARHGDIB
G404	PSMD8
G405	CTSZ
G406	MTCH2
G407	COX17
G408	GM2A
G409	CLAST2
G410	DOK2
G411	COX5B
G412	RPL36AL
G413	NDUFA9
G414	PRDX2
G415	RPL39
G416	PRDX5
G417	CFL1
G418	TFG
G419	RASGEF1B
G420	GGH
G421	CSF2RB
G422	ISCA2
G423	UCP2
G424	SLC15A3
G425	RNF13
G426	NDUFV2
G427	BCAP31
G428	DUSP1
G429	GLTP
G430	MTHFS
G431	USMG5
G432	5033414D02RIK
G433	H2-K1
G434	VPS29
G435	PRDX6
G436	NAAA
G437	TMSB10
G438	CTSB
G439	VDAC3
G440	LGALS3BP
G441	CCT5
G442	CFDP1
G443	PSMB7
G444	PCNA
G445	EIF3M
G446	SEPT11
G447	VTA1
G448	TSPAN31
G449	RPS27
G450	COX7B
G451	CHCHD2
G452	MRPL27
G453	RPL32
G454	LGALS3
G455	TM2D2
G456	AURKAIP1
G457	LITAF
G458	S100A10
G459	2410015M20RIK
G460	CREG1
G461	TSPO
G462	LXN
G463	SRGN
G464	MRPL55
G465	AK204443
G466	PLEK
G467	SAMHD1
G468	SSNA1
G469	A130040M12RIK
G470	APOA1BP
G471	EIF1
G472	RNASEK
G473	BST2
G474	CTSH
G475	RPL28
G476	RPL4
G477	ERP29
G478	0610009D07RIK
G479	ATP1B3
G480	PTPRC
G481	CD24A
G482	RPL18A
G483	SEC13
G484	2700060E02RIK
G485	SLC7A11
G486	TRAM1
G487	SPCS3
G488	RPS24
G489	FTL2
G490	ATP6V0D1
G491	MSR1
G492	MAP1LC3B
G493	DNAJC15
G494	MALAT1
G495	COX6A1
G496	1810013D10RIK
G497	LAMP2
G498	HSP90AB1
G499	SC4MOL
G500	PPP2R5C
G501	UBL3
G502	NDUFA12
G503	NDUFA10
G504	HSD17B10
G505	MRFAP1
G506	LILRB3
G507	SLC25A4
G508	MRPL18
G509	GM6635
G510	TBCA
G511	MRPL30
G512	RPL22L1
G513	TPM4
G514	RNASET2A
G515	GNB1
G516	YWHAZ
G517	RASSF4
G518	PSMC4
G519	CETN3
G520	GOLGA7
G521	RPS9
G522	BCL2A1B
G523	SDHD
G524	RAN
G525	BOLA2
G526	MAPKSP1
G527	SHFM1
G528	RAB8B
G529	SARNP
G530	ATP6V1F
G531	ETFA
G532	CSTB
G533	NDUFB8
G534	PRDX4
G535	RPLP0
G536	S100A13
G537	CD47
G538	RPL26
G539	NDUFS6
G540	KLK1B11
G541	FKBP2
G542	SLC3A2
G543	RAC2
G544	LAMP1
G545	CAPZA1
G546	RPL37A
G547	AKR1A4
G548	ITGB2
G549	FAU
G550	OAZ1
G551	SNRPG
G552	DYNLRB1
G553	RPL35A
G554	TNFAIP2
G555	CHURC1
G556	SQRDL
G557	IFITM3
G558	RPL37
G559	RPL30
G560	PRDX1
G561	NDUFB5
G562	ATP5A1
G563	1500032L24RIK
G564	PSMB6
G565	CCT3
G566	RPL35
G567	SEPT2
G568	2900010M23RIK
G569	PIN4
G570	RPS29
G571	FAM195B
G572	PDIA3
G573	DPEP2
G574	ODC1
G575	PTMA
G576	CNN2
G577	HPRT
G578	FIS1
G579	CKLF
G580	H2-AB1
G581	CLEC4B1
G582	GPR137B-PS
G583	RHOG
G584	SOD2
G585	PCNP
G586	ALDOC
G587	NHP2L1
G588	PTTG1IP
G589	ATP5J2
G590	EIF1AX
G591	RPL17
G592	RPL13A-PS1
G593	TMED2
G594	TMED3
G595	CD9
G596	CAPZA2
G597	CNBP
G598	HN1
G599	MALT1
G600	AXL
G601	RPS28
G602	FCF1
G603	DHRS3
G604	DNAJC19
G605	PPIA
G606	COX6C
G607	ZWINT
G608	PSMB8
G609	FAM120A
G610	EIF3K
G611	SOD1
G612	FCGR3
G613	DYNLT1B
G614	NDUFB3
G615	QDPR
G616	MFGE8
G617	SAT1
G618	ZBTB8OS
G619	YWHAH
G620	SH3BGRL
G621	GUK1
G622	RPS17
G623	NPC2
G624	FDPS
G625	MARCKS
G626	RPS5
G627	MIF
G628	CLDND1
G629	ARPC4
G630	SON
G631	RPS3
G632	GNB2L1
G633	COPE1
G634	ARF4
G635	SPCS1
G636	AF251705
G637	HINT1
G638	NDUFB4
G639	COX7A2
G640	TXNDC17
G641	1810022K09RIK
G642	RPS12
G643	GM11428
G644	STARD3NL
G645	VAMP8
G646	ATP6V1C1
G647	MMP12
G648	TPI1
G649	ARL6IP1
G650	HNRNPA2B1
G651	CCDC109B
G652	DBI
G653	MRPL42
G654	TCP1
G655	CRIP1
G656	ATP5G3
G657	RPL5
G658	HSD17B12
G659	CHI3L3
G660	P4HB
G661	ACTG1
G662	SGK1
G663	TUBB5
G664	NAMPT
G665	TXN2
G666	CD52
G667	SLC2A6
G668	ACOT7
G669	UBC
G670	UQCRH
G671	TUBA1C
G672	GLRX
G673	RPS16
G674	GLT25D1
G675	RPL12
G676	UQCR10
G677	RGS1
G678	TMSB4X
G679	NXF1
G680	TMEM49
G681	RPL10
G682	ZFAND6
G683	BIRC6
G684	SAR1B
G685	CCDC12
G686	6720456B07RIK
G687	SLAMF9
G688	PDHB
G689	RPL27
G690	GLIPR1
G691	CCRL2
G692	2310016M24RIK
G693	TCF25
G694	RILPL2
G695	BLOC1S1
G696	TIMM10
G697	HSP90AA1
G698	EIF4E
G699	RPL27A
G700	RPS13
G701	ATP5D
G702	2400001E08RIK
G703	SNRPE
G704	PRELID1
G705	NDUFS3
G706	CHMP2A
G707	GNG10
G708	NDUFB11
G709	AP2M1
G710	IL2RG
G711	ERH
G712	1810027O10RIK
G713	UQCRFS1
G714	H3F3A
G715	ATP6V0D2
G716	PGAP2
G717	PFDN5
G718	RPL24
G719	ASAH1
G720	KRTCAP2
G721	CST3
G722	RPS19
G723	NDUFS8
G724	DYNLL1
G725	TMEM208
G726	ATP6V1E1
G727	RAB1
G728	MT1
G729	PTPN2
G730	CD200R4
G731	CRIPT
G732	SH3BGRL3
G733	NAP1L1
G734	CCR2
G735	TMBIM4
G736	CD81
G737	ACTN1
G738	HIGD2A
G739	TOMM22
G740	P2RY14
G741	ETFB
G742	MRPS21
G743	GSTO1
G744	LIPA
G745	CDC42
G746	S100A1
G747	CD74
G748	CHMP5
G749	VAPA
G750	RPS25
G751	ELOVL1
G752	SP100
G753	PARK7
G754	D17WSU104E
G755	MDH1
G756	BCL2A1D
G757	NRAS
G758	FTH1
G759	B2M
G760	BIRC5
G761	HBXIP
G762	SEC61B
G763	AA467197
G764	VIM
G765	TRAPPC2L
G766	BCL2A1A
G767	CFLAR
G768	RGS10
G769	MGST1
G770	CANX
G771	TAGLN2
G772	RPLP2
G773	HIST1H2BC
G774	DNAJB6
G775	TCIRG1
G776	IFRD1
G777	MCA32
G778	SLC39A1
G779	FAM162A
G780	1500003O03RIK
G781	SLAMF7
G782	NDUFB6
G783	TMBIM6
G784	DERP6
G785	YPEL5
G786	RPLP1
G787	ANXA5
G788	GM2382
G789	SLIRP
G790	1100001G20RIK
G791	NDUFC1
G792	GPX4
G793	NDUFS7
G794	1810058I24RIK
G795	NCK1
G796	N6AMT2
G797	RPL41
G798	YWHAE
G799	APLP2
G800	PNP
G801	CTSA
G802	VPS28
G803	CTSS
G804	MTPN
G805	EEF1B2
G806	GHITM
G807	ABCG1
G808	DPM2
G809	IFI30
G810	MKIAA4114
G811	TES
G812	2010107E04RIK
G813	ACTR3
G814	RPL7
G815	PRPF40A
G816	RPS7
G817	RPL14
G818	CD53
G819	CAPNS1
G820	EEF1G
G821	GSTM1
G822	SKP1A
G823	PLD4
G824	CUTA
G825	STMN1
G826	RAP1B
G827	PRKCD
G828	CD63
G829	AI413582
G830	PEBP1
G831	SKAP2
G832	NCF1
G833	ATP6AP1
G834	RPS10
G835	PSMB5
G836	AK042010
G837	NCF4
G838	TLR2
G839	TPM3
G840	DAP
G841	RPL19
G842	SEC11A
G843	UQCR11
G844	RPL8
G845	SSU72
G846	PPIB
G847	B3GNT2
G848	LSM7
G849	TMEM50A
G850	PSAP
G851	OSTF1
G852	RBM3
G853	PGD
G854	ATP5E
G855	TMEM59
G856	CIB1
G857	HSPA5
G858	VDAC2
G859	1810037I17RIK
G860	F10
G861	PGAM1
G862	ACOT9
G863	IL1A
G864	1600029D21RIK
G865	GUSB
G866	H2-D1
G867	IER3
G868	PSMA4
G869	MORF4L2
G870	HAT1
G871	SLC38A6
G872	RPS27A
G873	TSPAN3
G874	TREM2
G875	LILRB4
G876	TWF1
G877	GPNMB
G878	SNX5
G879	SDHB
G880	ATP6V0C
G881	RPS11
G882	REXO2
G883	EMP3
G884	ALDOA
G885	MRPS33
G886	SERP1
G887	TMEM179B
G888	TRF
G889	CAPG
G890	GM10653
G891	ZYX
G892	PSMC1
G893	HMGB1
G894	SDC4
G895	COMMD3
G896	CCDC56
G897	RNASE6
G898	TUBA1B
G899	CLTA
G900	BLVRA
G901	ATP5G1
G902	ECH1
G903	CD36
G904	ATP6V1D
G905	DNASE1L1
G906	PLA2G7
G907	TIMM8B
G908	UQCRQ
G909	FAM32A
G910	FABP4
G911	PDPN
G912	CISH
G913	BUD31
G914	UBE2D3
G915	TOMM5
G916	ATP5K
G917	PTP4A2
G918	CD14
G919	COMMD6
G920	SEPW1
G921	1810009A15RIK
G922	NDUFA8
G923	HSPE1
G924	WDR1
G925	CCNL1
G926	RBM7
G927	LYZ2
G928	CLEC4D
G929	MRPS36
G930	PSMD6
G931	ARL8B
G932	BRP44L
G933	CD48
G934	COPS6
G935	ATOX1
G936	SIRPB1B
G937	LY6E
G938	2900064A13RIK
G939	MYL12B
G940	3230401D17RIK
G941	RNH1
G942	UFC1
G943	CLIC4
G944	PFN1
G945	HERPUD1
G946	SRP14
G947	ATP5H
G948	PSENEN
G949	CTSC
G950	PDCD5
G951	PSMB1
G952	ANXA1
G953	PLP2
G954	SIDT2
G955	CSNK2B
G956	AK177731
G957	CWC15
G958	ROMO1
G959	1810033B17RIK
G960	LEPROT
G961	RPSA
G962	TMEM219
G963	DPYSL2
G964	MS4A6D
G965	TAPBP
G966	PLK2
G967	IMPACT
G968	FCRLS
G969	RPL36A
G970	PABPC1
G971	CTSL
G972	MRPL20
G973	TANK
G974	APRT
G975	CYBB
G976	GNG5
G977	PARL
G978	CD68
G979	SEC61G
G980	MRPS18A
G981	HK2
G982	SRA1
G983	LPL
G984	MSN
G985	GABARAPL2
G986	SNX6
G987	FAM96A
G988	PPP1CA
G989	TRAPPC1
G990	MBNL1
G991	SLFN2
G992	SEPT7
G993	SLC25A3
G994	RPL13
G995	SDHC
G996	H2-DMB1
G997	ATP5G2
G998	PRDX3
G999	UQCRB
G1000	MRPL52
G1001	PSMA3
G1002	MORF4L1
G1003	SRI
G1004	1110002B05RIK
G1005	SDCBP
G1006	CNDP2
G1007	ATP6V1G1
G1008	TNFRSF1B
G1009	LCP1
G1010	SEC61A1
G1011	TFEC
G1012	TNIP3
G1013	MPEG1
G1014	1110007C09RIK
G1015	SNRPD2
G1016	RPL15
G1017	TPT1P
G1018	SNX2
G1019	FTL1
G1020	UBE2L6
G1021	LAPTM5
G1022	H2-DMA
G1023	2310016C08RIK
G1024	RENBP
G1025	ATP5O
G1026	PRR13
G1027	H3F3B
G1028	BCL2A1C
G1029	RPS6
G1030	4933434E20RIK
G1031	RHOA
G1032	CCL6
G1033	COX4I1
G1034	RNF181
G1035	AK172428
G1036	PDCD10
G1037	MRPL36
G1038	TALDO1
G1039	PSMA7
G1040	ARF1
G1041	RPL3
G1042	NAPSA
G1043	PDZD11
G1044	VPS25
G1045	PSMD14
G1046	NDUFC2
G1047	TMEM128
G1048	RAB32
G1049	CD84
G1050	LDHA
G1051	DAD1
G1052	DNAJC8
G1053	OST4
G1054	CTNNA1
G1055	OSTC
G1056	RPS27L
G1057	CLEC7A
G1058	NDUFB10
G1059	STXBP3A
G1060	1810006K21RIK
G1061	DEGS1
G1062	H2AFV
G1063	CDK2AP2
G1064	RPL34
G1065	PKM2
G1066	RAC1
G1067	ANXA2
G1068	PSME2
G1069	MYEOV2
G1070	HEXA
G1071	CCDC72
G1072	FABP5
G1073	NDUFAB1
G1074	NDUFS5
G1075	TMEM85
G1076	2310003F16RIK
G1077	2810417H13RIK
G1078	NDUFA4
G1079	RPL9
G1080	PSMC3
G1081	SERINC1
G1082	HNRNPF
G1083	RPS15
G1084	PSMB4
G1085	H2-AA
G1086	TBCB
G1087	SPAG7
G1088	BC056474
G1089	TUBB6
G1090	LSP1
G1091	1810046J19RIK
G1092	CTSD
G1093	EIF5A
G1094	ANXA3
G1095	ATPIF1
G1096	M6PR
G1097	STRA13
G1098	SRP19
G1099	MCTS1
G1100	HSPA8
G1101	GNGT2
G1102	ERGIC3
G1103	CLEC4E
G1104	ROBLD3
G1105	MRPL33
G1106	GYG
G1107	PSMA6
G1108	C1QB
G1109	CFP
G1110	RPL7A
G1111	PTS
G1112	NOP10
G1113	HSP90B1
G1114	RPL23A
G1115	GSTP1
G1116	TMEM37
G1117	PYCARD
G1118	EIF3I
G1119	ACLY
G1120	CD302
G1121	LAT2
G1122	CKS2
G1123	HMGN2
G1124	RPL6
G1125	TREX1
G1126	COMMD1
G1127	COX6B1
G1128	NDUFA1
G1129	ATP6V0B
G1130	COX7A2L
G1131	MGL2
G1132	PDIA6
G1133	DPY30
G1134	TNFSF9
G1135	DYNC1LI1
G1136	IFITM2
G1137	FXYD5
G1138	NEDD8
G1139	SERF2
G1140	CALR
G1141	MED10
G1142	BLVRB
G1143	FKBP1A
G1144	BANF1
G1145	CHCHD1
G1146	PSMB2
G1147	POMP
G1148	FCER1G
G1149	SUCLG1
G1150	POLDIP3
G1151	NDUFA7
G1152	TM7SF4
G1153	ACTR2
G1154	1110004F10RIK
G1155	H2-T23
G1156	EIF3E
G1157	MRPL14
G1158	RAB7
G1159	AKR1B3
G1160	CCT4
G1161	MEA1
G1162	ACTB
G1163	CASP1
G1164	IL1RN
G1165	ITM2B
G1166	BC031181
G1167	NME1
G1168	PSMA5
G1169	RNF149
G1170	NDUFB9
G1171	ITGAX
G1172	SSR2
G1173	SERPINB6A
G1174	EEF1A1
G1175	NIPSNAP3B
G1176	CYB5
G1177	PSMD7
G1178	ATP5C1
G1179	IGSF6
G1180	PSME1
G1181	LRPAP1
G1182	ATP6V0E
G1183	CD44
G1184	CLEC4N
G1185	S100A6
G1186	CCL9
G1187	CLEC4A3
G1188	TTC35
G1189	NAGA
G1190	GMFG
G1191	COMMD4
G1192	ATP6V1B2
G1193	HPCAL1
G1194	NDUFV3
G1195	LSM3
G1196	IDH1
G1197	AK008866
G1198	AIF1
G1199	SLC25A5
G1200	S100A11
G1201	PLBD1
G1202	CCDC53
G1203	MRPL54
G1204	AK185681
G1205	NDUFA2
G1206	CCT8
G1207	2900073G15RIK
G1208	3110003A17RIK
G1209	TIMM17A
G1210	SNX3
G1211	CD200R1
G1212	MRPL28
G1213	COPZ1
G1214	ATP5B
G1215	PAIP2
G1216	CAPZB
G1217	SIRPA
G1218	IDH3G
G1219	ALOX5AP
G1220	GPX1
G1221	PECI
G1222	RPL36
G1223	SSR1
G1224	PSMC6
G1225	RPS18
G1226	BZW1
G1227	S100A4
G1228	PSMB10
G1229	TPD52
G1230	DQ539915
G1231	2510006D16RIK
G1232	IFI27L2A
G1233	D8ERTD738E
G1234	CD83
G1235	CLK1
G1236	UBA52
G1237	PLIN2
G1238	RPL10A
G1239	NPTN
G1240	POLD4
G1241	NDUFA6
G1242	HNRNPC
G1243	RANBP1
G1244	TBRG1
G1245	CCL4
G1246	COX8A
G1247	CD300LF
G1248	PLD3
G1249	CLIC1
G1250	PDCD6
G1251	EIF3H
G1252	ASS1
G1253	CXCL16
G1254	HMOX2
G1255	CCT2
G1256	H47
G1257	PILRA
G1258	ARPC2
G1259	CYTIP
G1260	TRIM30A
G1261	RPL21
G1262	IL7R
G1263	SQSTM1
G1264	YWHAQ
G1265	DENR
G1266	TBXAS1
G1267	COX7C
G1268	SEP15
G1269	GDI2
G1270	IER3IP1
G1271	NDUFB2
G1272	LRRC33
G1273	UBB
G1274	RPS8
G1275	PSMC5
G1276	SSR3
G1277	IDH3B
G1278	CORO1B
G1279	GADD45B
G1280	IMMT
G1281	LGALS1
G1282	ACOT13
G1283	RAB11A
G1284	EMB
G1285	ARPC5
G1286	ESD
G1287	RSU1
G1288	GRCC10
G1289	NACA
G1290	PLAUR
G1291	PGK1
G1292	PSMB9
G1293	CCR1
G1294	SUGT1
G1295	RNF7
G1296	AP2S1
G1297	CLEC4A2
G1298	CXCL2
G1299	LSMD1
G1300	ATP5F1
G1301	CCL3
G1302	EAR11
G1303	CALM1
G1304	TMEM147
G1305	TPT1
G1306	IL1B
G1307	CXCL1
G1308	DSTN
G1309	NDUFA13
G1310	0610031J06RIK
G1311	NDUFA5
G1312	TRA2B
G1313	NSMCE2
G1314	TMEM14C
G1315	TRAPPC4
G1316	PSMA1
G1317	MRPS18C
G1318	UQCRC1
G1319	GRN
G1320	RPS3A
