#ID	Name
G0	FUS
G505	COMMD10
G506	LUM
G507	FAM89A
G508	OTUD6B
G509	STC1
G510	RFPL2
G511	TFPI
G512	POLB
G513	PRIM1
G514	APLNR
G515	EMB
G516	EXO1
G517	ABLIM1
G518	RAD51AP1
G519	FAM69A
G520	KIAA1467
G521	GNG11
G522	GINS2
G523	MSANTD3-TMEFF1
G524	C3orf14
G525	ITGA5
G526	PPP1R9A
G527	PGM2
G528	ARHGAP42
G529	CDH11
G530	POLR3G
G531	NEDD4
G532	MTERF
G533	KDM6A
G534	TMEM38B
G535	BLM
G536	LPGAT1
G537	SYNC
G538	ARFGAP3
G539	PLOD2
G540	PAM
G541	ENC1
G542	CD200
G543	ZNF30
G544	VWA5A
G545	ERCC-00130
G546	ANKMY2
G547	FZD5
G548	TMOD1
G549	ASNS
G550	BNIP3
G551	RHAG
G552	MMP16
G553	CCDC81
G554	ERCC-00076
G555	KLHL12
G556	TBC1D4
G557	FST
G558	FAM188A
G559	ZNF521
G560	GPC3
G561	PFKFB2
G562	GYPE
G563	CCDC138
G564	GRPR
G565	NLGN4X
G566	ZFYVE16
G567	CCNB2
G568	ARL4D
G569	ERCC-00165
G570	MALT1
G571	ARHGAP29
G572	DNA2
G573	GLIPR2
G574	DECR1
G575	PIP4K2A
G576	CCPG1
G577	PMAIP1
G578	NAP1L3
G579	CCKBR
G580	KLHL28
G581	TGFBR3
G582	PDLIM3
G583	RNF13
G584	B3GNT5
G585	RFC3
G586	SLC35F1
G587	MYCT1
G588	HOMER1
G589	CTSK
G590	RSPO3
G591	JPH1
G592	STK17B
G593	GPC6
G594	NCAPG
G595	RPL17-C18ORF32
G596	SLITRK2
G597	ERCC-00171
G598	HRSP12
G599	GTF2H2D
G600	ERCC-00043
G601	NRP1
G602	CYP26A1
G603	IL6ST
G604	ZDHHC21
G605	ERCC-00112
G606	ITGA6
G607	TIPARP
G608	ERCC-00113
G609	FARSB
G610	RAB31
G611	MME
G612	TP53INP1
G613	NUP35
G614	WDHD1
G615	FAM135A
G616	FLRT2
G617	PCDH7
G618	COLEC12
G619	CCNE2
G620	RGS5
G621	FBN1
G622	CEP85L
G623	DCLK1
G624	ABCA1
G625	CLGN
G626	COL4A6
G627	ERCC-00111
G628	FEZ1
G629	SEMA5A
G630	GLDC
G631	VASH2
G632	GLMN
G633	PHC1
G634	STK38L
G635	USP44
G636	ATP2B4
G637	TEX10
G638	SNX18
G639	DAAM1
G640	GABRB2
G641	ERCC-00060
G642	ITPR2
G643	RGPD2
G644	APOBEC3C
G645	ARL4A
G646	HPRT1
G647	PPAPDC1A
G648	ALCAM
G649	CER1
G650	SLC36A4
G651	PLSCR4
G652	COL1A2
G653	ROR2
G654	CALB1
G655	RIPPLY1
G656	MEX3C
G657	VIM
G658	SEMA6A
G659	YPEL5
G660	MPHOSPH9
G661	BAMBI
G662	AGL
G663	SLC6A15
G664	FLRT3
G665	ST8SIA1
G666	ELOVL2
G667	PTPRZ1
G668	UNC5D
G669	RIN2
G670	MIA3
G671	MAGI3
G672	ST3GAL6
G673	RTKN2
G674	ERCC-00074
G675	ZNF516
G676	AK4
G677	TDP2
G678	TDRD7
G679	STIM2
G680	PLCB4
G681	CBR1
G682	GAD1
G683	PREPL
G684	SLC39A8
G685	DNAJB14
G686	THAP9
G687	HAS2
G688	COL5A2
G689	RPE
G690	SEMA3A
G691	GATM
G692	TJP2
G693	LIFR
G694	TTK
G695	UTP18
G696	MYOF
G697	RMI1
G698	HLA-DQB1
G699	NUDT11
G700	ERCC-00046
G701	SEMA6D
G702	CCDC82
G703	PCDH10
G704	RIOK1
G705	FBXO34
G706	KLHL6
G707	FER
G708	CPE
G709	ERCC-00025
G710	HTRA1
G711	ERBB4
G712	AGPAT5
G713	SLC35A3
G714	XRN1
G715	LIMCH1
G716	TMSB15B
G717	ZNF512
G718	NIPSNAP3A
G719	HSD17B11
G720	PRKACB
G721	ALG6
G722	LPIN1
G723	GABRB3
G724	RFESD
G725	NUSAP1
G726	SYNE2
G727	CLDN11
G728	GYPA
G729	SENP7
G730	ANKRD13C
G731	TNC
G732	RRN3
G733	SULF2
G734	VPS13C
G735	DCAF6
G736	MAN1A1
G737	FAM117B
G738	STT3B
G739	CLDN10
G740	KDELR3
G741	NTS
G742	NEDD9
G743	DSCC1
G744	PLP1
G745	ANGPT2
G746	BUB1B
G747	PHLDA1
G748	CA14
G749	CAMK2D
G750	MAP4K3
G751	LTBP1
G752	MRPS30
G753	ERCC-00053
G754	ZNF518B
G755	LGR5
G756	FASTKD3
G757	MATN3
G758	LEPREL1
G759	SEMA3E
G760	ODC1
G761	MBIP
G762	PENK
G763	AMN1
G764	HLA-DRB1
G765	EPB41L3
G766	TRIM2
G767	TRAPPC8
G768	CDC7
G769	ERCC-00003
G770	S1PR3
G771	PALLD
G772	ALPK2
G773	ZCCHC11
G774	PDE3B
G775	ERCC-00136
G776	KLHL24
G777	ERCC6L
G778	MAP3K2
G779	ACTC1
G780	ERCC-00044
G781	REV3L
G782	CCNA2
G783	ARHGAP28
G784	PPM1H
G785	DNAAF2
G786	DYNC2LI1
G787	ERCC-00131
G788	PDGFRA
G789	CD9
G790	DKK1
G791	MEPE
G792	ASS1
G793	RAVER2
G794	ERCC-00108
G795	MBOAT1
G796	HEG1
G797	CAP2
G798	WDR35
G799	QPCT
G800	PDCD4
G801	SSFA2
G802	ITM2A
G803	CASD1
G804	PRTG
G805	CCDC80
G806	LGALSL
G807	SNX16
G808	ERCC-00096
G809	NDC80
G810	ST8SIA4
G811	ECI2
G812	SH3RF1
G813	CA2
G814	ERCC-00062
G815	AKAP2
G816	ERCC-00092
G817	NUCB2
G818	CEP55
G819	PRPS2
G820	BCAR3
G821	C12orf23
G822	WNT5A
G823	SLC46A3
G824	DPYSL3
G825	ZBTB10
G826	ANKRD26
G827	SLC39A11
G828	TSPAN12
G829	WLS
G830	HAPLN1
G831	ELMOD2
G832	FN1
G833	SERHL2
G834	GPSM2
G835	PROM1
G836	TNFRSF11B
G837	TIPIN
G838	LRIG3
G839	ERCC-00002
G840	ANXA3
G841	MCCC1
G842	ESCO2
G843	DDAH1
G844	RALB
G845	C11orf82
G846	CDCA8
G847	KIF23
G848	KIF15
G849	RND3
G850	DUSP4
G851	TRDN
G852	INSIG2
G853	ATG4C
G854	EPHA4
G855	NCAM1
G856	PPPDE1
G857	SLC19A2
G858	DDHD2
G859	MRPS35
G860	DTL
G861	MAMLD1
G862	KIAA1804
G863	GPR83
G864	RPP40
G865	BAG3
G866	SAMD3
G867	COL5A1
G868	RBBP8
G869	NOC3L
G870	BMPER
G871	NUAK1
G872	DUSP10
G873	CEP290
G874	ADAMTS3
G875	FBXO28
G876	ACOX3
G877	NXT2
G878	COBLL1
G879	UNC5C
G880	ERCC-00095
G881	ELMO1
G882	VAMP7
G883	B4GALT4
G884	WDR12
G885	SKA3
G886	PLK1
G887	CPVL
G888	KAL1
G889	TTC39B
G890	ERCC-00004
G891	FBXO5
G892	CUL1
G893	TTN
G894	PLAU
G895	ATP11B
G896	MFAP4
G897	GDAP1
G898	ISCA1
G899	KDR
G900	ERCC-00009
G901	KIAA1324L
G902	PTGR1
G903	TPD52
G904	CCDC141
G905	LRRCC1
G906	GCA
G907	NOL11
G908	KRCC1
G909	OXTR
