#ID	Name
G0	TSHZ3
G283	SLC41A3
G284	CPT2
G285	SPRYD4
G286	CAPN7
G287	GYPC
G288	GMPR
G289	PPP2R1B
G290	SPHK1
G291	SLC25A38
G292	MAPKAPK3
G293	MPL
G294	NXPE2
G295	HACD4
G296	FBXW5
G297	HMBS
G298	TES
G299	RHAG
G300	SPTLC1
G301	SLC11A2
G302	TGM2
G303	TACC3
G304	STK25
G305	ARAP1
G306	ORC5
G307	TIMM29
G308	TMEM186
G309	PTDSS2
G310	TIPIN
G311	TK1
G312	DHFR
G313	MSH6
G314	APOE
G315	UBR7
G316	PCP4L1
G317	USP37
G318	CD9
G319	CRIP2
G320	USP10
G321	INCENP
G322	FOXRED1
G323	RNF139
G324	ALKBH8
G325	RNF13
G326	SLC25A45
G327	CDC20
G328	SERPINB1A
G329	CRNKL1
G330	ATP1B2
G331	PIGQ
G332	MTFR1
G333	PRMT7
G334	CLCN4
G335	STX2
G336	SIGIRR
G337	NARF
G338	LY6A
G339	C1QTNF12
G340	PPAT
G341	ABCF3
G342	SDHAF2
G343	PACSIN2
G344	NARFL
G345	DECR1
G346	CD34
G347	APEH
G348	PIK3R2
G349	SLC31A1
G350	SAMD14
G351	ATAD1
G352	COA5
G353	CD1D1
G354	ACSS1
G355	METAP1
G356	CLPX
G357	CCNB2
G358	LCP2
G359	RAD51AP1
G360	NGLY1
G361	LYZ2
G362	GSKIP
G363	PRSS50
G364	FZR1
G365	WDR6
G366	DCAF4
G367	ZFP871
G368	NDE1
G369	CHP1
G370	UAP1
G371	RTP4
G372	HSPH1
G373	NUP85
G374	WDR73
G375	DNPEP
G376	TBC1D20
G377	PRELID3B
G378	RCC1
G379	RASA3
G380	CTPS
G381	DCAF11
G382	PLA2G12A
G383	HARS
G384	COLGALT1
G385	DUSP1
G386	GM28875
G387	PGLYRP2
G388	PLCG2
G389	STT3B
G390	LTB
G391	RMND5B
G392	TFR2
G393	SPNS2
G394	STOM
G395	TOP2A
G396	GSTM5
G397	MFSD2B
G398	MFNG
G399	SLC35A1
G400	CISH
G401	MAVS
G402	CTLA2A
G403	RFESD
G404	SLC40A1
G405	GFM1
G406	ZFP62
G407	WLS
G408	EMILIN2
G409	ANXA6
G410	FKBP1A
G411	DNAJC11
G412	ANGPT1
G413	UBXN2B
G414	CHMP7
G415	TRIM47
G416	PRPS2
G417	CES2G
G418	MINPP1
G419	TXNRD2
G420	MFSD14B
G421	CASP3
G422	CLN5
G423	ATP6V1A
G424	ST3GAL5
G425	XPNPEP1
G426	AK3
G427	ATL2
G428	TBXAS1
G429	CD84
G430	RFC5
G431	ASNS
G432	PWP2
G433	HERC4
G434	TRIB2
G435	MT1
G436	SQLE
G437	KRT18
G438	LSP1
G439	ZFP35
G440	GOSR2
G441	PKM
G442	BLVRB
G443	SPC24
G444	SLC19A1
G445	PPIL4
G446	SDSL
G447	CAST
G448	ADGRL4
G449	NAPSA
G450	TNFAIP2
G451	CCNE1
G452	ZFP655
G453	FASTKD2
G454	PTDSS1
G455	PQLC3
G456	MYL10
G457	ELMO1
G458	CDT1
G459	MOGS
G460	ANAPC2
G461	MGST3
G462	SACM1L
G463	PADI4
G464	CHUK
G465	WARS
G466	UAP1L1
G467	GM15915
G468	FECH
G469	POGLUT1
G470	MTHFD1
G471	RHOF
G472	OASL2
G473	CCNA2
G474	AQP1
G475	CTSO
G476	ISG20
G477	TUBGCP3
G478	ALAD
G479	INTS13
G480	TSPAN33
G481	CDC45
G482	GSTM1
G483	G6PDX
G484	TMEM109
G485	MTAP
G486	TREML2
G487	NUDT9
G488	TSPO2
G489	GNPDA1
G490	GIMAP6
G491	CDC6
G492	CDCA4
G493	GLIPR2
G494	ZFP397
G495	GOLM1
G496	CTTN
G497	ATP2A3
G498	INPP5B
G499	EMILIN1
G500	CRYZL2
G501	NEURL3
G502	LEPROT
G503	LIMD2
G504	PTGS1
G505	POLE3
G506	FAM136A
G507	ITIH5
G508	CENPA
G509	TSPAN14
G510	D10WSU102E
G511	HARS2
G512	FPGS
G513	RASSF5
G514	SLC25A21
G515	BAP1
G516	PSMF1
G517	CNN2
G518	CEPT1
G519	GNB4
G520	GNG11
G521	PITPNB
G522	STEAP3
G523	VPS16
G524	MEMO1
G525	SLC14A1
G526	ELAC2
G527	SERPINB9
G528	LDHB
G529	CDCA3
G530	PRIM1
G531	RNASE6
G532	WDR4
G533	PDCL
G534	IFI203
G535	PFKM
G536	ATG4B
G537	ASF1B
G538	APLP2
G539	RABIF
G540	SMC2
G541	ST6GALNAC4
G542	WDHD1
G543	CERS5
G544	GBP2
G545	SLC43A1
G546	RAB37
G547	BID
G548	SERPINF1
G549	ESAM
G550	DENND2D
G551	TRIM59
G552	ALDH18A1
G553	CTSE
G554	CSTF2
G555	PLXNC1
G556	1700017B05RIK
G557	DYNLT3
G558	OTUD6B
G559	GIMAP1
G560	PRKAB1
G561	CAD
G562	WDR5
G563	MMUT
G564	HAUS2
G565	RASAL3
G566	MRPL37
G567	FTSJ3
G568	ATP13A1
G569	TFRC
G570	ANXA1
G571	TMC6
G572	POLD1
G573	GCLC
G574	PON2
G575	PSEN2
G576	NCEH1
G577	UHRF1
G578	TUBGCP2
G579	THUMPD3
G580	PROCR
G581	ME2
G582	RFC4
G583	MT2
G584	SLC18A2
G585	STARD10
G586	CKAP2L
G587	CTSC
G588	PBK
G589	CUL4A
G590	SCFD1
G591	HEMGN
G592	WDR55
G593	NAMPT
G594	FAM234B
G595	HPN
G596	IL21R
G597	DCAF13
G598	LRRC8C
G599	SMIM1
G600	MFSD1
G601	PICALM
G602	TNFRSF13B
G603	RANGAP1
G604	TMEM176B
G605	UBA3
G606	STAP1
G607	HEBP1
G608	ORC6
G609	GATM
G610	PPOX
G611	EBI3
G612	LONP1
G613	EPDR1
G614	CAR1
G615	BAG2
G616	FTSJ1
G617	CDC7
G618	2610035D17RIK
G619	VPS41
G620	TARS
G621	AW112010
G622	DUS1L
G623	PQLC1
G624	GYPA
G625	CCNB1
G626	SPIRE1
G627	CMPK2
G628	GDF3
G629	LIG1
G630	MARS
G631	TMEM129
G632	2210016F16RIK
G633	ALDH1A1
G634	CYB5R3
G635	AFG3L2
G636	RNF115
G637	SLC38A5
G638	PPIC
G639	RHD
G640	TMEM97
G641	PLCB2
G642	SERPINA3G
G643	CCDC137
G644	BYSL
G645	TYMS
G646	UBAC1
G647	TMX3
G648	GCNT2
G649	AP1G2
G650	PLIN2
G651	MAGED1
G652	HAGH
G653	GOLT1B
G654	ARL6IP6
G655	IL15
G656	SPC25
G657	EDC3
G658	SLC43A3
G659	ANXA5
G660	CAMK1
G661	NCLN
G662	NSDHL
G663	CEP70
G664	ATG12
G665	AURKB
G666	ENPP4
G667	NUP93
G668	CPOX
G669	SQOR
G670	MAD2L1
G671	CLDN13
G672	TLK1
G673	PMPCA
G674	MAU2
G675	SGPP1
G676	UCKL1
G677	RGS1
G678	SMIM5
G679	NUP107
G680	LRRC14
G681	MYCT1
G682	RGS2
G683	KLHL22
G684	IARS
G685	ZFP639
G686	CYTH3
G687	TBC1D10C
G688	CELA1
G689	EXT2
G690	VWA5A
G691	CPQ
G692	SPPL2B
G693	GMNN
G694	TANGO2
G695	IGKC
G696	PRPF4
G697	ABCB4
G698	HSDL1
G699	PNO1
G700	RAB32
G701	SLC16A1
G702	CUL2
G703	FIGNL1
