#ID	Name
G0	TARDBP
G212	UBE2K
G213	POLR2K
G214	RAD51
G215	UBTF
G216	RFX7
G217	SP1
G218	RBBP4
G219	SIRT7
G220	KPNA2
G221	ZFML
G222	KDM2B
G223	GTF2F1
G224	AIP
G225	MYST2
G226	MED8
G227	RLIM
G228	SMARCB1
G229	CENPB
G230	EGR1
G231	STAT6
G232	ID2
G233	TUBA1A
G234	SUPT6H
G235	MITF
G236	PHB2
G237	CEBPA
G238	HNRNPK
G239	VDR
G240	RFC1
G241	MDM2
G242	CREB3
G243	POLR2J
G244	DOT1L
G245	ING1
G246	KLF4
G247	THRAP3
G248	DDB1
G249	BHLHE40
G250	DNMT3A
G251	CHD1
G252	DEK
G253	SUB1
G254	BACH1
G255	PBRM1
G256	BTF3
G257	NAP1L4
G258	NSD1
G259	RDBP
G260	REL
G261	CSDE1
G262	ZFX
G263	IRF2
G264	JUP
G265	USF2
G266	TNFAIP3
G267	BATF3
G268	TRIM28
G269	TIAL1
G270	CTBP1
G271	NR4A1
G272	KDM5A
G273	HCLS1
G274	AGAP3
G275	NCOR1
G276	EDF1
G277	FOXJ3
G278	LASS2
G279	FOSB
G280	TCERG1
G281	MCM5
G282	HCFC1
G283	ATF3
G284	SNRPB
G285	ELL2
G286	NCOR2
G287	TCF12
G288	TOX4
G289	SERTAD2
G290	EHMT2
G291	ZFHX3
G292	BIN1
G293	ZBTB7A
G294	LMO4
G295	NFAT5
G296	POLR3K
G297	ILF3
G298	CBX3
G299	ZFP36
G300	CNOT6L
G301	HIST1H1C
G302	RBL2
G303	WBP11
G304	SUZ12
G305	ASH1L
G306	ETS2
G307	CNOT6
G308	HNRNPAB
G309	EGR2
G310	SRSF2
G311	GTF2I
G312	GTF2B
G313	STAT1
G314	SMARCA4
G315	RBM39
G316	TSC22D4
G317	TRPS1
G318	MBD2
G319	SUPT5H
G320	AES
G321	HAT1
G322	UBE2D3
G323	TTC35
G324	TRAPPC4
G325	ATP5J
G326	ACTG1
G327	ITGB2
G328	TAPBP
G329	EIF5A
G330	PIN4
G331	SSR1
G332	NDUFB6
G333	TRIM30A
G334	PTPN2
G335	EIF3E
G336	SUGT1
G337	TMEM14C
G338	MRPL18
G339	TSPAN3
G340	ACTR3
G341	ARPC5
G342	PLK2
G343	TNFRSF1B
G344	MCA32
G345	TNFAIP2
G346	IAH1
G347	FDPS
G348	ARPC2
G349	MAP1LC3B
G350	CAPZB
G351	CCT4
G352	SSR3
G353	CCR1
G354	LPL
G355	RPLP1
G356	BOLA2
G357	COX4I1
G358	CYBA
G359	NPTN
G360	TMEM59
G361	CCDC72
G362	SAT1
G363	NDUFS3
G364	PSMD8
G365	TMEM49
G366	NCF4
G367	OSTC
G368	TUBB5
G369	EIF3K
G370	ANXA2
G371	BC031181
G372	PDZD11
G373	NDUFB2
G374	DNASE1L1
G375	UQCRB
G376	CHCHD1
G377	RNH1
G378	TBCA
G379	PSMC6
G380	AK204443
G381	RNASET2A
G382	GNB2L1
G383	CCL6
G384	TM7SF4
G385	TCF25
G386	PSMB2
G387	TECR
G388	TMEM128
G389	MPEG1
G390	HEXA
G391	CLEC4E
G392	P4HB
G393	DEGS1
G394	SRI
G395	EIF4E
G396	NOP10
G397	SLAMF9
G398	MALT1
G399	VTA1
G400	SDHB
G401	COX7A2
G402	SDCBP
G403	PSMA6
G404	SEC11C
G405	RBM3
G406	LRPAP1
G407	1810037I17RIK
G408	SON
G409	PRELID1
G410	AP2S1
G411	CD68
G412	CFP
G413	GGH
G414	H2AFV
G415	TFEC
G416	RPS26
G417	KRTCAP2
G418	FKBP2
G419	PLA2G7
G420	NDUFB5
G421	AIF1
G422	PGAM1
G423	M6PR
G424	ALDOA
G425	CD14
G426	SIRPA
G427	UQCR11
G428	SRP14
G429	ENO1
G430	GM11428
G431	SEC61G
G432	SH3BGRL
G433	RPL41
G434	SDHC
G435	IMPACT
G436	PPIB
G437	MYL12B
G438	VAMP8
G439	SPP1
G440	DNAJB6
G441	CD200R4
G442	VPS25
G443	MRPS33
G444	RPL10A
G445	ALDOC
G446	PARK7
G447	FAM120A
G448	ATP5F1
G449	TAGLN2
G450	HMOX2
G451	CCDC109B
G452	DSTN
G453	ATP5E
G454	MRPL28
G455	MRPS21
G456	TALDO1
G457	RAN
G458	PARL
G459	RPL8
G460	ATP5J2
G461	VDAC2
G462	CTSZ
G463	NHP2
G464	MRPS36
G465	NDUFA13
G466	SF3B5
G467	CLIC1
G468	TMEM147
G469	PSMD6
G470	KLK1B11
G471	NINJ1
G472	ATP6AP1
G473	CUTA
G474	SNRNP25
G475	MT2
G476	LRRC33
G477	FTL1
G478	TMEM37
G479	EIF4A1
G480	CCDC12
G481	DPEP2
G482	ATP6V0D1
G483	HINT1
G484	UBA52
G485	PRKCD
G486	SPCS1
G487	GSTM1
G488	RPL36AL
G489	PSMC4
G490	NDUFB4
G491	PRR13
G492	PSMA5
G493	ALAS1
G494	AK008866
G495	UBL3
G496	SQSTM1
G497	EEF1G
G498	CTSS
G499	FCER1G
G500	MT1
G501	UBB
G502	RPL37
G503	MRPL23
G504	ARF1
G505	NDUFB8
G506	TOMM5
G507	4933434E20RIK
G508	CCNL1
G509	SP100
G510	MALAT1
G511	UCP2
G512	DPY30
G513	IFI30
G514	GUSB
G515	BCAP31
G516	RPL17
G517	SGK1
G518	ANXA1
G519	SNAP23
G520	AK185681
G521	IL1B
G522	OAZ1
G523	VAPA
G524	PECI
G525	RPL24
G526	SRP19
G527	GOLT1B
G528	ATP5B
G529	MRPL30
G530	TIMM8B
G531	A130040M12RIK
G532	IFRD1
G533	YWHAZ
G534	HMGN2
G535	PLEK
G536	SEPW1
G537	SRA1
G538	CCR2
G539	CHURC1
G540	ATP5G1
G541	MFGE8
G542	APLP2
G543	IER3IP1
G544	CFLAR
G545	DBI
G546	SSR4
G547	RPS17
G548	RAB32
G549	ERP29
G550	STARD3NL
G551	RPL36A
G552	CHI3L3
G553	MTPN
G554	ROMO1
G555	BCL2A1B
G556	BIRC6
G557	USMG5
G558	PSMA4
G559	CTSH
G560	GNG5
G561	P2RY14
G562	NEDD8
G563	FCRLS
G564	NDUFA4
G565	PSMC3
G566	PABPC1
G567	DPM2
G568	FAM195B
G569	LYZ2
G570	PSMA2
G571	RPL14
G572	NDUFB10
G573	PSME2
G574	CKLF
G575	RNF181
G576	SSU72
G577	CD44
G578	FABP5
G579	RPL36
G580	NAA20
G581	CD302
G582	GPX4
G583	EMP3
G584	TLR2
G585	PSAP
G586	PPP2R5C
G587	TXN2
G588	SLC39A1
G589	CYBB
G590	PRDX3
G591	SUCLG1
G592	CHMP5
G593	MDH2
G594	RSU1
G595	ANXA5
G596	RPL27
G597	SBDS
G598	ATP6V1B2
G599	AI413582
G600	GPR137B-PS
G601	TNIP3
G602	MRPL14
G603	INSL6
G604	DERP6
G605	HPRT
G606	NDUFS5
G607	S100A13
G608	TIMM23
G609	TPM3
G610	CXCL16
G611	1810033B17RIK
G612	CLEC4A2
G613	CTSL
G614	CCT2
G615	ATP6V1C1
G616	DAD1
G617	GSTO1
G618	QDPR
G619	LAPTM5
G620	ATP5C1
G621	2310016M24RIK
G622	UQCRH
G623	RENBP
G624	GYG
G625	AK177731
G626	HN1
G627	RPS28
G628	D8ERTD738E
G629	RPL38
G630	YWHAE
G631	RPL23
G632	NAMPT
G633	NDUFAB1
G634	TIMM17A
G635	CTSC
G636	F10
G637	ZFAND6
G638	HSP90AA1
G639	RPS14
G640	RAB11A
G641	PCNP
G642	2900010M23RIK
G643	ITGAX
G644	TWF1
G645	IGSF6
G646	DAP
G647	MEA1
G648	DYNLL1
G649	RPL7A
G650	LGALS1
G651	PDCD6
G652	LGMN
G653	ODC1
G654	SLC7A11
G655	H2-K1
G656	SARNP
G657	PLIN2
G658	SUMO2
G659	PTP4A2
G660	AKR1B3
G661	DYNLRB1
G662	RPL22L1
G663	LEPROT
G664	IL1RN
G665	CCRL2
G666	RHOA
G667	RBM7
G668	2810417H13RIK
G669	1810013D10RIK
G670	PGAP2
G671	COX7B
G672	MYEOV2
G673	RPSA
G674	SEP15
G675	LAMP1
G676	RPS24
G677	SDF2
G678	CDC42
G679	GADD45B
G680	EEF1B2
G681	COMMD6
G682	ATPIF1
G683	BIRC5
G684	LIPA
G685	TYROBP
G686	CIB1
G687	COPS6
G688	CTSD
G689	NDUFS7
G690	LSMD1
G691	ACTB
G692	TMSB4X
G693	PSMB10
G694	H2-D1
G695	NDUFS6
G696	TREM2
G697	ARHGDIB
G698	CHMP2A
G699	CAPZA1
G700	H2-T23
G701	RPS6
G702	RPS25
G703	RPL9
G704	PTGES3
G705	CLDND1
G706	HIST1H2BC
G707	SNX10
G708	H47
G709	SPCS3
G710	SEC61B
G711	TMED2
G712	RPS29
G713	HPCAL1
G714	RPS5
G715	CD24A
G716	PRDX2
G717	RGS10
G718	RAC2
G719	LGALS3
G720	SLC3A2
G721	CSF2RB
G722	DYNC1LI1
G723	NDUFA5
G724	PSMA3
G725	AF251705
G726	B3GNT2
G727	PTMA
G728	SPAG7
G729	TRAM1
G730	SEPT7
G731	RPL26
G732	2900073G15RIK
G733	MRFAP1
G734	C1QB
G735	TBXAS1
G736	LXN
G737	SELK
G738	SLC35B1
G739	RPL10
G740	RNASEK
G741	HSPE1
G742	MTHFS
G743	BZW1
G744	CTSB
G745	CALM2
G746	UBE2L6
G747	ACLY
G748	CLEC4D
G749	RILPL2
G750	MKIAA4114
G751	TMSB10
G752	CD9
G753	HSD17B10
G754	H3F3A
G755	1810027O10RIK
G756	PSMB6
G757	TOMM22
G758	RPL27A
G759	LGALS3BP
G760	NDUFV2
G761	RPS27A
G762	NDUFA7
G763	GM10653
G764	TXNDC17
G765	RPL35A
G766	RPS10
G767	WDR1
G768	PSMC1
G769	NACA
G770	GM6635
G771	CD84
G772	NHP2L1
G773	MRPS16
G774	CLK1
G775	SC4MOL
G776	1110007C09RIK
G777	ATP6V1D
G778	CD48
G779	HSPA5
G780	MRPL55
G781	CKS1B
G782	ATP5G2
G783	COX7A2L
G784	SERF2
G785	STXBP3A
G786	COMMD4
G787	LDHA
G788	PSMB3
G789	HMGB1
G790	PTP4A1
G791	RPS11
G792	PLD4
G793	MGST1
G794	ABCG1
G795	RNF13
G796	COX5A
G797	VPS29
G798	DNAJC8
G799	GUK1
G800	PAIP2
G801	SNX2
G802	PSME1
G803	RPL15
G804	UQCRQ
G805	RPS3
G806	MED10
G807	LITAF
G808	CLAST2
G809	PGK1
G810	CD47
G811	CNDP2
G812	1500003O03RIK
G813	TANK
G814	RPS20
G815	NPM1
G816	TM2D2
G817	IL1A
G818	2410015M20RIK
G819	RPL5
G820	CLEC4N
G821	CD81
G822	PPIA
G823	2700060E02RIK
G824	ATP5K
G825	CWC15
G826	SERPINB6A
G827	NDUFC1
G828	GHITM
G829	FTL2
G830	1810046J19RIK
G831	AA467197
G832	ATP5L
G833	HK2
G834	DHRS3
G835	COX5B
G836	SERINC1
G837	ATP6V1G1
G838	CNIH
G839	DENR
G840	FKBP1A
G841	POLD4
G842	EIF3M
G843	LAT2
G844	BRP44L
G845	BST2
G846	BCL2A1A
G847	SLC15A3
G848	UQCR10
G849	LSM3
G850	S100A10
G851	FTH1
G852	ACOT9
G853	SSNA1
G854	IDH3G
G855	H2-EB1
G856	CALR
G857	MGL2
G858	LSP1
G859	SEC61A1
G860	GMFG
G861	CYB5
G862	ATP6AP2
G863	RPL18A
G864	CTNNA1
G865	PSMB4
G866	SLC25A3
G867	TUBA1C
G868	GNGT2
G869	DYNLT1B
G870	ROBLD3
G871	NAGA
G872	CLIC4
G873	SEPT11
G874	SLC38A6
G875	TRF
G876	2010107E04RIK
G877	MARCKS
G878	VDAC3
G879	ATP6V0E
G880	MORF4L2
G881	RPL13
G882	NDUFB11
G883	H2-DMA
G884	HSP90B1
G885	ITM2B
G886	S100A6
G887	IDH1
G888	SNRPE
G889	ESD
G890	CSNK2B
G891	RPS7
G892	RPL7
G893	NDUFB3
G894	TFG
G895	GPNMB
G896	N6AMT2
G897	1110004F10RIK
G898	NME1
G899	TSPAN31
G900	MS4A6D
G901	RPS21
G902	NCK1
G903	MAPKSP1
G904	ATP1B3
G905	GOLGA7
G906	RASGEF1B
G907	CCDC53
G908	RAB7
G909	IL1R2
G910	SNX3
G911	0610009D07RIK
G912	PDIA3
G913	RPS9
G914	RPL4
G915	SEC11A
G916	GAS5
G917	1600029D21RIK
G918	NDUFA9
G919	TMBIM6
G920	ATP6V0D2
G921	RPL3
G922	NDUFA12
G923	PRDX5
G924	STRA13
G925	DNAJC15
G926	RAB1
G927	UFC1
G928	RPL28
G929	CKS2
G930	PGD
G931	MRPS18C
G932	PMP22
G933	CD200R1
G934	NAPSA
G935	TUBA1B
G936	COPZ1
G937	DPYSL2
G938	HSP90AB1
G939	RPS27L
G940	RPL37A
G941	COX6C
G942	TBRG1
G943	CXCL2
G944	PTS
G945	TSPO
G946	RPL11
G947	ERGIC3
G948	CDK2AP2
G949	FIS1
G950	ZBTB8OS
G951	RHOG
G952	NAAA
G953	1500032L24RIK
G954	3230401D17RIK
G955	FABP4
G956	ATOX1
G957	PSMB7
G958	PFDN5
G959	CAPZA2
G960	CCL3
G961	PDCD5
G962	RPS3A
G963	ASAH1
G964	TES
G965	ACTN1
G966	2510006D16RIK
G967	S100A11
G968	CORO1A
G969	SERP1
G970	ZYX
G971	CISH
G972	SIDT2
G973	CRIP1
G974	VIM
G975	GPX1
G976	NAP1L1
G977	MRPS18A
G978	2310016C08RIK
G979	NDUFC2
G980	FAU
G981	SLC25A5
G982	RNF149
G983	NIPSNAP3B
G984	FAM162A
G985	IL2RG
G986	BLOC1S1
G987	AK172428
G988	PDHB
G989	SLAMF7
G990	5033414D02RIK
G991	0610031J06RIK
G992	PKM2
G993	TREX1
G994	LY6E
G995	PSMB9
G996	MGST3
G997	PSMD14
G998	IL7R
G999	PDCD10
G1000	TXN1
G1001	BLVRA
G1002	YWHAH
G1003	OST4
G1004	BLVRB
G1005	HERPUD1
G1006	FCGR3
G1007	ARL8B
G1008	CD300LF
G1009	ALOX5AP
G1010	TUBB6
G1011	RNASE6
G1012	GNG10
G1013	GNB1
G1014	IMMT
G1015	B2M
G1016	MRPL20
G1017	ATP5H
G1018	OSTF1
G1019	PLBD1
G1020	GSTP1
G1021	CCL4
G1022	CORO1B
G1023	SLC25A4
G1024	RANBP1
G1025	RPS16
G1026	RPL35
G1027	FCGR2B
G1028	LILRB3
G1029	PRPF40A
G1030	ACOT7
G1031	RAB8B
G1032	EIF3H
G1033	BCL2A1D
G1034	IQGAP1
G1035	RPS18
G1036	PSMB8
G1037	TRA2B
G1038	TPM4
G1039	CTSA
G1040	EAR2
G1041	RPLP2
G1042	PSENEN
G1043	PSMA7
G1044	RNF7
G1045	SH3BGRL3
G1046	CD74
G1047	YPEL5
G1048	RAC1
G1049	CAPG
G1050	IDH3B
G1051	GLTP
G1052	CD53
G1053	SKP1A
G1054	ANXA3
G1055	CYTIP
G1056	EIF3I
G1057	GM2382
G1058	MRPL36
G1059	FXYD5
G1060	MBNL1
G1061	RPL6
G1062	LAMP2
G1063	H2-AB1
G1064	1810006K21RIK
G1065	EMB
G1066	RPL13A-PS1
G1067	ETFA
G1068	3110003A17RIK
G1069	ATP6V0C
G1070	TPT1
G1071	ATP5O
G1072	TCP1
G1073	BC056474
G1074	NDUFV3
G1075	LILRB4
G1076	CD63
G1077	SEPT2
G1078	NDUFB9
G1079	GM15450
G1080	AXL
G1081	AK042010
G1082	CCL9
G1083	MCTS1
G1084	CRIPT
G1085	STMN1
G1086	AK2
G1087	CHCHD2
G1088	ECE2
G1089	ATP5D
G1090	2310003F16RIK
G1091	DUSP1
G1092	PDPN
G1093	SAR1B
G1094	BUD31
G1095	PTTG1IP
G1096	PILRA
G1097	COMMD1
G1098	SSR2
G1099	TMBIM4
G1100	MRPL33
G1101	SNX6
G1102	NRAS
G1103	CCT5
G1104	ATP6V0B
G1105	ELOVL1
G1106	CNBP
G1107	TMED3
G1108	CCT3
G1109	D17WSU104E
G1110	CASP1
G1111	SUMO1
G1112	TMEM85
G1113	SLC2A6
G1114	PLP2
G1115	DNAJC19
G1116	COMMD3
G1117	NPC2
G1118	NSMCE2
G1119	SNX5
G1120	PYCARD
G1121	SNRPD2
G1122	MRC1
G1123	CCT8
G1124	AURKAIP1
G1125	SHFM1
G1126	EIF1
G1127	NDUFA2
G1128	PRDX6
G1129	MORF4L1
G1130	AK202494
G1131	POLDIP3
G1132	APRT
G1133	GPR171
G1134	TRAPPC1
G1135	CNN2
G1136	SEC13
G1137	TMEM179B
G1138	1110002B05RIK
G1139	PRDX4
G1140	CXCL1
G1141	TMEM219
G1142	SDC4
G1143	HNRNPC
G1144	PRDX1
G1145	CD52
G1146	CD36
G1147	RPL19
G1148	S100A4
G1149	RPS19
G1150	EIF1AX
G1151	FCF1
G1152	ECH1
G1153	CFL1
G1154	CANX
G1155	IER3
G1156	CACYBP
G1157	CCDC56
G1158	VPS28
G1159	NDUFS8
G1160	NDUFA6
G1161	NXF1
G1162	DQ539915
G1163	GABARAPL2
G1164	CDKN1A
G1165	RPS13
G1166	NDUFA1
G1167	HNRNPA2B1
G1168	1810022K09RIK
G1169	TNFSF9
G1170	2900064A13RIK
G1171	CST3
G1172	ACOT13
G1173	HNRNPF
G1174	PFN1
G1175	SIRPB1B
G1176	ZWINT
G1177	CSTB
G1178	CLEC4B1
G1179	ACTR2
G1180	TMEM208
G1181	FAM96A
G1182	HSPA8
G1183	IFI27L2A
G1184	MSR1
G1185	HIGD2A
G1186	GRN
G1187	GABARAP
G1188	GRCC10
G1189	CFDP1
G1190	AKR1A4
G1191	MDH1
G1192	RPL30
G1193	RPL12
G1194	ATP5G3
G1195	IFITM3
G1196	GM2A
G1197	RPL23A
G1198	LYZ1
G1199	COX8A
G1200	PLAUR
G1201	RASSF4
G1202	HBXIP
G1203	GDI2
G1204	PSMB1
G1205	NCF1
G1206	SLFN2
G1207	RPS8
G1208	EEF1A1
G1209	CD83
G1210	ARPC4
G1211	MRPL52
G1212	GLIPR1
G1213	RPL34
G1214	SNRPG
G1215	MTCH2
G1216	CETN3
G1217	RPS27
G1218	SRGN
G1219	2400001E08RIK
G1220	NDUFB7
G1221	POMP
G1222	CALM1
G1223	APOA1BP
G1224	CAPNS1
G1225	RPL32
G1226	RPL21
G1227	YWHAQ
G1228	TRAPPC2L
G1229	MRPL27
G1230	S100A1
G1231	COX6B1
G1232	PSMB5
G1233	CD164
G1234	ANXA4
G1235	SHISA5
G1236	CLTA
G1237	MRPL42
G1238	BANF1
G1239	MIF
G1240	IFITM2
G1241	GLRX
G1242	PNP
G1243	SAMHD1
G1244	ERH
G1245	AP2M1
G1246	TPT1P
G1247	1810009A15RIK
G1248	TMEM50A
G1249	UQCRFS1
G1250	HSD17B12
G1251	GBP6
G1252	MSN
G1253	SOD2
G1254	TIMM10
G1255	PPP1CA
G1256	RAP1B
G1257	TBCB
G1258	PLD3
G1259	EVI2A
G1260	BC028528
G1261	PEBP1
G1262	CREG1
G1263	NDUFA8
G1264	LGALS9
G1265	CLEC4A3
G1266	TPD52
G1267	1810058I24RIK
G1268	DOK2
G1269	ATP6V1F
G1270	EAR11
G1271	RGS1
G1272	ETFB
G1273	MYL6
G1274	RPLP0
G1275	COPE1
G1276	PSMD7
G1277	RPL39
G1278	COX7C
G1279	BCL2A1C
G1280	CD274
G1281	ATP6V1E1
G1282	H2-DMB1
G1283	PSMA1
G1284	UQCRC1
G1285	MRPL54
G1286	TPI1
G1287	SOD1
G1288	FAM32A
G1289	NDUFA10
G1290	MMP12
G1291	6720456B07RIK
G1292	UBC
G1293	SKAP2
G1294	H2-AA
G1295	SQRDL
G1296	ASS1
G1297	SDHD
G1298	RPS12
G1299	ISCA2
G1300	COX17
G1301	ATP5A1
G1302	LY86
G1303	REXO2
G1304	LCP1
G1305	LSM7
G1306	GLT25D1
G1307	ARL6IP1
G1308	RPS15
G1309	TCIRG1
G1310	PTPRC
G1311	ARF4
G1312	PCNA
G1313	PSMC5
G1314	COX6A1
G1315	H3F3B
G1316	SLIRP
G1317	PDIA6
G1318	CCL17
G1319	CLEC7A
G1320	1100001G20RIK
