G0	ETV1
G318	ZKSCAN1
G319	SFMBT1
G320	PATZ1
G321	CREB3L2
G322	LMO2
G323	TLR7
G324	JUND
G325	NFIA
G326	NFYB
G327	SUPT7L
G328	MXI1
G329	MEIS1
G330	NFATC3
G331	HMGA1
G332	NKX3-1
G333	TRIM28
G334	CRX
G335	EHMT2
G336	LMO3
G337	KAT6A
G338	ZNF587
G339	HMGN2
G340	GTF3C4
G341	RBM14
G342	SSB
G343	DNAJC2
G344	ILF2
G345	POLR1A
G346	FLI1
G347	FOXN3
G348	PRDM1
G349	FUBP1
G350	ZNF589
G351	AFF4
G352	POU2AF1
G353	POLR2I
G354	TBX3
G355	AIP
G356	SIRT1
G357	SRSF6
G358	ZEB2
G359	PER3
G360	SAP18
G361	RNF14
G362	OTX2
G363	SNAPC3
G364	ZNF146
G365	TGFB1I1
G366	CTNNB1
G367	POLR2F
G368	ZEB1
G369	E2F4
G370	ASXL1
G371	DEDD2
G372	ELAVL2
G373	MYCN
G374	PPARA
G375	DPF2
G376	FOXJ1
G377	NPM1
G378	HOXB2
G379	CSRP2
G380	FOXK1
G381	EGR1
G382	LIN28A
G383	RBFOX2
G384	H1F0
G385	PHB2
G386	PA2G4
G387	SERTAD2
G388	PPARGC1B
G389	PRDM14
G390	HAND1
G391	ALS2CR8
G392	JMJD1C
G393	DEK
G394	STAT3
G395	HNRNPAB
G396	MYBBP1A
G397	ZNF471
G398	HOXB4
G399	POLR2K
G400	SALL3
G401	PLAGL2
G402	ZNF24
G403	MSX1
G404	PAWR
G405	NFATC1
G406	SOX3
G407	SCD5
G408	TFAP4
G409	PBXIP1
