#ID	Name
G0	ETV1
G318	ZKSCAN1
G319	SFMBT1
G320	PATZ1
G321	CREB3L2
G322	LMO2
G323	TLR7
G324	JUND
G325	NFIA
G326	NFYB
G327	SUPT7L
G328	MXI1
G329	MEIS1
G330	NFATC3
G331	HMGA1
G332	NKX3-1
G333	TRIM28
G334	CRX
G335	EHMT2
G336	LMO3
G337	KAT6A
G338	ZNF587
G339	HMGN2
G340	GTF3C4
G341	RBM14
G342	SSB
G343	DNAJC2
G344	ILF2
G345	POLR1A
G346	FLI1
G347	FOXN3
G348	PRDM1
G349	FUBP1
G350	ZNF589
G351	AFF4
G352	POU2AF1
G353	POLR2I
G354	TBX3
G355	AIP
G356	SIRT1
G357	SRSF6
G358	ZEB2
G359	PER3
G360	SAP18
G361	RNF14
G362	OTX2
G363	SNAPC3
G364	ZNF146
G365	TGFB1I1
G366	CTNNB1
G367	POLR2F
G368	ZEB1
G369	E2F4
G370	ASXL1
G371	DEDD2
G372	ELAVL2
G373	MYCN
G374	PPARA
G375	DPF2
G376	FOXJ1
G377	NPM1
G378	HOXB2
G379	CSRP2
G380	FOXK1
G381	EGR1
G382	LIN28A
G383	RBFOX2
G384	H1F0
G385	PHB2
G386	PA2G4
G387	SERTAD2
G388	PPARGC1B
G389	PRDM14
G390	HAND1
G391	ALS2CR8
G392	JMJD1C
G393	DEK
G394	STAT3
G395	HNRNPAB
G396	MYBBP1A
G397	ZNF471
G398	HOXB4
G399	POLR2K
G400	SALL3
G401	PLAGL2
G402	ZNF24
G403	MSX1
G404	PAWR
G405	NFATC1
G406	SOX3
G407	SCD5
G408	TFAP4
G409	PBXIP1
G410	ARMC4
G411	MIB1
G412	CAMK2D
G413	P4HA1
G414	SART3
G415	C1orf9
G416	CD9
G417	CDCA7
G418	IMPAD1
G419	MCCC1
G420	COPS3
G421	GPSM2
G422	CDK6
G423	EPCAM
G424	SLC36A4
G425	MGST2
G426	LAP3
G427	SLC5A6
G428	SH3RF1
G429	AHNAK
G430	SETD7
G431	ST8SIA1
G432	AMIGO2
G433	MAP4K3
G434	PIK3R5
G435	ERCC-00171
G436	WDR35
G437	OTUD6B
G438	MFAP4
G439	ELOVL2
G440	PIM2
G441	FUT8
G442	RFC3
G443	GEMIN6
G444	GINS2
G445	PAK1IP1
G446	AKAP2
G447	DAAM1
G448	LIX1
G449	SYT1
G450	BAG3
G451	ERCC-00046
G452	CRIM1
G453	ATP2B4
G454	CTSK
G455	RFC5
G456	CPSF3
G457	LECT1
G458	ERCC-00060
G459	CUL1
G460	SFRP1
G461	ANKRD13A
G462	ALCAM
G463	NBPF15
G464	NOB1
G465	LRRN1
G466	PMAIP1
G467	WDR3
G468	B4GALT4
G469	ARFGAP3
G470	ZAP70
G471	RAE1
G472	CER1
G473	APLNR
G474	MFN2
G475	ODC1
G476	ASS1
G477	RRAGD
G478	TWISTNB
G479	STT3B
G480	PAQR3
G481	RPP40
G482	GALNT11
G483	DUSP4
G484	NBPF16
G485	ZNF92
G486	EXOSC3
G487	CDC25C
G488	FAM169A
G489	NUP35
G490	ANKRD50
G491	NRP2
G492	SEMA5A
G493	TIMM21
G494	ERCC-00022
G495	MRPS30
G496	KIF16B
G497	MAGI3
G498	PTPRZ1
G499	ERCC-00002
G500	MND1
G501	DPY19L1
G502	TMEM64
G503	COMMD3-BMI1
G504	SLC39A7
G505	ERCC-00044
G506	SH3BP4
G507	STEAP1B
G508	ZNF317
G509	FEZ1
G510	SNX16
G511	SNX14
G512	C2orf44
G513	PLXNA2
G514	INO80D
G515	LRR1
G516	C2orf69
G517	UBL3
G518	RPL17-C18ORF32
G519	TMEM177
G520	NOG
G521	SLC35F1
G522	ITGAV
G523	MAD2L1
G524	CCDC112
G525	PTGR1
G526	FZD6
G527	UNC5D
G528	TIPIN
G529	RALB
G530	HLA-DRB5
G531	TSR2
G532	CCDC50
G533	COL4A5
G534	TMSB15B
G535	BUB1B
G536	B3GNT5
G537	NIPSNAP3A
G538	SLCO2A1
G539	ATP11C
G540	ITPR2
G541	ELMOD2
G542	MMP16
G543	TRIM37
G544	DDAH1
G545	VRK1
G546	NUFIP1
G547	CEP55
G548	HSD17B11
G549	MCC
G550	BOD1
G551	ZWINT
G552	ARHGAP28
G553	F3
G554	KAL1
G555	RPE
G556	FBN1
G557	KDM6A
G558	MPP6
G559	TRIM35
G560	ERCC-00165
G561	C1GALT1
G562	ERCC-00095
G563	THY1
G564	FYTTD1
G565	TMEM126B
G566	FBXO36
G567	ZBTB10
G568	ACTL6A
G569	CCNE2
G570	RHOBTB3
G571	ENOPH1
G572	TRUB1
G573	ERCC-00145
G574	SLC39A14
G575	ANXA3
G576	ATP11B
G577	CLDN10
G578	GXYLT1
G579	FASTKD3
G580	NUMB
G581	C11orf82
G582	ANGPT2
G583	POLA1
G584	MED12L
G585	OIP5
G586	PROSER1
G587	DNAJC11
G588	METTL13
G589	HIAT1
G590	SDC2
G591	PPIC
G592	LIFR
G593	FLRT2
G594	BAMBI
G595	FZD5
G596	CALCOCO2
G597	TOP2A
G598	FAM188A
G599	ANKMY2
G600	SERPINB1
G601	ERRFI1
G602	NRP1
G603	SEPHS1
G604	PMP22
G605	CYB5A
G606	SENP7
G607	HS3ST3A1
G608	UTP15
G609	HTRA1
G610	CDH2
G611	ERCC-00074
G612	PDLIM3
G613	CNKSR3
G614	CGNL1
G615	ST5
G616	RASGRP3
G617	NOL11
G618	C18orf21
G619	PRSS35
G620	GPATCH4
G621	VWA5A
G622	LTBP1
G623	NTN4
G624	PLCB4
G625	CRHBP
G626	CEP112
G627	FAM208A
G628	KIF11
G629	NOC3L
G630	TRPA1
G631	POP5
G632	HLA-DQB1
G633	SCG3
G634	NAT10
G635	PLK1
G636	COL3A1
G637	STC1
G638	ZNF521
G639	YTHDF3
G640	POLR2M
G641	KIAA1804
G642	MCM10
G643	CEP192
G644	SLC7A3
G645	VPS54
G646	APOBEC3C
G647	HEATR1
G648	VSIG10
G649	THYN1
G650	TPD52
G651	RFC4
G652	ZNF280B
G653	GPR125
G654	TMOD1
G655	FAM117B
G656	TMEM48
G657	SERPINE2
G658	FAM83D
G659	RTKN2
G660	CCDC141
G661	TFB2M
G662	OSBPL10
G663	LUM
G664	DENND1A
G665	BCAS2
G666	DMXL2
G667	PTDSS1
G668	MYOF
G669	ERCC-00062
G670	PPPDE1
G671	COL1A1
G672	CHL1
G673	PDE3B
G674	ERCC-00111
G675	FLRT3
G676	SEMA6A
G677	ERCC-00084
G678	FER
G679	GATM
G680	NAGA
G681	XPO5
G682	RNF24
G683	ITCH
G684	VIM
G685	GPX7
G686	PCDH10
G687	TRIAP1
G688	HECW2
G689	CHD9
G690	ATRNL1
G691	IFRD2
G692	PIP5K1B
G693	BNIP3
G694	PIP4K2A
G695	LRIG3
G696	FAM20A
G697	FREM1
G698	USP1
G699	NAA25
G700	SAAL1
G701	ITGA6
G702	BLM
G703	COL11A1
G704	VANGL1
G705	FLVCR2
G706	DPH2
G707	C20orf112
G708	PENK
G709	C4orf46
G710	DSCAM
G711	RRN3
G712	TTC39C
G713	PRMT6
G714	FGD6
G715	GLDC
G716	RCAN2
G717	KLHL7
G718	TMEM131
G719	TMEM50B
G720	PPT2
G721	ADAMTS3
G722	LRRCC1
G723	RNF13
G724	MAPKAPK3
G725	DSCC1
G726	CASK
G727	CCDC90B
G728	HPS5
G729	IMP4
G730	SLC35A3
G731	TGFBR3
G732	ERCC-00112
G733	SAMD8
G734	CD99L2
G735	TTK
G736	C5orf62
G737	POLK
G738	TRPC4
G739	KIAA1467
G740	RABGAP1L
G741	BBS4
G742	SVIL
G743	PAK1
G744	RBBP8
G745	ALG6
G746	ATG4C
G747	WDFY1
G748	BCAR3
G749	LBH
G750	GYPE
G751	GABRB3
G752	KIF1A
G753	C3orf14
G754	TADA1
G755	TBC1D4
G756	CLDN11
G757	PRIM1
G758	AP1M2
G759	TRAF5
G760	ITM2A
G761	DRAM2
G762	JAKMIP2
G763	METAP1
G764	NUP54
G765	DAB1
G766	RCHY1
G767	C12orf23
G768	PNPLA8
G769	NPFFR2
G770	GPC3
G771	PDGFRA
G772	PRCP
G773	MME
G774	CCNB2
G775	CADM1
G776	ECI2
G777	TCN2
G778	MAT2B
G779	SPG20
G780	DKK3
G781	FAM159B
G782	CAP2
G783	ERCC-00042
G784	REV3L
G785	MXRA5
G786	GULP1
G787	NREP
G788	EXO1
G789	ZFYVE16
G790	SMYD5
G791	BBS2
G792	HOOK1
G793	PCDH7
G794	NHSL1
G795	FRMD6
G796	UCK2
G797	ERCC-00043
G798	COLEC12
G799	COL5A2
G800	COL1A2
G801	POLQ
G802	ERCC-00113
G803	MANEA
G804	SULF2
G805	CIRH1A
G806	SECISBP2L
G807	FAM162A
G808	KIAA0494
G809	CYP2S1
G810	RGMB
G811	ZDHHC21
G812	ERCC-00009
G813	WEE1
G814	CA12
G815	NEDD4
G816	TNFRSF11B
G817	KIAA1324L
G818	FBN2
G819	WDR12
G820	ST3GAL6
G821	ZNF124
G822	MRPS9
G823	PALLD
G824	ERCC-00131
G825	PPM1K
G826	PLOD2
G827	GPM6B
G828	RFPL2
G829	PLEKHA6
G830	CA2
G831	GLIPR2
G832	TDP2
G833	ZCCHC24
G834	NBEAL1
G835	SLITRK2
G836	EPHA4
G837	TK1
G838	PREX1
G839	CLSTN2
G840	NFXL1
G841	MATN3
G842	SYNC
G843	ERCC-00130
G844	ZNF3
G845	MPHOSPH9
G846	FAM120AOS
G847	FBXO28
G848	ELMO1
G849	AGPAT5
G850	TUBA4A
G851	RNF170
G852	IL13RA1
G853	MAN1A1
G854	CDC14B
G855	TTC39B
G856	GPR83
G857	ASNS
G858	CLDN7
G859	POLB
G860	PPIL1
G861	ODZ2
G862	LPGAT1
G863	FRMD4B
G864	ERCC-00162
G865	NEDD9
G866	KIFAP3
G867	MOB3B
G868	MLF1IP
G869	ZNF518B
G870	TNFRSF21
G871	LHFP
G872	SPRY2
G873	PDE4D
G874	CLCN3
G875	SORD
G876	GNG11
G877	DCLK1
G878	RSPO3
G879	PLSCR4
G880	PKIG
G881	SKA3
G882	LDOC1L
G883	SLC6A15
G884	SORL1
G885	CLGN
G886	MBIP
G887	FAM126B
G888	RAB31
G889	STK38L
G890	XRN1
G891	ANKRD13C
G892	SEC11C
G893	AK4
G894	CYP1B1
G895	PLAU
G896	LIPG
G897	FIG4
G898	PHLDB2
G899	SLC19A2
G900	TRIM2
G901	ZCCHC11
G902	CYYR1
G903	GLRX
G904	TRAPPC8
G905	MIA3
G906	AGL
G907	ERCC-00053
G908	COL4A1
G909	ALDOC
G910	POLDIP3
G911	LTA4H
G912	YPEL5
G913	PRSS23
G914	KIAA1841
G915	ERCC-00108
G916	SEPP1
G917	PRICKLE1
G918	SLC39A11
G919	MPHOSPH6
G920	ROR2
G921	PROM1
G922	PDCD2
G923	WNT5A
G924	DSE
G925	MAK16
G926	POLR3G
G927	BET1
G928	CCNG2
G929	DCAF6
G930	DNAJC9
G931	BTBD10
G932	QPCT
G933	AHSA2
G934	C8orf42
G935	KDELR3
G936	CDKN3
G937	ZFP62
G938	HPRT1
G939	COL5A1
G940	FOXN2
G941	MT1X
G942	KIAA0528
G943	BCAT2
G944	ZNF691
G945	CCDC81
G946	NTS
G947	ARHGAP42
G948	NT5DC3
G949	UNC13B
G950	CHN1
G951	GCNT1
G952	TRIB1
G953	TATDN1
G954	UTP18
G955	HAPLN1
G956	GTF2H2D
G957	ADD2
G958	LGR4
G959	ZDHHC2
G960	CCPG1
G961	LGALSL
G962	PRPS2
G963	JPH1
G964	ESCO2
G965	TMEM87A
G966	DLC1
G967	NDC80
G968	RAD50
G969	EARS2
G970	NCAPG
G971	ERCC-00076
G972	RIPPLY1
G973	MYO5B
G974	DNAAF2
G975	MAP3K2
G976	DNAJC16
G977	S1PR3
G978	IAH1
G979	ZNF90
G980	TMLHE
G981	KLHL28
G982	CLCN4
G983	CCDC138
G984	ERCC-00096
G985	TYRO3
G986	NECAP2
G987	KIF13B
G988	PPAT
G989	ALDH2
G990	URB2
G991	AKAP1
G992	LYAR
G993	TRDN
G994	DCAF5
G995	GALNT7
G996	TIAM1
G997	DBF4
G998	PJA2
G999	CYP26A1
G1000	DDHD2
G1001	PLP1
G1002	CAPN2
G1003	CDCA2
G1004	ERLEC1
G1005	TMEM87B
G1006	KIF21A
G1007	RAD51AP1
G1008	EPHA2
G1009	MRPL1
G1010	SH3BP5
G1011	PLS1
G1012	MEPE
G1013	ODF2
G1014	IFT81
G1015	GAD1
G1016	METTL19
G1017	PHLDA1
G1018	TIMM8A
G1019	UBL7
G1020	ITGA4
G1021	RIOK1
G1022	CCDC82
G1023	DECR1
G1024	MAGEH1
G1025	BBIP1
G1026	KLHL4
G1027	CASD1
G1028	LIG4
G1029	MMP2
G1030	KLHL12
G1031	TMPRSS11E
G1032	GPR98
G1033	SYNE2
G1034	WDR67
G1035	SNX18
G1036	TPD52L2
G1037	BMPER
G1038	METTL1
G1039	PPM1H
G1040	EIF5A2
G1041	UTP14A
G1042	ARL4D
G1043	UPF3B
G1044	GABRB2
G1045	MAP7
G1046	CD48
G1047	SORT1
G1048	ERCC-00035
G1049	ALPK2
G1050	SEL1L
G1051	VSNL1
G1052	CEP290
G1053	FAM115A
G1054	HECA
G1055	ENO2
G1056	STXBP5
G1057	DOK6
G1058	ZNF30
G1059	ERCC-00025
G1060	FRZB
G1061	SH3BGRL
G1062	ODZ4
G1063	PLCE1
G1064	AADAT
G1065	S100A10
G1066	FN1
G1067	HRSP12
G1068	GOLGB1
G1069	CDCA5
G1070	LGR5
G1071	TSPAN13
G1072	EPHB2
G1073	SCO1
G1074	NUCB2
G1075	KIF22
G1076	COBLL1
G1077	OXTR
G1078	FAM69A
G1079	FTSJ3
G1080	RBM12
G1081	FAM89A
G1082	RIN2
G1083	SSFA2
G1084	ZWILCH
G1085	KLHL24
G1086	PCDH17
G1087	TMEM39A
G1088	RFESD
G1089	PHLPP1
G1090	PGAP2
G1091	GPR108
G1092	DNA2
G1093	ZFP90
G1094	NUDT11
G1095	ENC1
G1096	CDC6
G1097	BHLHB9
G1098	WDHD1
G1099	PFKFB2
G1100	MTERF
G1101	PODXL
G1102	DKK1
G1103	TFPI
G1104	SMYD2
G1105	TEX10
G1106	SDCCAG8
G1107	KIF2C
G1108	TSPAN12
G1109	UNG
G1110	KIAA1462
G1111	ARSE
G1112	HEG1
G1113	COL4A6
G1114	ANKRD44
G1115	PGM2
G1116	ERBB4
G1117	ABCA1
G1118	ACOX3
G1119	INPP4A
G1120	TTC4
G1121	ESRP1
G1122	SNUPN
G1123	RGPD2
G1124	PNRC1
G1125	PCNA
G1126	IFT80
G1127	SEMA3A
G1128	PGM1
G1129	SH3PXD2A
G1130	DYNC1I1
G1131	TUBE1
G1132	DYNC2LI1
G1133	DOCK1
G1134	CPD
G1135	NIPSNAP1
G1136	STIM2
G1137	FBXO34
G1138	ERCC6L
G1139	CD1D
G1140	NCAM1
G1141	MAN2A1
G1142	NIF3L1
G1143	UNC5C
G1144	ZNF512
G1145	GALM
G1146	PDCD4
G1147	CCDC6
G1148	EIF2C4
G1149	EGLN1
G1150	ISCA1
G1151	DEPDC1B
G1152	CPVL
G1153	VEZT
G1154	AARS
G1155	KIAA0947
G1156	PLK2
G1157	PELI2
G1158	FAM135A
G1159	NAV2
G1160	RMI1
G1161	WLS
G1162	ZSWIM6
G1163	DOK4
G1164	HOMER1
G1165	PPP1R9A
G1166	COL4A2
G1167	FZD7
G1168	IGSF3
G1169	IL6ST
G1170	TIPARP
G1171	DNAJB14
G1172	EHD3
G1173	APOBEC3G
G1174	PPAPDC1A
G1175	ARHGAP29
G1176	COG6
G1177	PPP3CA
G1178	PAM
G1179	MAMLD1
G1180	LIMCH1
G1181	FNDC3B
G1182	HAS2
G1183	MORC4
G1184	RPF2
G1185	ALDH18A1
G1186	NIN
G1187	AIF1L
G1188	ZFYVE21
G1189	AMN1
G1190	PCK2
G1191	PUS7
G1192	GYPB
G1193	SLC7A8
G1194	KIAA1109
G1195	CXCR7
G1196	MBOAT1
G1197	RAD54L
G1198	COX10
G1199	GRP
G1200	EPHA1
G1201	GEMIN4
G1202	ZNF93
G1203	MAEA
G1204	FST
G1205	GYPA
G1206	NBPF14
G1207	ZNF516
G1208	PRTG
G1209	ST8SIA4
G1210	USP44
G1211	DTL
G1212	ARL4A
G1213	TP53INP1
G1214	TTC27
G1215	NLGN4X
G1216	VAMP7
G1217	SEMA3E
G1218	NOP2
G1219	RABEPK
G1220	DPYSL3
G1221	PREPL
G1222	GPC6
G1223	TNC
G1224	ZFC3H1
G1225	NBPF10
G1226	TMEM57
G1227	IGDCC4
G1228	SVEP1
G1229	PABPC4L
G1230	THAP9
G1231	FARSB
G1232	RPA2
G1233	STK17B
G1234	NDUFC2-KCTD14
G1235	BEX2
G1236	SAMD3
G1237	LEPRE1
G1238	INSIG2
G1239	ERBB2IP
G1240	OSBPL3
G1241	GPC4
G1242	IQGAP2
G1243	NXT2
G1244	COMMD3
G1245	GCNT2
G1246	RBM24
G1247	GRPR
G1248	STK3
G1249	ANKRD18B
G1250	SERHL2
G1251	ERCC-00071
G1252	DLGAP5
G1253	MAPRE2
G1254	RRAS2
G1255	SEMA6D
G1256	OPTN
G1257	STX6
G1258	FAM64A
G1259	LAMB1
G1260	TIMP3
G1261	ACTC1
G1262	SLC29A1
G1263	PDPN
G1264	ERCC-00136
G1265	SPP1
G1266	KIAA1715
G1267	GCA
G1268	DKK4
G1269	WDR75
G1270	CDCA8
G1271	FBXO5
G1272	CALB1
G1273	ECHDC1
G1274	SSX2IP
G1275	TMEM47
G1276	SLC43A3
G1277	VPS13C
G1278	LTV1
G1279	DUSP10
G1280	CHAC2
G1281	ACAD8
G1282	NEK7
G1283	TJP2
G1284	TMEM237
G1285	COMMD10
G1286	FAM46A
G1287	ANKRD28
G1288	VASH2
G1289	CEP85L
G1290	AURKB
G1291	ACSS3
G1292	TDRD7
G1293	HSPA14
G1294	ERCC-00004
G1295	SFRP2
G1296	NLRP2
G1297	PAIP2B
G1298	SPPL2A
G1299	ANKRD26
G1300	CDH11
G1301	ZFP36L2
G1302	FAM126A
G1303	SGCE
G1304	CDC20
G1305	STX12
G1306	TTN
G1307	SLC18B1
G1308	CSPP1
G1309	ACBD6
G1310	PLCB1
G1311	NUSAP1
G1312	TSR1
G1313	FRYL
G1314	GALC
G1315	RGS5
G1316	LPIN1
G1317	ADSS
G1318	EDEM3
G1319	PSMC3IP
G1320	GLMN
G1321	TMEM38B
G1322	ERCC-00092
G1323	YAE1D1
G1324	PALB2
G1325	RNF138
G1326	GDAP1
G1327	IPO4
G1328	RCOR3
G1329	RAVER2
G1330	CCKBR
G1331	MSANTD3-TMEFF1
G1332	MRPS35
G1333	PRKACB
G1334	SH3BGRL2
G1335	LRP12
G1336	TAOK3
G1337	STX17
G1338	KIF23
G1339	RHAG
G1340	RBMS3
G1341	CCNA2
G1342	NXF1
G1343	NIP7
G1344	NAP1L3
G1345	GGCT
G1346	KIF15
G1347	ABLIM1
G1348	NOP16
G1349	EMB
G1350	KRCC1
G1351	EPB41L3
G1352	CLU
G1353	ACBD3
G1354	LEPREL1
G1355	LRRC16A
G1356	SRGAP1
G1357	CDC7
G1358	ARRB1
G1359	TGFBR1
G1360	SLC39A8
G1361	CD200
G1362	PRMT3
G1363	FAT1
G1364	SH2B3
G1365	RBM47
G1366	KDR
G1367	CPE
G1368	PHC1
G1369	SPRED2
G1370	ITGA5
G1371	CBR1
G1372	ERCC-00003
G1373	C5orf42
G1374	CCDC80
G1375	SLC46A3
G1376	RND3
G1377	CHEK2
G1378	HS3ST1
G1379	UCHL3
G1380	C11orf46
G1381	PGAP1
G1382	CAD
G1383	FGF2
G1384	SIPA1L2
G1385	KLHL6
G1386	MEX3C
G1387	SLFN5
G1388	NUAK1
G1389	ITGB3BP
G1390	LCMT1
G1391	MBTD1
G1392	SHISA6
G1393	SLC7A5
G1394	SLC2A1
G1395	SLC16A2
G1396	MICU1
G1397	MYCT1
G1398	SERINC3
G1399	HLA-DRB1
G1400	MALT1
G1401	BEND3
G1402	TXLNG
G1403	SERPINB6
G1404	MRS2
G1405	OAS1
G1406	LRAT
G1407	CA14
G1408	PTPRM
G1409	FGF17
