G0	HOPX
G173	MCM7
G174	RNF14
G175	ZFP768
G176	PCBP2
G177	ERF
G178	ELK1
G179	POLR2J
G180	DDX54
G181	FOXQ1
G182	PLRG1
G183	RNF2
G184	CNOT6L
G185	NFIC
G186	ZBTB7A
G187	PML
G188	CENPB
G189	POLR2H
G190	SMARCC1
G191	ZBTB43
G192	TCF4
G193	KHDRBS1
G194	SIN3B
G195	TBX3
G196	ETV6
G197	ILF2
G198	POLR3F
G199	ZFAND3
G200	CNOT3
G201	KLF3
G202	ARID3B
G203	H1F0
G204	CNOT6
G205	IRF1
G206	TCF7
G207	ZFP276
G208	TGFB1
G209	RBBP7
G210	ZFP219
G211	LMO4
G212	EHMT2
G213	PEG3
G214	BMP4
G215	IRF3
G216	CCND1
G217	SRSF6
G218	ETS1
G219	LDB1
G220	IRF4
G221	RBPJ
G222	TSHZ3
G223	CRAMP1L
G224	SOX4
G225	TMF1
G226	KNTC1
G227	BTBD11
G228	ELK4
G229	DDB1
G230	MED31
G231	SRF
G232	POU6F1
G233	KLF10
G234	HIST1H2BB
G235	JARID2
G236	DNMT3A
G237	HDAC10
G238	HNRNPK
G239	DAXX
G240	JUND
G241	RAD51
G242	ETV5
G243	TRRAP
G244	ZFP148
G245	CTNNBIP1
G246	DNAJC2
G247	HDAC7
G248	EP300
G249	ZBTB39
G250	USF1
G251	DTX1
G252	PROX1
G253	KRBA1
G254	PHC1
G255	MYC
G256	RUNX1
G257	SUZ12
G258	SMURF1
G259	TEAD4
G260	CNOT2
G261	THRAP3
G262	ASH2L
G263	TRP53
G264	TBPL1
G265	TRIM24
G266	FOXA2
G267	MAPK13
G268	ID4
G269	MCM3
G270	SKIL
G271	ING1
G272	CALCOCO1
G273	SIX5
G274	NFKBIA
G275	HDAC4
G276	ANKRD54
G277	TOP2B
G278	NCOA6
G279	SIX1
G280	FOXP1
G281	TTF2
G282	SIRT1
G283	NR4A1
G284	TCF20
G285	POLR1A
G286	SALL4
G287	HMGA2
G288	CNOT8
G289	PELP1
G290	BIN1
G291	ZEB1
G292	CBX7
G293	ZBTB20
G294	PAWR
G295	GATA6
G296	ILF3
G297	MED15
G298	MIS18BP1
G299	ETV3
G300	DAZAP2
G301	MAML3
G302	APBB1
G303	RBMXL2
G304	ZEB2
G305	ZBTB32
G306	RHOX6
G307	POU2F1
G308	DCP1A
G309	FOSL2
G310	FUS
G311	HDAC2
G312	PAX8
G313	CITED2
G314	ZBTB3
G315	VEZF1
G316	BRCA2
G317	PER1
G318	PLAG1
G319	POLR1E
G320	REST
G321	SCMH1
G322	UTF1
G323	AES
G324	EYA1
G325	GNRH1
G326	MYBBP1A
G327	NME2
G328	TOPORS
G329	SND1
G330	NFATC4
G331	ORC2
G332	TRP53BP1
G333	ELF3
G334	FIZ1
G335	AKT1
G336	OVOL1
G337	ETV1
G338	SIRT2
G339	TIMELESS
G340	FHL2
G341	HSF2
G342	TGIF1
G343	FOXO3
G344	YBX1
G345	POLR2K
G346	POLR3D
G347	SFPQ
G348	TFEB
G349	TWIST1
G350	MAFK
G351	NCOA3
G352	NFIB
G353	TSG101
G354	SOX17
G355	MTF2
G356	RARG
G357	NOTCH2
G358	TEAD3
G359	ZFP91
G360	KLF15
G361	RFX5
G362	STAT5A
G363	TAF1
G364	ZFP592
G365	TCEA3
G366	ELP2
G367	NFATC1
G368	MLXIP
G369	ABTB1
G370	DR1
G371	AGAP3
G372	SOX15
G373	CTNNBL1
G374	DIDO1
G375	NSD1
G376	TRIM32
G377	SOX7
G378	BRWD1
G379	HDAC11
G380	PIAS2
G381	HMGXB3
G382	TCEA1
G383	CREB5
G384	EZH1
G385	KLF8
G386	RBMX
G387	ZHX3
G388	MAPK8
G389	DDX5
G390	SRSF3
G391	NFE2L1
G392	ESPL1
G393	NFIA
G394	TAF9
G395	GATAD2B
G396	NFX1
G397	TOX4
G398	RCOR2
G399	GTF2A1L
G400	HNRNPAB
G401	PHF14
G402	SIRT3
G403	BRD7
G404	SRRT
G405	ILK
G406	FXR2
G407	RUVBL2
G408	STAT4
G409	EBF1
G410	CREBZF
G411	ZFP335
G412	NR0B1
G413	PSIP1
G414	TAF6
G415	ZFP398
G416	TAF5
G417	BTF3
G418	KEAP1
G419	MXD4
G420	NFYA
G421	SMARCC2
G422	CTBP1
G423	NCOR1
G424	POLR2B
G425	ASXL1
G426	MBD2
G427	POLR1B
G428	KLF2
G429	NKRF
G430	PREB
G431	BARX1
G432	ATF4
G433	RERE
G434	POU4F1
G435	ELF2
G436	CTNNB1
G437	TCERG1
G438	SMAD4
G439	TRIB3
G440	EP400
G441	RAI14
G442	SPEN
G443	ZBTB38
G444	PIAS3
G445	DDB2
G446	PRRX2
G447	TADA3
G448	ATM
G449	IRF6
G450	MPHOSPH8
G451	TRIP6
G452	ID3
G453	ARNT2
G454	TOX3
G455	SERTAD2
G456	CNOT7
G457	POLR2I
G458	ESRRA
G459	TRIM25
G460	ABT1
G461	TRIM13
G462	FUBP3
G463	YEATS4
G464	ZSWIM4
G465	YAF2
G466	GLIS2
G467	RBM14
G468	SRSF1
G469	UBTF
G470	KDM5B
G471	GABPA
G472	HIF3A
G473	GBX2
G474	MLXIPL
G475	MEIS1
G476	PBX4
G477	RAD54B
G478	SP1
G479	POLR2E
G480	IRF2
G481	COIL
G482	HIVEP2
G483	POU5F1
G484	SUB1
G485	GATA4
G486	PRDM14
G487	SOS2
G488	SREBF1
G489	SMAD7
G490	PHF1
G491	CIC
G492	SMURF2
G493	ZMYM2
G494	DDIT3
G495	MITF
G496	PATZ1
G497	POLR2A
G498	SMARCA5
G499	TLE1
G500	TCF12
G501	CHD7
G502	FOXJ2
G503	TCF7L2
G504	TRPS1
G505	PHB2
G506	HDAC1
G507	MEF2A
G508	ZFP423
G509	NRF1
G510	ZIC3
G511	BMP6
G512	MSX2
G513	YEATS2
G514	TAX1BP3
G515	DDX20
G516	RBBP4
G517	ZFP462
G518	ZDHHC16
G519	MATR3
G520	PHF20
G521	MAZ
G522	AIP
G523	MCM2
G524	ECD
G525	PCBD1
G526	RBFOX2
G527	PURA
G528	BTG2
G529	FOXO1
G530	NR1H2
G531	EOMES
G532	SMAD2
G533	EWSR1
G534	MCM6
G535	HMGB2
G536	PAX1
G537	NFIL3
G538	SSB
G539	EED
G540	EGR1
G541	NRIP1
G542	HIF1A
G543	NFATC2IP
G544	ATF7
G545	ARID5B
G546	ELF4
G547	CELF3
G548	HDAC5
G549	BTAF1
G550	TBL1X
G551	PBXIP1
G552	RFX7
G553	CHD4
G554	TAF10
G555	PRDM1
G556	ANKRD6
G557	BMI1
G558	MAML1
G559	BARD1
G560	NR2C1
G561	HTT
G562	HSBP1
G563	RAPGEF3
G564	RNF19A
G565	NDN
G566	SMARCAD1
G567	MYBL2
G568	CREB3
G569	NAA15
G570	RFX2
G571	MEF2C
G572	ZFP446
G573	MED4
G574	ZFP277
G575	SMARCB1
G576	RBL1
G577	CRABP2
G578	ZSCAN10
G579	BAZ1A
G580	WWTR1
G581	GTF3C1
G582	ZFP36L1
G583	AATF
G584	CBX4
G585	TFAP4
G586	NANOG
G587	ANKRD49
G588	ZDHHC15
G589	NR3C1
G590	GTF2H4
G591	GRIN1
G592	ING3
G593	TULP3
G594	SSBP4
G595	HNF1B
G596	KLF4
G597	MAPK3
G598	E2F2
G599	APEX1
G600	CREB3L2
G601	TEAD1
G602	GATA3
G603	MDM2
G604	RARA
G605	TFAP2C
G606	PA2G4
G607	INTS12
G608	OTX2
G609	ZFP281
G610	ELL2
G611	XRCC5
G612	ZBTB24
G613	RB1
G614	AIRE
G615	ELL3
G616	NOTCH1
G617	LHX2
G618	PAPOLA
G619	HIST1H1D
