#ID	Name
G0	HOPX
G172	STAT5B
G173	MCM7
G174	RNF14
G175	ZFP768
G176	PCBP2
G177	ERF
G178	ELK1
G179	POLR2J
G180	DDX54
G181	FOXQ1
G182	PLRG1
G183	RNF2
G184	CNOT6L
G185	NFIC
G186	ZBTB7A
G187	PML
G188	CENPB
G189	POLR2H
G190	SMARCC1
G191	ZBTB43
G192	TCF4
G193	KHDRBS1
G194	SIN3B
G195	TBX3
G196	ETV6
G197	ILF2
G198	POLR3F
G199	ZFAND3
G200	CNOT3
G201	KLF3
G202	ARID3B
G203	H1F0
G204	CNOT6
G205	IRF1
G206	TCF7
G207	ZFP276
G208	TGFB1
G209	RBBP7
G210	ZFP219
G211	LMO4
G212	EHMT2
G213	PEG3
G214	BMP4
G215	IRF3
G216	CCND1
G217	SRSF6
G218	ETS1
G219	LDB1
G220	IRF4
G221	RBPJ
G222	TSHZ3
G223	CRAMP1L
G224	SOX4
G225	TMF1
G226	KNTC1
G227	BTBD11
G228	ELK4
G229	DDB1
G230	MED31
G231	SRF
G232	POU6F1
G233	KLF10
G234	HIST1H2BB
G235	JARID2
G236	DNMT3A
G237	HDAC10
G238	HNRNPK
G239	DAXX
G240	JUND
G241	RAD51
G242	ETV5
G243	TRRAP
G244	ZFP148
G245	CTNNBIP1
G246	DNAJC2
G247	HDAC7
G248	EP300
G249	ZBTB39
G250	USF1
G251	DTX1
G252	PROX1
G253	KRBA1
G254	PHC1
G255	MYC
G256	RUNX1
G257	SUZ12
G258	SMURF1
G259	TEAD4
G260	CNOT2
G261	THRAP3
G262	ASH2L
G263	TRP53
G264	TBPL1
G265	TRIM24
G266	FOXA2
G267	MAPK13
G268	ID4
G269	MCM3
G270	SKIL
G271	ING1
G272	CALCOCO1
G273	SIX5
G274	NFKBIA
G275	HDAC4
G276	ANKRD54
G277	TOP2B
G278	NCOA6
G279	SIX1
G280	FOXP1
G281	TTF2
G282	SIRT1
G283	NR4A1
G284	TCF20
G285	POLR1A
G286	SALL4
G287	HMGA2
G288	CNOT8
G289	PELP1
G290	BIN1
G291	ZEB1
G292	CBX7
G293	ZBTB20
G294	PAWR
G295	GATA6
G296	ILF3
G297	MED15
G298	MIS18BP1
G299	ETV3
G300	DAZAP2
G301	MAML3
G302	APBB1
G303	RBMXL2
G304	ZEB2
G305	ZBTB32
G306	RHOX6
G307	POU2F1
G308	DCP1A
G309	FOSL2
G310	FUS
G311	HDAC2
G312	PAX8
G313	CITED2
G314	ZBTB3
G315	VEZF1
G316	BRCA2
G317	PER1
G318	PLAG1
G319	POLR1E
G320	REST
G321	SCMH1
G322	UTF1
G323	AES
G324	EYA1
G325	GNRH1
G326	MYBBP1A
G327	NME2
G328	TOPORS
G329	SND1
G330	NFATC4
G331	ORC2
G332	TRP53BP1
G333	ELF3
G334	FIZ1
G335	AKT1
G336	OVOL1
G337	ETV1
G338	SIRT2
G339	TIMELESS
G340	FHL2
G341	HSF2
G342	TGIF1
G343	FOXO3
G344	YBX1
G345	POLR2K
G346	POLR3D
G347	SFPQ
G348	TFEB
G349	TWIST1
G350	MAFK
G351	NCOA3
G352	NFIB
G353	TSG101
G354	SOX17
G355	MTF2
G356	RARG
G357	NOTCH2
G358	TEAD3
G359	ZFP91
G360	KLF15
G361	RFX5
G362	STAT5A
G363	TAF1
G364	ZFP592
G365	TCEA3
G366	ELP2
G367	NFATC1
G368	MLXIP
G369	ABTB1
G370	DR1
G371	AGAP3
G372	SOX15
G373	CTNNBL1
G374	DIDO1
G375	NSD1
G376	TRIM32
G377	SOX7
G378	BRWD1
G379	HDAC11
G380	PIAS2
G381	HMGXB3
G382	TCEA1
G383	CREB5
G384	EZH1
G385	KLF8
G386	RBMX
G387	ZHX3
G388	MAPK8
G389	DDX5
G390	SRSF3
G391	NFE2L1
G392	ESPL1
G393	NFIA
G394	TAF9
G395	GATAD2B
G396	NFX1
G397	TOX4
G398	RCOR2
G399	GTF2A1L
G400	HNRNPAB
G401	PHF14
G402	SIRT3
G403	BRD7
G404	SRRT
G405	ILK
G406	FXR2
G407	RUVBL2
G408	STAT4
G409	EBF1
G410	CREBZF
G411	ZFP335
G412	NR0B1
G413	PSIP1
G414	TAF6
G415	ZFP398
G416	TAF5
G417	BTF3
G418	KEAP1
G419	MXD4
G420	NFYA
G421	SMARCC2
G422	CTBP1
G423	NCOR1
G424	POLR2B
G425	ASXL1
G426	MBD2
G427	POLR1B
G428	KLF2
G429	NKRF
G430	PREB
G431	BARX1
G432	ATF4
G433	RERE
G434	POU4F1
G435	ELF2
G436	CTNNB1
G437	TCERG1
G438	SMAD4
G439	TRIB3
G440	EP400
G441	RAI14
G442	SPEN
G443	ZBTB38
G444	PIAS3
G445	DDB2
G446	PRRX2
G447	TADA3
G448	ATM
G449	IRF6
G450	MPHOSPH8
G451	TRIP6
G452	ID3
G453	ARNT2
G454	TOX3
G455	SERTAD2
G456	CNOT7
G457	POLR2I
G458	ESRRA
G459	TRIM25
G460	ABT1
G461	TRIM13
G462	FUBP3
G463	YEATS4
G464	ZSWIM4
G465	YAF2
G466	GLIS2
G467	RBM14
G468	SRSF1
G469	UBTF
G470	KDM5B
G471	GABPA
G472	HIF3A
G473	GBX2
G474	MLXIPL
G475	MEIS1
G476	PBX4
G477	RAD54B
G478	SP1
G479	POLR2E
G480	IRF2
G481	COIL
G482	HIVEP2
G483	POU5F1
G484	SUB1
G485	GATA4
G486	PRDM14
G487	SOS2
G488	SREBF1
G489	SMAD7
G490	PHF1
G491	CIC
G492	SMURF2
G493	ZMYM2
G494	DDIT3
G495	MITF
G496	PATZ1
G497	POLR2A
G498	SMARCA5
G499	TLE1
G500	TCF12
G501	CHD7
G502	FOXJ2
G503	TCF7L2
G504	TRPS1
G505	PHB2
G506	HDAC1
G507	MEF2A
G508	ZFP423
G509	NRF1
G510	ZIC3
G511	BMP6
G512	MSX2
G513	YEATS2
G514	TAX1BP3
G515	DDX20
G516	RBBP4
G517	ZFP462
G518	ZDHHC16
G519	MATR3
G520	PHF20
G521	MAZ
G522	AIP
G523	MCM2
G524	ECD
G525	PCBD1
G526	RBFOX2
G527	PURA
G528	BTG2
G529	FOXO1
G530	NR1H2
G531	EOMES
G532	SMAD2
G533	EWSR1
G534	MCM6
G535	HMGB2
G536	PAX1
G537	NFIL3
G538	SSB
G539	EED
G540	EGR1
G541	NRIP1
G542	HIF1A
G543	NFATC2IP
G544	ATF7
G545	ARID5B
G546	ELF4
G547	CELF3
G548	HDAC5
G549	BTAF1
G550	TBL1X
G551	PBXIP1
G552	RFX7
G553	CHD4
G554	TAF10
G555	PRDM1
G556	ANKRD6
G557	BMI1
G558	MAML1
G559	BARD1
G560	NR2C1
G561	HTT
G562	HSBP1
G563	RAPGEF3
G564	RNF19A
G565	NDN
G566	SMARCAD1
G567	MYBL2
G568	CREB3
G569	NAA15
G570	RFX2
G571	MEF2C
G572	ZFP446
G573	MED4
G574	ZFP277
G575	SMARCB1
G576	RBL1
G577	CRABP2
G578	ZSCAN10
G579	BAZ1A
G580	WWTR1
G581	GTF3C1
G582	ZFP36L1
G583	AATF
G584	CBX4
G585	TFAP4
G586	NANOG
G587	ANKRD49
G588	ZDHHC15
G589	NR3C1
G590	GTF2H4
G591	GRIN1
G592	ING3
G593	TULP3
G594	SSBP4
G595	HNF1B
G596	KLF4
G597	MAPK3
G598	E2F2
G599	APEX1
G600	CREB3L2
G601	TEAD1
G602	GATA3
G603	MDM2
G604	RARA
G605	TFAP2C
G606	PA2G4
G607	INTS12
G608	OTX2
G609	ZFP281
G610	ELL2
G611	XRCC5
G612	ZBTB24
G613	RB1
G614	AIRE
G615	ELL3
G616	NOTCH1
G617	LHX2
G618	PAPOLA
G619	HIST1H1D
G620	SPP1
G621	SPOCK1
G622	TMED2
G623	TSPAN9
G624	GLMP
G625	CD63
G626	GM26447
G627	TDH
G628	UNG
G629	CKB
G630	PLOD1
G631	P3H4
G632	PMM1
G633	GM4202
G634	CTH
G635	GM10925
G636	RNF157
G637	SLC5A11
G638	GM49450
G639	MANF
G640	D230025D16RIK
G641	SNORD70
G642	NUTF2-PS2
G643	SHKBP1
G644	HIST1H2BL
G645	KAT6B
G646	FRMD4A
G647	CTSD
G648	LDLRAP1
G649	MIR186
G650	GRB10
G651	RANBP17
G652	MIR669B
G653	SNORD33
G654	MARC2
G655	NRG1
G656	2410141K09RIK
G657	GM22862
G658	GM44206
G659	PLOD3
G660	GM26156
G661	ARHGEF40
G662	FAM129B
G663	TIMP3
G664	BCAM
G665	GM15459
G666	GM37917
G667	APOE
G668	P4HB
G669	TDGF1
G670	SELENOW
G671	TMEM144
G672	GM44335
G673	CDC42SE2
G674	ASNS
G675	GPX3
G676	SLC25A4
G677	SEMA4C
G678	IL33
G679	TYRO3
G680	SNORD34
G681	FXYD6
G682	AKR1B8
G683	RCC2
G684	GM8355
G685	BASP1
G686	HIST1H1A
G687	GM2399
G688	P4HA2
G689	SNORD49B
G690	FAM234A
G691	SAT1
G692	IFITM1
G693	PDPN
G694	HS3ST1
G695	SPRY4
G696	GM22620
G697	MIR1192
G698	AMOT
G699	CAR2
G700	KDM3A
G701	PATJ
G702	PTPN14
G703	GM25316
G704	GM26917
G705	MIR5121
G706	LAMB2
G707	GM25753
G708	TAGLN2
G709	HSPA5
G710	EIF4A-PS4
G711	SNORD43
G712	TENM4
G713	APOBEC3
G714	GM22091
G715	ODC1
G716	GM24289
G717	STARD10
G718	THBD
G719	NDRG1
G720	MIR669G
G721	LEFTY1
G722	GM24488
G723	AU018091
G724	EPS8
G725	GM10718
G726	SGK1
G727	GM26092
G728	GM23571
G729	ANXA5
G730	GM22988
G731	CCNB1
G732	FDPS
G733	ME1
G734	TIMP2
G735	SNORA68
G736	LTBP4
G737	GM24455
G738	2200002D01RIK
G739	HIST1H2AK
G740	PDGFRA
G741	EDA2R
G742	GM44429
G743	SNORA3
G744	ALPL
G745	MYO6
G746	HSP25-PS1
G747	TXNDC5
G748	AMPD2
G749	SLC9A6
G750	DUSP9
G751	CTSA
G752	LGMN
G753	MT2
G754	GM25943
G755	COBL
G756	TOP2A
G757	SHROOM3
G758	GM22455
G759	GM44330
G760	TUBB2B
G761	GM26060
G762	SLCO3A1
G763	SNORA74A
G764	SNORD93
G765	LAMA1
G766	CALD1
G767	UPP1
G768	GM17545
G769	RRBP1
G770	TUBA4A
G771	CDC20
G772	GM28439
G773	SRM
G774	ATP13A3
G775	ATP6V0A1
G776	LY6G6E
G777	FGF3
G778	SNORD32A
G779	ENO1B
G780	SFI1
G781	DKK1
G782	MIR1949
G783	BNIP3
G784	TFRC
G785	SNORA26
G786	GM43558
G787	ALG13
G788	DNAJC10
G789	GM10039
G790	ZC3H7A
G791	MIR297A-2
G792	GM23130
G793	SSR3
G794	GM24044
G795	HIST1H3H
G796	LMF2
G797	PGA5
G798	GM26426
G799	TMSB4X
G800	GM13597
G801	RASGRP2
G802	LAMA5
G803	KRT42
G804	SERPINE2
G805	ADAM19
G806	COTL1
G807	MIR669A-3
G808	BMPER
G809	GM14519
G810	TUBB6
G811	GM25500
G812	GM42429
G813	MAN1A2
G814	UCHL1
G815	ZFP989
G816	ITPK1
G817	GM27326
G818	GM14870
G819	EPHA2
G820	GJA1
G821	HSP90AA1
G822	PLOD2
G823	HIST1H2BK
G824	ECT2
G825	HDLBP
G826	NUP210
G827	LOXL2
G828	GM37746
G829	COL4A1
G830	FGF4
G831	ABHD5
G832	PGAM1-PS2
G833	ANP32A
G834	SLC6A8
G835	RPL22L1
G836	ULK1
G837	GASK1B
G838	COMMD3
G839	APP
G840	MIR8091
G841	LRP2
G842	SLC7A6
G843	OPLAH
G844	RBPMS2
G845	SNORD35B
G846	L1TD1
G847	MORC4
G848	ITGA6
G849	SRI
G850	GM28960
G851	GLUL
G852	ISYNA1
G853	FABP3
G854	GLS
G855	TET1
G856	LDHB
G857	JAM2
G858	MKRN1
G859	MIR466O
G860	NID1
G861	VIM
G862	SNHG12
G863	PHLDB2
G864	PODXL
G865	CUBN
G866	IFITM2
G867	CTSZ
G868	GM25701
G869	IMPDH1
G870	NSD2
G871	INSIG1
G872	GM22072
G873	GM25787
G874	ANXA2
G875	CST3
G876	CCN2
G877	SLC7A3
G878	STXBP2
G879	TDGF1-PS1
G880	DKC1
G881	PWWP3B
G882	MIR466B-4
G883	TNK2
G884	GM22281
G885	HIST1H2AI
G886	KIT
G887	CCNG1
G888	LEFTY2
G889	HIP1
G890	ASS1
G891	GAS6
G892	IFITM3
G893	GM24330
G894	EDEM1
G895	GSTA4
G896	HIST1H2AF
G897	F3
G898	FN1
G899	HIST1H2AC
G900	KHDC3
G901	HSPG2
G902	MME
G903	CLDN6
G904	MIR466B-6
G905	GM29397
G906	OBSL1
G907	SORD
G908	SOCS2
G909	BEX1
G910	MIR669J
G911	PTH1R
G912	UBE2C
G913	CSRP2
G914	GM24201
G915	GM17035
G916	STARD8
G917	TNS4
G918	AMOTL2
G919	LRRK1
G920	ARHGAP29
G921	GJB3
G922	DCXR
G923	DPP4
G924	TPD52
G925	GABBR1
G926	MIR7003
G927	SNORD35A
G928	LAMC1
G929	COL4A2
G930	ADAM23
G931	RRM2
G932	BEND5
G933	GDPD5
G934	VEGFA
G935	HSPH1
G936	GM23833
G937	RCN3
G938	PDIA6
G939	SERPINH1
G940	GM23268
G941	NOTUM
G942	HMCES
G943	FAM25C
G944	CALU
G945	SNORD87
G946	SPRY2
G947	MYH9
G948	GM23988
G949	CMKLR1
G950	GM24451
G951	TMEM150A
G952	KANK3
G953	VILL
G954	NXF7
G955	RHOX5
G956	GM14303
G957	KDELR2
G958	GM20721
G959	WDR45
G960	CDKN1A
G961	GM21962
G962	P3H1
G963	MT1
G964	ERP29
G965	IGFBP2
G966	2810025M15RIK
G967	FBLIM1
G968	CRIP2
G969	GM49347
G970	PRSS35
G971	P4HA1
G972	PRXL2A
G973	SDC4
G974	HSP90B1
G975	TPM4
G976	HTRA1
G977	BCAT1
G978	UBQLN2
G979	GM26287
G980	NPHS1
G981	GM26318
G982	GM25451
G983	ZFP57
G984	TXNIP
G985	GM23569
G986	FXYD3
G987	IGF2
G988	MRPL23-PS1
G989	HIST1H2BN
G990	GM15181
G991	CTBP2
G992	GM25835
G993	CKAP4
G994	HMGA1B
G995	SNORA73A
G996	MIR7005
G997	MSH6
G998	CHST15
G999	RPL15-PS3
G1000	SLC16A1
G1001	DPPA2
G1002	MIR3535
G1003	MEG3
G1004	ZFP979
G1005	GLDC
G1006	GM25057
G1007	CEMIP
G1008	EFEMP2
G1009	PDCD4
G1010	RAB11A
G1011	SLC25A5
G1012	GM38312
G1013	MORF4L2
G1014	GM26431
G1015	FRRS1
G1016	FST
G1017	GM7329
G1018	LAPTM5
G1019	RPL17-PS10
G1020	TCL1
G1021	VSIR
G1022	CTSL
G1023	MIR669A-1
G1024	SLC6A6
G1025	MYMX
G1026	B2M
G1027	SNORD49A
G1028	CALR
G1029	GM24761
G1030	AF357399
G1031	DDAH2
G1032	GM22678
G1033	AQP8
G1034	MGST3
G1035	TXNDC12
G1036	MOV10
G1037	TRH
G1038	EPHA4
G1039	KDELR3
G1040	MYO7A
G1041	COL27A1
G1042	NDRG4
G1043	AY036118
G1044	RAB3IL1
G1045	CHCHD10
G1046	ZFYVE21
G1047	UHRF1
G1048	MT-TF
G1049	PDK1
G1050	PFKP
G1051	GM28030
G1052	GM10259
G1053	GM23651
G1054	SOAT1
G1055	ZFAS1
G1056	FGF10
G1057	TINAGL1
G1058	GM26448
G1059	MRAS
G1060	SLC26A10
G1061	HKDC1
G1062	FLRT3
G1063	SURF4
G1064	GM26073
G1065	HIST1H2BF
G1066	EMP2
G1067	SEPT1
G1068	GM23136
G1069	SNURF
G1070	GM10780
G1071	ZYX
G1072	ZFP987
G1073	GM37404
G1074	PARVB
G1075	SNORA81
G1076	GLIPR2
G1077	SNORA43
G1078	GM24494
G1079	EIF4A2
G1080	GNPDA1
G1081	TET2
G1082	RIF1
G1083	PCOLCE
G1084	IFI30
G1085	GSR
G1086	SEC24D
G1087	MIR7063
G1088	GM24564
G1089	PLAT
G1090	LRPAP1
G1091	GABARAPL2
G1092	KRT8
G1093	SPARC
G1094	GM43238
G1095	FGFR3
G1096	MYLPF
G1097	DPPA4
G1098	RIAN
G1099	ADAMTS9
G1100	NEDD4
G1101	HIST1H4K
G1102	LAMB1
G1103	MIR291B
G1104	MAGED1
G1105	GM10184
G1106	GNAS
G1107	CALCOCO2
G1108	MIR3070B
G1109	GM9385
G1110	LNCENC1
G1111	GM9531
G1112	SRGN
G1113	PLTP
G1114	PLA2G1B
G1115	PHLDA3
G1116	GM27624
G1117	GM24616
G1118	CLCN5
G1119	GM24497
