#ID	Name
G0	MCM4
G260	PLPPR3
G261	SELL
G262	GCSAM
G263	ARHGAP27
G264	ANXA5
G265	RUSC2
G266	SDSL
G267	IRAK3
G268	KLRD1
G269	CD63-PS
G270	MTUS1
G271	IL17RA
G272	SLC16A10
G273	PLCL1
G274	JCHAIN
G275	ARID5A
G276	TALDO1
G277	IGHV1-81
G278	PAQR5
G279	IGF1
G280	ARRDC4
G281	PDE1B
G282	DDX4
G283	LAPTM5
G284	USP11
G285	SERPINF1
G286	MGAT1
G287	MLPH
G288	IL18BP
G289	KBTBD11
G290	SDC2
G291	PRKCH
G292	SLC43A2
G293	EEPD1
G294	NAPSA
G295	BDH2
G296	ARHGDIB
G297	RHOH
G298	PROCR
G299	TIPIN
G300	CTTN
G301	CCT2
G302	MIR6240
G303	CTNND2
G304	TRAF1
G305	IL7R
G306	NEURL3
G307	CD81
G308	ANKRD33B
G309	SLFN2
G310	CDK18
G311	RPS27L
G312	CTSH
G313	PDGFC
G314	FAM110C
G315	TBC1D5
G316	FGFR3
G317	TBXAS1
G318	NPDC1
G319	TUBB4B
G320	SPC24
G321	TIFAB
G322	VAMP1
G323	TMEM123
G324	COX7B
G325	SPNS2
G326	GSTM1
G327	MSMO1
G328	FLT3
G329	CD33
G330	GPC1
G331	ICA1
G332	RGS19
G333	RFTN1
G334	GPR171
G335	RHOJ
G336	LSP1
G337	FGD2
G338	RAMP1
G339	PLEKHG6
G340	ITGA6
G341	RHBDF1
G342	EVI2A
G343	SLCO3A1
G344	BPIFC
G345	CES2G
G346	CLEC2I
G347	SLC16A2
G348	ANKRD44
G349	SSH2
G350	ARHGAP29
G351	SAMSN1
G352	UCP2
G353	PLSCR4
G354	PAG1
G355	BLNK
G356	DENND2D
G357	NSMF
G358	GGTA1
G359	SOCS2
G360	CISH
G361	STARD4
G362	TXNIP
G363	ACAP1
G364	TNFAIP2
G365	GPR18
G366	INSRR
G367	FUCA2
G368	SLC25A5
G369	PLAC8
G370	POLA2
G371	SLC9A9
G372	KAZALD1
G373	GSN
G374	GPR65
G375	C030034L19RIK
G376	GAA
G377	EMP1
G378	FSTL1
G379	SHISA9
G380	IFI27L2A
G381	GM1966
G382	H2-DMA
G383	LGMN
G384	TIE1
G385	ESAM
G386	TPM4
G387	CCDC136
G388	CDKN1C
G389	PLEK
G390	JAM2
G391	GM45837
G392	RAB27B
G393	DRC7
G394	DOCK11
G395	CST7
G396	KIF17
G397	NDRG2
G398	C230085N15RIK
G399	ADGRG1
G400	PPP1R15A
G401	RHOF
G402	IL1R1
G403	SERPINA3N
G404	AKNA
G405	WFDC2
G406	RASAL3
G407	CPNE8
G408	SNAP47
G409	TMEM268
G410	COL4A2
G411	SAT1
G412	COX6A1
G413	PDCD4
G414	TRPC6
G415	GM20342
G416	ARHGEF28
G417	NKG7
G418	IGHV1-69
G419	PRPS2
G420	DNTT
G421	BGN
G422	C130089K02RIK
G423	ITGB5
G424	GBP9
G425	MILR1
G426	TSPAN3
G427	BCL2
G428	OBSCN
G429	ITGB7
G430	PTP4A3
G431	SLAMF1
G432	DHRS3
G433	IFITM1
G434	ATP1A3
G435	PTGER2
G436	ME2
G437	LAX1
G438	EBI3
G439	RGS2
G440	PSTPIP1
G441	CTSL
G442	GSTT1
G443	VWF
G444	GM2A
G445	OBSL1
G446	TFEC
G447	LCP1
G448	DOCK10
G449	GBP4
G450	CSF3R
G451	CD69
G452	CARD11
G453	GP9
G454	2610307P16RIK
G455	CPQ
G456	KIT
G457	OCLN
G458	IGHM
G459	PANX1
G460	PYGL
G461	SLC26A11
G462	CNN3
G463	ITPR2
G464	EFNA1
G465	UBA7
G466	GIMAP1
G467	PARVG
G468	MKI67
G469	EPSTI1
G470	SLC39A6
G471	ALDH1A1
G472	ZYX
G473	CREG1
G474	FAM171A1
G475	SLBP
G476	CLEC14A
G477	DEPP1
G478	DUSP5
G479	GOLM1
G480	BTLA
G481	FCHO2
G482	NCEH1
G483	CD48
G484	ENPP5
G485	SH2D5
G486	PTPRE
G487	LRRC8C
G488	E430014B02RIK
G489	HCK
G490	STXBP1
G491	TSPAN2
G492	CSF1R
G493	SEMA3D
G494	HAAO
G495	NAIP6
G496	PLD4
G497	TMEM176B
G498	TTLL7
G499	GDA
G500	PLXNA1
G501	MYO5A
G502	H2AFY
G503	IGLV1
G504	CAVIN2
G505	CDT1
G506	NT5C3
G507	LDHD
G508	TRIM47
G509	PRIM1
G510	GM4759
G511	NLRC3
G512	PLEKHB1
G513	SLC44A2
G514	P2RX1
G515	ARL11
G516	ADAMTSL5
G517	PARP8
G518	CCL3
G519	PPM1G
G520	HID1
G521	SERPINB1A
G522	LONP2
G523	HSPE1
G524	WFDC17
G525	4833407H14RIK
G526	NCF1
G527	ZFP422
G528	IGKC
G529	TNS2
G530	CTSF
G531	MRVI1
G532	ZFP62
G533	CFP
G534	PRNP
G535	SP100
G536	TOP2A
G537	AFDN
G538	CSGALNACT1
G539	MN1
G540	IGHV1-53
G541	LHCGR
G542	SMTNL1
G543	METTL7A1
G544	RASSF2
G545	PBLD2
G546	GM10384
G547	PTGS1
G548	MPDZ
G549	F11R
G550	SLC16A11
G551	TRIM16
G552	PDE1C
G553	CD44
G554	FHL1
G555	GPX1
G556	RBPMS
G557	HSD3B7
G558	GM30948
G559	CDK17
G560	CD55
G561	C1RL
G562	TESPA1
G563	RCSD1
G564	SLC39A13
G565	NOXA1
G566	ERP29
G567	FADS1
G568	SDC1
G569	CRACR2B
G570	CPXM1
G571	CLEC1A
G572	MAN1A
G573	PPIC
G574	ADAM17
G575	TM4SF1
G576	WLS
G577	UHRF1
G578	5430427O19RIK
G579	LCK
G580	GPX3
G581	IL12A
G582	ARHGEF39
G583	RASA4
G584	ANGPT1
G585	ADGRG3
G586	IL17RE
G587	GMNN
G588	CD74
G589	CORO1A
G590	GM973
G591	MPL
G592	PRSS57
G593	ABHD17B
G594	CX3CL1
G595	GM10419
G596	GIMAP3
G597	SHROOM4
G598	CDK19
G599	PGRMC1
G600	SPNS3
G601	RAB38
G602	IGHV1-82
G603	COL4A1
G604	TAPT1
G605	IGHV1-74
G606	9030619P08RIK
G607	PKIB
G608	FCRL1
G609	XDH
G610	CAV2
G611	CTSB
G612	CTSW
G613	CERS4
G614	STK10
G615	KLHL4
G616	PECAM1
G617	UBE2L6
G618	SYTL1
G619	SSTR2
G620	OAS2
G621	MPZL1
G622	TMEM14C
G623	ROBO4
G624	DEF8
G625	TCAF1
G626	KCTD12
G627	PLIN3
G628	CHRNB1
G629	FLNA
G630	RAG2
G631	ITGAM
G632	CTSG
G633	CAR2
G634	CKS1B
G635	GM19331
G636	AFF3
G637	RNF125
G638	NEAT1
G639	MYLK
G640	SELPLG
G641	ART4
G642	CAMK1D
G643	OTULINL
G644	SLC18A1
G645	OSGIN1
G646	LYN
G647	KCNK5
G648	FUT7
G649	ARPP21
G650	TLR7
G651	FUT8
G652	PIRB
G653	IGLC2
G654	MPO
G655	MAGED2
G656	CCR9
G657	GIMAP4
G658	PKN3
G659	XIST
G660	RASIP1
G661	RNF13
G662	SNAP23
G663	APLP2
G664	JAM3
G665	GDF3
G666	ZFP37
G667	DTL
G668	BC035044
G669	MPEG1
G670	VLDLR
G671	LGALS1
G672	RNASE6
G673	CASP12
G674	ICOS
G675	ADGRL4
G676	TMEM246
G677	TES
G678	FRMD6
G679	IGHJ4
G680	MAGED1
G681	TGM2
G682	AC174780.1
G683	CHST2
G684	ZFP658
G685	NHP2
G686	CADPS2
G687	GM5111
G688	CD27
G689	RRAS
G690	MOGS
G691	LACTB
