#ID	Name
G0	MYBL2
G525	SLC38A1
G526	MFAP2
G527	MIS18A
G528	MTMR2
G529	HDHD3
G530	S100PBP
G531	C11orf1
G532	DDHD1
G533	TM4SF4
G534	GALM
G535	PTPRZ1
G536	CD9
G537	THAP4
G538	HSPE1.MOB4
G539	ELP2
G540	RARRES2
G541	IFRD2
G542	NDUFAF4
G543	CDC20
G544	METAP1
G545	TBC1D1
G546	STC1
G547	FAM13A
G548	SMLR1
G549	GPN3
G550	NUP88
G551	NMRK2
G552	DDAH1
G553	SURF2
G554	CFTR
G555	SPTLC3
G556	ORC5
G557	MYL6B
G558	SLC10A1
G559	SLC7A6
G560	THOC1
G561	ZNF260
G562	TSR1
G563	ARL2
G564	ANXA3
G565	LAPTM4B
G566	DPYSL2
G567	IFITM1
G568	NCAPG
G569	ELP6
G570	CKS2
G571	BCS1L
G572	HSD17B11
G573	C6orf203
G574	LAMC1
G575	SAMHD1
G576	EXOSC8
G577	MMS22L
G578	TTR
G579	LGALS3
G580	ACAT2
G581	ATG101
G582	P2RX4
G583	MOV10
G584	HACL1
G585	MAD2L1
G586	DDX55
G587	PPP1R16A
G588	BST2
G589	PCNA
G590	ASNS
G591	C9orf78
G592	NCK1
G593	HP
G594	MLF1
G595	C12orf45
G596	ASPH
G597	GCHFR
G598	EBNA1BP2
G599	VPS72
G600	POLE4
G601	CXCR4
G602	RNASEH2A
G603	PSAT1
G604	GEMIN8
G605	KIF20A
G606	GOT1
G607	SMC6
G608	EXOSC1
G609	IMP4
G610	EXOC5
G611	ACADSB
G612	TRMT1
G613	TBRG4
G614	UTP18
G615	CCNB1
G616	PEF1
G617	CCDC88A
G618	PSPH
G619	ACADVL
G620	EFTUD2
G621	PRMT5
G622	CRYZL1
G623	SFRP1
G624	NODAL
G625	USP3
G626	NAA16
G627	MGME1
G628	SEC11C
G629	ANXA4
G630	DNAH14
G631	ZWINT
G632	CPSF3
G633	PLCD1
G634	GNPNAT1
G635	CENPF
G636	CDK5RAP1
G637	VPS33A
G638	BZW2
G639	GSTA1
G640	PIH1D1
G641	TTK
G642	TTI2
G643	RAB28
G644	TEX10
G645	MTTP
G646	PPAPDC1B
G647	HELLS
G648	TFPI
G649	MT1X
G650	PRPS2
G651	MAP1B
G652	ELOF1
G653	LEFTY2
G654	R3HDM1
G655	ELOVL6
G656	NUP85
G657	DUT
G658	KEAP1
G659	APOC3
G660	POLD3
G661	GGPS1
G662	SS18
G663	LSM10
G664	HGD
G665	ARHGAP26
G666	C1GALT1
G667	PRAP1
G668	C3
G669	TIPARP
G670	APOC4.APOC2
G671	NIFK
G672	IGF1R
G673	MYO9A
G674	SCGB3A2
G675	ITM2A
G676	PRIM2
G677	RAD54L
G678	FAM49B
G679	GMPR2
G680	HPX
G681	HK1
G682	SAAL1
G683	WDHD1
G684	TNNT1
G685	KLHL7
G686	TBCB
G687	NUP54
G688	WDR74
G689	PIM2
G690	CCL2
G691	METTL21A
G692	DDC
G693	PUS7L
G694	SLC39A1
G695	ZFAND2A
G696	ITLN2
G697	NHEJ1
G698	ZNF561
G699	DPEP1
G700	NIP7
G701	SLC7A3
G702	IL32
G703	LMO7
G704	USP10
G705	YARS
G706	TMEM147
G707	PPA2
G708	SAT1
G709	ODF2L
G710	PRKCI
G711	NNT
G712	HEXB
G713	DNASE1
G714	DPAGT1
G715	ORC6
G716	FAM151A
G717	C21orf59
G718	BCAS2
G719	BLM
G720	ITIH4
G721	RNASE4
G722	ACN9
G723	LCP1
G724	ATL2
G725	HMGB3
G726	GPM6B
G727	AAMP
G728	KPNA2
G729	WDR75
G730	SLC25A26
G731	CAAP1
G732	CMPK1
G733	DROSHA
G734	ACTN1
G735	EIF3J
G736	MTHFD1
G737	HIBCH
G738	MRPL1
G739	CD200
G740	PPIL1
G741	PNPT1
G742	TSN
G743	CTSE
G744	IFITM2
G745	PYCR1
G746	TFRC
G747	F3
G748	PRIM1
G749	TMEM60
G750	RAD1
G751	PSMD10
G752	ICE2
G753	CYP3A5
G754	NDUFAF7
G755	GSN
G756	SLC2A1
G757	FLAD1
G758	CHEK1
G759	AMZ2
G760	SPINK1
G761	MDK
G762	SLC39A10
G763	TWISTNB
G764	PARPBP
G765	AHSG
G766	ALDH9A1
G767	DPH6
G768	NUP35
G769	THYN1
G770	STX8
G771	PHC1
G772	ISG15
G773	COPS3
G774	GXYLT2
G775	LGALS4
G776	MTFP1
G777	PSEN1
G778	ALDH1A1
G779	ECT2
G780	ASNSD1
G781	PISD
G782	PRC1
G783	TERF1
G784	SKA3
G785	PLA2G12B
G786	SMC2
G787	ZSWIM7
G788	POLR3G
G789	LTA4H
G790	ACTC1
G791	ANKRD32
G792	APEH
G793	TUBE1
G794	LGALS1
G795	TDP1
G796	HMGCL
G797	LIFR
G798	TK1
G799	POLB
G800	S100A13
G801	WDYHV1
G802	CUEDC2
G803	KDELR3
G804	CLDN4
G805	C11orf54
G806	CKAP2
G807	UNC93A
G808	ZNF253
G809	NOP16
G810	PTPRM
G811	RRM2B
G812	ECHDC1
G813	BSCL2
G814	ICT1
G815	TRNT1
G816	KIZ
G817	TFF1
G818	P4HA2
G819	EPHX2
G820	NUSAP1
G821	HAT1
G822	COPS7A
G823	PIGH
G824	METTL5
G825	NAA50
G826	CDC23
G827	USB1
G828	ANP32E
G829	WIPI1
G830	BBS9
G831	QPCT
G832	NBAS
G833	IDH3B
G834	TM7SF3
G835	WARS
G836	FTSJ2
G837	GEMIN7
G838	MRRF
G839	ARL6IP6
G840	GNRH2
G841	DPP4
G842	MRPS30
G843	PDCD2L
G844	CNOT10
G845	DTWD1
G846	TKT
G847	LAMB2
G848	C9orf72
G849	G6PC3
G850	MTERF3
G851	MID1
G852	ISG20
G853	VPS26A
G854	PSMG1
G855	RAB31
G856	PPT1
G857	ANPEP
G858	SAE1
G859	FAM118B
G860	BLMH
G861	UBE2E3
G862	METTL8
G863	LRRC40
G864	CKS1B
G865	KIFAP3
G866	FLRT2
G867	ASF1A
G868	PIK3R1
G869	SEMA3E
G870	STMN1
G871	CMSS1
G872	POLE2
G873	PDPN
G874	KNSTRN
G875	SLC44A2
G876	MUSTN1
G877	PMAIP1
G878	PAFAH1B3
G879	ECHDC2
G880	MEP1A
G881	TIMM9
G882	PDE6D
G883	DGAT1
G884	HDHD1
G885	TPM2
G886	MAEA
G887	EFNA1
G888	UBE2C
G889	PON2
G890	COMMD3
G891	ALG8
G892	HAVCR1
G893	CENPN
G894	UGP2
G895	PAPSS1
G896	CENPE
G897	USP11
G898	VIL1
G899	ATIC
G900	NVL
G901	NPPB
G902	FAM64A
G903	RHNO1
G904	LEAP2
G905	NPRL2
G906	POP5
G907	CASC5
G908	SEPT10
G909	ZSWIM8
G910	CUL2
G911	HAUS2
G912	NUDT15
G913	BLVRA
G914	NEK2
G915	IFNGR1
G916	GALK1
G917	MTHFD2
G918	HLA.DRB5
G919	ICA1
G920	S100A6
G921	MYOF
G922	MRPS12
G923	ITGB3BP
G924	RNF138
G925	SRM
G926	RECQL
G927	MST1
G928	SLC51A
G929	ERBB4
G930	CETN3
G931	SLC38A2
G932	ORC4
G933	G2E3
G934	MBIP
G935	DNPEP
G936	TPGS2
G937	OGFOD1
G938	AGT
G939	NUCB2
G940	WFDC2
G941	KLHDC2
G942	MORN2
G943	TMEM97
G944	AAR2
G945	FGFR1
G946	ACAD11
G947	HSD17B7
G948	COMMD10
G949	CDK4
G950	LAMA1
G951	TRIT1
G952	RRM2
G953	EPSTI1
G954	TMEM150C
G955	HOOK2
G956	TXNDC9
G957	HNRNPH3
G958	SLC25A4
G959	UCK2
G960	RRM1
G961	DSN1
G962	CTSV
G963	AAAS
G964	AARS
G965	TNNI3
G966	SEC61A2
G967	HSD17B14
G968	EXOSC3
G969	TMEM37
G970	DCUN1D5
G971	RBBP8
G972	ZMYM6NB
G973	DBNDD2
G974	KLC4
G975	AKR1C3
G976	KIF23
G977	DNAJB9
G978	PPAT
G979	IPO5
G980	TMEM237
G981	MRPL2
G982	FAM114A1
G983	HSDL2
G984	SNRNP25
G985	SCN7A
G986	OBFC1
G987	RBP2
G988	HPN
G989	RHOBTB3
G990	KIF22
G991	TIMMDC1
G992	MRPS2
G993	UCHL1
G994	CHTF18
G995	UQCC1
G996	GMNN
G997	HNRNPH2
G998	SLC5A6
G999	CDH2
G1000	MTIF2
G1001	SERPIND1
G1002	AFP
G1003	PPP1R21
G1004	IFT22
G1005	MRTO4
G1006	RAB25
G1007	ELOVL5
G1008	CENPU
G1009	MEST
G1010	KATNA1
G1011	CDC6
G1012	ZDHHC13
G1013	SHKBP1
G1014	RSU1
G1015	SCPEP1
G1016	TADA1
G1017	MRPS35
G1018	LRR1
G1019	RAMP1
G1020	GSTA2
G1021	L1TD1
G1022	LEFTY1
G1023	FAM46A
G1024	ARL15
G1025	KNG1
G1026	ARG2
G1027	PCID2
G1028	COQ3
G1029	CFAP97
G1030	MLH1
G1031	ATP1B1
G1032	NEDD4L
G1033	NAA25
G1034	GMPS
G1035	CAMK2D
G1036	ZWILCH
G1037	UMPS
G1038	GLMN
G1039	ASUN
G1040	TRIAP1
G1041	LIG1
G1042	PPP2R1B
G1043	NIF3L1
G1044	PSME3
G1045	TUBA1B
G1046	PDZK1
G1047	C1orf109
G1048	OAZ2
G1049	CENPH
G1050	CA2
G1051	SH3BGR
G1052	DMKN
G1053	PEX19
G1054	MSH2
G1055	MAD2L1BP
G1056	SLN
G1057	PLA2G16
G1058	DNA2
G1059	EXTL2
G1060	MPHOSPH9
G1061	SPAG9
G1062	ZNF93
G1063	VRK1
G1064	PHKA2
G1065	HIST1H4C
G1066	NAA10
G1067	FTSJ1
G1068	CCNB2
G1069	DHRS3
G1070	GLIPR2
G1071	TF
G1072	MAT2B
G1073	TIMM50
G1074	ACOT7
G1075	GRPR
G1076	FARSA
G1077	SF3A3
G1078	MGST2
G1079	HPR
G1080	OPA1
G1081	EXOSC9
G1082	CCS
G1083	WRB
G1084	ATP1B3
G1085	NTMT1
G1086	ITGB5
G1087	CFAP20
G1088	FUCA1
G1089	SGOL1
G1090	USP39
G1091	STEAP1
G1092	ZNF195
G1093	LAMB1
G1094	MTUS1
G1095	LITAF
G1096	ALPL
G1097	INMT
G1098	FXYD5
G1099	TMEM41A
G1100	CD37
G1101	FLRT3
G1102	GSTK1
G1103	DPH5
G1104	MECR
G1105	DHCR7
G1106	RNF26
G1107	C3orf14
G1108	SLC7A7
G1109	GATM
G1110	UBAC2
G1111	GPC3
G1112	MLST8
G1113	CAPN12
G1114	MPHOSPH6
G1115	EFTUD1
G1116	TATDN3
G1117	MT1G
G1118	RABEPK
G1119	FANCL
G1120	USP44
G1121	AXL
G1122	IL6ST
G1123	PPCDC
G1124	APPL2
G1125	UBL7
G1126	S100A14
G1127	DEPDC7
G1128	AIMP2
G1129	GGCT
G1130	RIN2
G1131	RNASEH2B
G1132	SLC25A17
G1133	UCHL5
G1134	ATG4C
G1135	LTV1
G1136	SLC29A1
G1137	GULP1
G1138	DCAF13
G1139	C19orf48
G1140	CDCA2
G1141	F10
G1142	UBE2T
G1143	HMGN5
G1144	RIOK1
G1145	APOB
G1146	MRPS27
G1147	TRIM59
G1148	HMCES
G1149	BPHL
G1150	ELMOD2
G1151	NUDCD1
G1152	SIL1
G1153	SULF2
G1154	TTC4
G1155	NUP107
G1156	UTP15
G1157	HMMR
G1158	ATP2C1
G1159	ESYT1
G1160	FMO5
G1161	RIOK3
G1162	DSCR3
G1163	SGOL2
G1164	M6PR
G1165	CAPG
G1166	CFAP36
G1167	RFC4
G1168	CUBN
G1169	SHMT2
G1170	SLC25A20
G1171	TTC39C
G1172	PHGDH
G1173	FN1
G1174	ZMYM1
G1175	WDR43
G1176	NDUFAF5
G1177	ZNF770
G1178	CHEK2
G1179	SPP1
G1180	NREP
G1181	AURKB
G1182	FANCD2
G1183	ATP5SL
G1184	TMEM69
G1185	FANCB
G1186	SDAD1
G1187	WDR54
G1188	HJURP
G1189	CRELD1
G1190	PPP1R7
G1191	SKIV2L2
G1192	SORBS2
G1193	MRPL15
G1194	SULT1A2
G1195	ADAM9
G1196	COPS7B
G1197	CTSC
G1198	CCDC66
G1199	GPATCH4
G1200	CD320
G1201	ABCE1
G1202	METTL1
G1203	AKR1D1
G1204	QTRTD1
G1205	AGO2
G1206	ANAPC7
G1207	SUGCT
G1208	CUTC
G1209	HN1
G1210	CAPRIN1
G1211	UFSP2
G1212	ZCCHC7
G1213	SERPINB1
G1214	ZDHHC4
G1215	UPP1
G1216	TTLL4
G1217	SMOX
G1218	ACTL6A
G1219	TYMS
G1220	B3GNT7
G1221	BBS7
G1222	SF3B3
G1223	EMG1
G1224	KIAA0101
G1225	NEDD1
G1226	CER1
G1227	B4GALT3
G1228	GPRC5C
G1229	UBE2L6
G1230	RANGRF
G1231	PMM1
G1232	RAB34
G1233	TMEM177
G1234	FGG
G1235	IFITM3
G1236	GYG1
G1237	METTL18
G1238	ANLN
G1239	SH3BGRL
G1240	C11orf74
G1241	KIAA0586
G1242	CRAT
G1243	AMHR2
G1244	PLTP
G1245	PAK1IP1
G1246	APOC2
G1247	SIAE
G1248	LIAS
G1249	AURKA
G1250	NOL11
G1251	NUP37
G1252	ARMC9
G1253	NTPCR
G1254	ASRGL1
G1255	AGPAT2
G1256	HMBS
G1257	EIF2B3
G1258	DCTPP1
G1259	GPR133
G1260	UBLCP1
G1261	FGA
G1262	TMEM216
G1263	MRPL49
G1264	MYO10
G1265	TDGF1
G1266	HAUS4
G1267	PLIN2
G1268	ARSE
G1269	NUDT1
G1270	HARS
G1271	ISY1
G1272	METTL3
G1273	PLG
G1274	KIF20B
G1275	GRTP1
G1276	GALE
G1277	ACOX2
G1278	RFC5
G1279	SYTL2
G1280	UTRN
G1281	CRBN
G1282	ESRG
G1283	GGH
G1284	USP7
G1285	ALB
G1286	PTGR1
G1287	LCMT1
G1288	SEC22C
G1289	GSTM3
G1290	CHCHD6
G1291	EXOSC2
G1292	ZUFSP
G1293	FEN1
G1294	HPRT1
G1295	CCDC169
G1296	SERPINF1
G1297	AASS
G1298	CNN2
G1299	PDGFRA
G1300	CAT
G1301	DERA
G1302	CDKN3
G1303	PFKM
G1304	SCAPER
G1305	CENPW
G1306	RNASE1
G1307	C12orf10
G1308	ECI2
G1309	RAD51AP1
G1310	LGALS2
G1311	TAGLN
G1312	BUB1
G1313	POLD2
G1314	DYNLT3
G1315	CDK5RAP2
G1316	TM4SF5
G1317	ATG5
G1318	DECR1
G1319	MELK
G1320	SGK1
G1321	F2RL1
G1322	IMMP1L
G1323	NME1
G1324	ACY1
G1325	CEP70
G1326	DDIT4
G1327	SVIL
G1328	FANCI
G1329	ERAL1
G1330	SMIM20
G1331	BRMS1
G1332	TMEM120A
G1333	RAD51C
G1334	METTL10
G1335	UROD
G1336	HMGN4
G1337	PRKCE
G1338	SLC25A11
G1339	CBR1
G1340	PFN2
G1341	ZFYVE21
G1342	EXOSC5
G1343	CYB5B
G1344	MRPS11
G1345	PLAA
G1346	GPN1
G1347	FBL
G1348	BUB1B
G1349	USP1
G1350	FBXO22
G1351	CDCA3
G1352	HSD17B10
G1353	DEF8
G1354	OCIAD2
G1355	CACYBP
G1356	LECT1
G1357	GDAP1
G1358	HDAC6
G1359	NUP93
G1360	OIP5
G1361	SLC35D2
G1362	S100A16
G1363	LRRC1
G1364	EPB41L2
G1365	IFT52
G1366	RBP4
G1367	RPUSD4
G1368	MPC1
G1369	SEPP1
G1370	DLGAP5
G1371	PSMB10
G1372	TMEM14A
G1373	PYGL
G1374	C2orf47
G1375	CMC1
G1376	ACAA1
G1377	SHISA2
G1378	GLUD1
G1379	VTN
G1380	CDK1
G1381	EMC2
G1382	BRIX1
G1383	EMP2
G1384	WDR3
G1385	TP53INP2
G1386	YWHAH
G1387	C17orf75
G1388	HERPUD1
G1389	SUPV3L1
G1390	ECSIT
G1391	PTPN12
G1392	PCIF1
G1393	FASTKD2
G1394	FABP1
G1395	CCDC82
G1396	TIPIN
G1397	DBF4
G1398	A1CF
G1399	CTPS1
G1400	APOC1
G1401	MRPS9
G1402	CAPN2
G1403	PROSER1
G1404	MTX2
G1405	AKR1B1
G1406	UCKL1
G1407	XPO6
G1408	PDCD4
G1409	THY1
G1410	NTHL1
G1411	ALG6
G1412	ADSL
G1413	ARL14EP
G1414	USP45
G1415	RGN
G1416	UFD1L
G1417	APOA4
G1418	TIMM21
G1419	MRPL10
G1420	FBXO6
G1421	SMC4
G1422	USP28
G1423	SUCLA2
G1424	ABCA5
G1425	ASL
G1426	NDC80
G1427	NNAT
G1428	PLK1
G1429	DTYMK
G1430	APOA1
G1431	TSFM
G1432	PHF5A
G1433	EFNA5
G1434	CCDC77
G1435	ANG
G1436	NT5DC2
G1437	APOA2
G1438	VCAN
G1439	UGT2B11
G1440	EPS8L2
G1441	AMBP
G1442	SQLE
G1443	UCP2
G1444	BIRC5
G1445	METTL13
G1446	NUF2
G1447	MRS2
