#ID	Name
G0	NAP1L3
G348	PROCR
G349	DDX60
G350	OSGIN1
G351	UBA7
G352	TESPA1
G353	PRPF4
G354	MILR1
G355	SCARB1
G356	TMX4
G357	TYROBP
G358	ZFP422
G359	NDE1
G360	CIPC
G361	SLC39A6
G362	BC035044
G363	RP2
G364	THSD1
G365	ARID2
G366	ZFP35
G367	STX3
G368	5430427O19RIK
G369	DOCK11
G370	MAGED1
G371	MSMO1
G372	TBL3
G373	CCR2
G374	CAD
G375	CKS1B
G376	CTLA2A
G377	GSR
G378	HACD3
G379	IMMT
G380	RASA4
G381	MFSD14B
G382	TARS
G383	PPP1CB
G384	KAT7
G385	TENT5A
G386	NCAPH
G387	SLBP
G388	CSF3R
G389	MTREX
G390	GPR160
G391	FCER1G
G392	CYP4V3
G393	NECAP2
G394	YPEL3
G395	LRRC8B
G396	ABCG2
G397	PLA2G15
G398	NPTN
G399	LONP2
G400	RGS2
G401	PRMT7
G402	APOE
G403	MTOR
G404	FLT3
G405	PTCD3
G406	GK
G407	MAP4K2
G408	TAB1
G409	SLPI
G410	THADA
G411	ICAM1
G412	RNF38
G413	CENPO
G414	DDX39
G415	RNF122
G416	MIEF1
G417	TMEM37
G418	SLC35B4
G419	CAMK2D
G420	SMPD4
G421	CFP
G422	NUP88
G423	FDFT1
G424	GOLIM4
G425	ZFP322A
G426	MBNL3
G427	ARCN1
G428	METAP1
G429	ST8SIA4
G430	CALCRL
G431	LAPTM4B
G432	EPSTI1
G433	IIGP1
G434	VSIR
G435	GIMAP1
G436	DNAJC9
G437	EMB
G438	ZFP367
G439	WDHD1
G440	TRP53I11
G441	SEC23IP
G442	ENPP5
G443	POLE
G444	ACOT9
G445	SPNS3
G446	SLCO3A1
G447	AKAP8L
G448	STIP1
G449	GBP3
G450	FSTL1
G451	PIK3R1
G452	TGTP2
G453	KRT18
G454	CKAP2L
G455	NWD1
G456	IL21R
G457	RBPMS
G458	SERPINB6A
G459	PTPRS
G460	COQ8A
G461	PSME4
G462	PKIB
G463	CCNF
G464	JPT1
G465	PRIM2
G466	ANXA1
G467	BTK
G468	AGPS
G469	CBX5
G470	IFI44
G471	IGHM
G472	GNL3
G473	HDGFL3
G474	ATP11C
G475	MTMR4
G476	DENND2D
G477	TRIM59
G478	HASPIN
G479	STT3B
G480	HUS1
G481	DDX21
G482	SPIDR
G483	UTP4
G484	GM5111
G485	ZFAND5
G486	TOR3A
G487	RPN1
G488	USP14
G489	ARL8B
G490	CCNE2
G491	IGFBP4
G492	EDEM1
G493	S100A6
G494	RPA2
G495	NUP155
G496	TFRC
G497	OTUD6B
G498	ABHD17B
G499	F13A1
G500	ANXA2
G501	HMGB3
G502	TACC3
G503	TRPC6
G504	FCGRT
G505	FLNB
G506	IFI209
G507	BCL2
G508	AP1S2
G509	NCF1
G510	SLC22A3
G511	TES
G512	NDUFS1
G513	DUS1L
G514	SLC7A4
G515	CLTC
G516	NEIL3
G517	RGS19
G518	RGCC
G519	SLC31A1
G520	PHF5A
G521	EMILIN1
G522	2610035D17RIK
G523	PDE4D
G524	TEK
G525	PLPPR3
G526	SLC18A2
G527	PLXNC1
G528	FRRS1
G529	IFI203
G530	TSPOAP1
G531	CCL4
G532	TMEM33
G533	VKORC1L1
G534	NUS1
G535	HNRNPLL
G536	TUBGCP2
G537	NOLC1
G538	ADGRG3
G539	SOCS2
G540	PSMC2
G541	FIGNL1
G542	SLC35A4
G543	LAP3
G544	HP
G545	DCK
G546	RFC5
G547	PEAR1
G548	4833439L19RIK
G549	MYL10
G550	SYNJ1
G551	ARFGEF2
G552	GMNN
G553	ACSS2
G554	TNFAIP2
G555	RTP4
G556	GNS
G557	MNS1
G558	NPDC1
G559	PHF6
G560	BC005561
G561	TPM4
G562	MCPT8
G563	TIFAB
G564	SNAP47
G565	ADSL
G566	AP3S1
G567	TIE1
G568	B3GNT5
G569	NUP93
G570	LRRC59
G571	SOAT1
G572	RCC1
G573	VAV3
G574	EFCC1
G575	CHRNB1
G576	ADAM17
G577	DENND1C
G578	H2-OB
G579	RRM1
G580	MKI67
G581	GBP2
G582	PPP1R9A
G583	NRROS
G584	RCOR1
G585	TCP11L2
G586	SLC16A1
G587	GFM1
G588	GIMAP5
G589	SLC2A3
G590	NADK
G591	ABCE1
G592	HID1
G593	RAB37
G594	THEMIS2
G595	IFRD2
G596	TRIM30B
G597	BDH2
G598	PREP
G599	CHORDC1
G600	FAM91A1
G601	NUSAP1
G602	FTSJ3
G603	GALNS
G604	PRPS2
G605	SEH1L
G606	F630028O10RIK
G607	CSGALNACT2
G608	GMCL1
G609	TCIRG1
G610	QARS
G611	PRIM1
G612	ORC6
G613	NCAPG2
G614	USP11
G615	PFKFB3
G616	MYO1G
G617	CIP2A
G618	HK3
G619	ACLY
G620	CLN5
G621	CD69
G622	ADA
G623	GYS1
G624	INTS13
G625	SLC35E1
G626	MRPL20
G627	SYK
G628	SHCBP1
G629	PRMT5
G630	OBSCN
G631	NUDT4
G632	ANKRD44
G633	CS
G634	HAT1
G635	MTCH2
G636	GM4759
G637	TFR2
G638	PSMG2
G639	MTHFD1
G640	TPX2
G641	BIRC5
G642	GBP7
G643	LONP1
G644	TMEM173
G645	TNIP3
G646	CD63
G647	JCHAIN
G648	GNG12
G649	PDZK1IP1
G650	FES
G651	PAK1
G652	TXNDC11
G653	ATP13A1
G654	SORT1
G655	HSPA1A
G656	XPNPEP1
G657	UQCRFS1
G658	TEC
G659	SGCE
G660	CD34
G661	DCAF13
G662	ADSSL1
G663	CLPTM1L
G664	ISYNA1
G665	NEAT1
G666	ASF1B
G667	HSPA4
G668	GARS
G669	TFG
G670	GM19590
G671	TMEM97
G672	CYB5R1
G673	DNAJC11
G674	RETREG1
G675	PRSS57
G676	CD44
G677	ETF1
G678	TBXAS1
G679	PLSCR4
G680	TRIM47
G681	IFI30
G682	HACD4
G683	TMEM154
G684	USP42
G685	SPC25
G686	GNG2
G687	DOCK10
G688	MAPKAPK3
G689	AI504432
G690	EFTUD2
G691	SERP1
G692	TUBA4A
G693	ERGIC1
G694	MGAT1
G695	SZT2
G696	PNCK
G697	RACGAP1
G698	CDCA8
G699	ZFP53
G700	CDCA5
G701	MLKL
G702	CKAP2
G703	GP9
G704	CKAP5
G705	CYC1
G706	ABCB10
G707	GM1966
G708	HERPUD1
G709	RAP1B
G710	HYOU1
G711	EMCN
G712	CASP4
G713	FLOT2
G714	ELOVL5
G715	PSEN1
G716	TRMT11
G717	LCP2
G718	SF3B3
G719	CD48
G720	PSAT1
G721	CLEC4E
G722	PIK3IP1
G723	BID
G724	KIF11
G725	SIGLECG
G726	SLC29A1
G727	TNFRSF13C
G728	FAM111A
G729	MFNG
G730	POLA2
G731	RPAP1
G732	TBC1D2B
G733	TRAP1
G734	EPRS
G735	HSPH1
G736	TSC22D1
G737	AURKB
G738	API5
G739	TMEM246
G740	RANGAP1
G741	LY9
G742	LSP1
G743	PPAT
G744	PPM1F
G745	ARRDC4
G746	ST6GALNAC4
G747	TIMP2
G748	SAMD9L
G749	STARD7
G750	RAB44
G751	CREBRF
G752	LTB
G753	SDF2L1
G754	SVIP
G755	PRR5
G756	RAD21
G757	FAM189B
G758	PLA2G12A
G759	CASP1
G760	SLC37A1
G761	ADK
G762	CENPF
G763	UHRF1
G764	LACTB
G765	CDKN1A
G766	MICU1
G767	EIF1AD
G768	CTSF
G769	TRIM35
G770	RPS6KA3
G771	RGS18
G772	PRKCH
G773	NMD3
G774	CPA3
G775	SORL1
G776	H2-AA
G777	GNG11
G778	DNAJC10
G779	ME2
G780	RAD51AP1
G781	SHISA8
G782	SERPINA3G
G783	FGL2
G784	IL12A
G785	ZFP945
G786	OAS3
G787	BUB1
G788	PLXDC2
G789	ITIH5
G790	ARL11
G791	POLD1
G792	H2AFX
G793	AURKA
G794	EIF2B1
G795	ARL6IP6
G796	TIMM50
G797	PARP8
G798	CTLA2B
G799	ALDH9A1
G800	POR
G801	NASP
G802	CNIH1
G803	APLP2
G804	ART4
G805	ODC1
G806	INPP5B
G807	ANXA5
G808	TSPAN14
G809	CTPS
G810	ESAM
G811	GLB1
G812	MTUS1
G813	ADGRL4
G814	PLEKHO2
G815	UBASH3A
G816	CD63-PS
G817	MYO5A
G818	BPIFC
G819	FAM76B
G820	CYP2J9
G821	TMEM43
G822	MAN2A2
G823	METTL27
G824	UBL4A
G825	TSPAN3
G826	GALNT6
G827	FGGY
G828	NKG7
G829	1700017B05RIK
G830	GUSB
G831	PANX1
G832	RPP40
G833	OTULINL
G834	GANAB
G835	RARS
G836	TBC1D5
G837	MPL
G838	NUP85
G839	PPP1R15A
G840	CD52
G841	KCNQ1OT1
G842	TOMM70A
G843	RPTOR
G844	PSME3
G845	CENPL
G846	SDC4
G847	EIF4ENIF1
G848	NDC1
G849	RPRD1B
G850	FUCA2
G851	RAB38
G852	CDK18
G853	PUS7
G854	IL6ST
G855	GOLPH3
G856	PSMD1
G857	GGTA1
G858	TGTP1
G859	FUT7
G860	MARS
G861	PHKB
G862	LPCAT2
G863	CCNA2
G864	CNN3
G865	UNC93B1
G866	NUDT19
G867	CNRIP1
G868	BCAP29
G869	VPS35
G870	ABL2
G871	CDC45
G872	GMIP
G873	GM8113
G874	CUL3
G875	LY6A
G876	SPPL2B
G877	PARVG
G878	HEXA
G879	ENG
G880	SYTL1
G881	FARSB
G882	FLNA
G883	SLC20A1
G884	EIF3B
G885	TIPIN
G886	PTPRE
G887	ZHX1
G888	USP37
G889	INCENP
G890	SNRNP200
G891	RMND5A
G892	MS4A3
G893	CSF2RB
G894	ATAD1
G895	PLD3
G896	ELANE
G897	OSBPL1A
G898	ATRN
G899	SMC2
G900	OTUD4
G901	GABBR1
G902	NAV1
G903	CYP2J6
G904	VPS16
G905	AZIN1
G906	CD300A
G907	NCEH1
G908	SNX30
G909	ANGPT1
G910	MUC13
G911	MEMO1
G912	WSB1
G913	TMEM176A
G914	SRM
G915	ARHGAP15
G916	RASSF4
G917	IDH3A
G918	ITCH
G919	ATP6AP1
G920	MS4A6C
G921	LYN
G922	CAND2
G923	ATAD2
G924	ACSS1
G925	GLIPR2
G926	RAB31
G927	CTTN
G928	TEX10
G929	MRPL37
G930	ARHGEF18
G931	RANBP3
G932	TMEM206
G933	ITPR1
G934	SEC24D
G935	C1RL
G936	REXO2
G937	H2-DMA
G938	FEM1A
G939	FAM102B
G940	MPZL1
G941	LGALS1
G942	NDUFA10
G943	CD53
G944	HAAO
G945	TMX3
G946	PIP4K2A
G947	DDX1
G948	SNHG5
G949	RGS1
G950	TUBGCP3
G951	SLC19A1
G952	IRGM2
G953	NARS
G954	IARS2
G955	PLEK
G956	ELMO2
G957	CLEC12A
G958	PECAM1
G959	LMAN2L
G960	MTR
G961	CDT1
G962	ALDH18A1
G963	MTFR1
G964	YBX3
G965	CCDC50
G966	SLC44A2
G967	IGSF6
G968	GIMAP6
G969	MTO1
G970	DUT
G971	NAPSA
G972	JAM3
G973	TGFBR1
G974	DOK2
G975	INO80D
G976	INTS8
G977	RTEL1
G978	CTSO
G979	SGMS1
G980	CCNB2
G981	CDCA4
G982	CDC7
G983	SERPINB1A
G984	URB2
G985	ATP10A
G986	ADORA2A
G987	TTLL12
G988	CRISPLD1
G989	D1ERTD622E
G990	SSH3
G991	OASL2
G992	MOB3C
G993	NUBP2
G994	PIDD1
G995	SH2D5
G996	IDH1
G997	TMEM229B
G998	EEF1E1
G999	TNFRSF21
G1000	CAPG
G1001	MYO1F
G1002	CEP55
G1003	GLRX5
G1004	CD74
G1005	RPA1
G1006	KPNA1
G1007	SLC30A5
G1008	ZC3H7A
G1009	UBA2
G1010	PRKCQ
G1011	MCOLN2
G1012	ERLIN1
G1013	STRAP
G1014	CENPE
G1015	EPB41L4B
G1016	SLC43A3
G1017	IL27RA
G1018	EML4
G1019	TINAGL1
G1020	TECPR1
G1021	ISG20
G1022	GPR65
G1023	IGTP
G1024	PTDSS1
G1025	NUP107
G1026	MTMR1
G1027	DUSP1
G1028	KCTD20
G1029	NPLOC4
G1030	TBC1D9B
G1031	GEMIN5
G1032	ALAS1
G1033	PTGS1
G1034	TYMS
G1035	GRIA3
G1036	EIF2S1
G1037	SGO1
G1038	TIMM29
G1039	SELL
G1040	PLIN3
G1041	AKNA
G1042	FAR1
G1043	MPO
G1044	GT(ROSA)26SOR
G1045	TBC1D10C
G1046	C030034L19RIK
G1047	NCAPD2
G1048	CD68
G1049	PRC1
G1050	POLE3
G1051	HJURP
G1052	DTL
G1053	ABCG3
G1054	CYBC1
G1055	LY6C2
G1056	CDCA3
G1057	MIS12
G1058	CKS2
G1059	SLC28A2
G1060	F11R
G1061	SUSD3
G1062	RABGGTB
G1063	OSBPL8
G1064	VIPR2
G1065	COPB1
G1066	TOP2A
G1067	KIF17
G1068	DHX33
G1069	CD93
G1070	NOL9
G1071	FAM136A
G1072	BACE1
G1073	ATG12
G1074	SPTBN1
G1075	HELLS
G1076	ANXA3
G1077	ELAC2
G1078	CCNB1
G1079	TK1
G1080	TMEM184C
G1081	MGAT5
G1082	KCNK5
G1083	PIM2
G1084	ZNRF2
G1085	PPID
G1086	GRK3
G1087	WDR55
G1088	FASTKD3
G1089	KIF22
G1090	FOXRED1
G1091	TM6SF1
G1092	KNSTRN
G1093	CERS4
G1094	AW112010
G1095	MINDY3
G1096	RIN3
G1097	SIRPA
G1098	NUF2
G1099	MR1
G1100	IFI27L2A
G1101	MORC3
G1102	SELENOP
G1103	IFITM1
G1104	UBAC1
G1105	GEM
G1106	DLST
G1107	CCL9
G1108	PLAC8
G1109	MC5R
G1110	ITSN1
G1111	MPI
G1112	ABCB8
G1113	KCTD12
G1114	MFSD10
G1115	ZFP24
G1116	NDRG2
G1117	DHRS3
G1118	WDR5
G1119	GOLT1B
G1120	MIR99AHG
G1121	PRKCD
G1122	PLAA
G1123	CSF1R
G1124	USP10
G1125	NCLN
G1126	NUAK2
G1127	SETD2
G1128	MSH6
G1129	MOGS
G1130	CD9
G1131	CTSZ
