G0	BMPR1A
G280	POLR2B
G281	EGR1
G282	SNRPD1
G283	SSB
G284	TCOF1
G285	TAF5
G286	DNMT1
G287	NAA15
G288	RREB1
G289	MLXIPL
G290	NR1H3
G291	RAI14
G292	PWP1
G293	SUPT16H
G294	ZNF217
G295	ARID2
G296	PAX6
G297	GMEB1
G298	GEMIN2
G299	OTX2
G300	CNBP
G301	CENPK
G302	NR3C1
G303	SMAD3
G304	EGF
G305	DEDD
G306	NR5A2
G307	ZNF146
G308	POLR1E
G309	ZIC2
G310	SMAD5
G311	DDX5
G312	EPAS1
G313	LHX1
G314	TCF25
G315	TNFAIP3
G316	ID2
G317	MAZ
G318	DR1
G319	FOXM1
G320	DNMT3A
G321	H1F0
G322	CREB3L2
G323	ZNF300
G324	ZNF202
G325	PCGF6
G326	U2AF1
G327	CSRP2
G328	GLI1
G329	SNAPC1
G330	JAG1
G331	ASXL1
G332	IRF3
G333	BRIP1
G334	HDGF
G335	SRRM1
G336	E2F3
G337	ZNF675
G338	HNRNPR
G339	TCEB2
G340	TCF3
G341	GATAD2B
G342	MED30
G343	NSD1
G344	JAZF1
G345	KLF3
G346	MXD1
G347	BRCA1
G348	HMGN3
G349	NME2
G350	EED
G351	MED4
G352	PBX1
G353	ETS1
G354	POLR3E
G355	FUBP1
G356	HCFC1
G357	SUB1
G358	ZBTB16
G359	MCM3
G360	MEF2C
G361	HMGB2
G362	TRIM28
G363	SMARCA5
G364	ELF1
G365	TCF4
G366	ING3
G367	CREB1
G368	EHMT2
G369	PREB
G370	HESX1
G371	CDKN1A
G372	ZNRD1
G373	PAPOLA
G374	GLI2
G375	CTDSPL
G376	ZNF766
G377	AATF
G378	MAFF
G379	SOX2
G380	REST
G381	TAF9B
G382	TAF1B
G383	CNTRL
G384	TAF7
G385	TCF19
G386	ZFP42
G387	RAD54B
G388	HNF1B
G389	HDAC2
G390	TBL1X
G391	TRIM25
G392	IRF9
G393	ZNF354A
G394	TOP2B
G395	ECD
G396	RAD51
G397	TCEA1
G398	POLR1C
G399	SSRP1
G400	KHDRBS1
G401	TBPL1
G402	NFKBIZ
G403	PLRG1
G404	EOMES
G405	EZH2
G406	DDX20
G407	ZNF160
G408	MED20
G409	PRDM1
G410	HNRNPK
G411	PA2G4
G412	SRSF1
G413	MTF2
G414	HMGN1
G415	PTRF
G416	HIST1H1C
G417	ZBTB24
G418	BCL11B
G419	DNMT3B
G420	GTF3C2
G421	BTF3
G422	JUND
G423	MYBL2
G424	ADNP
G425	ETV1
G426	SOX11
G427	NOTCH3
G428	GTF2E1
G429	ZNF107
G430	TEAD2
G431	GLIS3
G432	NEIL2
G433	TCERG1
G434	CDX2
G435	SIRT2
G436	PHB2
G437	ILF2
G438	FOXH1
G439	DAXX
G440	SCD5
G441	MCM8
G442	POLR1D
G443	BTG1
G444	ZNF143
G445	CEBPZ
G446	ZNF33A
G447	ETV4
