#ID	Name
G0	BMPR1A
G279	ZNF670
G280	POLR2B
G281	EGR1
G282	SNRPD1
G283	SSB
G284	TCOF1
G285	TAF5
G286	DNMT1
G287	NAA15
G288	RREB1
G289	MLXIPL
G290	NR1H3
G291	RAI14
G292	PWP1
G293	SUPT16H
G294	ZNF217
G295	ARID2
G296	PAX6
G297	GMEB1
G298	GEMIN2
G299	OTX2
G300	CNBP
G301	CENPK
G302	NR3C1
G303	SMAD3
G304	EGF
G305	DEDD
G306	NR5A2
G307	ZNF146
G308	POLR1E
G309	ZIC2
G310	SMAD5
G311	DDX5
G312	EPAS1
G313	LHX1
G314	TCF25
G315	TNFAIP3
G316	ID2
G317	MAZ
G318	DR1
G319	FOXM1
G320	DNMT3A
G321	H1F0
G322	CREB3L2
G323	ZNF300
G324	ZNF202
G325	PCGF6
G326	U2AF1
G327	CSRP2
G328	GLI1
G329	SNAPC1
G330	JAG1
G331	ASXL1
G332	IRF3
G333	BRIP1
G334	HDGF
G335	SRRM1
G336	E2F3
G337	ZNF675
G338	HNRNPR
G339	TCEB2
G340	TCF3
G341	GATAD2B
G342	MED30
G343	NSD1
G344	JAZF1
G345	KLF3
G346	MXD1
G347	BRCA1
G348	HMGN3
G349	NME2
G350	EED
G351	MED4
G352	PBX1
G353	ETS1
G354	POLR3E
G355	FUBP1
G356	HCFC1
G357	SUB1
G358	ZBTB16
G359	MCM3
G360	MEF2C
G361	HMGB2
G362	TRIM28
G363	SMARCA5
G364	ELF1
G365	TCF4
G366	ING3
G367	CREB1
G368	EHMT2
G369	PREB
G370	HESX1
G371	CDKN1A
G372	ZNRD1
G373	PAPOLA
G374	GLI2
G375	CTDSPL
G376	ZNF766
G377	AATF
G378	MAFF
G379	SOX2
G380	REST
G381	TAF9B
G382	TAF1B
G383	CNTRL
G384	TAF7
G385	TCF19
G386	ZFP42
G387	RAD54B
G388	HNF1B
G389	HDAC2
G390	TBL1X
G391	TRIM25
G392	IRF9
G393	ZNF354A
G394	TOP2B
G395	ECD
G396	RAD51
G397	TCEA1
G398	POLR1C
G399	SSRP1
G400	KHDRBS1
G401	TBPL1
G402	NFKBIZ
G403	PLRG1
G404	EOMES
G405	EZH2
G406	DDX20
G407	ZNF160
G408	MED20
G409	PRDM1
G410	HNRNPK
G411	PA2G4
G412	SRSF1
G413	MTF2
G414	HMGN1
G415	PTRF
G416	HIST1H1C
G417	ZBTB24
G418	BCL11B
G419	DNMT3B
G420	GTF3C2
G421	BTF3
G422	JUND
G423	MYBL2
G424	ADNP
G425	ETV1
G426	SOX11
G427	NOTCH3
G428	GTF2E1
G429	ZNF107
G430	TEAD2
G431	GLIS3
G432	NEIL2
G433	TCERG1
G434	CDX2
G435	SIRT2
G436	PHB2
G437	ILF2
G438	FOXH1
G439	DAXX
G440	SCD5
G441	MCM8
G442	POLR1D
G443	BTG1
G444	ZNF143
G445	CEBPZ
G446	ZNF33A
G447	ETV4
G448	P4HA2
G449	BBS9
G450	BIRC5
G451	ESYT1
G452	ACOX2
G453	B4GALT3
G454	GPN3
G455	SLC39A10
G456	NREP
G457	EIF3J
G458	CPSF6
G459	DDX39A
G460	LGALS2
G461	ANPEP
G462	PHF11
G463	GPATCH4
G464	MEST
G465	FLAD1
G466	WFDC2
G467	CAPG
G468	DDAH1
G469	LAMA1
G470	FASTKD2
G471	PLA2G16
G472	LRRC1
G473	CETN3
G474	ISY1
G475	PNPT1
G476	TBCB
G477	ACTL6A
G478	TATDN3
G479	POLD3
G480	CTSV
G481	MUSTN1
G482	CFAP20
G483	UGP2
G484	ACAA1
G485	MYL6B
G486	BZW2
G487	SYTL2
G488	A1CF
G489	TMEM97
G490	ACAD11
G491	HMMR
G492	PROSER1
G493	ATIC
G494	EMC2
G495	MPC1
G496	SORBS2
G497	TRIAP1
G498	VTN
G499	MRPL2
G500	CHTF18
G501	TERF1
G502	C2orf47
G503	ZDHHC13
G504	GGPS1
G505	DNA2
G506	TMEM147
G507	WDR54
G508	PRIM2
G509	KEAP1
G510	USP11
G511	LGALS4
G512	MRPL15
G513	NPRL2
G514	S100A16
G515	IGF1R
G516	SERPINB1
G517	KDELR3
G518	TMEM120A
G519	HSD17B14
G520	USP28
G521	RFC2
G522	AAAS
G523	ACTN1
G524	SPDL1
G525	DNASE1
G526	THOC1
G527	EXOC5
G528	PSEN1
G529	ELOVL6
G530	UCK2
G531	HLA.DRB5
G532	SGOL1
G533	DBF4
G534	DCTPP1
G535	MELK
G536	UBL7
G537	HAVCR1
G538	TMEM216
G539	APOA1
G540	CRBN
G541	ZSWIM7
G542	GLMN
G543	TM4SF5
G544	UCHL5
G545	RABGGTB
G546	KIZ
G547	ZNF260
G548	TIPIN
G549	ANLN
G550	ATG5
G551	CRYZL1
G552	PTPRZ1
G553	ABCE1
G554	RIOK1
G555	QTRTD1
G556	TK1
G557	PYGL
G558	GNPNAT1
G559	CDCA2
G560	HPR
G561	NOL10
G562	ZMYM6NB
G563	HSPE1.MOB4
G564	PDPN
G565	CENPH
G566	HMGB3
G567	SMLR1
G568	CFAP97
G569	SF3B3
G570	IFT52
G571	AKR1C3
G572	PCNA
G573	RANGRF
G574	ITGB3BP
G575	NUDT1
G576	SS18
G577	EXOSC9
G578	TTLL4
G579	CENPF
G580	NIFK
G581	NAA50
G582	SLC25A4
G583	CIDEB
G584	PRKCI
G585	TMEM126B
G586	CYP3A5
G587	MLST8
G588	GCHFR
G589	PRIM1
G590	ALB
G591	IL32
G592	ERAL1
G593	DHRS3
G594	TBC1D1
G595	KIAA0586
G596	ZNF561
G597	ITM2A
G598	FAM151A
G599	BLM
G600	ELP6
G601	ANP32E
G602	NOP16
G603	METTL21A
G604	SLN
G605	PPP2R1B
G606	LAMC1
G607	CUBN
G608	DNAH14
G609	HPN
G610	LCMT1
G611	ARL6IP6
G612	RFC4
G613	APOA4
G614	DUT
G615	MTX2
G616	ACN9
G617	USP45
G618	MYOF
G619	PEX19
G620	ANXA4
G621	ORC6
G622	NAA25
G623	SHKBP1
G624	USP10
G625	QPCT
G626	SUGCT
G627	GLUD1
G628	VIL1
G629	RBP2
G630	SAMHD1
G631	ESRG
G632	CAPN2
G633	CER1
G634	SLC35D2
G635	RFC5
G636	FMO5
G637	C17orf75
G638	NEDD1
G639	STX8
G640	CYFIP2
G641	GSTM3
G642	PYCR1
G643	ATP1B3
G644	CTSC
G645	BCS1L
G646	ITIH4
G647	SDAD1
G648	MTMR2
G649	NEK2
G650	SEC61A2
G651	CA2
G652	TDP2
G653	PFKM
G654	SULF2
G655	HNRNPH2
G656	HSPA14
G657	ANAPC7
G658	EFNA5
G659	NUP37
G660	THY1
G661	FAM64A
G662	CCL2
G663	SPAG9
G664	GSTK1
G665	CPSF3
G666	FBXO6
G667	SMOX
G668	ARL15
G669	AXL
G670	VPS72
G671	SLC25A11
G672	SLC25A20
G673	SIL1
G674	M6PR
G675	DPH5
G676	ALPL
G677	SLC7A3
G678	IMP4
G679	UBLCP1
G680	TUBA1B
G681	CDC6
G682	CCDC88A
G683	L1TD1
G684	WDR43
G685	TADA1
G686	NARS2
G687	ESCO2
G688	PAPSS1
G689	DSN1
G690	AFP
G691	SVIL
G692	NHEJ1
G693	LTV1
G694	ELOVL5
G695	SMC2
G696	DDIT4
G697	UNC93A
G698	ADSL
G699	CUEDC2
G700	APOC1
G701	MTFP1
G702	RBBP8
G703	P2RX4
G704	MDK
G705	RNASEH2A
G706	OGFOD1
G707	NMRK2
G708	NUP54
G709	TM4SF4
G710	CENPU
G711	BLVRA
G712	ECI2
G713	CAT
G714	ASPH
G715	EMP2
G716	FN1
G717	CENPW
G718	LAMB2
G719	GXYLT2
G720	BRMS1
G721	ZSWIM8
G722	ECHDC1
G723	WARS
G724	CKS1B
G725	UFSP2
G726	SRM
G727	HMCES
G728	FANCL
G729	NTPCR
G730	CTPS1
G731	SLC7A8
G732	ANKRD32
G733	DDX55
G734	CENPN
G735	FGB
G736	PCIF1
G737	RHOBTB3
G738	ALDH9A1
G739	DPH6
G740	STC1
G741	THAP4
G742	CAMK2D
G743	PLA2G12B
G744	CKS2
G745	S100A14
G746	DEF8
G747	ZFAND2A
G748	SLC35B4
G749	FANCI
G750	PIK3R4
G751	CASC5
G752	TTI2
G753	SEC11C
G754	PPAT
G755	WDR74
G756	METTL18
G757	RGN
G758	AAR2
G759	NDUFAF4
G760	ECT2
G761	CDH2
G762	COQ3
G763	RAD54L
G764	MECR
G765	DPPA4
G766	C3orf14
G767	LGALS1
G768	EMG1
G769	UGT2B11
G770	HMGN4
G771	TRIT1
G772	ZWINT
G773	AASS
G774	ACSL5
G775	USP39
G776	COPS7B
G777	PFN2
G778	RRM1
G779	DGAT1
G780	TIPARP
G781	PLK1
G782	KPNA2
G783	RAD51C
G784	VPS33A
G785	FBXO22
G786	HGD
G787	SLC39A1
G788	TMEM60
G789	TFPI
G790	DROSHA
G791	CHEK1
G792	MTHFD1
G793	IFNGR1
G794	APOA2
G795	BUB1
G796	ARL2
G797	TF
G798	TBRG4
G799	AURKA
G800	ATP1B1
G801	CDK5RAP1
G802	CDK5RAP2
G803	HELLS
G804	PMAIP1
G805	PRAP1
G806	UQCC1
G807	MRPL10
G808	C6orf203
G809	FANCA
G810	VPS26A
G811	SURF2
G812	UTP18
G813	SCGB3A2
G814	METTL10
G815	GGCT
G816	GSTA1
G817	EFTUD1
G818	SIAE
G819	PPFIBP2
G820	AMBP
G821	SHISA2
G822	CHEK2
G823	FUCA1
G824	IPO5
G825	KNG1
G826	OAZ2
G827	FAM13A
G828	RAD1
G829	IFT22
G830	C9orf72
G831	ALG6
G832	SLC7A6
G833	PPP1R21
G834	POLE2
G835	LTA4H
G836	CNOT10
G837	GNRH2
G838	DECR1
G839	MTUS1
G840	SCPEP1
G841	PAK1IP1
G842	SULT1A2
G843	SFRP1
G844	MAD2L1
G845	CYB5B
G846	GDAP1
G847	DTWD1
G848	ZDHHC4
G849	CD37
G850	GALK1
G851	APOO
G852	SPINK1
G853	LCP1
G854	DTYMK
G855	SGK1
G856	SH3BGRL
G857	IDI1
G858	MEP1A
G859	MRRF
G860	AMZ2
G861	MIS18A
G862	COMMD3
G863	NUP85
G864	IL6ST
G865	AMHR2
G866	UBE2C
G867	CHCHD6
G868	CLDN4
G869	ATG101
G870	HOOK2
G871	TMEM41A
G872	MRPS9
G873	ARHGAP26
G874	RNF26
G875	TIMM21
G876	FAM46A
G877	PDGFRA
G878	ACY1
G879	WDR12
G880	TTK
G881	DNAJB9
G882	GOT1
G883	MTERF3
G884	MRPS30
G885	F2RL1
G886	DPEP1
G887	TMEM14A
G888	UBE2T
G889	LRRC40
G890	CALML4
G891	AKR1B1
G892	SH3BGR
G893	NUP35
G894	THYN1
G895	ANAPC4
G896	SEPT10
G897	GGH
G898	DDC
G899	PPAPDC1B
G900	RAMP1
G901	TAGLN
G902	IQGAP2
G903	DCUN1D5
G904	HSD17B7
G905	MRPL1
G906	HNRNPH3
G907	VCAN
G908	SLC2A1
G909	PMM1
G910	POLB
G911	MAD2L1BP
G912	SHMT2
G913	RNASEH2B
G914	MPHOSPH6
G915	NUDCD1
G916	TIMM50
G917	EXOSC2
G918	DPCD
G919	MRPS11
G920	SLC38A1
G921	XPO5
G922	USB1
G923	COPS3
G924	POLD2
G925	NDUFAF5
G926	GALE
G927	MT1E
G928	FGG
G929	METTL1
G930	EFTUD2
G931	RECQL
G932	ATL2
G933	NUCB2
G934	HIBCH
G935	COMMD10
G936	UTP15
G937	ASL
G938	SLC38A2
G939	RNASE4
G940	LRR1
G941	DYNLT3
G942	NPPB
G943	ARSE
G944	TUBE1
G945	ODF2L
G946	RARRES2
G947	PDE6D
G948	NUF2
G949	TM7SF3
G950	DERA
G951	UCKL1
G952	HDHD1
G953	ASF1A
G954	USP7
G955	ACADVL
G956	NDC80
G957	RRM2
G958	GRPR
G959	HSDL2
G960	BSCL2
G961	GYG1
G962	ASRGL1
G963	TBC1D31
G964	FARSA
G965	SAE1
G966	HMBS
G967	HN1
G968	ITLN2
G969	OIP5
G970	TMEM177
G971	MBIP
G972	SQLE
G973	UFD1L
G974	HMGCL
G975	PLCD1
G976	BRIX1
G977	STARD3NL
G978	C11orf54
G979	FLRT2
G980	MOV10
G981	ANXA3
G982	MRPL49
G983	TNNT1
G984	FAM114A1
G985	CRELD1
G986	TTC4
G987	SCN7A
G988	TWISTNB
G989	ASGR1
G990	METAP1
G991	MLF1
G992	TEX10
G993	NBAS
G994	HP
G995	IFITM3
G996	PRPS2
G997	PSPH
G998	ICA1
G999	NOSIP
G1000	MT1G
G1001	S100A13
G1002	SMC4
G1003	PISD
G1004	WDHD1
G1005	MRPS12
G1006	SPP1
G1007	GAL
G1008	ATP2C1
G1009	FGFR1
G1010	PTPN12
G1011	HMGN5
G1012	GULP1
G1013	TSR1
G1014	SLC7A7
G1015	ATP5SL
G1016	TSN
G1017	CAPRIN1
G1018	SLC29A1
G1019	CCNB1
G1020	WRB
G1021	ABCA5
G1022	MRTO4
G1023	IFITM2
G1024	CCDC138
G1025	HAT1
G1026	FBL
G1027	CNN2
G1028	PEF1
G1029	DPAGT1
G1030	EPSTI1
G1031	PIGH
G1032	AKR1D1
G1033	ZUFSP
G1034	G6PC3
G1035	YWHAH
G1036	FEN1
G1037	CASP8AP2
G1038	UCP2
G1039	DPP4
G1040	NOL11
G1041	TIMMDC1
G1042	SMIM20
G1043	MFAP2
G1044	AGT
G1045	DDHD1
G1046	PHKA2
G1047	SLC25A17
G1048	MYO10
G1049	METTL13
G1050	R3HDM1
G1051	PSMD10
G1052	PLG
G1053	HERPUD1
G1054	MPHOSPH9
G1055	TPGS2
G1056	LIG1
G1057	MTAP
G1058	SNRNP25
G1059	CRAT
G1060	NNAT
G1061	GLIPR2
G1062	BST2
G1063	SEPP1
G1064	PIM2
G1065	COPS7A
G1066	PRMT5
G1067	PUS7L
G1068	PARPBP
G1069	LSM10
G1070	C11orf74
G1071	PPT1
G1072	GPM6B
G1073	TPD52L1
G1074	ZFP62
G1075	ITGB5
G1076	METTL3
G1077	SEMA3E
G1078	SAT1
G1079	OPA1
G1080	FTSJ2
G1081	GRTP1
G1082	HMGCS2
G1083	BLMH
G1084	WIPI1
G1085	PHC1
G1086	NUDT15
G1087	ERBB4
G1088	GPR133
G1089	ASNSD1
G1090	CACYBP
G1091	DKC1
G1092	S100PBP
G1093	HJURP
G1094	CMSS1
G1095	PSME3
G1096	IGF2BP3
G1097	HSD17B11
G1098	FANCD2
G1099	ALG8
G1100	OBFC1
G1101	BCKDK
G1102	GALM
G1103	TFF1
G1104	NTMT1
G1105	TKT
G1106	UBE2L6
G1107	TRNT1
G1108	ACAT2
G1109	KIAA0101
G1110	RHNO1
G1111	CDC20
G1112	CUTC
G1113	ZFYVE21
G1114	EXOSC5
G1115	APOC4.APOC2
G1116	NUSAP1
G1117	DCLRE1C
G1118	C3
G1119	CDC23
G1120	LGALS3
G1121	ORC5
G1122	DMKN
G1123	FTSJ1
G1124	DNPEP
G1125	SLC39A5
G1126	MRPL16
G1127	PIH1D1
G1128	B3GNT7
G1129	PTPRM
G1130	ANG
G1131	CXCR4
G1132	LIFR
G1133	DSCR3
G1134	C9orf78
G1135	PIK3R1
G1136	SLC10A1
G1137	EEF1E1
G1138	ASUN
G1139	CMC2
G1140	F10
G1141	GSTA2
G1142	ZCCHC7
G1143	TPX2
G1144	LECT1
G1145	ACOT7
G1146	PDCD2L
G1147	CCS
G1148	NODAL
G1149	CDKN3
G1150	SUPV3L1
G1151	MYO9A
G1152	APOC3
G1153	PLAA
G1154	KIF20A
G1155	UPP1
G1156	SKA3
G1157	YARS
G1158	PHGDH
G1159	EXOSC1
G1160	POLE4
G1161	HPX
G1162	FLRT3
G1163	PHF5A
G1164	CD200
G1165	NNT
G1166	ZNF253
G1167	MAT2B
G1168	WDYHV1
G1169	LIAS
G1170	ALDH1A1
G1171	MST1
G1172	DEPDC7
G1173	TRMT1
G1174	CD9
G1175	CD320
G1176	AAMP
G1177	ECHDC2
G1178	SLC25A37
G1179	USP3
G1180	HIST1H2BC
G1181	SKIV2L2
G1182	HAUS4
G1183	CFAP36
G1184	MRPS27
G1185	G2E3
G1186	PRKCE
G1187	FAM118B
G1188	SCAPER
G1189	PRC1
G1190	RRM2B
G1191	MID1
G1192	TUBB6
G1193	NME1
G1194	SLC44A2
G1195	ZNF770
G1196	ATG3
G1197	CCNB2
G1198	BCAS2
G1199	NAA16
G1200	VRK1
G1201	TTR
G1202	SLC5A6
G1203	ARL14EP
G1204	EPB41L2
G1205	CCDC77
G1206	CKAP2
G1207	NCK1
G1208	POLR3G
G1209	LITAF
G1210	GPRC5C
G1211	EPHX2
G1212	F3
G1213	TFRC
G1214	HDAC6
G1215	EXOSC8
G1216	MRPS35
G1217	PAFAH1B3
G1218	HARS
G1219	DHCR7
G1220	TTC39C
G1221	GMPR2
G1222	CCDC126
G1223	ARMC9
G1224	CCDC82
G1225	PSMB10
G1226	HDHD3
G1227	MORN2
G1228	PPP1R7
G1229	MTIF2
G1230	TOP2A
G1231	MTHFD2
G1232	KIF20B
G1233	CCDC169
G1234	WDR3
G1235	NUP107
G1236	LAMB1
G1237	PSMG1
G1238	GATM
G1239	UCHL1
G1240	C11orf1
G1241	UBE2E3
G1242	NVL
G1243	CDK4
G1244	KLC4
G1245	RNF138
G1246	ACADSB
G1247	UTRN
G1248	APEH
G1249	UMPS
G1250	GEMIN7
G1251	PLTP
G1252	HIST1H4C
G1253	ZNF93
G1254	MTTP
G1255	KLHDC2
G1256	APOC2
G1257	MGME1
G1258	HEXB
G1259	TMEM237
G1260	CCDC66
G1261	EXTL2
G1262	ASNS
G1263	C12orf45
G1264	ATP5G1
G1265	NIP7
G1266	MGST2
G1267	MMS22L
G1268	AIMP2
G1269	SGOL2
G1270	UBAC2
G1271	LEFTY1
G1272	HK1
G1273	TDGF1
G1274	ELP2
G1275	APOB
G1276	TYMS
G1277	PDZK1
G1278	CTSE
G1279	PEMT
G1280	TSFM
G1281	MT1X
G1282	NUP88
G1283	C19orf48
G1284	RABEPK
G1285	PPP1CC
G1286	CEP70
G1287	SEC22C
G1288	USP1
G1289	ACTC1
G1290	AURKB
G1291	C21orf59
G1292	RAB25
G1293	HACL1
G1294	DBNDD2
G1295	PLAC8
G1296	EFNA1
G1297	AGTRAP
G1298	SF3A3
G1299	RIOK3
G1300	HAUS1
G1301	GMNN
G1302	ELOF1
G1303	NCAPG
G1304	NTHL1
G1305	ZNF195
G1306	GPC3
G1307	YAE1D1
G1308	BPHL
G1309	CDK1
G1310	ZWILCH
G1311	TP53INP2
G1312	SPTLC3
G1313	DPYSL2
G1314	RPUSD4
G1315	SUCLA2
G1316	MRS2
G1317	ICE2
G1318	STMN1
G1319	AGO2
G1320	ATP11C
G1321	HSD17B10
G1322	MRPS2
G1323	APPL2
G1324	TMEM69
G1325	BBS7
G1326	TXNDC9
G1327	RCAN1
G1328	ORC4
G1329	OCIAD2
G1330	KIF22
G1331	PPA2
G1332	LAPTM4B
G1333	USP44
G1334	PSAT1
G1335	EIF2B3
G1336	RAB28
G1337	SAAL1
G1338	GPN1
G1339	GMPS
G1340	DHPS
G1341	HMGCR
G1342	CAAP1
G1343	TMEM150C
G1344	C12orf10
G1345	C4orf27
G1346	RIN2
G1347	MSH2
G1348	SLC25A26
G1349	ENO2
G1350	FAM49B
G1351	RNASE1
G1352	NUP93
G1353	C1orf109
G1354	MLH1
G1355	MAEA
G1356	STEAP1
G1357	ARG2
G1358	PCID2
G1359	AARS
G1360	SLC51A
G1361	GSN
G1362	LMO7
G1363	FGA
G1364	EPS8L2
G1365	S100A6
G1366	POP5
G1367	IMMP1L
G1368	ISG15
G1369	PTGR1
G1370	FANCB
G1371	CENPE
G1372	TDP1
G1373	AHSG
G1374	AGPAT2
G1375	LEAP2
G1376	FKBP11
G1377	ISG20
G1378	METTL8
G1379	UROD
G1380	KIF23
G1381	CDK2AP1
G1382	MAP1B
G1383	NEDD4L
G1384	GEMIN8
G1385	HAUS2
G1386	C1GALT1
G1387	PTP4A1
G1388	PON2
G1389	IDH3B
G1390	TIMM9
G1391	KIFAP3
G1392	RAD51AP1
G1393	IFRD2
G1394	IQCB1
G1395	PPCDC
G1396	CMPK1
G1397	TMEM37
G1398	TNNI3
G1399	TRIM59
G1400	CBR1
G1401	ZMYM1
G1402	FABP1
G1403	DLGAP5
G1404	KNSTRN
G1405	ICT1
G1406	DCAF13
G1407	TPM2
G1408	PLIN2
G1409	ECSIT
G1410	PPP1R16A
G1411	METTL5
G1412	SMC6
G1413	HSD17B2
G1414	IFITM1
G1415	PDCD4
G1416	MCRS1
G1417	RSU1
G1418	KATNA1
G1419	ADAM9
G1420	NAA10
G1421	SERPIND1
G1422	XPO6
G1423	HPRT1
G1424	NIF3L1
G1425	RAB31
G1426	RBP4
G1427	EBNA1BP2
G1428	BUB1B
G1429	WDR75
G1430	CDCA3
G1431	KLHL7
G1432	CFTR
G1433	ATG4C
G1434	CAPN12
G1435	NDUFAF7
G1436	INMT
G1437	ELMOD2
G1438	SERPINF1
G1439	LEFTY2
G1440	CMC1
G1441	PPIL1
G1442	NT5DC2
G1443	ZGRF1
G1444	CUL2
G1445	FXYD5
G1446	EXOSC3
G1447	RAB34
